FirstDay,Number_of_active_questions
0,70
1,64
2,58
3,52
4,53
5,49
6,52
7,44
8,41
9,41
10,43
11,39
12,41
13,30
14,30
15,30
16,33
17,27
18,23
19,21
20,23
21,19
22,23
23,22
24,19
25,20
26,21
27,22
28,29
29,35
30,31
31,35
32,34
33,36
34,35
35,34
36,27
37,26
38,28
39,28
40,24
41,27
42,23
43,23
44,22
45,17
46,18
47,16
48,15
49,18
50,18
51,15
52,15
53,16
54,19
55,23
56,21
57,19
58,20
59,16
60,13
61,19
62,13
63,12
64,14
65,14
66,15
67,18
68,16
69,18
70,19
71,18
72,18
73,17
74,15
75,16
76,13
77,11
78,10
79,12
80,15
81,14
82,13
83,14
84,16
85,15
86,14
87,13
88,13
89,12
90,11
91,8
92,8
93,9
94,12
95,12
96,12
97,14
98,16
99,17
100,15
101,11
102,14
103,16
104,15
105,12
106,12
107,12
108,12
109,13
110,9
111,10
112,11
113,10
114,11
115,13
116,11
117,13
118,13
119,11
120,11
121,11
122,11
123,12
124,15
125,15
126,14
127,14
128,12
129,12
130,11
131,5
132,5
133,3
134,6
135,8
136,7
137,10
138,11
139,18
140,19
141,21
142,20
143,24
144,21
145,24
146,22
147,20
148,15
149,16
150,16
151,14
152,16
153,13
154,19
155,18
156,19
157,16
158,17
159,25
160,26
161,22
162,24
163,28
164,31
165,31
166,24
167,24
168,25
169,20
170,23
171,18
172,19
