FirstDay,Number_of_active_questions
0,32
1,28
2,24
3,22
4,20
5,20
6,18
7,16
8,16
9,14
10,11
11,13
12,15
13,15
14,25
15,31
16,38
17,41
18,46
19,45
20,46
21,45
22,42
23,37
24,38
25,35
26,31
27,35
28,35
29,34
30,36
31,35
32,37
33,34
34,31
35,31
36,32
37,26
38,27
39,27
40,26
41,25
42,27
43,30
44,29
45,33
46,31
47,30
48,36
49,35
50,30
51,30
52,28
53,27
54,28
55,28
56,27
57,23
58,22
59,24
60,21
61,20
62,22
63,21
64,24
65,24
66,23
67,22
68,18
69,15
70,16
71,17
72,18
73,21
74,24
75,20
76,21
77,20
78,22
79,23
80,21
81,20
82,23
83,24
84,27
85,29
86,27
87,27
88,26
89,21
90,19
91,18
92,18
93,16
94,17
95,17
96,22
97,23
98,22
99,21
100,21
101,16
102,18
103,15
104,14
105,12
106,11
107,15
108,17
109,16
110,14
111,14
112,16
113,18
114,17
115,13
116,14
117,15
118,15
119,16
120,14
121,18
122,21
123,20
124,22
125,21
126,20
127,22
128,23
129,23
130,19
131,18
132,22
133,20
134,18
135,15
136,16
137,18
138,16
139,12
140,12
141,14
142,15
143,13
144,10
145,11
146,14
147,14
148,14
149,15
150,16
151,15
152,16
153,15
154,14
155,17
156,15
157,14
158,14
159,13
160,16
161,18
162,16
163,16
164,17
165,20
166,20
167,18
168,16
169,16
170,16
171,16
172,14
