FirstDay,Number_of_active_questions
0,91
1,65
2,59
3,59
4,61
5,58
6,65
7,63
8,55
9,54
10,58
11,50
12,50
13,48
14,53
15,52
16,52
17,47
18,44
19,42
20,42
21,40
22,33
23,34
24,28
25,32
26,41
27,46
28,48
29,48
30,49
31,53
32,51
33,44
34,35
35,25
36,29
37,31
38,31
39,34
40,33
41,33
42,37
43,41
44,42
45,44
46,47
47,48
48,44
49,43
50,34
51,37
52,35
53,31
54,33
55,42
56,43
57,44
58,37
59,35
60,34
61,33
62,30
63,32
64,26
65,28
66,28
67,27
68,29
69,23
70,19
71,18
72,15
73,15
74,15
75,15
76,17
77,19
78,20
79,18
80,19
81,17
82,18
83,20
84,20
85,21
86,23
87,25
88,25
89,25
90,23
91,25
92,21
93,17
94,19
95,20
96,19
97,19
98,17
99,20
100,23
101,24
102,26
103,32
104,31
105,32
106,26
107,26
108,27
109,24
110,19
111,18
112,16
113,15
114,16
115,16
116,14
117,13
118,13
119,11
120,14
121,19
122,21
123,20
124,23
125,22
126,26
127,23
128,15
129,16
130,18
131,18
132,17
133,15
134,15
135,12
136,10
137,11
138,10
139,5
140,6
141,7
142,9
143,11
144,12
145,11
146,11
147,13
148,15
149,15
150,13
151,12
152,17
153,17
154,19
155,17
156,17
157,19
158,19
159,17
160,21
161,19
162,19
163,19
164,16
165,17
166,16
167,19
168,19
169,17
170,17
171,18
172,20
