FirstDay,Number_of_active_questions
0,173
1,199
2,207
3,196
4,192
5,166
6,152
7,137
8,126
9,122
10,121
11,114
12,116
13,122
14,129
15,134
16,131
17,123
18,114
19,105
20,98
21,83
22,81
23,79
24,88
25,92
26,85
27,83
28,82
29,88
30,93
31,93
32,84
33,85
34,87
35,88
36,85
37,83
38,78
39,80
40,78
41,88
42,87
43,84
44,92
45,85
46,83
47,86
48,88
49,83
50,93
51,92
52,87
53,88
54,80
55,79
56,85
57,78
58,86
59,95
60,87
61,95
62,97
63,93
64,95
65,92
66,91
67,85
68,73
69,71
70,71
71,73
72,68
73,66
74,67
75,67
76,54
77,54
78,58
79,63
80,65
81,69
82,78
83,85
84,89
85,94
86,92
87,92
88,91
89,96
90,102
91,103
92,93
93,97
94,99
95,101
96,97
97,92
98,90
99,95
100,98
101,95
102,92
103,97
104,91
105,93
106,91
107,79
108,73
109,74
110,71
111,77
112,74
113,79
114,80
115,85
116,86
117,89
118,81
119,78
120,80
121,69
122,65
123,64
124,62
125,65
126,70
127,67
128,66
129,72
130,70
131,75
132,77
133,88
134,89
135,93
136,93
137,91
138,88
139,81
140,81
141,80
142,72
143,72
144,71
145,69
146,67
147,71
148,68
149,68
150,73
151,75
152,71
153,76
154,66
155,62
156,59
157,58
158,59
159,55
160,51
161,47
162,49
163,46
164,48
165,41
166,44
167,48
168,45
169,43
170,40
171,46
172,46
