FirstDay,Number_of_active_questions
0,96
1,73
2,57
3,41
4,31
5,27
6,26
7,25
8,31
9,31
10,37
11,36
12,36
13,37
14,38
15,36
16,39
17,36
18,40
19,41
20,42
21,38
22,32
23,28
24,31
25,29
26,29
27,28
28,32
29,30
30,30
31,28
32,25
33,25
34,24
35,24
36,24
37,23
38,21
39,20
40,19
41,18
42,19
43,17
44,14
45,16
46,16
47,18
48,19
49,19
50,22
51,28
52,29
53,29
54,31
55,34
56,33
57,36
58,32
59,31
60,31
61,26
62,19
63,19
64,17
65,20
66,26
67,28
68,30
69,31
70,34
71,38
72,42
73,45
74,44
75,39
76,40
77,38
78,36
79,32
80,26
81,25
82,27
83,24
84,21
85,24
86,23
87,20
88,23
89,25
90,25
91,21
92,19
93,20
94,21
95,26
96,23
97,31
98,34
99,35
100,39
101,46
102,42
103,42
104,38
105,39
106,43
107,41
108,40
109,38
110,38
111,36
112,30
113,26
114,26
115,27
116,23
117,25
118,22
119,24
120,24
121,33
122,35
123,38
124,43
125,41
126,43
127,44
128,37
129,34
130,35
131,34
132,34
133,35
134,31
135,31
136,35
137,34
138,34
139,36
140,37
141,41
142,43
143,38
144,32
145,34
146,33
147,35
148,28
149,40
150,41
151,45
152,48
153,45
154,43
155,42
156,36
157,32
158,28
159,25
160,22
161,19
162,17
163,17
164,19
165,23
166,33
167,33
168,39
169,42
170,41
171,37
172,35
