FirstDay,Number_of_active_questions
0,106
1,101
2,83
3,74
4,72
5,62
6,47
7,40
8,38
9,46
10,54
11,60
12,60
13,57
14,54
15,58
16,55
17,50
18,42
19,45
20,48
21,48
22,50
23,51
24,52
25,56
26,57
27,51
28,51
29,46
30,41
31,38
32,34
33,29
34,30
35,41
36,46
37,50
38,52
39,53
40,51
41,52
42,54
43,47
44,47
45,42
46,43
47,44
48,36
49,37
50,39
51,37
52,47
53,47
54,48
55,51
56,53
57,54
58,53
59,48
60,53
61,51
62,47
63,50
64,45
65,43
66,41
67,40
68,39
69,39
70,35
71,39
72,43
73,39
74,36
75,37
76,29
77,33
78,32
79,39
80,41
81,38
82,49
83,52
84,53
85,51
86,45
87,45
88,52
89,47
90,45
91,45
92,47
93,47
94,48
95,43
96,45
97,40
98,43
99,35
100,36
101,28
102,29
103,33
104,36
105,39
106,45
107,45
108,48
109,42
110,43
111,39
112,36
113,37
114,33
115,36
116,35
117,32
118,37
119,38
120,41
121,39
122,38
123,38
124,42
125,42
126,40
127,34
128,35
129,39
130,39
131,41
132,38
133,40
134,49
135,47
136,53
137,59
138,62
139,64
140,65
141,68
142,66
143,64
144,56
145,55
146,61
147,59
148,57
149,63
150,62
151,62
152,65
153,63
154,60
155,63
156,66
157,67
158,66
159,75
160,76
161,79
162,79
163,80
164,78
165,76
166,70
167,77
168,70
169,66
170,65
171,62
172,57
