FirstDay,Number_of_active_questions
0,238
1,190
2,177
3,157
4,135
5,116
6,98
7,95
8,83
9,74
10,71
11,62
12,62
13,67
14,58
15,54
16,56
17,59
18,61
19,67
20,68
21,65
22,62
23,66
24,63
25,63
26,58
27,57
28,54
29,52
30,52
31,55
32,55
33,54
34,58
35,54
36,49
37,53
38,49
39,57
40,63
41,55
42,62
43,64
44,63
45,61
46,54
47,48
48,44
49,40
50,38
51,34
52,34
53,36
54,37
55,40
56,43
57,44
58,41
59,48
60,48
61,43
62,42
63,34
64,33
65,33
66,30
67,32
68,28
69,35
70,35
71,37
72,38
73,39
74,38
75,40
76,41
77,45
78,44
79,44
80,45
81,43
82,39
83,34
84,25
85,29
86,34
87,33
88,31
89,36
90,38
91,39
92,40
93,35
94,33
95,30
96,27
97,35
98,37
99,34
100,35
101,35
102,37
103,33
104,27
105,20
106,15
107,13
108,15
109,15
110,12
111,12
112,14
113,16
114,19
115,19
116,21
117,21
118,20
119,22
120,21
121,20
122,22
123,24
124,26
125,29
126,27
127,31
128,36
129,35
130,33
131,26
132,27
133,30
134,29
135,22
136,22
137,24
138,24
139,25
140,23
141,21
142,21
143,22
144,22
145,24
146,27
147,27
148,31
149,31
150,32
151,31
152,32
153,38
154,36
155,42
156,46
157,45
158,46
159,50
160,47
161,50
162,50
163,50
164,51
165,50
166,44
167,38
168,33
169,23
170,21
171,24
172,22
