FirstDay,Number_of_active_questions
0,197
1,203
2,206
3,211
4,215
5,214
6,218
7,219
8,197
9,183
10,186
11,184
12,182
13,191
14,196
15,184
16,191
17,186
18,183
19,187
20,185
21,180
22,174
23,168
24,145
25,142
26,147
27,150
28,160
29,162
30,174
31,177
32,185
33,180
34,178
35,165
36,168
37,164
38,166
39,151
40,152
41,150
42,153
43,155
44,151
45,140
46,137
47,145
48,144
49,155
50,154
51,156
52,172
53,171
54,169
55,173
56,170
57,168
58,167
59,169
60,165
61,169
62,173
63,170
64,162
65,163
66,162
67,165
68,162
69,166
70,163
71,170
72,165
73,161
74,163
75,168
76,176
77,180
78,176
79,187
80,193
81,199
82,213
83,210
84,212
85,224
86,231
87,231
88,228
89,241
90,245
91,246
92,260
93,253
94,267
95,271
96,269
97,259
98,258
99,257
100,258
101,265
102,282
103,283
104,304
105,325
106,324
107,323
108,308
109,307
110,308
111,308
112,317
113,310
114,312
115,305
116,319
117,324
118,304
119,309
120,322
121,310
122,304
123,301
124,307
125,309
126,302
127,302
128,320
129,336
130,335
131,322
132,329
133,326
134,326
135,323
136,327
137,331
138,344
139,333
140,329
141,326
142,311
143,308
144,299
145,284
146,281
147,273
148,278
149,287
150,287
151,277
152,280
153,261
154,255
155,245
156,228
157,209
158,200
159,215
160,221
161,217
162,220
163,236
164,231
165,260
166,262
167,268
168,266
169,272
170,278
171,277
172,276
