FirstDay,Number_of_active_questions
0,156
1,146
2,139
3,135
4,135
5,131
6,130
7,120
8,127
9,128
10,129
11,130
12,126
13,133
14,133
15,122
16,114
17,114
18,107
19,100
20,93
21,95
22,95
23,107
24,109
25,109
26,114
27,120
28,116
29,119
30,111
31,117
32,118
33,112
34,107
35,107
36,95
37,95
38,92
39,86
40,86
41,82
42,86
43,98
44,99
45,96
46,98
47,102
48,106
49,105
50,114
51,121
52,118
53,117
54,122
55,126
56,134
57,129
58,124
59,127
60,128
61,126
62,124
63,118
64,121
65,119
66,127
67,123
68,127
69,122
70,115
71,104
72,115
73,98
74,100
75,93
76,93
77,95
78,94
79,91
80,89
81,98
82,102
83,102
84,106
85,121
86,133
87,139
88,135
89,126
90,132
91,130
92,114
93,108
94,108
95,104
96,105
97,103
98,106
99,114
100,115
101,119
102,128
103,138
104,132
105,131
106,132
107,128
108,119
109,116
110,111
111,104
112,102
113,105
114,118
115,115
116,126
117,132
118,133
119,133
120,136
121,132
122,133
123,130
124,123
125,131
126,129
127,133
128,130
129,124
130,125
131,134
132,126
133,126
134,128
135,123
136,115
137,122
138,128
139,125
140,127
141,126
142,129
143,125
144,125
145,123
146,131
147,133
148,137
149,137
150,145
151,135
152,135
153,126
154,122
155,113
156,121
157,121
158,122
159,123
160,130
161,136
162,132
163,133
164,133
165,127
166,116
167,106
168,108
169,112
170,111
171,108
172,112
