FirstDay,Number_of_active_questions
0,115
1,115
2,120
3,125
4,132
5,142
6,147
7,159
8,154
9,157
10,153
11,150
12,142
13,124
14,121
15,107
16,94
17,89
18,88
19,86
20,93
21,85
22,86
23,91
24,92
25,97
26,100
27,94
28,92
29,90
30,85
31,74
32,78
33,72
34,66
35,66
36,82
37,82
38,88
39,90
40,90
41,92
42,96
43,87
44,91
45,88
46,89
47,87
48,86
49,81
50,82
51,78
52,78
53,79
54,83
55,79
56,79
57,75
58,75
59,78
60,83
61,83
62,79
63,79
64,77
65,83
66,101
67,110
68,130
69,158
70,176
71,206
72,218
73,209
74,214
75,204
76,206
77,208
78,194
79,188
80,185
81,182
82,191
83,201
84,205
85,204
86,209
87,198
88,195
89,197
90,191
91,184
92,163
93,155
94,157
95,157
96,151
97,145
98,142
99,149
100,146
101,159
102,149
103,143
104,156
105,155
106,153
107,148
108,153
109,152
110,161
111,153
112,150
113,158
114,155
115,149
116,145
117,146
118,143
119,139
120,131
121,132
122,139
123,134
124,140
125,142
126,152
127,157
128,158
129,160
130,166
131,161
132,159
133,159
134,146
135,143
136,131
137,126
138,119
139,124
140,124
141,128
142,131
143,131
144,134
145,137
146,134
147,130
148,128
149,134
150,137
151,143
152,145
153,153
154,157
155,159
156,154
157,157
158,155
159,151
160,139
161,136
162,134
163,122
164,114
165,109
166,108
167,104
168,101
169,106
170,110
171,110
172,112
