FirstDay,Number_of_active_questions
0,76
1,54
2,46
3,44
4,46
5,35
6,27
7,29
8,27
9,25
10,23
11,22
12,24
13,34
14,35
15,40
16,45
17,43
18,45
19,46
20,38
21,34
22,30
23,37
24,35
25,36
26,36
27,35
28,34
29,34
30,29
31,28
32,28
33,30
34,30
35,28
36,30
37,34
38,35
39,35
40,34
41,32
42,30
43,30
44,31
45,27
46,31
47,27
48,25
49,25
50,21
51,24
52,26
53,25
54,27
55,26
56,30
57,33
58,26
59,28
60,28
61,30
62,30
63,30
64,29
65,30
66,31
67,31
68,27
69,33
70,32
71,39
72,40
73,40
74,43
75,47
76,42
77,41
78,47
79,43
80,45
81,47
82,49
83,51
84,53
85,43
86,40
87,38
88,34
89,33
90,30
91,28
92,27
93,33
94,34
95,34
96,35
97,32
98,30
99,34
100,30
101,30
102,30
103,31
104,34
105,33
106,29
107,25
108,23
109,25
110,25
111,21
112,25
113,21
114,20
115,20
116,17
117,20
118,21
119,19
120,23
121,23
122,27
123,28
124,27
125,28
126,30
127,27
128,33
129,42
130,50
131,54
132,51
133,52
134,56
135,52
136,44
137,39
138,34
139,34
140,29
141,28
142,28
143,29
144,29
145,31
146,33
147,34
148,38
149,48
150,50
151,50
152,49
153,49
154,48
155,47
156,45
157,47
158,44
159,44
160,45
161,46
162,46
163,50
164,46
165,46
166,38
167,36
168,36
169,38
170,36
171,42
172,47
