Day,Number of active users,Mean user reputation,Gini coefficient,Gini coeficient active users
0,41,9.12029183990523,0.9502738948098931,0.005291428208682181
1,46,12.640741427843157,0.9495329227561957,0.007268324551313995
2,48,16.760693098776652,0.9474378175203442,0.007925897838873043
3,48,17.80321226713396,0.9488657944307091,0.008095979455988462
4,50,17.333730997548347,0.9466491387672981,0.008774022044105101
5,52,16.77955411416939,0.9458921216735788,0.00966766190168973
6,53,17.530812076906404,0.9457166877798113,0.010156843120079471
7,55,16.826823681421985,0.9444535055029414,0.011045027981655556
8,56,16.295469785011523,0.9440281096671894,0.011531543073161813
9,56,15.958739979556787,0.9437925145739186,0.011498805293451705
10,58,14.849974036953666,0.9427092661099332,0.01246782127870741
11,58,14.421178593663743,0.9428408800094732,0.012486763229509621
12,60,13.99357675448298,0.9420327035109864,0.01353589253610112
13,61,14.19884359890567,0.9396997001857829,0.013783951195236139
14,69,13.778804108565803,0.9336109159902698,0.017948012369643555
15,71,13.26497227627898,0.9315481358487732,0.01897916255282007
16,71,13.8502195008087,0.9309912422852308,0.018932251910223713
17,67,14.01758500796163,0.9299288428740716,0.01627798433277401
18,67,13.691508106345022,0.9288042505572836,0.016137237354018317
19,69,13.08879516995359,0.9281080252042966,0.01735199662060629
20,70,13.106539033039324,0.927565033506801,0.01792595437905819
21,75,12.707198104915943,0.9247829509225025,0.020995391591884217
22,76,12.786074246086192,0.9241332665142953,0.021666385712310665
23,78,12.946280343485958,0.926292639037569,0.023597663117312425
24,80,12.445648034606517,0.922571307929528,0.024521258057983983
25,82,11.926689902747297,0.9200980722237072,0.025640212529888108
26,84,11.532558424743238,0.9197044695285231,0.027215788061537443
27,83,11.548991284111287,0.9185420846665834,0.026194386889885343
28,86,11.163810974367372,0.9167076486679865,0.02833478587808477
29,86,11.471936347302213,0.9160595765912304,0.028318988186347347
30,88,11.479317306595588,0.9151361696754348,0.029831577094919792
31,85,11.695166691385097,0.9156566799968728,0.027552734680739266
32,86,11.422148914332759,0.9143665842857991,0.028199239071076396
33,86,11.875702042098164,0.9136598472466182,0.028057541387243343
34,88,11.5955898816873,0.9106861498893576,0.029209633611417596
35,85,11.742034846538859,0.9083627502903805,0.02642796305115362
36,85,11.627462769860847,0.9078550241741884,0.026451283092592946
37,85,11.755130329519764,0.9091923549386369,0.02684118650337684
38,86,11.47653542429371,0.9078806201411331,0.02756198839867155
39,86,11.35506202056784,0.9077867688365239,0.02749159846907664
40,87,11.154695749160672,0.9068940426683573,0.028208384839161358
41,88,11.021414757028893,0.9065881303307832,0.02891910006117275
42,91,10.699592155359985,0.9036216973154502,0.030890128356639363
43,92,10.453075608140589,0.9025495592103029,0.03151949026205671
44,92,10.581712654330047,0.905830629994605,0.03219551623497643
45,90,10.509364225040523,0.9064302818904454,0.030673170803915326
46,92,10.107681754646853,0.9045176790632263,0.03204303918058965
47,90,9.966550127551523,0.9035686558193503,0.030299045686110082
48,92,9.606947591710535,0.9021513721478176,0.031770197594433496
49,93,9.271924149206352,0.90025140544254,0.03235146228652711
50,91,9.34534585326837,0.8992899859130447,0.030443728989255632
51,90,9.610445294126034,0.9008959598762614,0.0301155092972761
52,89,9.391035204797866,0.8984721932412114,0.02893621441708791
53,90,9.440758553005491,0.8962004099751995,0.02929562519953932
54,89,9.435503283101188,0.8965349481107365,0.028510920072872332
55,91,9.098456531723727,0.8934545402119198,0.029549167449623433
56,98,8.857431825981948,0.888394719130378,0.03475808267159742
57,102,9.042283167779374,0.8876040212678132,0.03832015018245773
58,102,9.299840791667064,0.8896375659291462,0.03879770685632425
59,100,9.149966494499282,0.8900476715105018,0.037107334796217764
60,101,9.044703484047666,0.8881462111573245,0.03780057955726521
61,104,8.95715939333476,0.8882682261100869,0.04078612650881855
62,107,8.642557740886215,0.8858153780921204,0.0431138017790769
63,108,8.597904787054611,0.8848045233522632,0.04409954255428861
64,108,8.35925319992921,0.8844679661700662,0.04396758119441993
65,107,8.166325689916926,0.8825584416978052,0.04264091336481958
66,107,8.157964278252534,0.8831792324616392,0.042835842296456574
67,108,7.769544144433715,0.8815169302108525,0.04347342708818739
68,104,7.748207285644029,0.881212296707111,0.03973456255748854
69,105,7.54412720301106,0.8798398082406077,0.04034335694805894
70,108,7.52307384027916,0.8771801003615545,0.04296157914242492
71,113,7.294782666409078,0.8728487435593958,0.04720967428883224
72,117,7.27679912341657,0.8680774765295922,0.05037999693430315
73,116,7.414840142529382,0.8640652246356755,0.048679144896421146
74,120,7.080270256488346,0.8579481779837057,0.05167808364433083
75,121,6.891043052134689,0.8557584482935503,0.05231299552978658
76,124,6.945065305487032,0.8503137055435144,0.054556794200941255
77,126,7.212711998121287,0.8526338054523197,0.05728671132871964
78,126,7.495377816377125,0.8564049956431774,0.058473602702875827
79,130,7.5026968892272805,0.8558860111263433,0.06313294809563312
80,129,7.519547996093695,0.8577732033893469,0.06264801203982823
81,128,7.3514604173144145,0.8587188789050456,0.06178914966556167
82,130,7.287428453315345,0.8537191721503462,0.06326844368890427
83,132,7.033890100760815,0.8507211262944572,0.06504922614870302
84,135,7.212989899312122,0.8510978006504714,0.06888647729750702
85,136,7.278449231541913,0.850984315921903,0.07010434030644115
86,136,7.41373713244582,0.8517310220215569,0.07043128079134402
87,135,7.333108787844581,0.8497407867780734,0.06886696752104836
88,130,7.383311066390928,0.8502391621997409,0.0632444151190819
89,127,7.398692483632035,0.8496659198248616,0.05959011350141633
90,128,7.334420167323258,0.8506544800211839,0.06115530812957277
91,125,7.326412592027563,0.8508091010576168,0.05804132852381133
92,126,7.322756402331865,0.8542932845999504,0.06009332433817153
93,123,7.426081679728791,0.8572159931262587,0.057553850463184016
94,127,7.32482275563928,0.8560889891243261,0.061877277319497694
95,128,7.404037881141172,0.8563717083354248,0.0632901819431591
96,125,7.417571085498552,0.8576642295148731,0.06024302486464201
97,121,7.404240367407625,0.858336472849903,0.056106488634362385
98,121,7.129344890602784,0.8580575014506115,0.05599352223213908
99,118,7.077617834180732,0.8571783251431911,0.05276891927336006
100,121,6.904324607571158,0.8533287650628703,0.05544995646770044
101,122,7.14243978244839,0.8542057302727785,0.056717818369837275
102,121,7.1621777223355885,0.8581346336035159,0.056582976829966006
103,122,7.468840260332356,0.8561757595607165,0.05733980995082513
104,119,7.956319300546711,0.8610243513161444,0.05516682137955901
105,119,8.076724881230561,0.8637622831079527,0.05572881499106109
106,118,8.305611598496599,0.8635188638349747,0.054565035980980635
107,117,9.732303963144075,0.8760348855558903,0.05639677109663565
108,118,9.838377197798176,0.8780923310628046,0.05799222887809881
109,116,9.622748503289824,0.8762992250073656,0.05544191544273771
110,114,9.814383161639999,0.8793321558450595,0.05385858561588783
111,115,10.446984509638948,0.8836011619592581,0.05588462493202301
112,115,11.478571294054571,0.8900271054731703,0.057268625367272674
113,116,11.450019674422737,0.889562504255828,0.058213763407937144
114,120,11.117043056448678,0.8870583730145709,0.06242147512819992
115,119,11.373247896423008,0.8872066831929474,0.061077717880933274
116,119,11.386643385038735,0.8903018689442611,0.06172759333533602
117,118,11.343780209648362,0.8913039344718582,0.060843763594365295
118,113,11.616072469260896,0.8921215868029843,0.05552122908775275
119,114,11.256294027542575,0.8906470790257165,0.05635621399675287
120,112,11.25000793892164,0.8904557196782843,0.054105979859423566
121,112,11.126570686505213,0.8878541518141045,0.05375271205068744
122,113,10.75262157241443,0.8857280855131797,0.054407492647131156
123,115,10.289993086469527,0.8842257298984628,0.05621182927788246
124,114,10.342729230708532,0.8844307696015128,0.05506629874567395
125,117,10.093522498692785,0.8802430444522731,0.05759297713246602
126,121,9.601402036186206,0.8749518514632343,0.06110761663588107
127,121,10.117585859935303,0.8755233289404171,0.06087025016707262
128,121,9.841337591624793,0.8734332251147994,0.060351418186826225
129,124,9.533382263824912,0.8717743673318701,0.0635074318229372
