,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
0,19,12,13,10,9,22,20,19,18,19,17,18,19,21,16,16,15,13,17,16,16,15,17,17,16,18,21,19,18,19,19,22,27,28,30,28,22,27,27,27,26,23,25,21,19,19,20,17,21,17,10,10,10,14,13,13,13,12,9,8,8,10,12,13,12,14,14,12,12,8,8,10,11,11,12,13,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,8,9,11,10,8,9,9,10,8,8,14,14,19,15,17,15,15,12,13,13,13,13,14,15,21,18,19,13,13,12,10,14,15,8,8,10,14,6,3,3,3,4,4,5,5,4,4,3,2,3,2,2,4,5,6,6,6,6,4
1,18,13,13,10,10,22,19,17,18,19,15,19,19,21,19,19,16,13,15,15,14,13,15,17,15,17,21,16,18,16,17,22,26,29,30,28,25,28,27,26,26,24,23,21,18,19,21,19,19,17,9,10,8,13,13,13,13,12,8,8,9,11,12,15,11,13,13,15,11,9,8,11,10,10,12,13,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,8,9,9,8,9,8,10,11,13,8,12,19,18,14,17,25,14,11,13,15,16,13,15,21,19,22,23,9,15,16,12,8,11,6,7,9,11,4,3,4,3,4,5,5,5,4,4,3,2,3,3,2,4,5,6,5,5,7,4
2,17,11,11,12,9,22,21,16,19,19,15,19,19,21,12,19,15,16,16,15,14,15,16,16,15,18,21,17,20,16,20,17,29,29,30,30,25,26,27,27,26,23,23,21,18,19,20,20,21,17,8,10,8,13,13,13,13,12,9,7,8,10,12,11,11,12,13,11,12,9,8,10,10,10,12,13,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,8,9,9,10,8,8,10,15,9,7,9,20,14,11,17,15,17,12,11,13,13,15,15,22,20,23,15,12,20,18,9,5,11,7,6,8,12,6,3,3,3,4,5,5,5,4,4,3,2,2,2,2,4,5,6,5,6,7,4
3,19,11,13,12,9,21,19,18,18,19,17,19,19,21,12,17,16,14,16,16,16,13,15,16,16,18,17,19,16,17,17,17,25,28,30,30,22,26,27,26,26,23,23,22,18,19,20,21,18,17,9,10,8,13,13,13,13,11,8,7,9,10,11,14,12,14,13,12,12,8,8,10,11,10,12,13,12,12,12,12,11,11,11,11,11,11,11,11,11,11,10,8,9,11,8,9,9,7,13,8,11,13,11,19,17,17,19,16,12,12,13,15,16,15,14,21,20,16,13,19,12,14,15,11,10,8,7,13,7,3,3,4,4,5,5,6,4,4,3,2,2,2,2,2,5,6,6,5,7,4
4,18,11,13,10,9,22,20,18,19,19,15,19,20,21,17,19,16,17,15,15,14,13,15,17,15,18,21,16,18,20,14,16,28,28,30,29,24,27,26,26,25,23,23,21,18,20,20,19,18,18,8,11,8,14,13,13,13,12,11,8,8,10,12,15,12,12,13,12,12,10,8,11,10,10,12,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,10,11,9,9,9,12,11,11,9,9,19,14,18,17,20,14,11,12,13,16,13,15,17,20,21,20,12,11,14,11,6,9,9,8,7,9,7,3,3,3,4,5,5,5,4,4,3,2,2,2,2,3,5,6,5,6,6,5
5,17,11,13,10,9,22,19,19,17,19,15,19,18,21,19,19,16,15,17,14,15,13,16,17,16,17,20,18,19,16,20,21,29,28,31,29,20,26,27,26,26,23,25,21,18,19,20,21,18,18,10,10,8,13,13,13,13,12,9,8,9,10,12,12,11,12,13,12,11,9,8,10,12,10,12,13,12,12,11,12,11,11,11,11,11,11,11,11,11,11,11,8,9,8,9,8,8,10,11,8,10,13,20,18,19,17,16,16,11,13,15,16,12,15,22,23,21,16,11,17,13,12,10,13,8,8,8,11,6,3,4,3,4,5,5,5,4,4,3,2,3,2,2,3,5,6,5,5,7,4
6,18,11,13,13,9,22,19,18,18,20,15,18,19,21,13,15,15,17,15,16,16,13,15,17,15,17,18,18,16,16,21,17,28,28,30,28,21,26,26,27,26,23,23,21,18,19,20,19,18,17,8,10,8,13,13,13,13,12,13,8,9,10,12,15,14,14,13,14,12,9,8,10,10,10,12,13,12,13,11,11,11,11,11,11,11,11,11,11,11,11,11,8,9,9,9,9,8,7,12,10,10,11,20,18,23,14,14,14,10,11,11,13,14,12,24,19,20,21,12,14,13,11,7,9,8,8,6,12,6,3,5,3,4,5,5,6,4,4,3,2,3,3,2,2,5,6,5,6,7,4
7,19,12,13,11,12,22,19,18,19,19,16,18,17,21,14,20,16,14,15,16,15,14,15,16,15,17,21,16,19,15,17,20,21,28,30,29,20,26,27,27,26,23,23,21,18,20,20,19,18,18,10,11,8,14,13,13,13,11,9,7,9,10,12,12,11,12,13,12,12,8,8,10,11,10,12,13,12,13,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,9,8,10,8,10,11,12,17,14,15,19,17,26,22,11,12,13,13,15,17,22,21,23,21,15,16,22,10,12,13,8,9,8,11,6,4,4,3,4,5,5,5,4,4,3,2,2,2,2,4,5,6,6,5,7,4
8,18,11,13,12,12,21,20,17,17,19,15,19,19,21,15,19,15,17,15,14,17,13,16,16,17,18,17,18,20,16,17,17,28,28,30,29,26,27,27,26,26,23,23,21,18,18,18,19,20,17,8,10,8,13,13,13,13,12,9,8,8,10,12,14,11,12,13,13,12,8,8,11,10,10,12,13,12,12,11,12,11,11,11,11,11,11,11,11,11,11,11,8,9,8,9,10,9,9,11,9,7,9,20,14,21,18,15,24,12,11,13,15,15,14,21,14,24,21,13,13,13,17,9,10,11,8,8,12,6,3,3,3,4,5,5,5,4,4,3,2,2,2,2,4,5,6,6,6,7,4
9,19,11,13,12,9,22,19,18,19,19,15,18,19,21,18,19,15,15,16,15,14,13,15,17,15,17,18,16,16,18,20,21,27,28,30,28,25,27,27,27,26,23,23,22,18,19,20,19,18,17,10,12,9,13,13,13,13,12,13,8,8,10,12,14,11,13,13,12,11,8,9,10,11,10,12,13,13,12,11,12,11,11,11,11,11,11,11,11,11,11,11,8,8,10,9,9,8,10,14,13,8,9,20,19,14,13,14,16,11,11,14,14,15,13,20,20,22,20,13,14,15,14,11,10,7,6,8,13,6,3,3,3,4,5,5,5,4,4,3,2,2,2,2,4,5,6,6,6,7,6
