Day,Number of active users,Mean user reputation,Gini coefficient,Gini coeficient active users
0,62,15.801309487097459,0.9447940943544801,0.009179584536508446
1,74,19.42759340454408,0.9404518346853619,0.014040634393158722
2,79,21.05554300682547,0.9383022472784645,0.016306103915538505
3,82,24.879194559464036,0.9396756813005511,0.018193813934604498
4,88,26.212174546280213,0.938928416840176,0.0216162999047202
5,90,27.99274308163728,0.9375394996619881,0.022609853185639555
6,99,26.43245721149638,0.9359407215836468,0.02830264499033338
7,103,27.05747106271517,0.9345468315165614,0.03088853777560411
8,105,26.838113738761,0.9349276945572286,0.032455876025888244
9,105,26.171921892590806,0.934954534112213,0.032461662788256525
10,109,25.48308838953928,0.9313629347537415,0.03473277985543172
11,111,24.650266609462452,0.9304524864912183,0.0360986050548587
12,113,23.82059858588933,0.928372011562183,0.03721919883407412
13,120,22.847980651735433,0.9260252457231744,0.04248833262383495
14,123,22.27853583624863,0.924285578875276,0.04466701154117068
15,123,21.73812280127476,0.9242500557415526,0.044658039579265084
16,124,21.34341195407513,0.9241222752242876,0.0455532670004768
17,117,22.050258231200427,0.9244341304917232,0.03986945067024443
18,116,21.864165166164007,0.9249408361353026,0.03919021498031857
19,123,20.909329444926946,0.9223266367807776,0.04453089753401091
20,133,19.415169153024213,0.9183074966695806,0.052628238850556876
21,130,19.521206057419786,0.9170423065665031,0.04964472056877683
22,136,18.418893964610596,0.913813547029121,0.05448409845020581
23,136,17.98255937430049,0.9118373385914218,0.05415326355551357
24,134,18.189622143982984,0.9116908174690914,0.05225935156173142
25,136,17.770048578268092,0.9100483430091438,0.053770817312782465
26,143,17.3775917677375,0.9084449856930312,0.06027285643555581
27,147,16.920191877603216,0.9070649269458761,0.06400825916792624
28,149,16.56620382746828,0.9061882849107354,0.06591974398531213
29,152,16.107635450794163,0.9056848414475136,0.06900055313768907
30,149,15.924226763898616,0.9045897534728965,0.06575552091310922
31,151,15.793980014344337,0.9031052803865162,0.06748114706702708
32,161,14.78491873606054,0.8986267244855335,0.07721358556156174
33,170,13.881011717442536,0.8937466342208091,0.08640208827223526
34,176,13.297139453029404,0.8905111577220841,0.09273551652051369
35,182,13.128935371921402,0.8879709658957393,0.09950231559395514
36,184,12.951632380440893,0.8848262222466692,0.10124014064887668
37,182,13.087240259049665,0.8836607632223744,0.09874174928047419
38,182,12.875442565434513,0.884150758080229,0.09897709607604274
39,183,12.616187277594983,0.882779863396115,0.10001930220638416
40,188,12.499538557967913,0.8784226444097393,0.10506758746694639
41,192,11.91079398476389,0.8768665829152047,0.10994892343744722
42,191,11.653300221446694,0.876102172522203,0.10861235933945622
43,191,11.49049892721347,0.8728923631961105,0.10779153988196846
44,193,11.342004588791404,0.8715071327528602,0.11031154938512627
45,194,11.366193403393517,0.8723195796101303,0.11205141324487851
46,193,11.519342428011594,0.8757241417128686,0.112081205483977
47,190,11.616693780009793,0.8767061874371129,0.10866379655403037
