First_day,N_nodes,L/N,clustering,L/N_core,N_core,L/N_core_per,mean_core_dr,mean_core/per_dr
0,84,2.988095238095238,0.257698505411639,3.5384615384615383,13,1.6904761904761905,49.05137559266598,6.445260919496111
1,77,2.2467532467532467,0.19597405518458152,2.125,8,1.2857142857142858,61.87923493429781,5.9327687944733265
2,78,2.08974358974359,0.16535661668530607,2.125,8,1.2564102564102564,62.63660691702198,6.161849599029321
3,81,2.0,0.1609550784209654,2.142857142857143,7,1.1728395061728396,72.07085821310947,7.38400431997364
4,81,1.9382716049382716,0.1595138743286892,2.5,8,1.123456790123457,68.9200979636395,7.301010384305354
5,82,1.829268292682927,0.14215788155227863,2.375,8,1.024390243902439,69.61390749942697,7.5617132801913645
6,86,1.9651162790697674,0.1610473308846983,2.909090909090909,11,1.0804597701149425,60.62030815147405,7.386221212769419
7,85,2.070588235294118,0.18936755717253448,2.9,10,1.1511627906976745,65.57656961955328,7.369622636002531
8,74,2.0,0.19495961701844058,3.1818181818181817,11,1.04,60.16369844937221,6.577648202606814
9,72,2.0,0.22315245423905555,3.1,10,1.0273972602739727,64.50868242197068,7.08007614178216
10,76,1.986842105263158,0.20840258458190672,3.1,10,1.0129870129870129,65.61619705332454,7.275406277672031
11,80,1.8625,0.18379634912841744,2.888888888888889,9,1.0,72.05442329035495,8.271223778381874
12,75,2.013333333333333,0.18929821181773648,2.625,8,1.0394736842105263,75.65881574610671,7.944461708764054
13,77,2.012987012987013,0.17612822624281757,2.2857142857142856,7,1.0512820512820513,76.38721270852106,7.145770129054525
14,78,2.0128205128205128,0.15697365731302387,2.4285714285714284,7,0.9873417721518988,76.06691656261602,7.412958424396132
15,76,1.9210526315789473,0.15026612830605574,2.4285714285714284,7,0.922077922077922,72.64925939406271,7.340032319196963
16,73,1.8082191780821917,0.14500327171560046,2.125,8,0.9054054054054054,61.35290995847266,5.995138599689833
17,75,1.6933333333333334,0.12243791956835436,0.6666666666666666,3,0.6447368421052632,114.51035386112538,10.027013146800382
18,72,1.75,0.16495646918441037,0.6666666666666666,3,0.7222222222222222,117.05910914257917,10.714102452995686
19,72,1.5833333333333333,0.1530107084273751,0.6666666666666666,3,0.6805555555555556,113.73095098919815,10.999711128315669
20,68,1.6176470588235294,0.18632478632478633,0.6666666666666666,3,0.7647058823529411,118.21601001440223,10.860139623248035
21,60,1.65,0.21486959095654748,1.0,4,0.8666666666666667,91.3925565641803,7.8615017339281215
22,58,1.5689655172413792,0.1416455192317261,1.0,4,0.7586206896551724,88.88234361117848,8.038942430648609
23,67,1.537313432835821,0.07555138744778779,0.6666666666666666,3,0.6268656716417911,116.80769421329198,11.72944227734831
24,71,1.5774647887323943,0.07352806836956316,0.75,4,0.7323943661971831,95.69535995917352,10.501441222113526
25,76,1.6973684210526316,0.07658979985849791,1.0,4,0.7894736842105263,98.57398735916533,10.764678857370628
26,76,1.6973684210526316,0.09698883455277317,1.25,4,0.8157894736842105,100.52777044853416,11.195807222863255
27,74,1.6891891891891893,0.09855507723154783,1.25,4,0.8108108108108109,98.2116770150139,11.184639848821261
28,74,1.635135135135135,0.10345692330986449,1.0,3,0.6621621621621622,99.20375111334245,10.379708710246245
29,74,1.635135135135135,0.10366710695658064,1.0,3,0.6756756756756757,96.26871828860362,10.56101714797402
30,75,1.6533333333333333,0.09280757449178502,1.0,3,0.6533333333333333,95.76615823108465,11.11351151228058
31,79,1.6962025316455696,0.08766691151767768,1.625,8,0.9367088607594937,56.389884260252046,8.28509654076199
32,74,1.662162162162162,0.10035028564440328,1.5,8,0.9594594594594594,53.91679989982762,7.935517932133614
33,71,1.5352112676056338,0.10547103637410182,1.7,10,0.9577464788732394,44.61422708036711,6.314582055991411
34,59,1.7457627118644068,0.12496712327220802,1.875,8,0.9322033898305084,46.01487515607392,4.668361428713503
35,59,1.576271186440678,0.0812187812187812,1.1818181818181819,11,1.11864406779661,40.523784288364695,4.96262392647092
36,58,1.6206896551724137,0.09184627632903493,0.7142857142857143,7,1.0344827586206897,38.66452859460869,3.5162098439729936
37,56,1.5892857142857142,0.07191459334316476,0.75,8,1.0178571428571428,33.79672969430536,2.932843723442638
38,58,1.6896551724137931,0.07975941682838232,0.75,8,1.0517241379310345,34.20489817338912,2.976463128510679
39,65,1.7076923076923076,0.10844449667979078,0.75,4,0.7230769230769231,60.325017343395174,5.48535925343078
40,64,1.859375,0.156224783075112,1.0,3,0.671875,77.06163764990957,6.225653814950381
41,63,1.8095238095238095,0.19218350108074417,0.5,2,0.6031746031746031,101.38809102001055,7.77477538537638
42,69,1.8115942028985508,0.1868167344139884,0.5,2,0.5797101449275363,101.87175834032014,8.396530588242385
43,69,1.8840579710144927,0.18386858476372542,0.6666666666666666,3,0.7391304347826086,87.56814951713586,7.508511105966565
44,65,1.8461538461538463,0.17200387847446674,0.6666666666666666,3,0.7692307692307693,91.89367323580124,7.573089906991382
45,64,1.78125,0.1692567757534863,0.6666666666666666,3,0.6875,86.29270823747088,7.286170342480785
46,65,1.7538461538461538,0.1570057293134216,0.6666666666666666,3,0.6923076923076923,84.35134262902642,7.157684821338047
47,65,1.8,0.16052138540629587,0.6666666666666666,3,0.7384615384615385,86.16683880889626,7.349367797929894
48,64,1.8125,0.15529418954583427,1.1666666666666667,6,1.0,52.7128648933789,4.530526349449791
49,57,1.9824561403508771,0.16283478499544984,1.0,5,1.0350877192982457,59.04230259864825,4.71199792179739
50,51,1.9215686274509804,0.18711614542064373,1.4,5,0.9803921568627451,62.725721933407804,5.058287097379845
51,50,1.84,0.13265229215229216,1.6,5,0.92,63.178089277296955,5.163443416755534
52,56,1.75,0.15275681951102119,1.8333333333333333,6,0.8928571428571429,54.10178301992058,4.537329728891525
53,59,1.6440677966101696,0.11600038379699397,2.0,6,0.7966101694915254,55.170564963680754,4.964577598699476
54,63,1.5238095238095237,0.08584942394466204,2.375,8,0.7142857142857143,45.75729699279161,4.491067045728476
55,63,1.5238095238095237,0.09320644082548843,2.2222222222222223,9,0.7936507936507936,41.387436903536766,4.2380106132334285
56,59,1.5084745762711864,0.09666153055983565,2.1,10,0.8813559322033898,38.456412051481536,4.03937393109809
57,53,1.490566037735849,0.09848715226073715,2.0,9,0.8490566037735849,39.47168573617134,4.142263926178814
58,49,1.4081632653061225,0.11238625320257974,0.8,5,0.8163265306122449,26.92025461129007,2.0877155338977373
59,53,1.3584905660377358,0.06520460671404067,1.7142857142857142,7,0.7169811320754716,46.1788511086982,5.114612177604705
60,54,1.3518518518518519,0.07092886537330982,1.25,4,0.7222222222222222,69.24196004595731,7.274051874417746
61,57,1.280701754385965,0.09839225102382997,1.25,4,0.6666666666666666,76.70323717279466,8.503826306577745
62,47,1.1914893617021276,0.08776152925089095,1.0,4,0.7021276595744681,78.30773418164439,8.644088823113826
