First_day,N_nodes,L/N,clustering,L/N_core,N_core,L/N_core_per,mean_core_dr,mean_core/per_dr
0,55,2.709090909090909,0.212009659665162,3.066666666666667,15,1.6,43.53010316288476,7.328214277748552
1,43,2.3255813953488373,0.1706669945042038,2.9375,16,1.186046511627907,39.875234440814864,6.332495584624371
2,38,2.1052631578947367,0.16119085592769802,2.466666666666667,15,1.105263157894737,40.30610574321951,5.9841905100189425
3,38,1.605263157894737,0.10353915090757196,1.7272727272727273,11,0.9210526315789473,41.377171433587684,3.7655617554150242
4,36,1.7222222222222223,0.13089626422959758,1.8571428571428572,14,1.0,32.05389944788885,2.329296102081388
5,43,1.7674418604651163,0.11541159099298633,1.9,10,0.9534883720930233,38.90207571632942,2.860504989623365
6,42,1.8095238095238095,0.11558956916099775,1.7777777777777777,9,1.0238095238095237,39.532280676608764,2.913169821674837
7,46,1.6304347826086956,0.09403036576949622,2.0,8,0.8913043478260869,43.132097278959705,3.3580889390835615
8,43,1.5348837209302326,0.05662606127722406,1.4285714285714286,7,0.813953488372093,41.43386149039651,3.168022572074815
9,43,1.5116279069767442,0.05906238464377999,1.3333333333333333,6,0.7441860465116279,40.149011739490696,2.9417699933753756
10,42,1.5,0.07324263038548752,2.0,9,0.5714285714285714,36.08727859886445,3.032903452365576
11,46,1.565217391304348,0.0892512077294686,1.8333333333333333,6,0.6521739130434783,43.64058953098989,3.2453115277004785
12,49,1.6938775510204083,0.10299643666990606,2.0,6,0.7551020408163265,47.6368772798187,3.753735075821485
13,48,1.7291666666666667,0.1315455377955378,2.0,6,0.7916666666666666,48.258356592656014,3.6844765848324657
14,48,1.7083333333333333,0.15819111444111442,2.375,8,0.8125,53.353891403649854,4.732005726401201
15,49,1.4285714285714286,0.10157608831078217,0.6666666666666666,3,0.5714285714285714,63.41406873896816,4.316422865424172
16,47,1.425531914893617,0.09640973683526873,0.5,2,0.44680851063829785,71.5707954632929,4.7567825316341565
17,44,1.3181818181818181,0.08229863570772661,1.75,8,0.6363636363636364,44.63284784180881,3.815147892094688
18,43,1.3953488372093024,0.08675962280613443,1.75,8,0.7209302325581395,44.51223057282554,4.03334059486985
19,46,1.4130434782608696,0.11083035322165757,1.625,8,0.8043478260869565,45.14664552191465,4.1891243647540275
20,48,1.6041666666666667,0.13162127224627226,1.7777777777777777,9,0.9791666666666666,47.88782976139327,4.908005882084913
21,49,1.510204081632653,0.10940159613629002,1.6666666666666667,9,0.8979591836734694,50.351933833016396,5.981762625241643
22,43,1.4651162790697674,0.08925802879291252,1.0,4,0.6511627906976745,53.53030695243698,3.856924988763596
23,44,1.2954545454545454,0.1378902662993572,0.3333333333333333,3,0.6136363636363636,55.12186799432262,3.8888799464852326
24,47,1.297872340425532,0.10499831138129011,0.3333333333333333,3,0.5319148936170213,55.34129413366539,3.790516905647053
25,48,1.3333333333333333,0.12864357864357864,1.0,4,0.5625,53.97860417698283,3.890808140788503
26,48,1.3333333333333333,0.1656700937950938,0.6666666666666666,3,0.4583333333333333,49.82701741394681,3.396234872741822
27,47,1.446808510638298,0.20241248113588542,1.6,5,0.6382978723404256,47.854585883902175,3.565703352643309
28,49,1.3877551020408163,0.19353526292301804,1.6,5,0.6122448979591837,54.08537008366985,4.220930885006609
29,48,1.375,0.14848554223554225,1.0,3,0.5625,57.89371706988371,4.114846049072641
30,46,1.326086956521739,0.2439813809379027,1.0,3,0.6086956521739131,60.235470928350914,4.229269445291537
31,42,1.4285714285714286,0.1593653700796558,1.0,3,0.6190476190476191,58.662143824958015,4.104338604195693
32,43,1.3953488372093024,0.1791592128801431,1.6,5,0.6511627906976745,56.756847134911865,4.697550218925569
33,48,1.4166666666666667,0.1765873015873016,1.4285714285714286,7,0.7708333333333334,49.28229981458565,4.806617161621189
34,48,1.3333333333333333,0.2040379759129759,1.1666666666666667,6,0.8333333333333334,49.6977290606474,4.57040749461068
35,43,1.3953488372093024,0.2121816168327796,1.0,4,0.9069767441860465,58.624454438630295,4.753041216719128
36,40,1.475,0.22809523809523807,1.0,4,0.95,56.88722435534915,4.325343463172361
37,43,1.3953488372093024,0.19333986427009683,1.0,4,0.9069767441860465,55.13514352102772,4.498155435412863
38,36,1.4166666666666667,0.18225308641975307,0.6666666666666666,3,0.8611111111111112,58.8658084730586,4.683953308652312
39,38,1.368421052631579,0.16059941520467838,0.6666666666666666,3,0.8157894736842105,58.11057723194994,5.142959370917174
