t0,popular_nodes,popular_edges,popular_lpn,casual_nodes,casual_edges,casual_lpn,mix_lpn
0,26,120,4.615384615384615,107,70,0.6542056074766355,1.4511278195488722
1,24,98,4.083333333333333,106,63,0.5943396226415094,1.323076923076923
2,21,72,3.4285714285714284,105,71,0.6761904761904762,1.246031746031746
3,24,80,3.3333333333333335,102,58,0.5686274509803921,1.1984126984126984
4,24,79,3.2916666666666665,100,51,0.51,1.2016129032258065
5,22,62,2.8181818181818183,103,59,0.5728155339805825,1.296
6,23,70,3.0434782608695654,104,58,0.5576923076923077,1.2755905511811023
7,23,68,2.9565217391304346,105,62,0.5904761904761905,1.1953125
8,19,52,2.736842105263158,107,73,0.6822429906542056,1.1507936507936507
9,19,51,2.6842105263157894,102,64,0.6274509803921569,1.1818181818181819
10,20,57,2.85,102,63,0.6176470588235294,1.1967213114754098
11,20,55,2.75,99,59,0.5959595959595959,1.1680672268907564
12,20,57,2.85,101,59,0.5841584158415841,1.1818181818181819
13,18,50,2.7777777777777777,101,64,0.6336633663366337,1.0672268907563025
14,18,52,2.888888888888889,104,65,0.625,1.0491803278688525
15,18,52,2.888888888888889,99,66,0.6666666666666666,1.0854700854700854
16,16,45,2.8125,101,68,0.6732673267326733,1.0427350427350428
17,15,42,2.8,95,64,0.6736842105263158,1.0454545454545454
18,15,43,2.8666666666666667,96,61,0.6354166666666666,1.027027027027027
19,16,44,2.75,95,53,0.5578947368421052,1.0810810810810811
20,16,45,2.8125,94,53,0.5638297872340425,1.1
21,15,42,2.8,93,53,0.5698924731182796,1.0740740740740742
22,15,42,2.8,87,41,0.47126436781609193,1.0784313725490196
23,15,42,2.8,82,40,0.4878048780487805,1.0309278350515463
24,15,42,2.8,81,40,0.49382716049382713,1.0104166666666667
25,14,38,2.7142857142857144,80,39,0.4875,1.074468085106383
26,14,38,2.7142857142857144,81,41,0.5061728395061729,1.0947368421052632
27,15,41,2.7333333333333334,81,42,0.5185185185185185,1.0729166666666667
28,15,41,2.7333333333333334,82,43,0.524390243902439,1.0618556701030928
29,18,43,2.388888888888889,79,36,0.45569620253164556,1.0103092783505154
30,15,35,2.3333333333333335,81,41,0.5061728395061729,1.0104166666666667
31,15,35,2.3333333333333335,83,45,0.5421686746987951,1.010204081632653
32,16,37,2.3125,85,46,0.5411764705882353,1.0198019801980198
33,15,37,2.466666666666667,84,47,0.5595238095238095,0.9797979797979798
34,17,39,2.2941176470588234,84,42,0.5,0.9702970297029703
35,17,36,2.1176470588235294,82,40,0.4878048780487805,0.9292929292929293
36,17,28,1.6470588235294117,78,42,0.5384615384615384,0.8947368421052632
37,17,28,1.6470588235294117,74,37,0.5,0.9010989010989011
38,17,27,1.588235294117647,73,37,0.5068493150684932,0.9555555555555556
39,15,25,1.6666666666666667,74,42,0.5675675675675675,0.9101123595505618
40,14,20,1.4285714285714286,69,43,0.6231884057971014,0.8674698795180723
41,14,20,1.4285714285714286,69,41,0.5942028985507246,0.891566265060241
42,14,19,1.3571428571428572,65,39,0.6,0.8734177215189873
43,13,14,1.0769230769230769,67,40,0.5970149253731343,0.9125
44,14,18,1.2857142857142858,67,35,0.5223880597014925,0.9012345679012346
45,14,19,1.3571428571428572,64,34,0.53125,0.8333333333333334
46,12,16,1.3333333333333333,71,46,0.647887323943662,0.7951807228915663
47,12,15,1.25,71,47,0.6619718309859155,0.8192771084337349
48,13,16,1.2307692307692308,70,46,0.6571428571428571,0.8072289156626506
49,14,19,1.3571428571428572,69,40,0.5797101449275363,0.8072289156626506
50,14,16,1.1428571428571428,69,40,0.5797101449275363,0.8072289156626506
51,14,17,1.2142857142857142,66,41,0.6212121212121212,0.7625
52,13,16,1.2307692307692308,66,42,0.6363636363636364,0.7341772151898734
53,12,14,1.1666666666666667,69,45,0.6521739130434783,0.7283950617283951
54,14,19,1.3571428571428572,68,40,0.5882352941176471,0.7439024390243902
55,10,10,1.0,71,55,0.7746478873239436,0.6790123456790124
56,11,10,0.9090909090909091,67,51,0.7611940298507462,0.7051282051282052
57,10,11,1.1,68,54,0.7941176470588235,0.6153846153846154
58,10,11,1.1,67,54,0.8059701492537313,0.6233766233766234
59,10,12,1.2,64,51,0.796875,0.6756756756756757
60,10,10,1.0,63,51,0.8095238095238095,0.684931506849315
61,10,10,1.0,64,50,0.78125,0.6891891891891891
62,10,10,1.0,60,45,0.75,0.6571428571428571
63,10,10,1.0,59,43,0.7288135593220338,0.6521739130434783
64,10,12,1.2,58,44,0.7586206896551724,0.5735294117647058
65,10,12,1.2,57,42,0.7368421052631579,0.5522388059701493
66,11,13,1.1818181818181819,54,36,0.6666666666666666,0.6461538461538462
67,11,13,1.1818181818181819,54,36,0.6666666666666666,0.6461538461538462
68,7,10,1.4285714285714286,55,50,0.9090909090909091,0.3870967741935484
69,7,10,1.4285714285714286,55,50,0.9090909090909091,0.43548387096774194
70,8,11,1.375,54,45,0.8333333333333334,0.5483870967741935
71,8,11,1.375,53,42,0.7924528301886793,0.6065573770491803
72,8,11,1.375,52,42,0.8076923076923077,0.6
73,8,11,1.375,53,42,0.7924528301886793,0.5901639344262295
74,12,18,1.5,50,30,0.6,0.6774193548387096
75,12,18,1.5,51,30,0.5882352941176471,0.6984126984126984
76,12,17,1.4166666666666667,52,24,0.46153846153846156,0.6875
77,11,15,1.3636363636363635,52,28,0.5384615384615384,0.6190476190476191
78,10,14,1.4,53,27,0.5094339622641509,0.6031746031746031
79,10,14,1.4,55,27,0.4909090909090909,0.6
80,11,16,1.4545454545454546,59,29,0.4915254237288136,0.5571428571428572
81,11,15,1.3636363636363635,57,28,0.49122807017543857,0.5588235294117647
82,10,13,1.3,57,30,0.5263157894736842,0.5373134328358209
83,9,11,1.2222222222222223,59,34,0.576271186440678,0.5147058823529411
84,9,11,1.2222222222222223,58,33,0.5689655172413793,0.47761194029850745
85,9,11,1.2222222222222223,56,31,0.5535714285714286,0.49230769230769234
86,9,10,1.1111111111111112,60,32,0.5333333333333333,0.463768115942029
87,7,6,0.8571428571428571,61,32,0.5245901639344263,0.4852941176470588
88,7,6,0.8571428571428571,61,32,0.5245901639344263,0.4852941176470588
89,7,6,0.8571428571428571,61,32,0.5245901639344263,0.5
90,10,14,1.4,58,25,0.43103448275862066,0.5294117647058824
91,9,12,1.3333333333333333,58,26,0.4482758620689655,0.4925373134328358
92,9,12,1.3333333333333333,60,28,0.4666666666666667,0.4927536231884058
93,9,12,1.3333333333333333,60,28,0.4666666666666667,0.5072463768115942
94,10,12,1.2,59,26,0.4406779661016949,0.5507246376811594
95,10,12,1.2,59,26,0.4406779661016949,0.5507246376811594
96,11,13,1.1818181818181819,57,24,0.42105263157894735,0.5735294117647058
97,11,13,1.1818181818181819,57,24,0.42105263157894735,0.5735294117647058
98,11,11,1.0,60,29,0.48333333333333334,0.5352112676056338
99,11,11,1.0,60,29,0.48333333333333334,0.5211267605633803
100,10,10,1.0,59,31,0.5254237288135594,0.4927536231884058
101,9,12,1.3333333333333333,56,37,0.6607142857142857,0.4
102,9,12,1.3333333333333333,57,37,0.6491228070175439,0.4090909090909091
103,10,13,1.3,56,35,0.625,0.42424242424242425
104,10,13,1.3,52,31,0.5961538461538461,0.45161290322580644
105,10,11,1.1,50,30,0.6,0.4666666666666667
106,10,11,1.1,48,27,0.5625,0.5
107,10,11,1.1,47,26,0.5531914893617021,0.5087719298245614
108,10,11,1.1,49,27,0.5510204081632653,0.4915254237288136
109,10,11,1.1,47,27,0.574468085106383,0.47368421052631576
110,10,11,1.1,44,25,0.5681818181818182,0.46296296296296297
111,10,11,1.1,46,26,0.5652173913043478,0.5
112,10,12,1.2,47,26,0.5531914893617021,0.5263157894736842
113,9,11,1.2222222222222223,45,28,0.6222222222222222,0.5185185185185185
114,10,14,1.4,44,27,0.6136363636363636,0.5185185185185185
115,10,14,1.4,46,27,0.5869565217391305,0.5714285714285714
116,10,14,1.4,47,27,0.574468085106383,0.5789473684210527
117,10,14,1.4,48,27,0.5625,0.6206896551724138
118,7,9,1.2857142857142858,53,36,0.6792452830188679,0.65
119,6,6,1.0,53,35,0.660377358490566,0.6779661016949152
120,10,15,1.5,49,26,0.5306122448979592,0.6271186440677966
121,6,6,1.0,46,31,0.6739130434782609,0.7115384615384616
122,6,6,1.0,48,31,0.6458333333333334,0.6851851851851852
123,10,15,1.5,43,23,0.5348837209302325,0.7358490566037735
124,10,15,1.5,42,22,0.5238095238095238,0.75
125,10,15,1.5,42,22,0.5238095238095238,0.8076923076923077
126,10,15,1.5,44,23,0.5227272727272727,0.8333333333333334
127,7,9,1.2857142857142858,50,36,0.72,0.8070175438596491
128,11,17,1.5454545454545454,47,21,0.44680851063829785,0.8793103448275862
129,11,18,1.6363636363636365,49,22,0.4489795918367347,0.8166666666666667
130,12,21,1.75,51,21,0.4117647058823529,0.8095238095238095
131,12,20,1.6666666666666667,57,25,0.43859649122807015,0.7391304347826086
132,12,20,1.6666666666666667,58,25,0.43103448275862066,0.7285714285714285
133,13,24,1.8461538461538463,55,24,0.43636363636363634,0.7205882352941176
134,13,24,1.8461538461538463,57,25,0.43859649122807015,0.7142857142857143
135,13,24,1.8461538461538463,59,27,0.4576271186440678,0.6944444444444444
136,14,27,1.9285714285714286,64,25,0.390625,0.7307692307692307
137,12,23,1.9166666666666667,68,28,0.4117647058823529,0.7625
138,15,29,1.9333333333333333,67,26,0.3880597014925373,0.7073170731707317
139,15,30,2.0,69,27,0.391304347826087,0.7261904761904762
140,15,30,2.0,74,31,0.4189189189189189,0.7078651685393258
141,15,33,2.2,74,32,0.43243243243243246,0.7415730337078652
142,15,33,2.2,76,33,0.4342105263157895,0.6923076923076923
143,15,33,2.2,75,35,0.4666666666666667,0.7
144,16,33,2.0625,78,39,0.5,0.7021276595744681
145,15,31,2.066666666666667,78,41,0.5256410256410257,0.6989247311827957
146,16,31,1.9375,77,37,0.4805194805194805,0.7096774193548387
147,12,22,1.8333333333333333,81,54,0.6666666666666666,0.6666666666666666
148,12,23,1.9166666666666667,79,51,0.6455696202531646,0.6593406593406593
149,12,23,1.9166666666666667,79,50,0.6329113924050633,0.6813186813186813
