t0,popular_nodes,popular_edges,popular_lpn,casual_nodes,casual_edges,casual_lpn,mix_lpn
0,22,66,3.0,94,58,0.6170212765957447,1.3706896551724137
1,22,64,2.909090909090909,94,56,0.5957446808510638,1.353448275862069
2,22,63,2.8636363636363638,92,64,0.6956521739130435,1.4035087719298245
3,18,52,2.888888888888889,95,91,0.9578947368421052,1.3097345132743363
4,18,56,3.111111111111111,98,101,1.030612244897959,1.353448275862069
5,18,56,3.111111111111111,104,103,0.9903846153846154,1.3114754098360655
6,18,61,3.388888888888889,101,103,1.0198019801980198,1.226890756302521
7,22,74,3.3636363636363638,98,73,0.7448979591836735,1.3583333333333334
8,22,76,3.4545454545454546,99,71,0.7171717171717171,1.3140495867768596
9,23,83,3.608695652173913,100,70,0.7,1.2682926829268293
10,21,70,3.3333333333333335,103,78,0.7572815533980582,1.2903225806451613
11,22,76,3.4545454545454546,106,79,0.7452830188679245,1.25
12,23,82,3.5652173913043477,108,76,0.7037037037037037,1.2442748091603053
13,23,81,3.5217391304347827,108,78,0.7222222222222222,1.282442748091603
14,23,81,3.5217391304347827,109,78,0.7155963302752294,1.2803030303030303
15,23,81,3.5217391304347827,108,79,0.7314814814814815,1.3053435114503817
16,24,84,3.5,109,78,0.7155963302752294,1.3157894736842106
17,25,87,3.48,108,75,0.6944444444444444,1.300751879699248
18,21,73,3.4761904761904763,113,97,0.8584070796460177,1.2388059701492538
19,25,84,3.36,111,81,0.7297297297297297,1.3161764705882353
20,26,87,3.3461538461538463,113,79,0.6991150442477876,1.3453237410071943
21,26,86,3.3076923076923075,112,70,0.625,1.355072463768116
22,25,79,3.16,109,72,0.6605504587155964,1.328358208955224
23,24,74,3.0833333333333335,109,71,0.6513761467889908,1.3458646616541354
24,24,75,3.125,110,68,0.6181818181818182,1.3059701492537314
25,24,75,3.125,110,63,0.5727272727272728,1.2835820895522387
26,23,72,3.130434782608696,108,72,0.6666666666666666,1.2290076335877862
27,20,56,2.8,106,76,0.7169811320754716,1.2142857142857142
28,19,49,2.5789473684210527,103,80,0.7766990291262136,1.2540983606557377
29,21,56,2.6666666666666665,98,62,0.6326530612244898,1.2941176470588236
30,22,59,2.6818181818181817,95,56,0.5894736842105263,1.2735042735042734
31,19,53,2.789473684210526,98,70,0.7142857142857143,1.1452991452991452
32,21,58,2.761904761904762,95,63,0.6631578947368421,1.0517241379310345
33,21,58,2.761904761904762,96,62,0.6458333333333334,1.0341880341880343
34,22,59,2.6818181818181817,88,51,0.5795454545454546,0.990909090909091
35,20,53,2.65,83,48,0.5783132530120482,1.029126213592233
36,20,57,2.85,82,45,0.5487804878048781,1.0
37,17,44,2.588235294117647,82,53,0.6463414634146342,1.0
38,19,49,2.5789473684210527,79,50,0.6329113924050633,0.9489795918367347
39,18,46,2.5555555555555554,78,50,0.6410256410256411,0.9479166666666666
40,17,43,2.5294117647058822,79,53,0.6708860759493671,0.9166666666666666
41,18,46,2.5555555555555554,75,46,0.6133333333333333,1.0
42,17,42,2.4705882352941178,76,49,0.6447368421052632,1.021505376344086
43,18,43,2.388888888888889,73,40,0.547945205479452,1.1428571428571428
44,16,38,2.375,75,51,0.68,1.054945054945055
45,16,38,2.375,74,52,0.7027027027027027,1.0
46,18,43,2.388888888888889,75,46,0.6133333333333333,0.967741935483871
47,18,44,2.4444444444444446,77,47,0.6103896103896104,0.9894736842105263
48,19,45,2.3684210526315788,79,43,0.5443037974683544,1.030612244897959
49,18,38,2.111111111111111,84,47,0.5595238095238095,1.0
50,19,41,2.1578947368421053,82,42,0.5121951219512195,1.00990099009901
51,18,40,2.2222222222222223,86,44,0.5116279069767442,1.0
52,20,45,2.25,85,39,0.4588235294117647,0.9333333333333333
53,19,39,2.0526315789473686,86,44,0.5116279069767442,0.9619047619047619
54,19,41,2.1578947368421053,85,47,0.5529411764705883,0.9134615384615384
55,17,39,2.2941176470588234,83,52,0.6265060240963856,0.89
56,17,37,2.176470588235294,81,54,0.6666666666666666,0.8571428571428571
57,17,34,2.0,82,55,0.6707317073170732,0.8787878787878788
58,16,32,2.0,82,53,0.6463414634146342,0.8877551020408163
59,18,36,2.0,82,49,0.5975609756097561,0.9
60,18,36,2.0,82,52,0.6341463414634146,0.9
61,17,33,1.9411764705882353,84,57,0.6785714285714286,0.9702970297029703
62,16,34,2.125,85,61,0.7176470588235294,0.9306930693069307
63,14,27,1.9285714285714286,88,64,0.7272727272727273,0.9019607843137255
64,13,25,1.9230769230769231,88,69,0.7840909090909091,0.8811881188118812
65,12,23,1.9166666666666667,89,70,0.7865168539325843,0.9108910891089109
66,20,38,1.9,83,45,0.5421686746987951,0.9514563106796117
67,19,35,1.8421052631578947,85,47,0.5529411764705883,0.9519230769230769
68,18,33,1.8333333333333333,86,48,0.5581395348837209,0.9423076923076923
69,18,32,1.7777777777777777,84,46,0.5476190476190477,0.9411764705882353
70,19,36,1.894736842105263,85,41,0.4823529411764706,0.9423076923076923
71,18,32,1.7777777777777777,86,38,0.4418604651162791,0.9038461538461539
72,17,28,1.6470588235294117,84,34,0.40476190476190477,0.8910891089108911
73,17,30,1.7647058823529411,84,35,0.4166666666666667,0.8316831683168316
74,16,28,1.75,88,40,0.45454545454545453,0.8076923076923077
75,16,28,1.75,84,38,0.4523809523809524,0.83
76,16,28,1.75,81,38,0.4691358024691358,0.8556701030927835
77,16,29,1.8125,81,37,0.4567901234567901,0.8865979381443299
78,14,24,1.7142857142857142,83,41,0.4939759036144578,0.865979381443299
79,14,25,1.7857142857142858,76,40,0.5263157894736842,0.8333333333333334
80,15,27,1.8,75,43,0.5733333333333334,0.7555555555555555
81,15,27,1.8,71,38,0.5352112676056338,0.7674418604651163
82,15,27,1.8,71,38,0.5352112676056338,0.7325581395348837
83,14,27,1.9285714285714286,71,39,0.5492957746478874,0.7058823529411765
84,14,26,1.8571428571428572,74,39,0.527027027027027,0.7045454545454546
85,15,29,1.9333333333333333,73,35,0.4794520547945205,0.7386363636363636
86,15,29,1.9333333333333333,70,34,0.4857142857142857,0.7294117647058823
87,15,28,1.8666666666666667,69,34,0.4927536231884058,0.7023809523809523
88,15,28,1.8666666666666667,68,34,0.5,0.6867469879518072
89,15,31,2.066666666666667,63,32,0.5079365079365079,0.6923076923076923
90,12,24,2.0,66,38,0.5757575757575758,0.7051282051282052
91,13,21,1.6153846153846154,61,32,0.5245901639344263,0.7837837837837838
92,15,23,1.5333333333333334,62,25,0.4032258064516129,0.8311688311688312
93,11,18,1.6363636363636365,65,30,0.46153846153846156,0.8421052631578947
94,11,18,1.6363636363636365,67,31,0.4626865671641791,0.8333333333333334
95,11,18,1.6363636363636365,68,32,0.47058823529411764,0.8227848101265823
96,12,20,1.6666666666666667,66,28,0.42424242424242425,0.8846153846153846
97,15,28,1.8666666666666667,64,24,0.375,0.8607594936708861
98,15,28,1.8666666666666667,68,26,0.38235294117647056,0.8674698795180723
99,15,28,1.8666666666666667,69,29,0.42028985507246375,0.8452380952380952
100,16,30,1.875,70,30,0.42857142857142855,0.813953488372093
101,11,13,1.1818181818181819,73,42,0.5753424657534246,0.9523809523809523
102,12,15,1.25,73,40,0.547945205479452,0.9647058823529412
103,16,28,1.75,71,35,0.49295774647887325,0.8275862068965517
104,17,30,1.7647058823529411,73,35,0.4794520547945205,0.8666666666666667
105,16,26,1.625,76,40,0.5263157894736842,0.8586956521739131
106,16,26,1.625,75,38,0.5066666666666667,0.8241758241758241
107,16,25,1.5625,73,36,0.4931506849315068,0.797752808988764
108,16,25,1.5625,75,36,0.48,0.7802197802197802
109,17,29,1.7058823529411764,76,34,0.4473684210526316,0.7956989247311828
110,16,27,1.6875,72,33,0.4583333333333333,0.8295454545454546
111,16,26,1.625,73,33,0.4520547945205479,0.8426966292134831
112,16,25,1.5625,73,33,0.4520547945205479,0.8539325842696629
113,11,15,1.3636363636363635,78,49,0.6282051282051282,0.8314606741573034
114,12,16,1.3333333333333333,72,43,0.5972222222222222,0.8809523809523809
115,12,17,1.4166666666666667,69,41,0.5942028985507246,0.8641975308641975
116,11,16,1.4545454545454546,71,47,0.6619718309859155,0.8048780487804879
117,11,16,1.4545454545454546,70,48,0.6857142857142857,0.8271604938271605
118,12,17,1.4166666666666667,70,47,0.6714285714285714,0.8170731707317073
119,16,21,1.3125,66,34,0.5151515151515151,0.9146341463414634
120,14,17,1.2142857142857142,65,39,0.6,0.8860759493670886
121,14,17,1.2142857142857142,63,37,0.5873015873015873,0.8831168831168831
122,14,15,1.0714285714285714,63,37,0.5873015873015873,0.8311688311688312
123,15,17,1.1333333333333333,62,37,0.5967741935483871,0.7792207792207793
124,12,11,0.9166666666666666,63,42,0.6666666666666666,0.8133333333333334
125,12,11,0.9166666666666666,62,42,0.6774193548387096,0.8378378378378378
126,13,13,1.0,63,39,0.6190476190476191,0.8421052631578947
127,14,15,1.0714285714285714,60,33,0.55,0.9459459459459459
128,13,14,1.0769230769230769,58,31,0.5344827586206896,0.971830985915493
129,13,14,1.0769230769230769,57,33,0.5789473684210527,0.9285714285714286
130,13,13,1.0,56,32,0.5714285714285714,0.9130434782608695
131,13,13,1.0,54,27,0.5,0.9253731343283582
132,13,13,1.0,56,28,0.5,0.9130434782608695
133,10,9,0.9,60,42,0.7,0.7714285714285715
134,13,11,0.8461538461538461,54,26,0.48148148148148145,0.8955223880597015
135,13,11,0.8461538461538461,56,27,0.48214285714285715,0.855072463768116
136,13,11,0.8461538461538461,56,28,0.5,0.8695652173913043
137,12,11,0.9166666666666666,59,33,0.559322033898305,0.8591549295774648
138,12,12,1.0,59,35,0.5932203389830508,0.8591549295774648
139,10,10,1.0,55,38,0.6909090909090909,0.7846153846153846
140,9,9,1.0,60,45,0.75,0.7246376811594203
141,9,9,1.0,63,47,0.746031746031746,0.6944444444444444
142,9,10,1.1111111111111112,65,47,0.7230769230769231,0.7162162162162162
143,14,18,1.2857142857142858,59,34,0.576271186440678,0.7945205479452054
144,14,19,1.3571428571428572,60,32,0.5333333333333333,0.7972972972972973
145,14,19,1.3571428571428572,60,33,0.55,0.7702702702702703
146,9,13,1.4444444444444444,65,47,0.7230769230769231,0.6756756756756757
147,13,18,1.3846153846153846,61,32,0.5245901639344263,0.8243243243243243
148,12,18,1.5,63,36,0.5714285714285714,0.7466666666666667
149,10,16,1.6,65,39,0.6,0.72
