t0,popular_nodes,popular_edges,popular_lpn,casual_nodes,casual_edges,casual_lpn,mix_lpn
0,24,128,5.333333333333333,116,81,0.6982758620689655,1.8642857142857143
1,23,107,4.6521739130434785,107,66,0.616822429906542,1.5923076923076922
2,25,113,4.52,112,52,0.4642857142857143,1.510948905109489
3,26,115,4.423076923076923,123,64,0.5203252032520326,1.4026845637583893
4,30,125,4.166666666666667,127,58,0.4566929133858268,1.3694267515923566
5,30,119,3.966666666666667,132,58,0.4393939393939394,1.376543209876543
6,30,120,4.0,135,59,0.43703703703703706,1.3696969696969696
7,29,111,3.8275862068965516,137,61,0.44525547445255476,1.4036144578313252
8,27,102,3.7777777777777777,130,58,0.4461538461538462,1.3439490445859872
9,27,100,3.7037037037037037,126,54,0.42857142857142855,1.3333333333333333
10,27,98,3.6296296296296298,128,56,0.4375,1.3612903225806452
11,28,108,3.857142857142857,124,53,0.4274193548387097,1.3026315789473684
12,27,103,3.814814814814815,117,52,0.4444444444444444,1.3263888888888888
13,26,97,3.730769230769231,117,53,0.452991452991453,1.3776223776223777
14,28,101,3.607142857142857,117,54,0.46153846153846156,1.3655172413793104
15,27,98,3.6296296296296298,118,58,0.4915254237288136,1.3448275862068966
16,27,89,3.2962962962962963,116,52,0.4482758620689655,1.4055944055944056
17,25,76,3.04,116,57,0.49137931034482757,1.3829787234042554
18,26,77,2.9615384615384617,117,52,0.4444444444444444,1.4125874125874125
19,24,73,3.0416666666666665,123,59,0.4796747967479675,1.346938775510204
20,23,74,3.217391304347826,121,63,0.5206611570247934,1.3611111111111112
21,23,77,3.347826086956522,114,61,0.5350877192982456,1.3722627737226278
22,24,80,3.3333333333333335,109,59,0.5412844036697247,1.3458646616541354
23,24,83,3.4583333333333335,108,59,0.5462962962962963,1.2803030303030303
24,23,85,3.6956521739130435,103,55,0.5339805825242718,1.3015873015873016
25,23,86,3.739130434782609,103,56,0.5436893203883495,1.3174603174603174
26,23,89,3.869565217391304,101,57,0.5643564356435643,1.3225806451612903
27,24,92,3.8333333333333335,99,53,0.5353535353535354,1.3252032520325203
28,23,90,3.9130434782608696,102,62,0.6078431372549019,1.272
29,23,92,4.0,102,62,0.6078431372549019,1.312
30,23,90,3.9130434782608696,102,59,0.5784313725490197,1.32
31,23,92,4.0,102,58,0.5686274509803921,1.312
32,23,91,3.9565217391304346,103,60,0.5825242718446602,1.3333333333333333
33,22,84,3.8181818181818183,99,63,0.6363636363636364,1.2727272727272727
34,20,74,3.7,91,59,0.6483516483516484,1.4324324324324325
35,18,61,3.388888888888889,92,65,0.7065217391304348,1.4
36,20,72,3.6,87,56,0.6436781609195402,1.355140186915888
37,19,66,3.473684210526316,86,58,0.6744186046511628,1.3523809523809525
38,19,67,3.526315789473684,83,58,0.6987951807228916,1.3627450980392157
39,19,69,3.6315789473684212,86,58,0.6744186046511628,1.361904761904762
40,18,62,3.4444444444444446,85,55,0.6470588235294118,1.4563106796116505
41,17,60,3.5294117647058822,86,57,0.6627906976744186,1.3883495145631068
42,18,62,3.4444444444444446,86,52,0.6046511627906976,1.4038461538461537
43,19,70,3.6842105263157894,86,49,0.5697674418604651,1.2952380952380953
44,17,61,3.588235294117647,86,51,0.5930232558139535,1.2524271844660195
45,16,52,3.25,87,54,0.6206896551724138,1.2524271844660195
46,17,57,3.3529411764705883,84,51,0.6071428571428571,1.188118811881188
47,17,55,3.235294117647059,85,51,0.6,1.1470588235294117
