t0,popular_nodes,popular_edges,popular_lpn,casual_nodes,casual_edges,casual_lpn,mix_lpn
0,19,78,4.105263157894737,76,36,0.47368421052631576,1.6526315789473685
1,17,57,3.3529411764705883,68,34,0.5,1.6235294117647059
2,15,50,3.3333333333333335,68,36,0.5294117647058824,1.5180722891566265
3,17,55,3.235294117647059,67,31,0.4626865671641791,1.2976190476190477
4,16,48,3.0,68,39,0.5735294117647058,1.2976190476190477
5,17,51,3.0,69,36,0.5217391304347826,1.2906976744186047
6,16,48,3.0,70,39,0.5571428571428572,1.2906976744186047
7,17,57,3.3529411764705883,70,36,0.5142857142857142,1.1379310344827587
8,17,55,3.235294117647059,69,35,0.5072463768115942,1.1395348837209303
9,17,55,3.235294117647059,72,36,0.5,1.0898876404494382
10,18,57,3.1666666666666665,70,34,0.4857142857142857,1.1022727272727273
11,18,57,3.1666666666666665,71,33,0.4647887323943662,1.1123595505617978
12,17,56,3.2941176470588234,74,38,0.5135135135135135,1.065934065934066
13,18,57,3.1666666666666665,74,36,0.4864864864864865,1.1195652173913044
14,17,51,3.0,75,35,0.4666666666666667,1.184782608695652
15,16,46,2.875,73,34,0.4657534246575342,1.1685393258426966
16,16,47,2.9375,71,30,0.4225352112676056,1.1724137931034482
17,15,43,2.8666666666666667,71,32,0.4507042253521127,1.127906976744186
18,15,43,2.8666666666666667,70,31,0.44285714285714284,1.1411764705882352
19,17,48,2.823529411764706,69,24,0.34782608695652173,1.1744186046511629
20,17,48,2.823529411764706,69,25,0.36231884057971014,1.1744186046511629
21,17,47,2.764705882352941,68,25,0.36764705882352944,1.1764705882352942
22,17,45,2.6470588235294117,67,24,0.3582089552238806,1.130952380952381
23,15,37,2.466666666666667,71,25,0.352112676056338,1.1162790697674418
24,15,36,2.4,71,29,0.4084507042253521,1.0813953488372092
25,14,33,2.357142857142857,69,29,0.42028985507246375,1.0963855421686748
26,14,33,2.357142857142857,72,32,0.4444444444444444,1.0348837209302326
27,15,37,2.466666666666667,75,33,0.44,1.0444444444444445
28,16,39,2.4375,77,31,0.4025974025974026,1.096774193548387
29,16,41,2.5625,76,33,0.4342105263157895,1.141304347826087
30,17,43,2.5294117647058822,74,30,0.40540540540540543,1.0769230769230769
31,17,41,2.411764705882353,72,30,0.4166666666666667,1.1123595505617978
32,16,38,2.375,75,33,0.44,1.10989010989011
33,18,43,2.388888888888889,77,32,0.4155844155844156,1.0421052631578946
34,18,42,2.3333333333333335,78,31,0.3974358974358974,1.03125
35,17,38,2.235294117647059,75,28,0.37333333333333335,1.0217391304347827
36,17,38,2.235294117647059,73,30,0.410958904109589,1.0222222222222221
37,16,35,2.1875,74,31,0.4189189189189189,1.0444444444444445
38,16,35,2.1875,69,29,0.42028985507246375,1.0235294117647058
39,16,35,2.1875,68,28,0.4117647058823529,1.0238095238095237
40,16,35,2.1875,68,29,0.4264705882352941,0.9880952380952381
41,17,39,2.2941176470588234,72,29,0.4027777777777778,0.9438202247191011
42,17,37,2.176470588235294,76,33,0.4342105263157895,0.9139784946236559
43,16,32,2.0,82,37,0.45121951219512196,0.9183673469387755
44,19,39,2.0526315789473686,81,37,0.4567901234567901,0.88
45,18,34,1.8888888888888888,87,42,0.4827586206896552,0.8761904761904762
46,19,37,1.9473684210526316,86,40,0.46511627906976744,0.8952380952380953
47,20,37,1.85,90,37,0.4111111111111111,0.9272727272727272
48,22,45,2.0454545454545454,91,37,0.4065934065934066,0.9557522123893806
49,18,37,2.0555555555555554,99,44,0.4444444444444444,0.9743589743589743
50,19,43,2.263157894736842,101,41,0.40594059405940597,1.0166666666666666
51,23,47,2.0434782608695654,98,34,0.3469387755102041,1.0413223140495869
52,19,44,2.3157894736842106,98,40,0.40816326530612246,1.0
53,20,47,2.35,101,41,0.40594059405940597,1.0165289256198347
54,24,50,2.0833333333333335,99,38,0.3838383838383838,0.991869918699187
55,21,43,2.0476190476190474,106,44,0.41509433962264153,1.0236220472440944
56,22,48,2.1818181818181817,105,44,0.41904761904761906,1.0236220472440944
57,23,57,2.4782608695652173,104,39,0.375,0.984251968503937
58,23,56,2.4347826086956523,101,40,0.39603960396039606,0.9758064516129032
59,22,54,2.4545454545454546,98,40,0.40816326530612246,0.9666666666666667
60,22,54,2.4545454545454546,98,40,0.40816326530612246,1.0
61,22,53,2.409090909090909,96,37,0.3854166666666667,1.0677966101694916
62,22,53,2.409090909090909,93,35,0.3763440860215054,1.0782608695652174
63,20,47,2.35,93,38,0.40860215053763443,1.1327433628318584
64,20,45,2.25,89,37,0.4157303370786517,1.1743119266055047
65,20,45,2.25,93,39,0.41935483870967744,1.168141592920354
66,21,49,2.3333333333333335,95,36,0.37894736842105264,1.1637931034482758
