t0,popular_nodes,popular_edges,popular_lpn,casual_nodes,casual_edges,casual_lpn,mix_lpn
0,29,191,6.586206896551724,124,62,0.5,1.9411764705882353
1,29,167,5.758620689655173,120,42,0.35,1.8456375838926173
2,28,152,5.428571428571429,120,47,0.39166666666666666,1.7837837837837838
3,26,133,5.115384615384615,125,52,0.416,1.7615894039735098
4,26,130,5.0,123,51,0.4146341463414634,1.7583892617449663
5,27,125,4.62962962962963,124,49,0.3951612903225806,1.695364238410596
6,30,122,4.066666666666666,121,39,0.32231404958677684,1.6423841059602649
7,29,120,4.137931034482759,122,46,0.3770491803278688,1.5496688741721854
8,27,109,4.037037037037037,118,51,0.4322033898305085,1.5655172413793104
9,26,103,3.9615384615384617,118,50,0.423728813559322,1.5833333333333333
10,26,107,4.115384615384615,120,49,0.4083333333333333,1.5547945205479452
11,29,116,4.0,120,46,0.38333333333333336,1.4429530201342282
12,30,121,4.033333333333333,130,50,0.38461538461538464,1.44375
13,27,114,4.222222222222222,134,60,0.44776119402985076,1.4037267080745341
14,31,125,4.032258064516129,127,48,0.3779527559055118,1.3734177215189873
15,31,120,3.870967741935484,130,47,0.36153846153846153,1.3664596273291925
16,30,112,3.7333333333333334,134,50,0.373134328358209,1.2560975609756098
17,27,89,3.2962962962962963,132,49,0.3712121212121212,1.2955974842767295
18,29,97,3.3448275862068964,125,41,0.328,1.2207792207792207
19,28,94,3.357142857142857,131,47,0.35877862595419846,1.1949685534591195
20,28,93,3.3214285714285716,127,45,0.3543307086614173,1.167741935483871
21,27,86,3.185185185185185,126,43,0.3412698412698413,1.1830065359477124
22,27,88,3.259259259259259,120,39,0.325,1.163265306122449
23,26,82,3.1538461538461537,120,42,0.35,1.1917808219178083
24,23,74,3.217391304347826,127,55,0.4330708661417323,1.1733333333333333
25,23,74,3.217391304347826,129,55,0.4263565891472868,1.1710526315789473
26,25,82,3.28,126,50,0.3968253968253968,1.1655629139072847
27,24,79,3.2916666666666665,127,54,0.4251968503937008,1.1986754966887416
28,24,78,3.25,129,58,0.4496124031007752,1.1372549019607843
29,26,87,3.3461538461538463,128,51,0.3984375,1.103896103896104
30,27,92,3.4074074074074074,123,49,0.3983739837398374,1.0933333333333333
31,28,93,3.3214285714285716,126,48,0.38095238095238093,1.0584415584415585
32,29,94,3.2413793103448274,127,47,0.3700787401574803,1.0705128205128205
33,24,76,3.1666666666666665,130,68,0.5230769230769231,1.0389610389610389
34,25,76,3.04,137,69,0.5036496350364964,1.0185185185185186
35,25,73,2.92,136,68,0.5,1.0248447204968945
36,25,73,2.92,136,66,0.4852941176470588,1.062111801242236
37,25,78,3.12,138,67,0.4855072463768116,1.030674846625767
38,31,94,3.032258064516129,133,47,0.3533834586466165,1.048780487804878
39,31,93,3.0,135,47,0.34814814814814815,1.0903614457831325
40,27,80,2.962962962962963,136,56,0.4117647058823529,1.0736196319018405
41,29,86,2.9655172413793105,130,52,0.4,1.0943396226415094
42,27,76,2.814814814814815,121,48,0.39669421487603307,1.1418918918918919
43,28,77,2.75,121,45,0.371900826446281,1.1208053691275168
44,26,70,2.6923076923076925,123,48,0.3902439024390244,1.1610738255033557
45,25,68,2.72,121,46,0.38016528925619836,1.178082191780822
46,25,71,2.84,121,45,0.371900826446281,1.2123287671232876
47,25,73,2.92,120,45,0.375,1.186206896551724
48,28,77,2.75,121,36,0.2975206611570248,1.174496644295302
49,27,70,2.5925925925925926,120,37,0.30833333333333335,1.163265306122449
50,27,69,2.5555555555555554,121,35,0.2892561983471074,1.1756756756756757
51,25,63,2.52,122,43,0.3524590163934426,1.1428571428571428
52,28,73,2.607142857142857,121,40,0.3305785123966942,1.0738255033557047
53,24,58,2.4166666666666665,123,43,0.34959349593495936,1.1496598639455782
