t0,popular_nodes,popular_edges,popular_lpn,casual_nodes,casual_edges,casual_lpn,mix_lpn
0,32,229,7.15625,131,58,0.44274809160305345,1.9754601226993864
1,31,201,6.483870967741935,128,52,0.40625,1.6729559748427674
2,31,189,6.096774193548387,125,50,0.4,1.6153846153846154
3,32,184,5.75,131,48,0.366412213740458,1.5460122699386503
4,32,182,5.6875,139,54,0.38848920863309355,1.409356725146199
5,34,189,5.5588235294117645,138,54,0.391304347826087,1.308139534883721
6,35,186,5.314285714285714,144,55,0.3819444444444444,1.217877094972067
7,32,170,5.3125,145,62,0.42758620689655175,1.231638418079096
8,31,156,5.032258064516129,143,62,0.43356643356643354,1.2586206896551724
9,33,170,5.151515151515151,140,59,0.42142857142857143,1.1849710982658959
10,33,169,5.121212121212121,146,59,0.4041095890410959,1.1899441340782122
11,35,174,4.9714285714285715,149,62,0.4161073825503356,1.190217391304348
12,35,173,4.942857142857143,151,65,0.4304635761589404,1.1612903225806452
13,35,171,4.885714285714286,151,64,0.423841059602649,1.1397849462365592
14,35,168,4.8,148,61,0.41216216216216217,1.1202185792349726
15,35,162,4.628571428571429,150,60,0.4,1.1135135135135135
16,33,155,4.696969696969697,155,70,0.45161290322580644,1.127659574468085
17,36,171,4.75,152,60,0.39473684210526316,1.0638297872340425
18,36,173,4.805555555555555,153,60,0.39215686274509803,1.0846560846560847
19,32,151,4.71875,157,74,0.4713375796178344,1.1428571428571428
20,36,166,4.611111111111111,156,65,0.4166666666666667,1.1145833333333333
21,37,173,4.675675675675675,157,66,0.42038216560509556,1.077319587628866
22,36,168,4.666666666666667,160,70,0.4375,1.0765306122448979
23,36,169,4.694444444444445,155,69,0.44516129032258067,1.0785340314136125
24,33,158,4.787878787878788,157,75,0.47770700636942676,1.1263157894736842
25,32,154,4.8125,159,80,0.5031446540880503,1.094240837696335
26,35,165,4.714285714285714,152,70,0.4605263157894737,1.053475935828877
27,32,148,4.625,151,81,0.5364238410596026,1.0655737704918034
28,32,144,4.5,148,79,0.5337837837837838,1.0722222222222222
29,29,124,4.275862068965517,151,83,0.5496688741721855,1.1388888888888888
30,29,127,4.379310344827586,150,79,0.5266666666666666,1.100558659217877
31,30,130,4.333333333333333,151,75,0.4966887417218543,1.12707182320442
32,29,131,4.517241379310345,154,82,0.5324675324675324,1.0819672131147542
33,29,136,4.689655172413793,154,81,0.525974025974026,1.0601092896174864
34,30,138,4.6,149,69,0.46308724832214765,1.0726256983240223
35,29,130,4.482758620689655,140,63,0.45,1.1183431952662721
36,28,128,4.571428571428571,135,61,0.45185185185185184,1.1533742331288344
37,27,124,4.592592592592593,135,65,0.48148148148148145,1.0987654320987654
38,26,115,4.423076923076923,131,65,0.4961832061068702,1.1337579617834395
39,26,112,4.3076923076923075,133,66,0.49624060150375937,1.119496855345912
40,26,111,4.269230769230769,131,59,0.45038167938931295,1.1146496815286624
41,24,100,4.166666666666667,123,52,0.42276422764227645,1.1428571428571428
42,24,100,4.166666666666667,120,47,0.39166666666666666,1.1527777777777777
43,27,110,4.074074074074074,117,40,0.3418803418803419,1.1319444444444444
44,24,97,4.041666666666667,115,42,0.3652173913043478,1.1654676258992807
45,25,102,4.08,107,42,0.3925233644859813,1.143939393939394
46,25,98,3.92,106,40,0.37735849056603776,1.1603053435114503
47,24,90,3.75,110,38,0.34545454545454546,1.171641791044776
48,23,84,3.652173913043478,112,49,0.4375,1.1185185185185185
49,26,87,3.3461538461538463,109,39,0.3577981651376147,1.1037037037037036
50,25,82,3.28,109,35,0.3211009174311927,1.0746268656716418
51,24,73,3.0416666666666665,107,34,0.3177570093457944,1.015267175572519
52,22,68,3.090909090909091,109,37,0.3394495412844037,1.015267175572519
53,25,75,3.0,109,34,0.3119266055045872,1.007462686567164
54,25,74,2.96,111,37,0.3333333333333333,1.0220588235294117
55,23,66,2.869565217391304,112,41,0.36607142857142855,1.0518518518518518
56,23,65,2.8260869565217392,108,38,0.35185185185185186,1.0763358778625953
57,22,64,2.909090909090909,110,40,0.36363636363636365,1.0454545454545454
58,21,62,2.9523809523809526,110,42,0.38181818181818183,1.015267175572519
59,21,62,2.9523809523809526,108,38,0.35185185185185186,1.0232558139534884
60,21,61,2.9047619047619047,106,37,0.3490566037735849,1.062992125984252
61,21,60,2.857142857142857,101,34,0.33663366336633666,1.0245901639344261
62,21,57,2.7142857142857144,97,30,0.30927835051546393,1.0254237288135593
63,20,53,2.65,96,33,0.34375,1.0086206896551724
64,20,55,2.75,93,32,0.34408602150537637,1.0
65,17,50,2.9411764705882355,97,38,0.3917525773195876,1.0263157894736843
66,16,48,3.0,98,32,0.32653061224489793,1.0789473684210527
67,17,52,3.0588235294117645,98,33,0.336734693877551,1.0869565217391304
68,17,52,3.0588235294117645,99,33,0.3333333333333333,1.0862068965517242
69,18,56,3.111111111111111,98,38,0.3877551020408163,1.0517241379310345
70,19,60,3.1578947368421053,97,37,0.38144329896907214,1.0086206896551724
71,19,60,3.1578947368421053,97,36,0.3711340206185567,1.0086206896551724
72,19,60,3.1578947368421053,96,36,0.375,1.008695652173913
73,17,51,3.0,99,40,0.40404040404040403,1.0517241379310345
74,19,59,3.1052631578947367,102,38,0.37254901960784315,1.0413223140495869
75,21,66,3.142857142857143,102,35,0.3431372549019608,1.008130081300813
76,20,63,3.15,102,35,0.3431372549019608,1.0327868852459017
77,20,63,3.15,96,34,0.3541666666666667,1.043103448275862
78,19,58,3.0526315789473686,97,36,0.3711340206185567,1.0086206896551724
79,19,57,3.0,101,37,0.36633663366336633,0.9666666666666667
80,19,57,3.0,100,38,0.38,0.9411764705882353
81,18,50,2.7777777777777777,97,38,0.3917525773195876,0.9391304347826087
82,17,46,2.7058823529411766,92,38,0.41304347826086957,0.9541284403669725
83,16,40,2.5,88,39,0.4431818181818182,0.9519230769230769
84,14,32,2.2857142857142856,85,40,0.47058823529411764,0.9191919191919192
85,13,29,2.230769230769231,84,41,0.4880952380952381,0.9381443298969072
86,14,29,2.0714285714285716,85,41,0.4823529411764706,0.9595959595959596
87,14,29,2.0714285714285716,84,41,0.4880952380952381,0.9387755102040817
88,18,40,2.2222222222222223,82,37,0.45121951219512196,0.84
89,19,44,2.3157894736842106,81,34,0.41975308641975306,0.85
90,18,40,2.2222222222222223,84,34,0.40476190476190477,0.8725490196078431
91,18,40,2.2222222222222223,93,38,0.40860215053763443,0.8648648648648649
92,18,40,2.2222222222222223,93,38,0.40860215053763443,0.8468468468468469
93,17,37,2.176470588235294,98,39,0.3979591836734694,0.8608695652173913
94,21,43,2.0476190476190474,96,33,0.34375,0.8461538461538461
95,18,39,2.1666666666666665,95,31,0.3263157894736842,0.8761061946902655
96,18,39,2.1666666666666665,94,33,0.35106382978723405,0.8303571428571429
97,20,42,2.1,89,32,0.3595505617977528,0.7339449541284404
98,20,42,2.1,86,31,0.36046511627906974,0.7264150943396226
99,18,35,1.9444444444444444,88,32,0.36363636363636365,0.7264150943396226
100,19,37,1.9473684210526316,90,31,0.34444444444444444,0.7706422018348624
101,19,39,2.0526315789473686,92,31,0.33695652173913043,0.7927927927927928
102,19,40,2.1052631578947367,91,30,0.32967032967032966,0.8090909090909091
103,20,41,2.05,95,33,0.3473684210526316,0.782608695652174
104,20,41,2.05,90,32,0.35555555555555557,0.7636363636363637
105,21,41,1.9523809523809523,89,30,0.33707865168539325,0.7727272727272727
106,21,41,1.9523809523809523,86,30,0.3488372093023256,0.7476635514018691
107,21,43,2.0476190476190474,86,28,0.32558139534883723,0.7570093457943925
108,13,29,2.230769230769231,93,36,0.3870967741935484,0.8301886792452831
109,16,36,2.25,89,32,0.3595505617977528,0.8095238095238095
110,16,35,2.1875,88,34,0.38636363636363635,0.8269230769230769
111,17,38,2.235294117647059,89,34,0.38202247191011235,0.8113207547169812
112,18,41,2.2777777777777777,87,31,0.3563218390804598,0.8952380952380953
113,19,43,2.263157894736842,84,25,0.2976190476190476,0.9320388349514563
114,20,45,2.25,83,24,0.2891566265060241,0.9320388349514563
115,18,40,2.2222222222222223,89,27,0.30337078651685395,0.9252336448598131
116,17,37,2.176470588235294,92,28,0.30434782608695654,0.9174311926605505
117,19,41,2.1578947368421053,93,28,0.3010752688172043,0.8839285714285714
118,18,39,2.1666666666666665,92,28,0.30434782608695654,0.9363636363636364
119,16,34,2.125,94,32,0.3404255319148936,0.9090909090909091
120,16,34,2.125,95,33,0.3473684210526316,0.8918918918918919
121,16,34,2.125,88,28,0.3181818181818182,0.9038461538461539
122,16,34,2.125,88,28,0.3181818181818182,0.9230769230769231
123,16,34,2.125,84,25,0.2976190476190476,0.95
124,15,30,2.0,85,25,0.29411764705882354,0.96
125,15,30,2.0,89,24,0.2696629213483146,1.0
126,15,32,2.1333333333333333,87,25,0.28735632183908044,0.9803921568627451
127,16,35,2.1875,88,23,0.26136363636363635,0.9711538461538461
128,17,37,2.176470588235294,87,22,0.25287356321839083,0.9807692307692307
129,17,38,2.235294117647059,88,21,0.23863636363636365,0.9904761904761905
130,17,36,2.1176470588235294,92,23,0.25,0.981651376146789
131,16,35,2.1875,94,27,0.2872340425531915,0.990909090909091
132,16,37,2.3125,104,33,0.3173076923076923,0.9583333333333334
133,18,42,2.3333333333333335,105,22,0.20952380952380953,0.983739837398374
134,18,42,2.3333333333333335,104,23,0.22115384615384615,0.9836065573770492
135,18,42,2.3333333333333335,97,19,0.1958762886597938,0.991304347826087
136,19,45,2.3684210526315788,99,21,0.21212121212121213,1.0
137,18,44,2.4444444444444446,103,25,0.24271844660194175,1.0082644628099173
138,18,44,2.4444444444444446,106,27,0.25471698113207547,0.9838709677419355
139,20,52,2.6,106,23,0.2169811320754717,0.9841269841269841
140,19,52,2.736842105263158,108,25,0.23148148148148148,0.952755905511811
141,19,50,2.6315789473684212,110,25,0.22727272727272727,0.9534883720930233
142,16,38,2.375,113,31,0.2743362831858407,0.9689922480620154
143,17,44,2.588235294117647,112,27,0.24107142857142858,0.9612403100775194
144,16,42,2.625,113,29,0.25663716814159293,0.937984496124031
145,17,44,2.588235294117647,112,29,0.25892857142857145,0.9302325581395349
146,17,45,2.6470588235294117,109,27,0.24770642201834864,0.9444444444444444
147,16,44,2.75,111,27,0.24324324324324326,0.937007874015748
148,16,44,2.75,107,23,0.21495327102803738,0.991869918699187
149,16,44,2.75,107,23,0.21495327102803738,0.991869918699187
