QId_x,QUserId,QTags,QTime,QAcceptedAnswerId,QScore,QViewCount,QAnswerCount,QCommentCount,AId,AUserId,QId_y,ATime,AScore,ACommentCount
1,10.0,<reading-order>,2011-08-09 19:23:32.753,70.0,13,310,3.0,2.0,70,74.0,1,2011-08-09 23:46:32.143,9,2.0
3,12.0,<reading-order><fantasy>,2011-08-09 19:29:51.680,87.0,9,266,4.0,3.0,87,92.0,3,2011-08-10 06:46:01.173,7,
5,30.0,<poetry><influences><classics><edgar-allan-poe><american-literature>,2011-08-09 19:34:12.267,178.0,16,309,4.0,5.0,178,94.0,5,2011-08-11 11:22:02.790,5,
9,22.0,<reading-order><programming>,2011-08-09 19:40:20.423,80.0,6,130,2.0,6.0,80,79.0,9,2011-08-10 01:13:29.333,10,1.0
11,27.0,<bookshelf>,2011-08-09 19:40:36.263,14.0,9,201,5.0,8.0,14,27.0,11,2011-08-09 19:41:39.820,11,3.0
17,7.0,<gk-chesterton><meaning>,2011-08-09 19:50:45.263,796.0,13,229,2.0,3.0,796,124.0,17,2011-09-16 04:53:59.623,4,3.0
22,30.0,<jrr-tolkien><the-hobbit>,2011-08-09 19:54:33.137,47.0,9,155,2.0,,47,32.0,22,2011-08-09 20:48:59.663,6,2.0
24,46.0,<story-identification><childrens-book>,2011-08-09 19:57:06.393,85.0,5,114,1.0,2.0,85,13.0,24,2011-08-10 03:26:06.640,10,
32,26.0,<author-recommendations><techno-thriller>,2011-08-09 20:12:57.053,88.0,8,280,7.0,1.0,88,93.0,32,2011-08-10 07:04:16.043,6,1.0
38,60.0,<story-identification>,2011-08-09 20:35:16.797,56.0,7,83,1.0,4.0,56,70.0,38,2011-08-09 21:39:41.893,7,
59,68.0,<book-recommendations><thomas-pynchon>,2011-08-09 21:51:25.590,92.0,5,88,2.0,3.0,92,94.0,59,2011-08-10 07:55:16.307,6,3.0
77,77.0,<fantasy><phillip-pullman>,2011-08-10 00:24:03.393,78.0,5,179,2.0,4.0,78,60.0,77,2011-08-10 00:44:44.793,5,
98,40.0,<book-recommendations><robert-asprin>,2011-08-10 09:25:10.590,99.0,3,67,4.0,,99,94.0,98,2011-08-10 09:52:52.510,3,2.0
103,94.0,<book-recommendations><mystery><adventure>,2011-08-10 11:01:03.863,145.0,2,181,2.0,,145,73.0,103,2011-08-10 19:58:07.647,5,
106,16.0,<book-recommendations><author-recommendations>,2011-08-10 13:00:08.283,249.0,6,51,1.0,,249,124.0,106,2011-08-13 04:22:31.930,3,1.0
112,77.0,<classics><british-literature><genre><jane-eyre><charlotte-bronte>,2011-08-10 13:41:58.843,117.0,7,232,1.0,,117,48.0,112,2011-08-10 14:42:05.337,9,5.0
118,30.0,<story-identification>,2011-08-10 14:59:07.363,127.0,5,75,1.0,4.0,127,73.0,118,2011-08-10 16:21:49.590,6,1.0
120,30.0,<education><classics><american-literature>,2011-08-10 15:05:42.780,124.0,13,340,4.0,3.0,124,64.0,120,2011-08-10 15:53:43.497,11,0.0
125,38.0,<book-recommendations><non-fiction>,2011-08-10 16:14:10.007,126.0,7,72,1.0,3.0,126,7.0,125,2011-08-10 16:21:43.950,6,4.0
135,44.0,<reading-order><fantasy>,2011-08-10 18:12:13.733,139.0,4,144,2.0,2.0,139,77.0,135,2011-08-10 18:26:17.477,4,1.0
142,30.0,<influences><classics><william-shakespeare><british-literature>,2011-08-10 19:24:40.057,146.0,17,387,4.0,6.0,146,27.0,142,2011-08-10 20:04:59.057,21,2.0
149,32.0,<history>,2011-08-10 20:50:18.157,153.0,13,120,2.0,2.0,153,38.0,149,2011-08-10 21:23:25.557,8,3.0
157,27.0,<book-recommendations><history>,2011-08-10 21:43:47.617,211.0,9,300,5.0,3.0,211,7.0,157,2011-08-11 20:46:37.770,4,1.0
159,111.0,<victor-hugo><les-miserables>,2011-08-10 23:24:29.247,188.0,8,88,1.0,3.0,188,72.0,159,2011-08-11 16:11:47.570,2,
164,32.0,<book-recommendations><education><politics>,2011-08-11 00:12:21.150,335.0,5,77,1.0,1.0,335,6.0,164,2011-08-16 01:22:48.203,4,
171,26.0,<reading-order><series><stephen-king>,2011-08-11 07:32:37.503,172.0,6,278,1.0,2.0,172,94.0,171,2011-08-11 07:34:43.650,7,5.0
173,96.0,<story-identification>,2011-08-11 08:07:40.257,174.0,5,86,1.0,,174,94.0,173,2011-08-11 08:13:21.310,7,2.0
175,32.0,<james-joyce><modernism>,2011-08-11 10:38:25.513,183.0,20,431,2.0,,183,72.0,175,2011-08-11 15:33:45.560,29,4.0
