AId,AUserId,QId,ATime,AScore,ACommentCount
12,30,3,2011-08-09 19:41:09.727,4,
14,27,11,2011-08-09 19:41:39.820,11,3
15,24,3,2011-08-09 19:42:39.603,2,
16,24,11,2011-08-09 19:44:27.277,8,
26,7,1,2011-08-09 20:06:53.230,2,2
36,58,9,2011-08-09 20:24:42.840,2,1
37,57,11,2011-08-09 20:29:46.113,1,
47,32,22,2011-08-09 20:48:59.663,6,2
53,32,1,2011-08-09 21:31:59.280,9,1
56,70,38,2011-08-09 21:39:41.893,7,
58,6,50,2011-08-09 21:46:32.440,23,2
63,32,61,2011-08-09 22:22:40.277,6,3
66,72,50,2011-08-09 22:33:54.037,4,1
67,73,60,2011-08-09 22:37:13.440,4,3
70,74,1,2011-08-09 23:46:32.143,9,2
71,77,60,2011-08-09 23:49:27.880,6,
73,68,18,2011-08-09 23:53:40.247,2,
75,77,72,2011-08-10 00:15:38.257,6,1
78,60,77,2011-08-10 00:44:44.793,5,
80,79,9,2011-08-10 01:13:29.333,10,1
83,32,82,2011-08-10 02:35:38.343,9,2
85,13,24,2011-08-10 03:26:06.640,10,
87,92,3,2011-08-10 06:46:01.173,7,
88,93,32,2011-08-10 07:04:16.043,6,1
92,94,59,2011-08-10 07:55:16.307,6,3
93,94,91,2011-08-10 07:57:50.903,3,2
94,97,91,2011-08-10 08:28:28.230,8,3
99,94,98,2011-08-10 09:52:52.510,3,2
100,75,91,2011-08-10 10:23:04.610,10,2
105,92,91,2011-08-10 11:49:40.870,4,
109,7,60,2011-08-10 13:31:44.533,3,
113,27,60,2011-08-10 13:57:30.457,6,2
116,47,3,2011-08-10 14:16:33.710,4,2
117,48,112,2011-08-10 14:42:05.337,9,5
122,79,103,2011-08-10 15:14:06.853,4,
123,7,82,2011-08-10 15:20:48.330,4,
124,64,120,2011-08-10 15:53:43.497,11,0
126,7,125,2011-08-10 16:21:43.950,6,4
127,73,118,2011-08-10 16:21:49.590,6,1
134,107,60,2011-08-10 18:11:37.227,2,
136,44,50,2011-08-10 18:22:01.443,8,1
137,27,135,2011-08-10 18:22:54.200,1,2
139,77,135,2011-08-10 18:26:17.477,4,1
140,27,50,2011-08-10 18:26:58.793,5,
143,40,138,2011-08-10 19:28:11.990,4,4
144,40,142,2011-08-10 19:42:57.580,7,1
145,73,103,2011-08-10 19:58:07.647,5,
146,27,142,2011-08-10 20:04:59.057,21,2
147,38,50,2011-08-10 20:06:37.387,5,1
148,32,32,2011-08-10 20:28:27.737,2,2
153,38,149,2011-08-10 21:23:25.557,8,3
163,38,157,2011-08-11 00:10:33.383,4,1
169,32,98,2011-08-11 04:31:51.900,2,
172,94,171,2011-08-11 07:34:43.650,7,5
174,94,173,2011-08-11 08:13:21.310,7,2
177,94,176,2011-08-11 11:11:47.530,4,
178,94,5,2011-08-11 11:22:02.790,5,
180,82,175,2011-08-11 13:17:11.070,8,4
183,72,175,2011-08-11 15:33:45.560,29,4
186,72,5,2011-08-11 15:38:32.307,4,
188,72,159,2011-08-11 16:11:47.570,2,
189,72,11,2011-08-11 16:15:07.643,1,
194,32,193,2011-08-11 17:35:34.830,17,5
195,32,192,2011-08-11 17:44:27.357,8,
197,10,98,2011-08-11 18:21:57.980,3,
199,32,182,2011-08-11 18:39:34.710,6,1
201,10,200,2011-08-11 19:09:26.673,4,1
203,72,157,2011-08-11 19:11:45.363,1,
204,72,198,2011-08-11 19:14:36.033,2,
205,72,196,2011-08-11 19:18:23.747,7,1
206,26,193,2011-08-11 19:22:07.603,6,3
207,6,198,2011-08-11 19:35:03.523,3,
208,73,176,2011-08-11 20:02:30.683,4,2
209,65,202,2011-08-11 20:08:36.727,3,
210,24,198,2011-08-11 20:36:31.073,11,2
211,7,157,2011-08-11 20:46:37.770,4,1
212,44,202,2011-08-11 20:56:07.883,3,
215,32,214,2011-08-11 21:59:15.110,4,
221,94,220,2011-08-12 07:49:58.407,6,
223,94,222,2011-08-12 08:41:27.043,7,1
224,32,222,2011-08-12 09:56:45.997,20,1
226,94,225,2011-08-12 12:57:27.493,4,1
227,111,225,2011-08-12 13:34:42.393,4,2
229,64,157,2011-08-12 14:37:49.807,1,6
230,64,42,2011-08-12 15:31:54.460,3,
233,64,222,2011-08-12 16:32:25.050,2,1
239,44,222,2011-08-12 19:04:34.287,2,1
240,27,235,2011-08-12 19:24:53.410,9,1
242,119,222,2011-08-13 03:08:15.410,4,2
249,124,106,2011-08-13 04:22:31.930,3,1
250,124,244,2011-08-13 04:46:06.080,6,1
253,119,246,2011-08-13 06:55:51.877,4,1
258,94,255,2011-08-13 11:31:16.573,6,1
260,55,254,2011-08-13 13:51:47.913,5,1
263,133,244,2011-08-13 14:58:24.103,1,
270,107,261,2011-08-13 18:11:50.643,2,
274,124,272,2011-08-13 19:39:18.827,6,1
276,72,261,2011-08-13 21:10:41.787,4,
278,72,247,2011-08-13 21:55:55.930,13,1
279,72,235,2011-08-13 22:03:41.710,-3,
286,65,284,2011-08-14 10:01:40.907,2,
289,75,285,2011-08-14 13:36:14.973,9,2
292,143,287,2011-08-14 14:12:06.293,6,1
296,124,284,2011-08-14 15:29:41.943,3,1
297,99,288,2011-08-14 15:39:47.907,4,1
303,124,301,2011-08-14 18:45:46.183,11,3
309,7,284,2011-08-15 03:27:54.983,2,
311,7,25,2011-08-15 03:37:45.887,4,
314,112,284,2011-08-15 16:11:00.670,4,
315,104,284,2011-08-15 17:54:56.323,1,2
318,149,193,2011-08-15 21:40:45.523,3,
320,124,319,2011-08-15 21:53:14.473,3,4
322,149,60,2011-08-15 22:01:23.323,2,2
323,149,11,2011-08-15 22:07:52.787,1,
327,50,60,2011-08-15 22:48:52.487,3,1
335,6,164,2011-08-16 01:22:48.203,4,
343,94,339,2011-08-16 12:23:42.867,6,
