CId,CUserId,PId,@UserName,CTime,CScore
1,9,5, ,2011-08-09 19:36:59.050,2
4,30,5,Ralph,2011-08-09 19:42:32.610,
6,39,3, ,2011-08-09 19:45:06.397,
7,41,3, ,2011-08-09 19:40:32.560,3
8,9,11, ,2011-08-09 19:45:47.137,3
10,27,11, ,2011-08-09 19:46:43.057,
11,9,11, ,2011-08-09 19:49:20.297,1
12,9,14, ,2011-08-09 19:55:25.390,1
13,27,14, ,2011-08-09 19:57:15.207,1
14,9,14, ,2011-08-09 19:58:58.040,
23,10,3, ,2011-08-09 20:24:42.163,
29,30,47, ,2011-08-09 20:50:50.533,
30,32,47, ,2011-08-09 20:56:05.473,4
32,30,42, ,2011-08-09 20:57:31.350,
35,7,42, ,2011-08-09 21:02:15.957,
37,30,42, ,2011-08-09 21:05:52.897,
38,30,38, ,2011-08-09 21:10:49.533,
39,7,42, ,2011-08-09 21:11:37.180,
40,30,24, ,2011-08-09 21:11:47.583,2
41,60,38, ,2011-08-09 21:15:33.697,
42,38,11, ,2011-08-09 21:16:08.257,
43,30,38, ,2011-08-09 21:22:36.973,
45,60,38, ,2011-08-09 21:26:30.157,
47,25,11,Adam,2011-08-09 21:34:31.363,1
48,32,24, ,2011-08-09 21:34:33.100,2
50,68,50, ,2011-08-09 21:40:58.910,
51,38,11, ,2011-08-09 21:42:48.410,
52,60,57, ,2011-08-09 21:52:15.337,1
53,73,53,Peter,2011-08-09 22:20:19.180,1
54,15,11,Shog9,2011-08-09 22:21:09.500,1
56,32,67, ,2011-08-09 22:39:42.660,
59,73,67, ,2011-08-09 22:47:30.507,
60,74,1, ,2011-08-09 22:52:07.020,1
61,10,1,Scott,2011-08-09 22:58:20.043,
64,25,11,shadow,2011-08-09 23:04:05.783,
65,6,57,Darius,2011-08-09 23:26:27.357,6
68,74,32, ,2011-08-09 23:49:02.497,2
69,77,50, ,2011-08-10 00:17:48.660,4
70,10,75, ,2011-08-10 01:03:07.080,2
71,32,50, ,2011-08-10 01:08:34.723,1
73,12,9, ,2011-08-10 02:29:19.710,1
74,25,82, ,2011-08-10 02:35:17.453,5
75,73,84, ,2011-08-10 03:15:03.083,
76,13,9, ,2011-08-10 03:27:40.337,1
77,74,82,Shog9,2011-08-10 04:03:48.727,
78,32,84, ,2011-08-10 04:04:41.633,
79,79,84,TML,2011-08-10 04:13:33.220,
84,25,82, ,2011-08-10 05:43:13.650,
85,22,9,GWW,2011-08-10 06:48:57.637,1
89,94,94, ,2011-08-10 09:45:33.693,1
90,40,99, ,2011-08-10 09:58:40.940,
91,94,99, ,2011-08-10 09:59:18.880,
96,94,100, ,2011-08-10 10:34:27.533,
98,94,84, ,2011-08-10 11:04:46.787,
101,94,59, ,2011-08-10 11:24:52.743,2
102,92,67, ,2011-08-10 11:59:58.550,1
106,30,60, ,2011-08-10 14:04:45.283,1
112,79,84,Thusagen,2011-08-10 14:47:47.630,1
113,48,94, ,2011-08-10 14:52:38.880,
114,7,118, ,2011-08-10 15:09:36.800,
115,30,118,Peter,2011-08-10 15:11:21.010,
116,77,120, ,2011-08-10 15:25:48.293,2
117,27,60,DForck42,2011-08-10 15:42:51.370,2
118,30,5, ,2011-08-10 16:01:02.133,
119,30,127, ,2011-08-10 16:26:38.867,
120,30,120, ,2011-08-10 17:23:16.573,
126,77,125, ,2011-08-10 18:01:32.547,1
129,24,117, ,2011-08-10 18:17:05.930,3
130,77,137, ,2011-08-10 18:26:40.080,
132,27,137, ,2011-08-10 18:27:55.360,
133,38,125,Abby,2011-08-10 18:34:27.220,1
134,38,126, ,2011-08-10 18:35:43.833,1
135,77,125, ,2011-08-10 18:36:49.613,
136,60,5, ,2011-08-10 18:37:26.463,1
137,7,126,adam,2011-08-10 18:40:59.203,1
138,7,126, ,2011-08-10 18:44:34.287,1
139,77,117,eugen,2011-08-10 19:03:48.350,
143,10,135, ,2011-08-10 19:20:27.970,2
144,60,143, ,2011-08-10 19:34:32.633,2
145,10,142, ,2011-08-10 19:39:52.963,1
146,38,126, ,2011-08-10 19:44:20.190,
147,40,143,Darius,2011-08-10 19:51:29.863,
148,27,144, ,2011-08-10 20:12:45.173,4
149,32,147, ,2011-08-10 20:16:37.727,1
150,32,113, ,2011-08-10 20:19:07.223,
151,27,113, ,2011-08-10 20:21:10.183,
153,32,70, ,2011-08-10 20:43:33.500,
154,30,149, ,2011-08-10 20:54:31.720,
156,64,142, ,2011-08-10 21:13:49.693,5
157,27,93, ,2011-08-10 21:16:56.113,
158,64,2, ,2011-08-10 21:17:36.113,
159,32,153, ,2011-08-10 21:27:09.407,2
160,38,153, ,2011-08-10 21:30:13.460,2
161,106,143,VMAtm,2011-08-10 21:39:14.080,2
163,32,153, ,2011-08-10 21:41:25.123,
169,25,135, ,2011-08-10 23:10:11.613,4
171,32,159, ,2011-08-10 23:40:43.447,
182,104,77, ,2011-08-10 15:13:45.870,1
183,27,77, ,2011-08-10 08:28:31.453,2
184,77,63, ,2011-08-11 02:26:00.047,3
185,82,139, ,2011-08-11 02:46:26.683,
186,73,72, ,2011-08-11 03:08:20.570,
193,32,63,Abby,2011-08-11 05:50:38.717,
196,26,172, ,2011-08-11 07:36:14.550,
197,94,172, ,2011-08-11 07:43:30.550,
198,96,174, ,2011-08-11 08:29:13.630,
199,77,63, ,2011-08-11 11:36:29.457,
200,111,172, ,2011-08-11 13:03:44.557,2
201,111,172, ,2011-08-11 13:05:41.573,
202,30,164, ,2011-08-11 13:25:08.140,1
208,7,159, ,2011-08-11 16:05:35.343,
209,10,42, ,2011-08-11 16:14:42.057,2
213,6,193, ,2011-08-11 17:36:01.830,2
215,10,194, ,2011-08-11 18:07:06.457,
216,10,180, ,2011-08-11 18:10:31.070,2
217,10,183, ,2011-08-11 18:10:52.333,3
218,10,171, ,2011-08-11 18:12:46.980,1
220,10,80, ,2011-08-11 18:38:02.300,
