QId,QUserId,QTags,QTime,QAcceptedAnswerId,QScore,QViewCount,QAnswerCount,QCommentCount
1,10,<reading-order>,2011-08-09 19:23:32.753,70,13,310,3,2
2,9,<reading-order><the-chronicles-of-narnia><cs-lewis>,2011-08-09 19:28:14.910,,19,415,0,3
3,12,<reading-order><fantasy>,2011-08-09 19:29:51.680,87,9,266,4,3
5,30,<poetry><influences><classics><edgar-allan-poe><american-literature>,2011-08-09 19:34:12.267,178,16,309,4,5
9,22,<reading-order><programming>,2011-08-09 19:40:20.423,80,6,130,2,6
11,27,<bookshelf>,2011-08-09 19:40:36.263,14,9,201,5,8
17,7,<gk-chesterton><meaning>,2011-08-09 19:50:45.263,796,13,229,2,3
18,22,<book-recommendations>,2011-08-09 19:51:08.740,,1,76,1,
22,30,<jrr-tolkien><the-hobbit>,2011-08-09 19:54:33.137,47,9,155,2,
24,46,<story-identification><childrens-book>,2011-08-09 19:57:06.393,85,5,114,1,2
25,7,<characters>,2011-08-09 20:00:53.503,,4,62,1,
32,26,<author-recommendations><techno-thriller>,2011-08-09 20:12:57.053,88,8,280,7,1
38,60,<story-identification>,2011-08-09 20:35:16.797,56,7,83,1,4
39,30,<childrens-book><story-identification>,2011-08-09 20:39:02.940,,4,100,0,
42,7,<childrens-book>,2011-08-09 20:46:12.940,,6,91,1,5
50,32,<book-recommendations><education><non-fiction>,2011-08-09 21:09:00.837,,15,430,9,4
57,32,<story-identification><fantasy>,2011-08-09 21:44:26.363,,7,389,0,3
59,68,<book-recommendations><thomas-pynchon>,2011-08-09 21:51:25.590,92,5,88,2,3
60,32,<book-recommendations>,2011-08-09 22:05:26.663,,11,306,13,3
61,72,<19th-century>,2011-08-09 22:10:23.567,,10,96,1,
72,73,<book-recommendations><childrens-book><adventure>,2011-08-09 23:52:29.277,,4,165,3,2
77,77,<fantasy><phillip-pullman>,2011-08-10 00:24:03.393,78,5,179,2,4
82,74,<book-recommendations><godel-escher-bach>,2011-08-10 02:20:29.363,,28,635,11,5
84,79,<book-recommendations><novels><french-literature>,2011-08-10 03:00:50.717,,9,107,1,5
91,95,<book-recommendations><childrens-book>,2011-08-10 07:47:08.067,,10,359,13,1
98,40,<book-recommendations><robert-asprin>,2011-08-10 09:25:10.590,99,3,67,4,
103,94,<book-recommendations><mystery><adventure>,2011-08-10 11:01:03.863,145,2,181,2,
106,16,<book-recommendations><author-recommendations>,2011-08-10 13:00:08.283,249,6,51,1,
112,77,<classics><british-literature><genre><jane-eyre><charlotte-bronte>,2011-08-10 13:41:58.843,117,7,232,1,
118,30,<story-identification>,2011-08-10 14:59:07.363,127,5,75,1,4
120,30,<education><classics><american-literature>,2011-08-10 15:05:42.780,124,13,340,4,3
125,38,<book-recommendations><non-fiction>,2011-08-10 16:14:10.007,126,7,72,1,3
135,44,<reading-order><fantasy>,2011-08-10 18:12:13.733,139,4,144,2,2
138,106,<novels><classics><russian-literature>,2011-08-10 18:24:49.317,,7,77,1,1
142,30,<influences><classics><william-shakespeare><british-literature>,2011-08-10 19:24:40.057,146,17,387,4,6
149,32,<history>,2011-08-10 20:50:18.157,153,13,120,2,2
152,30,<reading-order>,2011-08-10 21:23:17.977,,5,366,0,0
157,27,<book-recommendations><history>,2011-08-10 21:43:47.617,211,9,300,5,3
159,111,<victor-hugo><les-miserables>,2011-08-10 23:24:29.247,188,8,88,1,3
164,32,<book-recommendations><education><politics>,2011-08-11 00:12:21.150,335,5,77,1,1
171,26,<reading-order><series><stephen-king>,2011-08-11 07:32:37.503,172,6,278,1,2
173,96,<story-identification>,2011-08-11 08:07:40.257,174,5,86,1,
175,32,<james-joyce><modernism>,2011-08-11 10:38:25.513,183,20,431,2,
176,32,<untagged>,2011-08-11 10:52:27.010,208,3,51,2,
182,81,<short-stories>,2011-08-11 14:16:57.900,199,6,148,1,0
192,30,<author-information>,2011-08-11 16:43:37.143,195,6,273,2,1
193,64,<ebooks><technology>,2011-08-11 17:13:16.020,194,20,558,4,2
196,40,<reading-order><jd-salinger>,2011-08-11 18:12:32.970,205,8,139,2,
198,10,<victor-hugo><les-miserables><reading-level>,2011-08-11 18:32:36.783,210,10,140,4,1
200,38,<book-recommendations>,2011-08-11 18:56:27.003,201,4,87,3,8
202,72,<folklore><fairy-tales>,2011-08-11 19:11:07.253,,6,71,2,3
214,64,<fantasy>,2011-08-11 21:51:17.403,215,6,99,1,1
219,26,<story-identification><childrens-book>,2011-08-12 04:38:23.430,,17,285,0,18
220,32,<poetry>,2011-08-12 04:49:22.843,221,10,123,1,
222,97,<book-recommendations><society><social-structure>,2011-08-12 08:30:30.043,224,17,379,17,3
225,48,<book-recommendations>,2011-08-12 12:11:51.500,,6,112,3,1
235,101,<bible><vintage><identification>,2011-08-12 18:43:05.607,240,6,239,3,1
244,127,<book-recommendations><robert-asprin>,2011-08-13 03:17:48.287,,5,123,4,1
246,127,<education><programming>,2011-08-13 03:30:19.687,,-4,64,1,3
247,127,<untagged>,2011-08-13 03:45:54.357,278,14,442,1,
254,86,<book-recommendations><fantasy>,2011-08-13 09:08:37.753,,10,459,4,
255,86,<book-recommendations><mystery><edgar-allan-poe>,2011-08-13 09:27:07.687,258,3,69,1,2
261,124,<book-recommendations><ebooks><author-recommendations>,2011-08-13 14:21:50.340,276,5,96,3,1
272,60,<story-identification>,2011-08-13 19:03:13.197,274,2,69,1,
282,32,<isaac-asimov><foundation-series><shared-universe>,2011-08-14 08:35:31.783,,10,106,0,2
283,32,<analysis>,2011-08-14 08:41:45.617,663,8,141,3,
284,32,<heros-journey>,2011-08-14 08:51:23.023,,7,147,5,1
285,32,<douglas-hofstadter><godel-escher-bach>,2011-08-14 09:06:22.647,289,10,86,1,
287,65,<john-le-carre>,2011-08-14 10:22:07.420,292,4,3206,1,
288,65,<book-recommendations><john-le-carre>,2011-08-14 10:28:47.113,297,3,111,3,2
295,99,<reading-order>,2011-08-14 15:06:24.643,,4,64,0,
301,144,<childrens-book><mystery><author-information>,2011-08-14 17:09:12.717,303,16,132,1,2
302,124,<plot-clarification>,2011-08-14 17:25:41.817,,9,205,0,
307,124,<author-information><influences><characters>,2011-08-14 20:23:39.163,890,18,134,1,3
312,143,<george-orwell><symbol>,2011-08-15 14:49:31.277,,13,156,0,
319,149,<book-recommendations><fantasy>,2011-08-15 21:47:11.647,320,5,276,2,3
339,46,<untagged>,2011-08-16 09:37:33.390,,10,78,1,3
349,155,<novels><translations>,2011-08-16 19:15:43.947,,3,125,1,
362,124,<author-information>,2011-08-16 23:55:20.203,403,5,122,2,
365,186,<novels><analysis><meaning>,2011-08-17 05:03:06.210,382,12,135,1,
366,155,<novels><collectors-edition><kurt-vonnegut>,2011-08-17 05:53:58.983,367,6,81,1,
369,106,<story-identification>,2011-08-17 07:42:21.223,,12,159,0,4
373,46,<influences><jrr-tolkien><creation-myths>,2011-08-17 08:50:11.173,,22,263,0,
374,46,<book-recommendations>,2011-08-17 08:57:58.263,376,9,126,3,1
381,7,<history><gk-chesterton>,2011-08-17 15:25:45.737,,8,119,2,2
385,203,<novels><george-orwell><symbolism>,2011-08-17 21:06:24.353,,24,673,0,2
392,81,<meaning><fiction><phillip-pullman>,2011-08-18 08:02:57.983,,9,292,0,5
394,121,<book-recommendations>,2011-08-18 09:22:06.857,,8,156,1,1
395,155,<novels>,2011-08-18 10:09:34.710,397,6,118,2,
404,60,<biography>,2011-08-19 05:43:21.767,427,3,37,1,
405,192,<science-fiction>,2011-08-19 09:21:06.430,,17,217,3,
407,227,<novels><translations>,2011-08-19 11:12:40.413,,12,191,3,2
408,227,<novels><translations><gabriel-garcia-marquez><spanish-literature>,2011-08-19 11:19:41.247,772,5,94,1,
410,227,<author-information><translations>,2011-08-19 13:15:39.460,412,6,50,2,
417,227,<translations><author-information><juan-rulfo><spanish-literature>,2011-08-19 19:47:03.370,,5,92,1,0
418,227,<translations>,2011-08-19 19:56:12.980,,9,136,1,10
419,227,<book-recommendations><translations>,2011-08-19 20:09:38.683,520,5,156,4,15
421,230,<novels><umberto-eco>,2011-08-19 21:48:57.783,,7,103,1,3
425,190,<adaptations>,2011-08-20 10:13:14.920,426,3,65,1,1
436,32,<childrens-book>,2011-08-21 05:04:59.320,445,5,95,1,5
437,124,<analysis><hermann-hesse><german-literature>,2011-08-21 05:08:34.903,,6,50,1,
441,244,<poetry>,2011-08-21 20:54:25.290,,2,1109,1,
443,230,<reading-order><gk-chesterton><short-stories>,2011-08-22 07:32:14.430,451,3,51,2,
444,81,<mystery><fiction>,2011-08-22 10:37:47.347,773,5,144,1,
450,81,<influences><short-stories>,2011-08-22 12:29:34.340,452,5,149,1,
