PostId,Vote,VTime
1,5,2011-08-09
1,2,2011-08-09
1,2,2011-08-09
1,2,2011-08-09
2,2,2011-08-09
3,2,2011-08-09
1,2,2011-08-09
2,2,2011-08-09
2,2,2011-08-09
3,2,2011-08-09
7,2,2011-08-09
4,2,2011-08-09
4,2,2011-08-09
4,3,2011-08-09
8,2,2011-08-09
7,2,2011-08-09
8,2,2011-08-09
8,2,2011-08-09
12,2,2011-08-09
5,2,2011-08-09
11,2,2011-08-09
11,5,2011-08-09
3,3,2011-08-09
11,2,2011-08-09
14,2,2011-08-09
16,2,2011-08-09
6,2,2011-08-09
11,5,2011-08-09
9,2,2011-08-09
20,2,2011-08-09
14,2,2011-08-09
8,2,2011-08-09
3,2,2011-08-09
11,5,2011-08-09
22,2,2011-08-09
19,2,2011-08-09
29,2,2011-08-09
16,2,2011-08-09
30,6,2011-08-09
14,2,2011-08-09
14,2,2011-08-09
33,2,2011-08-09
31,6,2011-08-09
30,6,2011-08-09
34,6,2011-08-09
34,6,2011-08-09
34,3,2011-08-09
32,2,2011-08-09
34,6,2011-08-09
30,6,2011-08-09
34,6,2011-08-09
34,3,2011-08-09
30,10,2011-08-09
34,10,2011-08-09
31,10,2011-08-09
35,2,2011-08-09
35,6,2011-08-09
3,2,2011-08-09
8,2,2011-08-09
2,2,2011-08-09
14,2,2011-08-09
6,15,2011-08-09
29,2,2011-08-09
8,2,2011-08-09
35,6,2011-08-09
47,2,2011-08-09
11,2,2011-08-09
38,2,2011-08-09
42,3,2011-08-09
39,2,2011-08-09
2,2,2011-08-09
13,2,2011-08-09
42,2,2011-08-09
6,15,2011-08-09
11,3,2011-08-09
22,2,2011-08-09
47,2,2011-08-09
9,2,2011-08-09
26,16,2011-08-09
49,2,2011-08-09
49,1,2011-08-09
50,2,2011-08-09
24,2,2011-08-09
6,15,2011-08-09
36,2,2011-08-09
5,2,2011-08-09
5,5,2011-08-09
49,2,2011-08-09
8,2,2011-08-09
54,2,2011-08-09
58,2,2011-08-09
55,2,2011-08-09
54,2,2011-08-09
60,2,2011-08-09
53,2,2011-08-09
54,2,2011-08-09
51,2,2011-08-09
26,3,2011-08-09
53,2,2011-08-09
55,2,2011-08-09
19,2,2011-08-09
28,2,2011-08-09
61,2,2011-08-09
60,2,2011-08-09
67,2,2011-08-09
64,6,2011-08-09
64,6,2011-08-09
64,6,2011-08-09
11,16,2011-08-09
68,2,2011-08-09
28,6,2011-08-09
11,2,2011-08-09
56,2,2011-08-09
56,1,2011-08-09
57,2,2011-08-09
53,2,2011-08-09
57,2,2011-08-09
68,2,2011-08-09
35,6,2011-08-09
61,2,2011-08-09
17,2,2011-08-09
65,2,2011-08-09
65,1,2011-08-09
55,2,2011-08-09
62,2,2011-08-09
62,1,2011-08-09
70,2,2011-08-09
60,2,2011-08-09
61,2,2011-08-09
72,2,2011-08-09
38,2,2011-08-10
56,16,2011-08-10
74,2,2011-08-10
69,2,2011-08-10
71,2,2011-08-10
58,2,2011-08-10
50,2,2011-08-10
51,2,2011-08-10
66,2,2011-08-10
58,2,2011-08-10
17,2,2011-08-10
51,2,2011-08-10
64,3,2011-08-10
51,2,2011-08-10
38,2,2011-08-10
56,2,2011-08-10
77,2,2011-08-10
78,2,2011-08-10
75,2,2011-08-10
54,3,2011-08-10
81,2,2011-08-10
12,2,2011-08-10
54,3,2011-08-10
81,2,2011-08-10
15,2,2011-08-10
82,2,2011-08-10
72,2,2011-08-10
80,2,2011-08-10
36,2,2011-08-10
56,2,2011-08-10
38,2,2011-08-10
5,2,2011-08-10
51,2,2011-08-10
81,2,2011-08-10
32,2,2011-08-10
84,2,2011-08-10
72,16,2011-08-10
84,2,2011-08-10
85,2,2011-08-10
85,2,2011-08-10
8,2,2011-08-10
14,2,2011-08-10
16,2,2011-08-10
11,2,2011-08-10
71,2,2011-08-10
60,2,2011-08-10
55,2,2011-08-10
82,5,2011-08-10
19,2,2011-08-10
58,2,2011-08-10
51,2,2011-08-10
81,2,2011-08-10
49,2,2011-08-10
24,2,2011-08-10
85,2,2011-08-10
28,3,2011-08-10
53,2,2011-08-10
70,2,2011-08-10
35,3,2011-08-10
35,6,2011-08-10
68,2,2011-08-10
82,2,2011-08-10
5,2,2011-08-10
82,2,2011-08-10
83,2,2011-08-10
35,6,2011-08-10
17,2,2011-08-10
85,2,2011-08-10
80,2,2011-08-10
79,2,2011-08-10
82,2,2011-08-10
90,6,2011-08-10
91,2,2011-08-10
5,2,2011-08-10
89,6,2011-08-10
89,6,2011-08-10
91,2,2011-08-10
65,2,2011-08-10
24,2,2011-08-10
85,2,2011-08-10
19,2,2011-08-10
90,3,2011-08-10
87,2,2011-08-10
58,2,2011-08-10
59,2,2011-08-10
92,2,2011-08-10
92,2,2011-08-10
92,1,2011-08-10
82,2,2011-08-10
82,5,2011-08-10
32,2,2011-08-10
88,2,2011-08-10
82,2,2011-08-10
83,2,2011-08-10
62,2,2011-08-10
28,3,2011-08-10
94,2,2011-08-10
89,6,2011-08-10
99,2,2011-08-10
90,3,2011-08-10
90,6,2011-08-10
81,2,2011-08-10
98,2,2011-08-10
51,2,2011-08-10
91,2,2011-08-10
93,2,2011-08-10
100,2,2011-08-10
96,2,2011-08-10
90,3,2011-08-10
82,2,2011-08-10
61,2,2011-08-10
85,2,2011-08-10
51,2,2011-08-10
85,1,2011-08-10
86,3,2011-08-10
81,2,2011-08-10
51,2,2011-08-10
81,2,2011-08-10
42,2,2011-08-10
95,2,2011-08-10
77,2,2011-08-10
12,2,2011-08-10
104,2,2011-08-10
74,2,2011-08-10
69,2,2011-08-10
91,2,2011-08-10
3,2,2011-08-10
67,2,2011-08-10
90,6,2011-08-10
2,2,2011-08-10
90,3,2011-08-10
90,6,2011-08-10
32,2,2011-08-10
87,2,2011-08-10
58,2,2011-08-10
94,2,2011-08-10
82,2,2011-08-10
83,2,2011-08-10
54,2,2011-08-10
103,2,2011-08-10
98,2,2011-08-10
91,2,2011-08-10
90,6,2011-08-10
89,6,2011-08-10
82,2,2011-08-10
78,1,2011-08-10
8,2,2011-08-10
80,2,2011-08-10
60,2,2011-08-10
82,2,2011-08-10
83,2,2011-08-10
82,5,2011-08-10
114,6,2011-08-10
81,2,2011-08-10
54,2,2011-08-10
115,2,2011-08-10
87,2,2011-08-10
116,2,2011-08-10
42,2,2011-08-10
81,2,2011-08-10
81,3,2011-08-10
76,2,2011-08-10
86,2,2011-08-10
22,16,2011-08-10
46,16,2011-08-10
112,16,2011-08-10
23,3,2011-08-10
117,2,2011-08-10
94,2,2011-08-10
23,10,2011-08-10
119,2,2011-08-10
28,2,2011-08-10
121,2,2011-08-10
120,2,2011-08-10
100,2,2011-08-10
122,2,2011-08-10
95,2,2011-08-10
111,16,2011-08-10
82,2,2011-08-10
8,2,2011-08-10
82,5,2011-08-10
82,2,2011-08-10
100,2,2011-08-10
60,2,2011-08-10
67,2,2011-08-10
71,2,2011-08-10
58,2,2011-08-10
5,2,2011-08-10
124,2,2011-08-10
124,1,2011-08-10
61,2,2011-08-10
38,2,2011-08-10
56,2,2011-08-10
32,2,2011-08-10
88,2,2011-08-10
120,2,2011-08-10
17,2,2011-08-10
119,2,2011-08-10
117,2,2011-08-10
112,2,2011-08-10
18,2,2011-08-10
1,2,2011-08-10
53,2,2011-08-10
70,2,2011-08-10
120,2,2011-08-10
14,2,2011-08-10
58,2,2011-08-10
85,2,2011-08-10
16,2,2011-08-10
49,2,2011-08-10
54,2,2011-08-10
76,2,2011-08-10
80,2,2011-08-10
9,2,2011-08-10
120,2,2011-08-10
124,2,2011-08-10
117,2,2011-08-10
112,2,2011-08-10
120,2,2011-08-10
66,2,2011-08-10
50,2,2011-08-10
121,2,2011-08-10
95,2,2011-08-10
78,2,2011-08-10
77,2,2011-08-10
125,2,2011-08-10
126,2,2011-08-10
126,2,2011-08-10
127,2,2011-08-10
127,1,2011-08-10
120,2,2011-08-10
125,2,2011-08-10
126,2,2011-08-10
118,2,2011-08-10
89,6,2011-08-10
117,2,2011-08-10
112,2,2011-08-10
123,2,2011-08-10
83,2,2011-08-10
113,2,2011-08-10
124,2,2011-08-10
120,2,2011-08-10
107,16,2011-08-10
108,16,2011-08-10
118,16,2011-08-10
90,10,2011-08-10
130,6,2011-08-10
130,3,2011-08-10
125,2,2011-08-10
130,6,2011-08-10
130,3,2011-08-10
1,2,2011-08-10
115,2,2011-08-10
130,6,2011-08-10
130,3,2011-08-10
130,6,2011-08-10
130,6,2011-08-10
130,3,2011-08-10
5,5,2011-08-10
28,2,2011-08-10
28,6,2011-08-10
3,2,2011-08-10
60,2,2011-08-10
132,2,2011-08-10
68,2,2011-08-10
76,2,2011-08-10
135,2,2011-08-10
104,2,2011-08-10
58,2,2011-08-10
50,2,2011-08-10
81,2,2011-08-10
54,2,2011-08-10
50,5,2011-08-10
140,2,2011-08-10
132,2,2011-08-10
50,2,2011-08-10
125,2,2011-08-10
126,2,2011-08-10
114,6,2011-08-10
100,2,2011-08-10
58,2,2011-08-10
139,1,2011-08-10
139,2,2011-08-10
139,2,2011-08-10
138,2,2011-08-10
