QId_x,QUserId,QTags,QTime,QAcceptedAnswerId,QScore,QViewCount,QAnswerCount,QCommentCount,AId,AUserId,QId_y,ATime,AScore,ACommentCount
1,22.0,<physics.ed-ph><cond-math.stat-mech><classical-thermodynamics>,2011-09-14 22:08:57.500,27.0,22,320,1.0,2.0,27,121.0,1,2011-09-15 19:32:06.103,16,
2,40.0,<statistical-mechanics>,2011-09-14 22:23:13.703,19.0,38,1112,5.0,3.0,19,107.0,2,2011-09-15 10:43:19.383,25,6.0
3,48.0,<quantum-field-theory><renormalization><lattice-gauge-theory>,2011-09-14 22:34:28.207,10.0,22,483,3.0,,10,27.0,3,2011-09-15 02:06:24.657,17,3.0
4,22.0,<integration><molecular-dynamics>,2011-09-14 22:52:49.067,26.0,12,182,1.0,,26,93.0,4,2011-09-15 18:02:32.020,14,1.0
6,43.0,<quantum-field-theory><gravity><supersymmetry><hep-th><gr-qc>,2011-09-14 23:23:40.583,88.0,19,460,1.0,,88,205.0,6,2011-09-21 21:13:49.790,10,4.0
8,60.0,<quant-ph><quantum-mechanics><permutation-symmetric><majorana-representation>,2011-09-15 00:00:48.993,11.0,14,387,3.0,2.0,11,93.0,8,2011-09-15 05:04:51.117,13,
9,6.0,<quantum-field-theory><perturbation-theory>,2011-09-15 01:33:53.970,12.0,10,144,1.0,,12,97.0,9,2011-09-15 05:56:21.960,11,5.0
13,19.0,<math-ph><quantization><group-theory><hep-th>,2011-09-15 07:15:46.933,21.0,16,335,2.0,2.0,21,109.0,13,2011-09-15 12:05:24.463,17,
14,114.0,<quantum-field-theory><math-ph>,2011-09-15 07:43:35.717,20.0,17,257,2.0,,20,48.0,14,2011-09-15 11:42:43.440,17,4.0
23,132.0,<quant-ph><quantum-computing><quantum-control>,2011-09-15 14:10:16.087,25.0,13,371,3.0,1.0,25,93.0,23,2011-09-15 16:29:44.153,14,14.0
28,123.0,<math-ph><quant-ph><quantum-mechanics><hilbert-space><functional-analysis>,2011-09-15 19:47:34.950,29.0,27,294,2.0,1.0,29,109.0,28,2011-09-15 23:37:31.150,20,
30,40.0,<cond-mat>,2011-09-16 01:52:44.817,32.0,14,234,1.0,,32,96.0,30,2011-09-16 03:54:43.543,16,3.0
37,128.0,<statistical-mechanics>,2011-09-16 11:53:06.593,38.0,18,410,3.0,4.0,38,93.0,37,2011-09-16 13:41:00.930,16,3.0
40,150.0,<quantum-field-theory><math-ph><supersymmetry>,2011-09-16 17:30:01.787,41.0,17,427,2.0,4.0,41,28.0,40,2011-09-16 18:59:37.197,17,7.0
42,43.0,<gravity><gr-qc>,2011-09-17 02:33:56.330,45.0,18,203,2.0,,45,28.0,42,2011-09-17 14:51:41.230,16,2.0
46,87.0,<higgs><standard-model>,2011-09-17 15:04:26.677,47.0,5,296,2.0,9.0,47,93.0,46,2011-09-17 16:48:22.580,16,
54,43.0,<quantum-field-theory><gravity><hep-th><gr-qc>,2011-09-18 18:03:29.453,56.0,13,215,1.0,15.0,56,120.0,54,2011-09-18 21:30:37.650,11,1.0
63,172.0,<quantum-mechanics><nonlocality><contextuality>,2011-09-19 17:15:50.320,435.0,14,358,4.0,,435,172.0,63,2011-11-02 01:00:04.533,2,
65,11.0,<quantum-mechanics><nonlocality>,2011-09-19 22:17:54.513,144.0,19,321,2.0,1.0,144,49.0,65,2011-10-03 10:17:42.493,10,3.0
67,6.0,<career-advice><soft-question>,2011-09-20 12:57:57.830,70.0,12,438,2.0,15.0,70,93.0,67,2011-09-20 13:32:25.937,16,4.0
68,121.0,<quantum-mechanics><spin-model>,2011-09-20 13:21:08.197,72.0,11,191,3.0,1.0,72,93.0,68,2011-09-20 13:48:48.350,8,2.0
75,132.0,<computer-science><soft-question>,2011-09-20 14:20:27.693,79.0,12,798,5.0,6.0,79,93.0,75,2011-09-20 15:39:29.060,15,6.0
82,43.0,<quantum-field-theory><hep-th>,2011-09-20 20:37:39.943,91.0,12,160,2.0,4.0,91,15.0,82,2011-09-22 12:53:53.797,9,
89,42.0,<book-recommendation>,2011-09-22 11:34:44.337,90.0,9,283,1.0,4.0,90,8.0,89,2011-09-22 12:42:48.377,12,1.0
93,93.0,<hep-th>,2011-09-23 05:52:30.097,98.0,28,1467,5.0,8.0,98,216.0,93,2011-09-23 17:52:23.613,23,8.0
102,43.0,<hep-th><supersymmetry><duality>,2011-09-24 02:42:06.797,103.0,9,145,1.0,,103,12.0,102,2011-09-24 04:14:55.873,9,2.0
105,12.0,<gravity><reference-request>,2011-09-24 05:43:45.123,457.0,11,322,1.0,1.0,457,558.0,105,2011-11-03 20:24:31.527,4,1.0
114,43.0,<quant-ph><gr-qc>,2011-09-25 21:08:13.100,117.0,13,318,3.0,4.0,117,169.0,114,2011-09-26 17:51:07.410,12,1.0
127,121.0,<quant-ph><permutation-symmetric><majorana-representation><group-theory>,2011-09-30 12:49:17.147,165.0,19,280,5.0,,165,274.0,127,2011-10-05 15:28:19.700,7,1.0
133,,<kaluza-klein><compactification>,2011-10-01 17:53:41.637,136.0,6,211,1.0,,136,216.0,133,2011-10-01 19:22:51.563,9,2.0
134,66.0,<gravity><gr-qc><topology>,2011-10-01 18:44:45.410,146.0,10,159,1.0,2.0,146,47.0,134,2011-10-03 14:54:16.733,9,
137,194.0,<quant-ph><quantum-computing>,2011-10-01 20:44:12.910,141.0,10,150,1.0,,141,93.0,137,2011-10-02 10:55:08.963,7,10.0
138,168.0,<quantum-field-theory><classical-field-theory><special-relativity>,2011-10-02 01:50:20.173,159.0,9,350,2.0,2.0,159,274.0,138,2011-10-05 10:41:34.640,5,1.0
143,229.0,<quantum-mechanics><nonlocality><norms><entanglement>,2011-10-03 09:16:14.853,145.0,8,224,1.0,,145,216.0,143,2011-10-03 11:11:01.063,4,8.0
153,224.0,<statistical-mechanics><spin-model><phase-transition>,2011-10-04 22:02:40.290,170.0,13,337,1.0,1.0,170,105.0,153,2011-10-05 16:53:14.833,4,1.0
161,97.0,<statistical-mechanics><reference-request><cond-math.stat-mech>,2011-10-05 13:12:15.457,423.0,7,197,1.0,0.0,423,97.0,161,2011-10-31 08:10:00.047,4,
162,259.0,<hep-th><string-theory>,2011-10-05 13:34:13.877,164.0,11,498,2.0,2.0,164,299.0,162,2011-10-05 14:18:47.107,5,8.0
168,304.0,<string-theory>,2011-10-05 16:00:32.020,219.0,4,222,1.0,6.0,219,418.0,168,2011-10-09 13:43:55.730,5,
176,330.0,<gr-qc><cosmology>,2011-10-06 04:19:05.577,178.0,2,151,1.0,3.0,178,216.0,176,2011-10-06 05:19:37.613,5,4.0
177,224.0,<probability>,2011-10-06 04:35:18.800,239.0,12,466,2.0,5.0,239,93.0,177,2011-10-11 06:18:23.990,7,6.0
181,298.0,<quantum-field-theory>,2011-10-06 09:48:06.830,184.0,11,271,2.0,,184,274.0,181,2011-10-06 10:36:56.067,15,2.0
192,358.0,<hep-th>,2011-10-07 02:53:29.100,193.0,12,298,1.0,3.0,193,318.0,192,2011-10-07 04:17:56.093,8,2.0
197,259.0,<hep-th><symmetry>,2011-10-07 16:56:01.720,201.0,17,542,1.0,3.0,201,216.0,197,2011-10-07 19:35:44.857,12,
203,395.0,<hep-th>,2011-10-08 13:14:29.233,204.0,9,367,1.0,1.0,204,28.0,203,2011-10-08 15:44:23.073,18,
217,416.0,<quantum-field-theory><string-theory>,2011-10-09 10:46:32.830,220.0,5,213,1.0,,220,259.0,217,2011-10-09 15:27:46.677,9,
234,399.0,<math-ph><string-theory>,2011-10-10 18:54:16.437,235.0,13,440,1.0,5.0,235,43.0,234,2011-10-10 19:35:49.757,15,5.0
