AId,AUserId,QId,ATime,AScore,ACommentCount
7,28,5,2011-09-14 23:37:42.287,18,1
10,27,3,2011-09-15 02:06:24.657,17,3
11,93,8,2011-09-15 05:04:51.117,13,
12,97,9,2011-09-15 05:56:21.960,11,5
15,96,13,2011-09-15 09:54:22.897,6,
16,128,3,2011-09-15 10:09:39.377,15,
19,107,2,2011-09-15 10:43:19.383,25,6
20,48,14,2011-09-15 11:42:43.440,17,4
21,109,13,2011-09-15 12:05:24.463,17,
25,93,23,2011-09-15 16:29:44.153,14,14
26,93,4,2011-09-15 18:02:32.020,14,1
27,121,1,2011-09-15 19:32:06.103,16,
29,109,28,2011-09-15 23:37:31.150,20,
31,60,23,2011-09-16 03:18:51.050,3,
32,96,30,2011-09-16 03:54:43.543,16,3
33,105,2,2011-09-16 06:50:37.187,19,6
34,118,18,2011-09-16 08:48:23.617,3,2
35,,28,2011-09-16 10:54:24.667,11,3
38,93,37,2011-09-16 13:41:00.930,16,3
41,28,40,2011-09-16 18:59:37.197,17,7
43,109,42,2011-09-17 07:20:00.880,10,3
44,54,23,2011-09-17 09:03:16.587,7,
45,28,42,2011-09-17 14:51:41.230,16,2
47,93,46,2011-09-17 16:48:22.580,16,
48,12,46,2011-09-17 17:20:39.607,11,
50,121,8,2011-09-18 08:31:17.863,6,
56,120,54,2011-09-18 21:30:37.650,11,1
58,43,57,2011-09-19 06:42:00.663,11,
59,118,57,2011-09-19 08:37:33.483,7,
64,66,57,2011-09-19 20:33:24.060,7,
66,93,63,2011-09-20 07:36:46.857,9,2
69,48,67,2011-09-20 13:29:01.360,11,
70,93,67,2011-09-20 13:32:25.937,16,4
71,198,63,2011-09-20 13:46:01.790,7,
72,93,68,2011-09-20 13:48:48.350,8,2
73,6,68,2011-09-20 13:53:28.613,6,2
74,114,57,2011-09-20 13:57:31.787,7,
77,40,75,2011-09-20 14:59:20.267,9,20
79,93,75,2011-09-20 15:39:29.060,15,6
81,43,80,2011-09-20 20:28:43.853,13,
83,85,80,2011-09-21 02:35:05.873,11,
84,85,78,2011-09-21 03:25:08.097,8,1
85,105,80,2011-09-21 07:23:33.257,10,
86,97,82,2011-09-21 19:11:23.650,7,
88,205,6,2011-09-21 21:13:49.790,10,4
90,8,89,2011-09-22 12:42:48.377,12,1
91,15,82,2011-09-22 12:53:53.797,9,
92,93,65,2011-09-23 05:04:22.027,10,1
95,120,94,2011-09-23 08:22:35.627,5,3
98,216,93,2011-09-23 17:52:23.613,23,8
99,216,62,2011-09-23 18:16:34.700,8,
100,216,22,2011-09-23 18:46:49.213,8,1
101,109,94,2011-09-24 01:15:04.337,6,22
103,12,102,2011-09-24 04:14:55.873,9,2
104,12,93,2011-09-24 04:45:21.920,26,4
106,113,80,2011-09-24 17:22:45.553,5,
108,93,107,2011-09-25 05:02:38.940,11,
109,105,107,2011-09-25 09:38:42.560,16,2
110,217,94,2011-09-25 13:15:38.113,6,1
112,205,40,2011-09-25 16:04:09.837,10,
115,37,114,2011-09-25 22:06:06.230,8,
116,93,114,2011-09-26 05:00:36.250,9,
117,169,114,2011-09-26 17:51:07.410,12,1
121,217,120,2011-09-27 15:05:26.397,8,1
122,109,107,2011-09-27 23:23:28.987,13,1
124,208,123,2011-09-29 07:15:39.537,10,1
128,93,127,2011-09-30 15:22:15.473,10,4
129,64,127,2011-10-01 03:25:40.117,6,1
130,229,125,2011-10-01 11:00:23.480,9,7
132,216,131,2011-10-01 14:52:58.693,6,5
136,216,133,2011-10-01 19:22:51.563,9,2
139,113,126,2011-10-02 06:16:32.710,2,3
140,97,126,2011-10-02 07:21:22.410,3,2
141,93,137,2011-10-02 10:55:08.963,7,10
142,28,138,2011-10-02 13:37:15.750,9,6
144,49,65,2011-10-03 10:17:42.493,10,3
145,216,143,2011-10-03 11:11:01.063,4,8
146,47,134,2011-10-03 14:54:16.733,9,
147,93,127,2011-10-03 16:20:13.210,7,1
148,111,120,2011-10-04 19:50:55.393,4,2
150,246,118,2011-10-04 21:46:15.880,9,5
152,194,127,2011-10-04 22:01:15.510,5,2
154,250,80,2011-10-04 22:39:20.953,5,
156,260,2,2011-10-05 02:46:25.593,4,
157,255,123,2011-10-05 07:16:35.620,3,6
159,274,138,2011-10-05 10:41:34.640,5,1
160,255,68,2011-10-05 12:54:18.117,5,
163,297,37,2011-10-05 14:16:07.467,9,3
164,299,162,2011-10-05 14:18:47.107,5,8
165,274,127,2011-10-05 15:28:19.700,7,1
169,246,37,2011-10-05 16:43:55.410,5,
170,105,153,2011-10-05 16:53:14.833,4,1
171,216,162,2011-10-05 17:14:49.950,2,4
172,260,166,2011-10-05 17:31:29.707,7,
173,314,155,2011-10-05 20:34:31.330,2,
174,315,166,2011-10-05 20:52:52.390,4,
178,216,176,2011-10-06 05:19:37.613,5,4
179,97,175,2011-10-06 06:19:42.570,7,2
180,255,155,2011-10-06 08:35:38.490,3,5
182,336,125,2011-10-06 09:50:47.957,4,1
184,274,181,2011-10-06 10:36:56.067,15,2
185,216,181,2011-10-06 12:20:22.010,4,
187,323,166,2011-10-06 14:38:20.610,6,
188,347,166,2011-10-06 16:46:36.367,2,
189,314,175,2011-10-06 21:42:39.517,5,2
190,356,93,2011-10-07 00:18:34.163,-5,
193,318,192,2011-10-07 04:17:56.093,8,2
196,363,61,2011-10-07 07:36:18.977,5,23
199,,166,2011-10-07 17:57:04.003,4,
200,352,123,2011-10-07 18:08:35.500,2,2
201,216,197,2011-10-07 19:35:44.857,12,
202,302,93,2011-10-07 23:52:30.783,4,
204,28,203,2011-10-08 15:44:23.073,18,
209,43,206,2011-10-08 20:11:46.843,13,
210,28,206,2011-10-08 20:17:37.247,12,7
211,260,205,2011-10-09 00:11:09.553,5,2
212,11,205,2011-10-09 00:56:25.767,4,7
214,12,194,2011-10-09 04:31:57.773,4,1
219,418,168,2011-10-09 13:43:55.730,5,
220,259,217,2011-10-09 15:27:46.677,9,
