CId,CUserId,PId,@UserName,CTime,CScore
1,81,2, ,2011-09-15 00:42:04.970,
2,11,8, ,2011-09-15 03:20:05.973,5
3,92,2, ,2011-09-15 03:43:03.500,
5,93,8,UGPhysics,2011-09-15 06:32:09.763,
10,93,13, ,2011-09-15 09:13:39.073,
11,19,13,Joe,2011-09-15 09:26:38.087,
13,107,2, ,2011-09-15 10:49:21.933,9
14,28,18, ,2011-09-15 10:51:50.457,2
15,118,18, ,2011-09-15 10:54:22.033,
16,6,12, ,2011-09-15 11:44:04.920,
17,65,7, ,2011-09-15 12:09:52.940,
19,48,10, ,2011-09-15 12:44:08.750,
20,97,12, ,2011-09-15 12:58:32.443,1
21,97,19, ,2011-09-15 13:18:42.723,
22,109,22, ,2011-09-15 13:36:35.830,1
23,97,22,Urs,2011-09-15 13:48:27.293,
24,97,22, ,2011-09-15 14:02:17.347,
25,121,1, ,2011-09-15 14:07:14.470,
26,22,1,Piot,2011-09-15 14:09:36.633,
28,109,22, ,2011-09-15 14:17:19.400,
30,40,19, ,2011-09-15 14:23:03.940,
31,6,12, ,2011-09-15 15:30:42.680,
32,97,12, ,2011-09-15 16:05:48.883,
33,6,12, ,2011-09-15 16:07:20.097,
34,97,22, ,2011-09-15 16:31:09.730,1
35,132,25, ,2011-09-15 16:45:32.710,
36,93,25,Aaron,2011-09-15 16:54:55.347,
37,26,25, ,2011-09-15 17:19:49.370,
38,26,25, ,2011-09-15 17:25:32.607,
39,132,25,Kaveh,2011-09-15 17:32:13.187,
40,26,25, ,2011-09-15 17:56:46.313,
41,93,25, ,2011-09-15 18:19:25.863,
42,93,25,Kaveh_kh,2011-09-15 18:30:33.237,
43,123,28, ,2011-09-15 19:49:09.100,
44,26,25, ,2011-09-15 20:30:41.303,
45,26,25,Joe,2011-09-15 20:36:27.850,
46,132,25,Kaveh_kh,2011-09-15 21:31:39.573,
47,26,25,Aaron,2011-09-15 21:49:24.097,
48,92,23, ,2011-09-15 22:11:33.283,1
49,40,19, ,2011-09-16 02:02:10.153,
50,93,25,Kaveh_kh,2011-09-16 03:11:03.630,
52,40,32, ,2011-09-16 04:07:31.277,
53,26,25, ,2011-09-16 04:20:54.537,
54,73,32, ,2011-09-16 05:26:53.513,5
55,96,32,seandbarrett,2011-09-16 05:41:41.680,
56,114,20, ,2011-09-16 07:28:43.747,
57,114,20, ,2011-09-16 07:29:05.697,
58,107,19, ,2011-09-16 07:37:03.127,1
59,107,19, ,2011-09-16 07:39:03.730,1
60,107,19, ,2011-09-16 07:39:25.853,
61,93,34, ,2011-09-16 09:00:45.687,2
62,118,34, ,2011-09-16 10:53:04.833,
63,109,35, ,2011-09-16 11:14:05.923,
64,,35,Urs,2011-09-16 11:35:21.120,
65,48,20, ,2011-09-16 11:47:08.770,
66,12,36, ,2011-09-16 13:11:12.320,
68,128,38, ,2011-09-16 14:14:49.823,
69,109,36, ,2011-09-16 14:16:25.423,
70,93,38,Javier,2011-09-16 14:30:35.937,1
78,28,40, ,2011-09-16 18:45:17.720,
79,123,35, ,2011-09-16 19:23:32.593,2
82,48,20, ,2011-09-17 00:21:56.033,
85,43,43, ,2011-09-17 07:24:41.930,
89,28,43, ,2011-09-17 14:29:59.730,
90,93,46, ,2011-09-17 15:17:50.010,1
91,87,46,Joe,2011-09-17 15:19:36.933,2
92,87,46, ,2011-09-17 15:21:17.680,1
93,93,46, ,2011-09-17 15:24:08.787,4
94,87,46,Joe,2011-09-17 15:26:43.387,1
95,93,46, ,2011-09-17 15:35:15.107,3
96,93,46, ,2011-09-17 15:57:34.597,1
97,87,46,Joe,2011-09-17 16:10:50.040,1
98,43,45, ,2011-09-17 16:19:10.453,
99,109,45, ,2011-09-17 17:43:51.933,
100,150,41, ,2011-09-17 18:07:57.860,
101,28,41, ,2011-09-17 18:26:36.580,1
102,28,41, ,2011-09-17 18:29:58.723,
103,40,46, ,2011-09-17 18:46:27.543,4
104,109,43, ,2011-09-17 19:12:27.867,
105,97,22,Urs,2011-09-17 19:20:06.400,
112,121,51,VladimirKalitvianski,2011-09-18 15:57:08.953,
113,61,51, ,2011-09-18 15:59:37.797,
114,121,52, ,2011-09-18 16:08:29.630,
115,61,51, ,2011-09-18 16:09:12.687,
116,57,52,Piotr,2011-09-18 16:13:58.250,
117,121,51,VladimirKalitvianski,2011-09-18 16:15:37.983,2
118,121,52,Artem,2011-09-18 16:29:37.303,
119,93,52,Artem,2011-09-18 16:30:28.530,1
120,57,52,JoeFitzsimons,2011-09-18 16:33:39.827,
