QId,QUserId,QTags,QTime,QAcceptedAnswerId,QScore,QViewCount,QAnswerCount,QCommentCount
1,22,<physics.ed-ph><cond-math.stat-mech><classical-thermodynamics>,2011-09-14 22:08:57.500,27,22,320,1,2
2,40,<statistical-mechanics>,2011-09-14 22:23:13.703,19,38,1112,5,3
3,48,<quantum-field-theory><renormalization><lattice-gauge-theory>,2011-09-14 22:34:28.207,10,22,483,3,
4,22,<integration><molecular-dynamics>,2011-09-14 22:52:49.067,26,12,182,1,
5,65,<conformal-field-theory>,2011-09-14 23:10:28.697,,19,226,1,
6,43,<quantum-field-theory><gravity><supersymmetry><hep-th><gr-qc>,2011-09-14 23:23:40.583,88,19,460,1,
8,60,<quant-ph><quantum-mechanics><permutation-symmetric><majorana-representation>,2011-09-15 00:00:48.993,11,14,387,3,2
9,6,<quantum-field-theory><perturbation-theory>,2011-09-15 01:33:53.970,12,10,144,1,
13,19,<math-ph><quantization><group-theory><hep-th>,2011-09-15 07:15:46.933,21,16,335,2,2
14,114,<quantum-field-theory><math-ph>,2011-09-15 07:43:35.717,20,17,257,2,
18,118,<supersymmetry><string-theory>,2011-09-15 10:32:46.953,,12,140,1,2
22,97,<math-ph><gauge-theory><symmetry><quant-ph>,2011-09-15 13:06:56.893,,10,312,1,8
23,132,<quant-ph><quantum-computing><quantum-control>,2011-09-15 14:10:16.087,25,13,371,3,1
28,123,<math-ph><quant-ph><quantum-mechanics><hilbert-space><functional-analysis>,2011-09-15 19:47:34.950,29,27,294,2,1
30,40,<cond-mat>,2011-09-16 01:52:44.817,32,14,234,1,
36,109,<quantum-field-theory><gauge-theory>,2011-09-16 11:01:28.700,,13,390,1,2
37,128,<statistical-mechanics>,2011-09-16 11:53:06.593,38,18,410,3,4
40,150,<quantum-field-theory><math-ph><supersymmetry>,2011-09-16 17:30:01.787,41,17,427,2,4
42,43,<gravity><gr-qc>,2011-09-17 02:33:56.330,45,18,203,2,
