PostId,Vote,VTime
2,2,2011-09-14
2,2,2011-09-14
2,2,2011-09-14
1,2,2011-09-14
1,2,2011-09-14
2,2,2011-09-14
2,2,2011-09-14
1,2,2011-09-14
2,2,2011-09-14
3,2,2011-09-14
3,2,2011-09-14
2,2,2011-09-14
1,2,2011-09-14
2,2,2011-09-14
2,2,2011-09-14
3,2,2011-09-14
5,2,2011-09-14
1,2,2011-09-14
5,2,2011-09-14
5,2,2011-09-14
6,2,2011-09-14
6,2,2011-09-14
5,2,2011-09-14
7,2,2011-09-14
6,2,2011-09-14
6,2,2011-09-14
4,2,2011-09-14
1,2,2011-09-14
3,2,2011-09-14
6,2,2011-09-15
8,2,2011-09-15
4,2,2011-09-15
5,2,2011-09-15
7,2,2011-09-15
8,2,2011-09-15
2,2,2011-09-15
2,2,2011-09-15
1,2,2011-09-15
2,2,2011-09-15
3,2,2011-09-15
4,2,2011-09-15
5,2,2011-09-15
7,2,2011-09-15
6,2,2011-09-15
8,2,2011-09-15
6,2,2011-09-15
9,2,2011-09-15
8,2,2011-09-15
5,2,2011-09-15
7,2,2011-09-15
1,2,2011-09-15
1,2,2011-09-15
3,2,2011-09-15
10,2,2011-09-15
10,2,2011-09-15
3,2,2011-09-15
1,2,2011-09-15
8,2,2011-09-15
6,2,2011-09-15
5,2,2011-09-15
7,2,2011-09-15
4,2,2011-09-15
7,2,2011-09-15
7,2,2011-09-15
5,2,2011-09-15
3,2,2011-09-15
8,3,2011-09-15
1,2,2011-09-15
3,2,2011-09-15
2,2,2011-09-15
1,2,2011-09-15
4,2,2011-09-15
5,2,2011-09-15
6,2,2011-09-15
9,2,2011-09-15
8,2,2011-09-15
3,2,2011-09-15
2,2,2011-09-15
6,2,2011-09-15
5,2,2011-09-15
7,2,2011-09-15
10,2,2011-09-15
5,2,2011-09-15
8,2,2011-09-15
5,2,2011-09-15
6,2,2011-09-15
3,2,2011-09-15
6,2,2011-09-15
11,2,2011-09-15
9,2,2011-09-15
2,2,2011-09-15
3,2,2011-09-15
12,2,2011-09-15
11,2,2011-09-15
1,2,2011-09-15
8,16,2011-09-15
13,2,2011-09-15
14,2,2011-09-15
14,2,2011-09-15
9,2,2011-09-15
11,2,2011-09-15
13,2,2011-09-15
2,2,2011-09-15
3,2,2011-09-15
2,2,2011-09-15
3,2,2011-09-15
7,2,2011-09-15
14,2,2011-09-15
18,2,2011-09-15
16,2,2011-09-15
18,2,2011-09-15
19,2,2011-09-15
16,2,2011-09-15
19,2,2011-09-15
13,2,2011-09-15
15,2,2011-09-15
8,2,2011-09-15
12,2,2011-09-15
11,2,2011-09-15
14,2,2011-09-15
20,2,2011-09-15
1,2,2011-09-15
18,2,2011-09-15
20,2,2011-09-15
13,2,2011-09-15
18,2,2011-09-15
17,3,2011-09-15
19,2,2011-09-15
1,5,2011-09-15
10,1,2011-09-15
21,2,2011-09-15
15,2,2011-09-15
21,2,2011-09-15
13,2,2011-09-15
10,2,2011-09-15
19,2,2011-09-15
21,2,2011-09-15
1,16,2011-09-15
19,2,2011-09-15
16,2,2011-09-15
11,1,2011-09-15
22,2,2011-09-15
23,2,2011-09-15
17,3,2011-09-15
8,2,2011-09-15
19,2,2011-09-15
7,2,2011-09-15
2,2,2011-09-15
10,2,2011-09-15
16,2,2011-09-15
21,2,2011-09-15
20,2,2011-09-15
23,2,2011-09-15
4,2,2011-09-15
6,2,2011-09-15
19,2,2011-09-15
14,2,2011-09-15
25,2,2011-09-15
25,2,2011-09-15
25,2,2011-09-15
23,2,2011-09-15
25,2,2011-09-15
23,2,2011-09-15
21,2,2011-09-15
19,2,2011-09-15
2,2,2011-09-15
1,2,2011-09-15
23,2,2011-09-15
25,2,2011-09-15
17,2,2011-09-15
15,2,2011-09-15
21,2,2011-09-15
23,2,2011-09-15
25,2,2011-09-15
25,2,2011-09-15
17,3,2011-09-15
12,2,2011-09-15
23,3,2011-09-15
25,3,2011-09-15
18,2,2011-09-15
20,2,2011-09-15
26,2,2011-09-15
13,2,2011-09-15
21,2,2011-09-15
23,2,2011-09-15
25,2,2011-09-15
6,2,2011-09-15
4,2,2011-09-15
10,2,2011-09-15
19,2,2011-09-15
26,2,2011-09-15
4,2,2011-09-15
26,2,2011-09-15
23,2,2011-09-15
25,2,2011-09-15
9,2,2011-09-15
12,2,2011-09-15
14,16,2011-09-15
17,16,2011-09-15
19,16,2011-09-15
17,3,2011-09-15
19,2,2011-09-15
5,2,2011-09-15
14,2,2011-09-15
16,2,2011-09-15
21,2,2011-09-15
19,2,2011-09-15
24,10,2011-09-15
17,2,2011-09-15
27,2,2011-09-15
18,2,2011-09-15
20,2,2011-09-15
5,2,2011-09-15
7,2,2011-09-15
28,2,2011-09-15
1,16,2011-09-15
27,2,2011-09-15
25,2,2011-09-15
27,2,2011-09-15
28,2,2011-09-15
26,2,2011-09-15
27,2,2011-09-15
28,2,2011-09-15
28,2,2011-09-15
28,2,2011-09-15
17,3,2011-09-15
11,2,2011-09-15
8,2,2011-09-15
19,2,2011-09-15
2,2,2011-09-15
16,2,2011-09-15
5,2,2011-09-15
7,2,2011-09-15
2,2,2011-09-15
23,2,2011-09-15
17,3,2011-09-15
27,2,2011-09-15
27,2,2011-09-15
28,2,2011-09-15
27,2,2011-09-15
1,2,2011-09-15
26,2,2011-09-15
11,2,2011-09-15
12,2,2011-09-15
18,2,2011-09-15
1,2,2011-09-15
26,2,2011-09-15
19,2,2011-09-15
23,2,2011-09-15
22,2,2011-09-15
14,2,2011-09-15
28,2,2011-09-15
2,2,2011-09-15
28,2,2011-09-16
2,2,2011-09-16
29,2,2011-09-16
30,2,2011-09-16
19,1,2011-09-16
30,2,2011-09-16
30,5,2011-09-16
30,2,2011-09-16
14,2,2011-09-16
30,2,2011-09-16
28,2,2011-09-16
22,2,2011-09-16
18,2,2011-09-16
17,3,2011-09-16
13,2,2011-09-16
27,2,2011-09-16
29,2,2011-09-16
23,2,2011-09-16
25,2,2011-09-16
20,2,2011-09-16
21,2,2011-09-16
15,2,2011-09-16
12,2,2011-09-16
11,2,2011-09-16
7,2,2011-09-16
26,2,2011-09-16
10,2,2011-09-16
16,2,2011-09-16
19,2,2011-09-16
6,5,2011-09-16
8,2,2011-09-16
29,2,2011-09-16
2,2,2011-09-16
32,2,2011-09-16
32,1,2011-09-16
28,5,2011-09-16
29,2,2011-09-16
32,2,2011-09-16
28,5,2011-09-16
29,2,2011-09-16
6,2,2011-09-16
28,2,2011-09-16
30,2,2011-09-16
32,2,2011-09-16
32,2,2011-09-16
27,2,2011-09-16
27,2,2011-09-16
32,2,2011-09-16
29,2,2011-09-16
33,2,2011-09-16
33,2,2011-09-16
20,2,2011-09-16
20,1,2011-09-16
29,2,2011-09-16
28,2,2011-09-16
2,2,2011-09-16
33,2,2011-09-16
5,2,2011-09-16
22,2,2011-09-16
32,2,2011-09-16
33,2,2011-09-16
28,2,2011-09-16
28,5,2011-09-16
22,2,2011-09-16
34,2,2011-09-16
35,2,2011-09-16
36,2,2011-09-16
30,2,2011-09-16
32,2,2011-09-16
30,2,2011-09-16
35,2,2011-09-16
29,2,2011-09-16
28,2,2011-09-16
37,2,2011-09-16
28,2,2011-09-16
29,2,2011-09-16
14,2,2011-09-16
20,2,2011-09-16
37,2,2011-09-16
2,2,2011-09-16
19,2,2011-09-16
37,2,2011-09-16
36,2,2011-09-16
28,2,2011-09-16
38,2,2011-09-16
37,2,2011-09-16
38,2,2011-09-16
37,2,2011-09-16
38,2,2011-09-16
30,2,2011-09-16
37,2,2011-09-16
38,2,2011-09-16
37,2,2011-09-16
38,2,2011-09-16
38,1,2011-09-16
37,2,2011-09-16
39,3,2011-09-16
39,3,2011-09-16
39,6,2011-09-16
36,2,2011-09-16
39,6,2011-09-16
39,3,2011-09-16
39,6,2011-09-16
39,3,2011-09-16
39,6,2011-09-16
40,2,2011-09-16
40,2,2011-09-16
39,3,2011-09-16
35,2,2011-09-16
20,2,2011-09-16
39,6,2011-09-16
39,3,2011-09-16
39,3,2011-09-16
19,2,2011-09-16
2,2,2011-09-16
28,2,2011-09-16
29,2,2011-09-16
27,2,2011-09-16
1,2,2011-09-16
39,3,2011-09-16
37,2,2011-09-16
38,2,2011-09-16
14,2,2011-09-16
38,2,2011-09-16
37,5,2011-09-16
40,2,2011-09-16
29,1,2011-09-16
41,2,2011-09-16
40,2,2011-09-16
26,2,2011-09-16
40,2,2011-09-16
41,2,2011-09-16
23,2,2011-09-16
6,2,2011-09-16
41,2,2011-09-16
36,2,2011-09-16
8,2,2011-09-16
5,2,2011-09-16
7,2,2011-09-16
3,2,2011-09-16
10,2,2011-09-16
16,2,2011-09-16
8,2,2011-09-16
11,2,2011-09-16
13,2,2011-09-16
21,2,2011-09-16
22,2,2011-09-16
30,2,2011-09-16
32,2,2011-09-16
28,5,2011-09-16
28,2,2011-09-16
32,2,2011-09-16
36,2,2011-09-16
38,2,2011-09-16
39,3,2011-09-16
41,2,2011-09-16
36,5,2011-09-16
39,3,2011-09-16
40,2,2011-09-16
20,2,2011-09-17
20,2,2011-09-17
6,5,2011-09-17
42,2,2011-09-17
37,2,2011-09-17
38,2,2011-09-17
25,2,2011-09-17
23,2,2011-09-17
26,2,2011-09-17
42,2,2011-09-17
42,2,2011-09-17
43,2,2011-09-17
43,2,2011-09-17
6,2,2011-09-17
42,2,2011-09-17
26,1,2011-09-17
26,2,2011-09-17
39,3,2011-09-17
44,2,2011-09-17
14,2,2011-09-17
44,2,2011-09-17
41,2,2011-09-17
43,2,2011-09-17
42,2,2011-09-17
43,2,2011-09-17
42,2,2011-09-17
45,2,2011-09-17
46,2,2011-09-17
45,2,2011-09-17
47,2,2011-09-17
21,2,2011-09-17
13,2,2011-09-17
12,2,2011-09-17
9,2,2011-09-17
48,2,2011-09-17
42,2,2011-09-17
43,2,2011-09-17
45,2,2011-09-17
42,5,2011-09-17
47,2,2011-09-17
48,2,2011-09-17
45,2,2011-09-17
42,2,2011-09-17
34,2,2011-09-17
47,2,2011-09-17
48,2,2011-09-17
46,2,2011-09-17
47,2,2011-09-17
37,2,2011-09-17
38,2,2011-09-17
31,2,2011-09-17
29,2,2011-09-17
35,2,2011-09-17
49,2,2011-09-17
18,2,2011-09-17
39,3,2011-09-17
42,5,2011-09-17
48,2,2011-09-17
46,3,2011-09-17
35,2,2011-09-17
29,2,2011-09-17
28,2,2011-09-17
9,2,2011-09-17
12,2,2011-09-17
42,2,2011-09-17
43,2,2011-09-17
45,2,2011-09-17
14,2,2011-09-17
20,2,2011-09-17
41,2,2011-09-17
2,2,2011-09-17
19,2,2011-09-17
33,2,2011-09-17
16,16,2011-09-17
46,3,2011-09-17
48,2,2011-09-17
47,2,2011-09-17
47,2,2011-09-17
48,2,2011-09-17
47,2,2011-09-17
46,2,2011-09-17
49,2,2011-09-17
39,3,2011-09-17
46,3,2011-09-17
49,2,2011-09-17
45,2,2011-09-18
2,2,2011-09-18
25,2,2011-09-18
44,2,2011-09-18
31,2,2011-09-18
14,2,2011-09-18
20,2,2011-09-18
45,2,2011-09-18
46,2,2011-09-18
13,2,2011-09-18
4,2,2011-09-18
26,2,2011-09-18
39,3,2011-09-18
51,2,2011-09-18
21,2,2011-09-18
26,2,2011-09-18
4,2,2011-09-18
1,2,2011-09-18
51,2,2011-09-18
51,2,2011-09-18
51,2,2011-09-18
35,2,2011-09-18
51,2,2011-09-18
51,2,2011-09-18
51,2,2011-09-18
49,2,2011-09-18
52,2,2011-09-18
53,2,2011-09-18
22,2,2011-09-18
28,2,2011-09-18
29,2,2011-09-18
35,2,2011-09-18
3,2,2011-09-18
10,2,2011-09-18
16,2,2011-09-18
13,2,2011-09-18
21,2,2011-09-18
52,2,2011-09-18
51,2,2011-09-18
52,2,2011-09-18
50,2,2011-09-18
39,10,2011-09-18
54,2,2011-09-18
54,5,2011-09-18
54,2,2011-09-18
47,2,2011-09-18
29,2,2011-09-18
28,5,2011-09-18
28,2,2011-09-18
54,5,2011-09-18
52,2,2011-09-18
54,2,2011-09-18
10,2,2011-09-18
56,2,2011-09-18
56,2,2011-09-18
54,2,2011-09-18
55,2,2011-09-18
53,3,2011-09-19
46,3,2011-09-19
47,2,2011-09-19
48,2,2011-09-19
49,2,2011-09-19
20,2,2011-09-19
52,2,2011-09-19
47,1,2011-09-19
41,2,2011-09-19
54,2,2011-09-19
56,2,2011-09-19
32,2,2011-09-19
28,2,2011-09-19
50,2,2011-09-19
56,2,2011-09-19
29,2,2011-09-19
28,2,2011-09-19
29,2,2011-09-19
57,2,2011-09-19
2,2,2011-09-19
55,2,2011-09-19
57,2,2011-09-19
58,2,2011-09-19
57,2,2011-09-19
58,2,2011-09-19
58,2,2011-09-19
57,2,2011-09-19
58,2,2011-09-19
57,2,2011-09-19
59,2,2011-09-19
60,2,2011-09-19
58,2,2011-09-19
49,2,2011-09-19
47,2,2011-09-19
46,2,2011-09-19
57,16,2011-09-19
58,2,2011-09-19
59,2,2011-09-19
42,2,2011-09-19
45,2,2011-09-19
56,2,2011-09-19
57,2,2011-09-19
58,2,2011-09-19
59,2,2011-09-19
61,5,2011-09-19
61,2,2011-09-19
61,2,2011-09-19
61,2,2011-09-19
16,2,2011-09-19
62,2,2011-09-19
62,2,2011-09-19
63,2,2011-09-19
51,2,2011-09-19
46,15,2011-09-19
54,2,2011-09-19
56,2,2011-09-19
63,2,2011-09-19
61,2,2011-09-19
61,2,2011-09-19
63,2,2011-09-19
63,5,2011-09-19
63,2,2011-09-19
49,2,2011-09-19
63,2,2011-09-19
63,2,2011-09-19
63,2,2011-09-19
62,2,2011-09-19
65,2,2011-09-19
65,2,2011-09-19
63,2,2011-09-19
53,2,2011-09-19
51,2,2011-09-19
37,2,2011-09-19
38,2,2011-09-19
22,2,2011-09-19
62,2,2011-09-19
45,1,2011-09-19
64,2,2011-09-19
65,2,2011-09-19
47,2,2011-09-19
48,2,2011-09-19
46,2,2011-09-19
2,2,2011-09-19
19,2,2011-09-19
65,2,2011-09-20
56,1,2011-09-20
65,2,2011-09-20
65,2,2011-09-20
51,2,2011-09-20
53,2,2011-09-20
65,2,2011-09-20
64,2,2011-09-20
65,2,2011-09-20
65,2,2011-09-20
63,2,2011-09-20
