AId,AUserId,QId,ATime,AScore,ACommentCount
11,4,3,2011-06-01 19:45:55.637,2,2
13,23,8,2011-06-01 19:48:16.970,15,
16,22,7,2011-06-01 19:49:13.197,9,
17,12,7,2011-06-01 19:50:19.463,15,4
19,17,4,2011-06-01 19:52:39.400,9,1
20,23,4,2011-06-01 19:52:41.637,7,1
22,4,8,2011-06-01 19:53:48.450,8,2
23,28,2,2011-06-01 19:55:07.777,5,1
24,20,4,2011-06-01 19:55:15.267,4,1
26,16,18,2011-06-01 19:57:15.777,11,1
27,12,15,2011-06-01 19:58:02.703,4,1
30,4,15,2011-06-01 20:00:34.993,8,
31,20,21,2011-06-01 20:00:45.663,1,
33,23,21,2011-06-01 20:03:30.983,6,5
34,22,14,2011-06-01 20:05:29.270,7,
35,28,28,2011-06-01 20:06:28.147,9,6
36,23,25,2011-06-01 20:07:18.223,9,
37,20,28,2011-06-01 20:10:49.507,1,
38,4,18,2011-06-01 20:10:57.087,12,6
40,33,18,2011-06-01 20:12:43.977,12,2
41,22,32,2011-06-01 20:14:28.663,8,
42,23,28,2011-06-01 20:14:55.637,21,4
44,4,5,2011-06-01 20:15:34.273,8,
47,12,9,2011-06-01 20:25:45.407,8,1
48,13,43,2011-06-01 20:27:02.723,4,
49,33,43,2011-06-01 20:27:21.693,11,2
51,4,46,2011-06-01 20:37:14.713,10,10
52,23,46,2011-06-01 20:41:14.757,5,3
53,4,6,2011-06-01 20:43:13.583,4,1
54,46,46,2011-06-01 20:46:05.350,3,3
55,22,45,2011-06-01 20:50:08.673,6,2
56,22,39,2011-06-01 20:59:54.200,4,
57,46,8,2011-06-01 21:01:04.563,0,2
58,46,28,2011-06-01 21:03:40.707,1,1
59,23,12,2011-06-01 21:07:24.013,9,1
60,22,1,2011-06-01 21:14:36.887,5,
61,46,18,2011-06-01 21:14:56.990,11,3
62,46,2,2011-06-01 21:19:41.090,22,1
65,46,63,2011-06-01 21:24:22.273,7,
66,51,39,2011-06-01 21:26:49.697,3,
67,4,50,2011-06-01 21:43:26.957,4,
68,4,64,2011-06-01 21:53:03.060,13,
69,51,21,2011-06-01 21:55:23.727,5,2
71,13,64,2011-06-01 21:56:09.677,8,
72,34,70,2011-06-01 21:59:38.793,4,
73,57,70,2011-06-01 22:08:17.067,4,1
75,57,12,2011-06-01 22:21:01.027,5,
76,60,74,2011-06-01 22:30:34.003,4,2
77,13,74,2011-06-01 22:30:53.803,6,2
79,22,78,2011-06-01 23:29:44.273,8,2
82,12,70,2011-06-01 23:57:55.640,2,
83,22,80,2011-06-01 23:58:06.920,7,
84,57,81,2011-06-02 00:00:46.443,18,2
