CId,CUserId,PId,@UserName,CTime,CScore
1,13,1, ,2011-06-01 19:41:26.173,1
2,31,18, ,2011-06-01 19:55:34.430,
3,9,17, ,2011-06-01 19:58:22.903,
4,19,22, ,2011-06-01 20:00:15.790,
5,4,22, ,2011-06-01 20:01:27.613,
6,12,17, ,2011-06-01 20:01:32.140,
7,13,20,dagorym,2011-06-01 20:03:21.000,
8,13,24, ,2011-06-01 20:05:31.313,
9,19,4, ,2011-06-01 20:08:20.223,
10,13,4, ,2011-06-01 20:11:52.517,
11,4,23, ,2011-06-01 20:12:17.147,1
13,9,47, ,2011-06-01 20:32:55.970,
15,46,52, ,2011-06-01 20:53:04.877,
16,46,38, ,2011-06-01 21:07:31.097,
17,4,38,Jeremy,2011-06-01 21:11:09.897,
18,45,57, ,2011-06-01 21:20:11.840,
20,4,62, ,2011-06-01 21:26:24.107,
21,46,57, ,2011-06-01 21:28:12.537,1
23,4,54, ,2011-06-01 21:31:07.987,
24,4,61, ,2011-06-01 21:33:09.247,
25,4,59, ,2011-06-01 21:40:33.107,
26,29,33, ,2011-06-01 22:05:04.403,
27,13,35, ,2011-06-01 22:21:24.440,
28,13,51, ,2011-06-01 22:44:59.767,2
29,4,77, ,2011-06-01 23:02:00.947,
30,4,76, ,2011-06-01 23:03:05.623,
31,28,35,Tigran,2011-06-01 23:08:39.180,
32,53,79, ,2011-06-01 23:46:44.590,
33,57,77, ,2011-06-01 23:53:29.510,
34,53,80, ,2011-06-01 23:58:23.923,
35,12,73, ,2011-06-01 23:59:49.383,
36,33,27, ,2011-06-02 00:04:08.077,
38,4,84, ,2011-06-02 00:59:19.753,
43,4,93, ,2011-06-02 01:34:18.320,
45,64,80,PeterMortensen,2011-06-02 01:56:46.777,
46,75,92, ,2011-06-02 02:00:28.783,
48,61,96, ,2011-06-02 02:15:24.367,1
49,4,96,Eric,2011-06-02 02:17:17.370,
50,61,92, ,2011-06-02 02:21:44.363,3
51,4,97, ,2011-06-02 02:29:54.670,
52,23,33, ,2011-06-02 03:01:42.937,2
53,4,100, ,2011-06-02 03:04:32.943,1
54,23,40, ,2011-06-02 03:04:53.483,1
55,23,61, ,2011-06-02 03:06:17.507,
56,82,11, ,2011-06-02 03:07:00.887,
57,4,11,HRJ,2011-06-02 03:15:40.777,
58,84,84,Carson,2011-06-02 03:31:11.790,1
59,60,76, ,2011-06-02 03:47:08.370,
60,84,81, ,2011-06-02 04:07:14.763,
61,4,81,Jefromi,2011-06-02 04:15:43.557,
62,90,107, ,2011-06-02 04:33:28.057,2
63,90,42, ,2011-06-02 04:35:45.667,1
64,82,85, ,2011-06-02 05:44:46.910,
65,81,42,Joe,2011-06-02 05:57:45.597,
66,81,26, ,2011-06-02 06:05:28.613,4
67,98,25, ,2011-06-02 07:28:42.840,
68,9,55, ,2011-06-02 08:43:03.190,
69,93,121, ,2011-06-02 09:21:03.673,
70,104,2, ,2011-06-02 09:43:34.253,1
71,19,118, ,2011-06-02 09:54:46.367,4
72,9,113, ,2011-06-02 10:11:02.133,
74,110,116, ,2011-06-02 12:37:57.887,3
75,23,113, ,2011-06-02 13:39:37.063,
76,33,120, ,2011-06-02 15:03:15.373,
77,62,115, ,2011-06-02 15:07:36.400,
78,33,129, ,2011-06-02 15:08:44.387,
79,23,115, ,2011-06-02 15:15:23.860,1
80,62,118,thei,2011-06-02 15:16:18.590,
81,62,115, ,2011-06-02 15:17:45.500,
82,33,143, ,2011-06-02 15:27:32.647,
83,12,53, ,2011-06-02 15:47:55.040,
84,86,131, ,2011-06-02 17:02:38.967,1
85,76,70, ,2011-06-02 17:05:20.350,
86,75,139, ,2011-06-02 17:29:11.527,2
87,75,33, ,2011-06-02 17:32:35.100,
88,46,131, ,2011-06-02 17:48:12.237,1
89,46,120, ,2011-06-02 17:49:58.633,
90,46,136, ,2011-06-02 17:58:47.397,2
91,52,160, ,2011-06-02 18:13:26.730,
92,52,162, ,2011-06-02 18:14:44.890,1
93,20,136,Jeremy,2011-06-02 18:27:14.603,
94,53,160,Anna,2011-06-02 18:29:07.037,2
95,61,33, ,2011-06-02 18:33:26.740,1
96,81,131,Jeremy,2011-06-02 18:54:55.620,
97,84,19, ,2011-06-02 22:27:48.863,1
98,71,123, ,2011-06-02 22:33:16.583,1
100,60,131, ,2011-06-02 22:37:52.513,
101,50,154, ,2011-06-03 00:15:11.703,4
102,86,181, ,2011-06-03 02:33:46.597,1
103,75,183, ,2011-06-03 02:37:17.687,
104,74,183, ,2011-06-03 02:47:00.523,
106,33,188, ,2011-06-03 06:00:45.087,
107,4,175, ,2011-06-03 07:09:58.217,
109,73,175,Carson,2011-06-03 14:55:51.673,1
110,22,55, ,2011-06-03 15:37:44.310,
111,22,79, ,2011-06-03 15:43:19.257,1
112,73,171, ,2011-06-03 16:17:37.653,2
113,73,197, ,2011-06-03 16:20:20.320,2
114,73,171, ,2011-06-03 16:31:12.907,1
115,19,171, ,2011-06-03 16:34:31.597,
116,73,171, ,2011-06-03 16:35:58.130,1
117,19,171,Larian,2011-06-03 16:38:10.567,
118,19,171,Larian,2011-06-03 16:38:54.653,1
119,73,171, ,2011-06-03 16:53:54.017,1
122,57,69, ,2011-06-03 22:06:59.827,
123,75,201, ,2011-06-03 22:07:48.663,
124,51,69,voithos,2011-06-03 22:12:55.753,
125,13,152, ,2011-06-03 22:51:04.750,
126,126,178, ,2011-06-04 03:45:16.597,
127,22,201, ,2011-06-04 04:22:26.993,
129,73,197, ,2011-06-04 13:11:41.587,2
130,60,218, ,2011-06-04 16:13:35.820,
131,60,218, ,2011-06-04 16:15:48.097,
134,60,218, ,2011-06-04 16:19:41.043,
135,61,152, ,2011-06-04 16:20:37.440,
136,60,218, ,2011-06-04 16:23:09.590,
137,8,178, ,2011-06-04 20:58:35.913,
138,57,178,Mr,2011-06-04 23:17:19.800,1
139,57,171, ,2011-06-05 00:30:39.780,
140,9,208, ,2011-06-05 07:55:55.743,
142,81,227, ,2011-06-05 10:15:20.060,5
144,13,221, ,2011-06-05 10:28:49.107,
145,13,152, ,2011-06-05 10:38:31.757,
146,63,197, ,2011-06-05 15:58:52.223,
147,51,233, ,2011-06-05 17:39:02.720,
148,89,231, ,2011-06-05 17:51:37.060,
149,81,234, ,2011-06-05 18:24:43.803,2
150,51,234,Wedge,2011-06-05 18:37:26.763,2
151,73,233,Spencer,2011-06-05 20:13:25.673,3
152,22,231, ,2011-06-05 20:27:40.997,
153,22,231, ,2011-06-05 20:33:27.447,1
154,22,215, ,2011-06-05 20:56:55.160,3
155,13,239, ,2011-06-05 21:22:58.210,
156,51,240, ,2011-06-05 21:23:00.337,
157,22,240, ,2011-06-05 21:25:20.867,5
158,13,240, ,2011-06-05 21:26:26.777,3
159,51,240,Geoff,2011-06-05 21:28:51.393,
160,51,240,Tigran,2011-06-05 21:45:56.083,
161,13,240,Spencer,2011-06-05 21:50:21.383,
162,4,228, ,2011-06-05 23:02:57.470,
163,29,192, ,2011-06-05 23:39:16.857,
164,13,228, ,2011-06-06 05:53:41.383,
166,4,228, ,2011-06-06 06:01:26.913,1
167,57,234, ,2011-06-06 06:16:03.220,
168,57,233, ,2011-06-06 06:17:51.567,2
169,57,228,Carson,2011-06-06 06:24:54.887,
170,13,228, ,2011-06-06 06:25:01.953,
171,4,228,voithos,2011-06-06 06:32:12.990,1
172,26,247, ,2011-06-06 07:21:14.490,1
175,106,254, ,2011-06-06 11:56:03.360,
176,46,38, ,2011-06-06 13:50:53.977,4
177,51,251, ,2011-06-06 16:13:26.343,3
178,20,262, ,2011-06-06 16:26:04.277,
179,23,262, ,2011-06-06 16:29:15.927,2
180,23,262, ,2011-06-06 16:30:21.450,
181,20,262, ,2011-06-06 16:51:59.490,3
182,4,38,Jeremy,2011-06-06 18:25:10.970,
183,81,254,hayalci,2011-06-06 21:50:15.677,
184,19,261, ,2011-06-06 22:31:04.817,
185,51,261,thei,2011-06-06 22:42:36.610,
186,81,234, ,2011-06-06 22:49:17.723,
187,51,234,Wedge,2011-06-06 22:50:08.760,
189,57,261,Spencer,2011-06-07 17:16:31.463,
190,51,261,voithos,2011-06-07 17:26:26.650,
191,51,261, ,2011-06-07 17:29:34.153,
192,61,272, ,2011-06-07 19:21:19.700,1
193,51,272,Eric,2011-06-07 22:09:08.340,1
194,23,270, ,2011-06-08 02:41:19.810,1
195,73,276, ,2011-06-08 12:44:25.430,4
196,23,276, ,2011-06-08 13:32:11.537,1
197,22,277, ,2011-06-08 13:42:38.027,
198,86,273, ,2011-06-08 13:58:05.320,
199,86,276, ,2011-06-08 14:05:52.603,1
200,22,278, ,2011-06-08 14:19:18.790,
201,86,278, ,2011-06-08 14:40:38.920,
202,53,276,Larian,2011-06-08 14:41:03.443,
203,53,276,Patrick,2011-06-08 14:45:12.440,1
204,33,239, ,2011-06-08 14:51:34.620,1
205,86,276, ,2011-06-08 14:59:05.150,
206,23,276,Peter,2011-06-08 15:22:34.163,
207,57,275, ,2011-06-08 15:42:28.327,
208,57,273,Patrick,2011-06-08 15:56:26.157,
