PostId,Vote,VTime
1,2,2011-06-01
1,2,2011-06-01
3,2,2011-06-01
1,2,2011-06-01
13,2,2011-06-01
8,2,2011-06-01
13,2,2011-06-01
2,2,2011-06-01
13,2,2011-06-01
17,2,2011-06-01
16,2,2011-06-01
17,1,2011-06-01
26,2,2011-06-01
22,2,2011-06-01
21,2,2011-06-01
19,2,2011-06-01
24,2,2011-06-01
29,2,2011-06-01
12,2,2011-06-01
26,2,2011-06-01
9,2,2011-06-01
21,2,2011-06-01
20,2,2011-06-01
4,2,2011-06-01
19,1,2011-06-01
36,2,2011-06-01
28,2,2011-06-01
35,2,2011-06-01
28,2,2011-06-01
7,2,2011-06-01
17,2,2011-06-01
23,2,2011-06-01
32,2,2011-06-01
33,2,2011-06-01
6,2,2011-06-01
45,2,2011-06-01
25,2,2011-06-01
39,2,2011-06-01
38,2,2011-06-01
34,2,2011-06-01
38,2,2011-06-01
18,2,2011-06-01
43,2,2011-06-01
46,2,2011-06-01
48,2,2011-06-01
8,2,2011-06-01
49,2,2011-06-01
2,2,2011-06-01
11,2,2011-06-01
3,2,2011-06-01
10,2,2011-06-01
5,2,2011-06-01
44,2,2011-06-01
14,2,2011-06-01
34,2,2011-06-01
43,2,2011-06-01
46,2,2011-06-01
18,2,2011-06-01
38,2,2011-06-01
40,2,2011-06-01
2,2,2011-06-01
35,2,2011-06-01
28,2,2011-06-01
37,2,2011-06-01
42,2,2011-06-01
22,2,2011-06-01
48,2,2011-06-01
51,2,2011-06-01
52,2,2011-06-01
32,15,2011-06-01
47,2,2011-06-01
21,2,2011-06-01
33,2,2011-06-01
51,2,2011-06-01
29,3,2011-06-01
19,2,2011-06-01
49,2,2011-06-01
29,10,2011-06-01
54,2,2011-06-01
30,2,2011-06-01
27,2,2011-06-01
15,2,2011-06-01
57,2,2011-06-01
59,2,2011-06-01
55,2,2011-06-01
9,2,2011-06-01
47,2,2011-06-01
56,2,2011-06-01
60,2,2011-06-01
1,2,2011-06-01
53,2,2011-06-01
50,2,2011-06-01
62,2,2011-06-01
10,2,2011-06-01
64,2,2011-06-01
63,2,2011-06-01
65,2,2011-06-01
28,2,2011-06-01
35,2,2011-06-01
19,2,2011-06-01
12,2,2011-06-01
59,2,2011-06-01
38,2,2011-06-01
18,2,2011-06-01
40,2,2011-06-01
61,2,2011-06-01
32,2,2011-06-01
41,2,2011-06-01
15,2,2011-06-01
27,2,2011-06-01
30,2,2011-06-01
38,2,2011-06-01
18,2,2011-06-01
42,2,2011-06-01
64,2,2011-06-01
62,1,2011-06-01
68,2,2011-06-01
64,2,2011-06-01
64,2,2011-06-01
60,2,2011-06-01
64,2,2011-06-01
71,2,2011-06-01
50,2,2011-06-01
57,3,2011-06-01
72,2,2011-06-01
42,2,2011-06-01
18,16,2011-06-01
32,15,2011-06-01
77,2,2011-06-01
42,2,2011-06-01
35,2,2011-06-01
28,2,2011-06-01
74,2,2011-06-01
74,5,2011-06-01
64,5,2011-06-01
77,2,2011-06-01
76,2,2011-06-01
78,2,2011-06-01
74,2,2011-06-01
77,2,2011-06-01
41,2,2011-06-01
38,2,2011-06-01
40,2,2011-06-01
26,2,2011-06-01
61,2,2011-06-01
12,2,2011-06-01
75,2,2011-06-01
59,2,2011-06-01
67,2,2011-06-01
50,2,2011-06-01
21,2,2011-06-01
8,2,2011-06-01
13,2,2011-06-01
6,2,2011-06-01
9,2,2011-06-01
47,2,2011-06-01
44,2,2011-06-01
5,2,2011-06-01
34,2,2011-06-01
14,2,2011-06-01
30,2,2011-06-01
15,2,2011-06-01
10,2,2011-06-01
55,2,2011-06-01
45,2,2011-06-01
72,2,2011-06-01
73,2,2011-06-01
68,2,2011-06-01
33,2,2011-06-01
56,2,2011-06-01
39,2,2011-06-01
66,2,2011-06-01
65,2,2011-06-01
19,2,2011-06-01
20,2,2011-06-01
18,2,2011-06-01
9,2,2011-06-01
47,2,2011-06-01
79,2,2011-06-01
12,2,2011-06-01
76,2,2011-06-01
80,2,2011-06-01
78,2,2011-06-01
18,2,2011-06-01
18,5,2011-06-01
26,2,2011-06-01
40,2,2011-06-01
6,2,2011-06-01
3,2,2011-06-01
7,2,2011-06-01
17,2,2011-06-01
63,2,2011-06-01
70,2,2011-06-01
72,2,2011-06-01
12,2,2011-06-01
59,2,2011-06-01
75,2,2011-06-01
28,2,2011-06-01
42,2,2011-06-01
35,2,2011-06-01
43,2,2011-06-01
49,2,2011-06-01
15,2,2011-06-01
25,2,2011-06-01
36,2,2011-06-01
9,2,2011-06-01
47,2,2011-06-01
5,2,2011-06-01
73,2,2011-06-01
79,2,2011-06-02
84,2,2011-06-02
27,2,2011-06-02
84,2,2011-06-02
81,2,2011-06-02
80,2,2011-06-02
83,2,2011-06-02
49,2,2011-06-02
1,2,2011-06-02
43,2,2011-06-02
2,2,2011-06-02
62,2,2011-06-02
23,2,2011-06-02
3,2,2011-06-02
11,2,2011-06-02
4,2,2011-06-02
19,2,2011-06-02
8,2,2011-06-02
20,2,2011-06-02
13,2,2011-06-02
24,2,2011-06-02
5,2,2011-06-02
44,2,2011-06-02
6,2,2011-06-02
53,2,2011-06-02
7,2,2011-06-02
17,2,2011-06-02
8,2,2011-06-02
13,2,2011-06-02
22,2,2011-06-02
57,2,2011-06-02
9,2,2011-06-02
47,2,2011-06-02
10,2,2011-06-02
12,2,2011-06-02
59,2,2011-06-02
75,2,2011-06-02
14,2,2011-06-02
15,2,2011-06-02
30,2,2011-06-02
27,2,2011-06-02
79,2,2011-06-02
18,2,2011-06-02
38,2,2011-06-02
78,2,2011-06-02
40,2,2011-06-02
26,2,2011-06-02
61,2,2011-06-02
21,2,2011-06-02
74,2,2011-06-02
77,2,2011-06-02
86,2,2011-06-02
81,2,2011-06-02
51,2,2011-06-02
88,2,2011-06-02
84,2,2011-06-02
89,2,2011-06-02
91,2,2011-06-02
86,16,2011-06-02
89,2,2011-06-02
91,2,2011-06-02
74,2,2011-06-02
46,2,2011-06-02
70,2,2011-06-02
50,2,2011-06-02
51,2,2011-06-02
55,2,2011-06-02
49,2,2011-06-02
56,2,2011-06-02
91,2,2011-06-02
89,2,2011-06-02
64,2,2011-06-02
68,2,2011-06-02
84,2,2011-06-02
91,2,2011-06-02
93,2,2011-06-02
89,2,2011-06-02
93,2,2011-06-02
93,2,2011-06-02
88,2,2011-06-02
95,2,2011-06-02
95,1,2011-06-02
70,15,2011-06-02
87,2,2011-06-02
86,2,2011-06-02
84,1,2011-06-02
94,2,2011-06-02
