QId_x,QUserId,QTags,QTime,QAcceptedAnswerId,QScore,QViewCount,QAnswerCount,QCommentCount,AId,AUserId,QId_y,ATime,AScore,ACommentCount
1,8,<theory><austrian><keynesian>,2011-10-11 19:29:01.593,5.0,9,242,1.0,6.0,5,5.0,1,2011-10-11 19:35:17.553,8,2.0
3,5,<debt><greece>,2011-10-11 19:31:39.507,10.0,9,188,3.0,2.0,10,31.0,3,2011-10-11 19:45:01.370,7,1.0
4,14,<history>,2011-10-11 19:34:15.730,11.0,3,99,3.0,,11,23.0,4,2011-10-11 19:45:35.817,7,1.0
6,15,<taxation><gdp>,2011-10-11 19:37:17.473,37.0,5,104,2.0,,37,11.0,6,2011-10-11 21:32:15.290,9,
7,8,<currency><deflation>,2011-10-11 19:37:28.133,679.0,10,214,2.0,,679,165.0,7,2011-12-03 15:58:57.520,5,4.0
13,1,<theory><perfect-competition><models>,2011-10-11 19:51:51.500,15.0,5,225,2.0,,15,41.0,13,2011-10-11 19:57:59.390,6,7.0
14,8,<price-volatility>,2011-10-11 19:54:41.967,60.0,2,109,4.0,,60,10.0,14,2011-10-12 05:37:47.927,2,5.0
17,1,<theory><demand><models>,2011-10-11 20:04:38.163,24.0,7,683,1.0,1.0,24,41.0,17,2011-10-11 20:18:49.730,12,
18,47,<currency>,2011-10-11 20:07:56.653,23.0,9,215,4.0,1.0,23,45.0,18,2011-10-11 20:18:33.090,6,1.0
22,8,<trade-finance>,2011-10-11 20:17:54.823,61.0,2,118,2.0,3.0,61,100.0,22,2011-10-12 06:35:35.600,2,
36,30,<deflation>,2011-10-11 21:23:46.820,52.0,4,129,1.0,4.0,52,10.0,36,2011-10-12 02:21:25.440,3,1.0
38,68,<voting>,2011-10-11 21:35:56.153,142.0,3,115,1.0,0.0,142,124.0,38,2011-10-13 19:36:00.253,6,
43,65,<theory><models><agent>,2011-10-11 21:51:48.887,59.0,9,287,2.0,2.0,59,68.0,43,2011-10-12 05:14:56.723,12,4.0
49,45,<population>,2011-10-12 01:34:34.840,56.0,8,77,1.0,,56,68.0,49,2011-10-12 04:00:07.753,5,1.0
50,65,<competition>,2011-10-12 01:35:11.207,67.0,3,80,2.0,9.0,67,48.0,50,2011-10-12 11:46:23.023,3,
57,10,<keynesian><labor><wages>,2011-10-12 04:30:42.830,58.0,5,332,2.0,,58,68.0,57,2011-10-12 04:55:32.753,7,3.0
65,110,<price>,2011-10-12 11:31:31.820,75.0,2,47,2.0,1.0,75,115.0,65,2011-10-12 12:33:32.783,1,1.0
87,501,<public-policy><monetary-policy>,2011-10-12 14:34:45.050,90.0,8,145,3.0,2.0,90,50.0,87,2011-10-12 15:45:49.373,6,
