QId,QUserId,QTags,QTime,QAcceptedAnswerId,QScore,QViewCount,QAnswerCount,QCommentCount
1,8,<theory><austrian><keynesian>,2011-10-11 19:29:01.593,5,9,242,1,6
2,1,<schools>,2011-10-11 19:30:20.670,,5,200,,8
3,5,<debt><greece>,2011-10-11 19:31:39.507,10,9,188,3,2
4,14,<history>,2011-10-11 19:34:15.730,11,3,99,3,
6,15,<taxation><gdp>,2011-10-11 19:37:17.473,37,5,104,2,
7,8,<currency><deflation>,2011-10-11 19:37:28.133,679,10,214,2,
9,20,<demand>,2011-10-11 19:40:36.977,,10,345,3,5
12,8,<currency><money-supply>,2011-10-11 19:49:05.547,,14,393,0,1
13,1,<theory><perfect-competition><models>,2011-10-11 19:51:51.500,15,5,225,2,
14,8,<price-volatility>,2011-10-11 19:54:41.967,60,2,109,4,
17,1,<theory><demand><models>,2011-10-11 20:04:38.163,24,7,683,1,1
18,47,<currency>,2011-10-11 20:07:56.653,23,9,215,4,1
19,1,<theory>,2011-10-11 20:12:21.977,,7,246,0,
22,8,<trade-finance>,2011-10-11 20:17:54.823,61,2,118,2,3
27,43,<health-care><incentives><public-policy>,2011-10-11 20:26:12.487,,4,179,0,0
28,9,<moral-hazard><firm>,2011-10-11 20:31:15.133,,5,95,0,3
31,43,<taxation><public-policy><government>,2011-10-11 20:36:02.350,,2,85,1,6
36,30,<deflation>,2011-10-11 21:23:46.820,52,4,129,1,4
38,68,<voting>,2011-10-11 21:35:56.153,142,3,115,1,0
40,47,<currency><games>,2011-10-11 21:41:01.327,,8,117,0,1
43,65,<theory><models><agent>,2011-10-11 21:51:48.887,59,9,287,2,2
49,45,<population>,2011-10-12 01:34:34.840,56,8,77,1,
50,65,<competition>,2011-10-12 01:35:11.207,67,3,80,2,9
57,10,<keynesian><labor><wages>,2011-10-12 04:30:42.830,58,5,332,2,
64,104,<pigouvian-tax><carbon-tax>,2011-10-12 11:14:53.673,,6,74,1,
65,110,<price>,2011-10-12 11:31:31.820,75,2,47,2,1
71,104,<pigouvian-tax><damage-function><externalities>,2011-10-12 12:17:45.540,,6,151,,4
73,116,<game-theory>,2011-10-12 12:24:34.513,,1,150,0,
74,111,<usa><interest><rating>,2011-10-12 12:31:00.743,,1,85,2,5
77,55,<crisis>,2011-10-12 13:01:41.113,,10,160,0,1
84,62,<theory><monetary-policy>,2011-10-12 13:20:30.383,,7,87,2,3
87,501,<public-policy><monetary-policy>,2011-10-12 14:34:45.050,90,8,145,3,2
89,55,<security-analysis>,2011-10-12 15:37:38.817,,9,97,0,
94,501,<growth-theory>,2011-10-12 17:22:14.120,102,8,101,1,
97,114,<gdp>,2011-10-12 18:36:18.833,100,10,88,1,2
98,22,<currency><monetary-policy>,2011-10-12 18:41:59.297,,4,96,1,4
99,89,<models><game-theory>,2011-10-12 18:58:34.073,,10,222,0,
101,89,<finance>,2011-10-12 19:17:16.023,,10,71,1,2
103,89,<gdp>,2011-10-12 19:31:00.293,111,8,94,3,
104,32,<taxation><growth>,2011-10-12 19:38:18.797,,-1,50,2,1
105,114,<wealth>,2011-10-12 19:40:58.473,,2,101,0,3
108,114,<markets><trade><critical-mass><matching-problem>,2011-10-12 20:10:46.667,902,3,220,2,12
119,103,<currency><history>,2011-10-12 22:51:47.500,,6,109,0,
120,103,<currency><inflation><money-supply>,2011-10-12 22:59:01.880,,-1,121,1,5
121,103,<theory><currency>,2011-10-12 23:07:21.967,,0,107,1,7
126,501,<taxation><public-policy>,2011-10-13 02:22:25.747,,6,62,1,
127,95,<models><markets>,2011-10-13 07:23:06.943,,1,71,3,
129,126,<central-bank>,2011-10-13 08:56:24.747,278,-4,108,3,2
131,48,<risk><investment>,2011-10-13 10:12:32.437,,6,51,0,4
134,103,<money-supply><government><speculation>,2011-10-13 11:09:00.480,166,-1,90,1,5
135,114,<productivity>,2011-10-13 11:17:32.820,,6,242,0,1
138,103,<history><bankruptcy>,2011-10-13 13:19:31.430,173,0,188,2,3
139,1,<theory><security-analysis><yield-curve>,2011-10-13 16:04:56.883,,15,325,0,
140,26,<schools><optimization>,2011-10-13 16:53:43.920,,15,182,0,5
143,119,<market-clearing><price-adjustment>,2011-10-13 19:50:10.663,,6,145,1,2
146,104,<deflation>,2011-10-13 21:12:36.540,,9,91,1,3
150,131,<utility-function>,2011-10-13 23:11:09.920,,4,43,3,
153,21,<insurance><welfare>,2011-10-14 03:43:23.513,,4,30,,
154,21,<econometrics><metrics>,2011-10-14 03:45:54.723,,7,184,0,2
156,71,<loans>,2011-10-14 05:03:55.627,,-6,119,1,9
157,132,<central-bank><interest-rates><australia>,2011-10-14 08:02:21.043,,5,97,0,4
163,65,<cartel><regulation>,2011-10-14 18:59:27.730,171,1,41,1,
164,65,<cartel><regulation>,2011-10-14 19:00:26.247,,4,69,2,
167,114,<markets>,2011-10-15 08:05:26.530,,5,140,0,
172,114,<incentives><behavioral-economics><literature-request>,2011-10-15 12:32:22.010,,3,92,0,3
178,115,<interest-rates>,2011-10-15 15:11:18.500,281,3,74,2,0
181,21,<econometrics><programming>,2011-10-15 15:23:51.833,,8,131,0,3
187,47,<inflation><gold>,2011-10-15 18:43:35.157,,7,319,0,2
191,149,<econometrics>,2011-10-15 18:55:17.087,,2,183,0,3
192,149,<econometrics>,2011-10-15 19:04:03.207,,2,48,,6
196,149,<econometrics><development-economics><experimental-economics>,2011-10-15 19:33:15.667,,3,79,0,2
202,149,<econometrics>,2011-10-15 23:46:31.087,,5,158,0,4
203,15,<investment><development-economics>,2011-10-16 00:05:27.233,264,2,85,3,4
246,149,<income-inequality>,2011-10-16 22:55:38.443,,6,150,3,7
252,103,<money-supply>,2011-10-17 10:30:28.957,256,-2,127,2,3
257,1,<models><markets><consumer-surplus>,2011-10-17 18:34:01.187,,4,194,0,
259,1,<markets><research>,2011-10-17 19:26:20.453,,11,178,0,3
265,97,<untagged>,2011-10-18 02:21:34.077,,2,156,6,0
269,101,<money-supply><inflation>,2011-10-18 09:36:04.903,,6,420,0,8
272,89,<markets><welfare><case-shiller>,2011-10-18 14:17:09.047,,7,142,0,
276,72,<health-care><insurance><usa>,2011-10-18 20:57:34.827,,6,80,0,6
283,71,<usa><education>,2011-10-19 03:09:52.397,,-2,91,1,6
287,163,<theory><game-theory><utility-function>,2011-10-19 15:52:59.177,,8,91,0,
288,50,<demand><microeconomics>,2011-10-20 02:02:22.450,296,6,119,1,1
289,48,<game-theory><perverse-incentives><organizational-economics>,2011-10-20 15:29:10.590,,7,110,2,
290,47,<price><gold>,2011-10-20 15:46:45.330,291,-1,70,1,1
292,149,<research><conducting-research><reference-management>,2011-10-21 01:33:31.070,,6,112,4,8
299,149,<ceo-pay><compensation><ceos><wage-determination>,2011-10-21 13:30:01.417,,6,142,0,2
300,149,<tools><stata><software><text-editor>,2011-10-21 13:32:35.017,,2,53,1,
302,1,<econometrics>,2011-10-22 01:00:14.053,,6,198,0,7
304,149,<econometrics><optimization><structural-econometrics><simulations><computational-economics>,2011-10-23 00:58:06.777,,2,67,0,1
306,114,<incentives><experimental-economics>,2011-10-23 21:07:35.120,326,3,100,3,6
307,14,<microeconomics><elasticity>,2011-10-23 21:17:49.117,312,2,109,2,
309,152,<research><programming><sources>,2011-10-24 01:51:29.240,,3,64,0,2
315,171,<cost-curves>,2011-10-25 05:09:10.467,316,4,298,1,1
317,44,<utility-function><consumer-theory>,2011-10-25 14:04:37.567,399,3,152,3,3
318,14,<econometrics>,2011-10-25 19:22:59.160,,2,177,1,2
327,181,<utility-function>,2011-10-25 22:32:27.583,328,3,273,1,3
329,501,<theory><taxation><public-policy>,2011-10-26 04:46:38.193,,6,93,1,
337,206,<microeconomics><homework>,2011-10-26 23:27:33.277,338,5,714,3,
339,207,<econometrics><unemployment><labor><immigration>,2011-10-27 01:07:45.993,,11,242,0,2
340,209,<microeconomics><homework>,2011-10-27 04:30:51.510,350,2,128,2,2
346,45,<econometrics>,2011-10-27 10:13:13.297,,2,214,0,
353,212,<homework>,2011-10-27 16:27:55.210,,1,54,3,2
362,133,<money-supply><monetary-policy><usa>,2011-10-28 14:03:27.623,,4,105,2,1
364,121,<microeconomics><public-policy><public-goods>,2011-10-29 11:25:52.117,366,5,279,4,2
365,30,<currency>,2011-10-29 12:53:38.900,379,4,72,1,1
