CId,CUserId,PId,@UserName,CTime,CScore
1,2,9, ,2009-10-09 20:58:00.640,
2,2,15, ,2009-10-09 21:18:38.180,
3,2,18, ,2009-10-09 21:59:03.450,
4,13,17, ,2009-10-09 22:51:47.223,1
5,2,17, ,2009-10-10 00:00:13.563,
6,32,49, ,2009-10-10 00:59:21.650,
7,15,18, ,2009-10-10 01:28:01.133,
8,15,29, ,2009-10-10 01:31:52.753,
9,15,66, ,2009-10-10 01:34:29.830,
10,15,72,jmathai.com,2009-10-10 01:36:56.440,
11,15,36, ,2009-10-10 01:40:26.057,
12,43,82, ,2009-10-10 01:49:32.877,
13,4,83, ,2009-10-10 01:53:32.747,2
14,42,59, ,2009-10-10 02:04:06.147,
15,42,65, ,2009-10-10 02:07:37.403,
16,,83, ,2009-10-10 02:08:38.463,
17,42,80, ,2009-10-10 02:10:37.090,
18,42,68, ,2009-10-10 02:13:40.607,
19,42,78, ,2009-10-10 02:20:07.147,
20,42,84, ,2009-10-10 02:24:07.597,
21,42,101, ,2009-10-10 02:37:19.617,
22,42,109, ,2009-10-10 02:41:19.487,1
23,2,55, ,2009-10-10 02:56:28.097,
24,42,143, ,2009-10-10 03:25:32.950,
25,2,164, ,2009-10-10 03:56:10.983,
26,15,89, ,2009-10-10 03:57:42.170,
27,121,187, ,2009-10-10 04:14:39.233,
28,121,196, ,2009-10-10 04:18:35.420,
29,105,191, ,2009-10-10 04:23:50.463,
30,42,198, ,2009-10-10 04:27:17.280,
31,121,204, ,2009-10-10 04:28:14.987,
33,,199, ,2009-10-10 04:41:40.660,
34,15,215,publicitweet.com,2009-10-10 04:58:07.403,
35,,191, ,2009-10-10 04:59:39.213,
37,128,204, ,2009-10-10 05:04:45.960,
38,,195, ,2009-10-10 05:08:32.003,
39,,195, ,2009-10-10 05:14:40.437,
40,121,195, ,2009-10-10 05:23:56.177,
41,123,233, ,2009-10-10 05:24:32.713,
42,11,215, ,2009-10-10 05:31:36.693,
43,150,234, ,2009-10-10 06:43:09.073,
44,160,238, ,2009-10-10 07:04:59.610,
45,160,245, ,2009-10-10 07:06:23.650,
46,160,251, ,2009-10-10 07:09:20.713,
47,160,282, ,2009-10-10 07:55:46.293,
48,,251, ,2009-10-10 08:11:26.583,
50,223,323, ,2009-10-10 09:06:28.637,
51,223,325, ,2009-10-10 09:08:15.407,
52,223,327, ,2009-10-10 09:14:33.693,
53,223,339, ,2009-10-10 09:37:49.727,
54,223,340, ,2009-10-10 09:40:37.210,
55,218,339, ,2009-10-10 09:44:46.927,
56,238,325, ,2009-10-10 09:47:10.017,
57,27,36, ,2009-10-10 09:58:27.790,
58,223,325, ,2009-10-10 10:02:46.173,
59,223,339, ,2009-10-10 10:05:42.160,
60,226,327, ,2009-10-10 10:07:14.530,
61,223,327, ,2009-10-10 10:35:25.327,
62,259,361, ,2009-10-10 10:55:13.947,
63,43,93, ,2009-10-10 12:13:34.873,
64,,384, ,2009-10-10 12:46:46.950,
65,,370, ,2009-10-10 12:47:06.733,
66,288,384, ,2009-10-10 13:10:57.010,
67,259,385, ,2009-10-10 13:21:39.540,
68,259,387, ,2009-10-10 13:25:21.750,
69,13,99, ,2009-10-10 14:27:13.477,
70,160,311, ,2009-10-10 14:41:16.293,
72,2,420, ,2009-10-10 15:48:40.840,
73,356,471, ,2009-10-10 17:01:58.613,
74,356,476, ,2009-10-10 17:14:27.800,
77,223,432, ,2009-10-10 17:19:31.753,
78,24,29, ,2009-10-10 17:21:28.380,
79,24,29, ,2009-10-10 17:26:29.777,
82,24,393, ,2009-10-10 17:40:38.363,
83,24,51, ,2009-10-10 17:41:48.283,
84,24,441, ,2009-10-10 17:44:17.063,
85,326,476, ,2009-10-10 17:45:28.403,
88,42,439, ,2009-10-10 18:55:34.157,
92,287,438,Jay,2009-10-10 20:54:13.853,
