@UserId,@UserName,Age,Location,UserCreationDate,Reputation,Views,UpVotes,DownVotes,LastAccess
2,Jason,,"Austin, TX",2009-10-07 16:23:30.513,16129,3294,2168,10,2013-02-19T04:34:46.493
4,dharmesh,,,2009-10-07 20:36:41.520,2840,1098,467,10,2013-11-30T17:08:56.137
5,Jay Meattle,,"Cambridge, MA",2009-10-09 15:02:32.427,106,35,0,0,2009-11-16T03:26:04.273
11,Julie King,,Canada,2009-10-09 20:34:16.153,871,268,13,2,2010-11-17T22:22:45.870
12,Darla ,,"Austin, TX",2009-10-09 20:58:19.030,126,55,14,0,2010-07-19T22:13:24.363
13,danpickett,,"Boston, MA",2009-10-09 21:41:23.453,263,76,16,0,2010-10-13T23:59:29.163
14,user14,,,2009-10-09 21:46:19.563,26,21,0,0,2009-10-14T06:28:03.870
15,Jaisen,,,2009-10-09 21:52:50.517,28,37,5,0,2009-10-14T21:27:21.820
16,Tushar,,,2009-10-09 21:56:34.880,16,14,0,0,2010-02-25T07:13:30.503
17,Douglas Tosi,,Brazil,2009-10-09 22:06:05.410,176,40,26,0,2010-02-22T19:50:11.293
18,Brandon,,,2009-10-09 22:10:13.190,108,26,5,0,2010-08-11T23:52:21.613
19,Michael Trafton,,"Austin, TX",2009-10-09 22:11:01.580,3141,503,95,7,2013-10-04T20:33:06.977
20,Marcus Blankenship,,Oregon,2009-10-09 22:11:38.590,376,159,7,1,2012-11-03T05:29:53.717
23,Slav Ivanov,,"Sofia, Bulgaria",2009-10-09 22:40:33.047,1146,259,412,3,2010-09-21T08:59:38.583
24,Vineet,,"Cambridge, MA",2009-10-09 22:43:00.947,1080,236,347,2,2013-12-05T19:34:45.877
27,Daniel Schildt,,"Jyväskylä, Finland",2009-10-09 22:52:07.347,31,47,3,0,2012-07-27T12:10:39.733
28,Jeremy,,Utah,2009-10-09 22:55:45.703,11,7,0,0,2009-10-09T22:55:45.703
31,Nivi,,"San Francisco, CA",2009-10-09 23:31:30.733,157,83,3,0,2010-12-04T08:24:41.767
32,Blizzard Digital,,"Ellijay, GA",2009-10-10 00:25:12.453,83,36,1,0,2009-10-21T03:00:12.170
33,Justin Vincent,,"Los Angeles, CA",2009-10-10 00:27:53.510,176,30,0,0,2013-10-01T03:19:05.467
34,user34,,,2009-10-10 00:59:53.007,169,16,0,0,2009-10-24T01:18:52.770
41,Jarie Bolander,,,2009-10-10 01:12:06.120,91,9,0,0,2009-10-12T05:20:39.257
42,Ricardo,,"Austin, TX",2009-10-10 01:14:33.653,4793,570,444,18,2013-12-09T04:12:08.527
43,Craig Daniel,,"Boston, MA",2009-10-10 01:19:21.663,223,107,9,0,2010-09-10T03:56:29.040
44,Dave Churchville,,"San Diego, CA",2009-10-10 01:20:06.187,71,22,0,0,2011-07-18T00:28:18.303
45,Brian,,"Buenos Aires, Argentina",2009-10-10 01:22:27.440,21,10,0,0,2009-10-27T23:45:02.297
46,Argosan,,,2009-10-10 01:23:03.197,71,22,0,0,2009-10-14T18:41:37.057
50,Tom Ritter,,"New York, NY",2009-10-10 01:34:56.480,191,45,1,0,2010-11-06T03:07:41.520
52,Lyndal,,,2009-10-10 01:37:29.637,81,7,0,0,2009-10-31T02:12:36.597
53,Cade Roux,,"New Orleans, LA",2009-10-10 01:38:17.030,196,23,22,0,2011-08-31T02:42:17.697
54,Darrel Miller,,"Montreal, Canada",2009-10-10 01:38:21.533,246,20,4,0,2011-03-17T17:11:44.907
58,Mark Bao,,"Boston, MA",2009-10-10 01:39:54.483,604,239,93,0,2013-10-05T21:40:01.747
60,Joe A,,United States,2009-10-10 01:44:39.343,1196,168,80,3,2013-10-20T05:27:46.310
