PostId,Vote,VTime
4,2,2009-10-09
5,2,2009-10-09
6,2,2009-10-09
3,2,2009-10-09
7,2,2009-10-09
8,2,2009-10-09
15,2,2009-10-09
14,2,2009-10-09
15,2,2009-10-09
6,2,2009-10-09
11,2,2009-10-09
16,2,2009-10-09
16,2,2009-10-09
19,2,2009-10-09
18,5,2009-10-09
17,2,2009-10-09
32,2,2009-10-09
32,2,2009-10-09
34,2,2009-10-09
28,2,2009-10-09
31,2,2009-10-09
27,2,2009-10-09
25,2,2009-10-09
30,2,2009-10-09
33,2,2009-10-09
24,2,2009-10-09
44,2,2009-10-10
35,2,2009-10-10
5,2,2009-10-10
45,2,2009-10-10
46,2,2009-10-10
39,2,2009-10-10
41,2,2009-10-10
16,5,2009-10-10
50,2,2009-10-10
57,2,2009-10-10
59,2,2009-10-10
65,2,2009-10-10
80,2,2009-10-10
18,5,2009-10-10
79,2,2009-10-10
85,5,2009-10-10
83,2,2009-10-10
70,5,2009-10-10
97,2,2009-10-10
93,2,2009-10-10
91,2,2009-10-10
88,2,2009-10-10
93,5,2009-10-10
99,2,2009-10-10
93,2,2009-10-10
70,2,2009-10-10
103,3,2009-10-10
85,2,2009-10-10
70,2,2009-10-10
82,2,2009-10-10
104,2,2009-10-10
102,2,2009-10-10
75,2,2009-10-10
53,2,2009-10-10
106,2,2009-10-10
1,2,2009-10-10
15,2,2009-10-10
2,2,2009-10-10
55,2,2009-10-10
63,2,2009-10-10
113,2,2009-10-10
29,2,2009-10-10
36,2,2009-10-10
114,2,2009-10-10
64,2,2009-10-10
124,2,2009-10-10
69,2,2009-10-10
115,2,2009-10-10
39,2,2009-10-10
99,2,2009-10-10
118,2,2009-10-10
101,2,2009-10-10
59,2,2009-10-10
124,2,2009-10-10
126,2,2009-10-10
77,2,2009-10-10
147,2,2009-10-10
153,2,2009-10-10
141,2,2009-10-10
157,2,2009-10-10
156,2,2009-10-10
155,2,2009-10-10
164,2,2009-10-10
158,2,2009-10-10
182,2,2009-10-10
190,2,2009-10-10
187,2,2009-10-10
196,2,2009-10-10
199,2,2009-10-10
59,2,2009-10-10
16,2,2009-10-10
172,2,2009-10-10
57,5,2009-10-10
201,2,2009-10-10
131,2,2009-10-10
101,1,2009-10-10
3,2,2009-10-10
210,2,2009-10-10
130,2,2009-10-10
100,2,2009-10-10
78,2,2009-10-10
21,2,2009-10-10
223,2,2009-10-10
210,2,2009-10-10
225,10,2009-10-10
233,2,2009-10-10
236,2,2009-10-10
244,3,2009-10-10
237,2,2009-10-10
210,2,2009-10-10
75,2,2009-10-10
119,2,2009-10-10
53,2,2009-10-10
210,2,2009-10-10
263,10,2009-10-10
257,1,2009-10-10
91,5,2009-10-10
210,5,2009-10-10
327,1,2009-10-10
276,2,2009-10-10
19,5,2009-10-10
280,5,2009-10-10
44,2,2009-10-10
305,5,2009-10-10
229,5,2009-10-10
91,5,2009-10-10
85,5,2009-10-10
371,2,2009-10-10
106,2,2009-10-10
312,2,2009-10-10
265,2,2009-10-10
364,2,2009-10-10
387,1,2009-10-10
357,5,2009-10-10
418,2,2009-10-10
99,2,2009-10-10
74,2,2009-10-10
210,5,2009-10-10
369,2,2009-10-10
417,2,2009-10-10
382,2,2009-10-10
254,2,2009-10-10
318,2,2009-10-10
355,2,2009-10-10
412,2,2009-10-10
269,2,2009-10-10
295,2,2009-10-10
347,2,2009-10-10
294,2,2009-10-10
297,2,2009-10-10
394,2,2009-10-10
408,2,2009-10-10
395,2,2009-10-10
397,2,2009-10-10
399,2,2009-10-10
400,2,2009-10-10
162,2,2009-10-10
357,5,2009-10-10
305,5,2009-10-10
268,2,2009-10-10
85,2,2009-10-10
392,2,2009-10-10
415,2,2009-10-10
416,2,2009-10-10
141,2,2009-10-10
350,5,2009-10-10
210,5,2009-10-10
141,5,2009-10-10
314,5,2009-10-10
182,5,2009-10-10
8,5,2009-10-10
28,5,2009-10-10
57,5,2009-10-10
67,5,2009-10-10
85,5,2009-10-10
450,2,2009-10-10
448,2,2009-10-10
294,2,2009-10-10
312,2,2009-10-10
217,2,2009-10-10
217,5,2009-10-10
229,5,2009-10-10
329,5,2009-10-10
112,2,2009-10-10
280,2,2009-10-10
391,2,2009-10-10
174,2,2009-10-10
482,3,2009-10-10
71,2,2009-10-10
57,5,2009-10-10
414,5,2009-10-10
51,2,2009-10-10
393,2,2009-10-10
441,2,2009-10-10
472,2,2009-10-10
502,2,2009-10-10
93,5,2009-10-10
457,2,2009-10-10
457,5,2009-10-10
342,2,2009-10-10
475,2,2009-10-10
268,2,2009-10-10
305,2,2009-10-10
309,2,2009-10-10
327,2,2009-10-10
280,2,2009-10-10
280,5,2009-10-10
347,2,2009-10-10
439,2,2009-10-10
210,5,2009-10-10
528,5,2009-10-10
530,5,2009-10-10
511,5,2009-10-10
466,5,2009-10-10
397,2,2009-10-10
57,5,2009-10-10
152,5,2009-10-10
280,5,2009-10-10
377,5,2009-10-10
210,2,2009-10-10
229,2,2009-10-10
305,2,2009-10-10
67,5,2009-10-10
493,2,2009-10-10
223,2,2009-10-10
364,2,2009-10-10
394,5,2009-10-10
394,2,2009-10-10
387,2,2009-10-10
522,2,2009-10-10
377,5,2009-10-10
377,2,2009-10-10
341,2,2009-10-10
395,2,2009-10-10
394,2,2009-10-10
394,5,2009-10-10
13,2,2009-10-10
14,2,2009-10-10
304,2,2009-10-10
507,1,2009-10-10
551,2,2009-10-10
121,2,2009-10-10
546,2,2009-10-10
59,2,2009-10-10
57,2,2009-10-10
280,2,2009-10-10
574,1,2009-10-10
360,1,2009-10-10
397,2,2009-10-10
399,2,2009-10-10
400,2,2009-10-10
574,2,2009-10-10
585,2,2009-10-10
552,5,2009-10-10
590,5,2009-10-10
496,2,2009-10-10
566,5,2009-10-10
566,2,2009-10-10
588,2,2009-10-10
570,2,2009-10-10
546,5,2009-10-10
546,2,2009-10-10
571,2,2009-10-11
580,2,2009-10-11
595,2,2009-10-11
566,2,2009-10-11
590,2,2009-10-11
592,2,2009-10-11
593,2,2009-10-11
552,2,2009-10-11
553,2,2009-10-11
545,2,2009-10-11
535,2,2009-10-11
572,2,2009-10-11
533,2,2009-10-11
562,2,2009-10-11
597,2,2009-10-11
493,2,2009-10-11
518,2,2009-10-11
593,2,2009-10-11
553,2,2009-10-11
572,2,2009-10-11
615,2,2009-10-11
571,5,2009-10-11
616,2,2009-10-11
595,2,2009-10-11
626,2,2009-10-11
506,2,2009-10-11
173,2,2009-10-11
475,2,2009-10-11
506,1,2009-10-11
315,2,2009-10-11
229,5,2009-10-11
608,2,2009-10-11
608,1,2009-10-11
617,2,2009-10-11
621,2,2009-10-11
639,2,2009-10-11
615,2,2009-10-11
232,5,2009-10-11
377,2,2009-10-11
590,2,2009-10-11
593,2,2009-10-11
530,2,2009-10-11
571,2,2009-10-11
581,2,2009-10-11
131,2,2009-10-11
572,2,2009-10-11
550,2,2009-10-11
38,2,2009-10-11
520,2,2009-10-11
635,2,2009-10-11
235,2,2009-10-11
270,2,2009-10-11
286,2,2009-10-11
291,2,2009-10-11
293,2,2009-10-11
310,2,2009-10-11
645,2,2009-10-11
637,2,2009-10-11
627,2,2009-10-11
509,2,2009-10-11
217,2,2009-10-11
578,2,2009-10-11
582,2,2009-10-11
511,2,2009-10-11
406,2,2009-10-11
472,2,2009-10-11
450,2,2009-10-11
387,2,2009-10-11
350,2,2009-10-11
490,2,2009-10-11
231,2,2009-10-11
248,2,2009-10-11
187,2,2009-10-11
307,2,2009-10-11
311,2,2009-10-11
609,2,2009-10-11
440,2,2009-10-11
646,2,2009-10-11
645,2,2009-10-11
574,2,2009-10-11
605,2,2009-10-11
268,2,2009-10-11
493,2,2009-10-11
651,2,2009-10-11
654,2,2009-10-11
656,2,2009-10-11
657,2,2009-10-11
576,2,2009-10-11
23,2,2009-10-11
651,2,2009-10-11
621,5,2009-10-11
669,2,2009-10-11
521,2,2009-10-11
585,1,2009-10-11
244,3,2009-10-11
388,2,2009-10-11
210,2,2009-10-11
509,2,2009-10-11
210,2,2009-10-11
210,5,2009-10-11
546,5,2009-10-11
147,2,2009-10-11
280,5,2009-10-11
685,2,2009-10-11
210,5,2009-10-11
550,2,2009-10-11
126,2,2009-10-11
651,2,2009-10-11
670,2,2009-10-11
552,5,2009-10-11
701,2,2009-10-11
682,2,2009-10-11
687,2,2009-10-11
700,2,2009-10-11
692,2,2009-10-11
509,2,2009-10-11
435,2,2009-10-11
673,2,2009-10-11
676,2,2009-10-11
677,2,2009-10-11
57,5,2009-10-11
507,2,2009-10-11
704,2,2009-10-11
702,2,2009-10-11
701,2,2009-10-11
705,2,2009-10-11
576,2,2009-10-11
710,2,2009-10-11
717,2,2009-10-11
723,2,2009-10-11
722,2,2009-10-11
379,2,2009-10-11
507,2,2009-10-11
379,5,2009-10-11
510,2,2009-10-11
705,2,2009-10-11
547,2,2009-10-11
717,2,2009-10-11
736,2,2009-10-11
745,2,2009-10-11
295,1,2009-10-11
553,2,2009-10-11
746,2,2009-10-11
747,2,2009-10-11
734,2,2009-10-11
705,2,2009-10-11
745,2,2009-10-11
738,2,2009-10-11
39,2,2009-10-11
413,2,2009-10-11
427,2,2009-10-11
755,2,2009-10-11
723,2,2009-10-11
722,2,2009-10-11
733,2,2009-10-11
604,2,2009-10-11
538,2,2009-10-11
210,2,2009-10-11
629,2,2009-10-11
106,2,2009-10-11
346,3,2009-10-11
496,2,2009-10-11
466,2,2009-10-11
746,2,2009-10-11
585,2,2009-10-11
257,2,2009-10-11
6,2,2009-10-11
39,2,2009-10-11
763,2,2009-10-11
604,2,2009-10-11
627,2,2009-10-11
604,1,2009-10-11
351,3,2009-10-11
350,2,2009-10-11
375,2,2009-10-11
753,2,2009-10-11
747,2,2009-10-11
269,1,2009-10-11
677,1,2009-10-11
752,1,2009-10-11
752,2,2009-10-11
749,2,2009-10-11
519,2,2009-10-11
753,2,2009-10-11
765,2,2009-10-11
718,2,2009-10-11
425,2,2009-10-11
762,2,2009-10-11
738,2,2009-10-11
763,2,2009-10-11
741,2,2009-10-11
760,2,2009-10-11
764,2,2009-10-11
756,2,2009-10-11
767,2,2009-10-11
660,2,2009-10-11
629,2,2009-10-11
743,2,2009-10-11
767,2,2009-10-11
771,2,2009-10-11
360,2,2009-10-11
409,2,2009-10-11
643,2,2009-10-11
768,2,2009-10-11
649,2,2009-10-11
713,2,2009-10-11
18,2,2009-10-11
66,2,2009-10-11
766,2,2009-10-11
72,2,2009-10-11
220,2,2009-10-11
548,2,2009-10-11
471,2,2009-10-11
219,2,2009-10-11
219,5,2009-10-11
248,2,2009-10-11
307,2,2009-10-11
762,2,2009-10-11
654,2,2009-10-11
656,2,2009-10-11
676,2,2009-10-11
552,2,2009-10-11
635,2,2009-10-11
250,2,2009-10-11
462,2,2009-10-11
515,2,2009-10-11
683,2,2009-10-11
615,2,2009-10-11
739,2,2009-10-11
653,2,2009-10-11
471,2,2009-10-11
755,1,2009-10-11
755,2,2009-10-11
49,2,2009-10-11
1,2,2009-10-11
49,1,2009-10-11
403,2,2009-10-11
717,2,2009-10-11
702,2,2009-10-11
433,2,2009-10-11
722,2,2009-10-11
763,2,2009-10-11
778,2,2009-10-11
730,2,2009-10-11
663,2,2009-10-11
731,2,2009-10-11
763,2,2009-10-11
788,2,2009-10-11
778,2,2009-10-11
571,5,2009-10-11
776,2,2009-10-11
664,5,2009-10-11
57,5,2009-10-11
654,5,2009-10-11
699,2,2009-10-11
694,3,2009-10-11
793,2,2009-10-11
777,2,2009-10-11
197,2,2009-10-11
172,2,2009-10-11
785,2,2009-10-11
48,2,2009-10-11
51,2,2009-10-11
466,2,2009-10-11
741,2,2009-10-11
796,2,2009-10-11
793,2,2009-10-11
734,2,2009-10-11
720,2,2009-10-11
793,2,2009-10-12
799,2,2009-10-12
785,2,2009-10-12
780,2,2009-10-12
745,2,2009-10-12
796,2,2009-10-12
795,2,2009-10-12
807,2,2009-10-12
786,2,2009-10-12
805,2,2009-10-12
795,2,2009-10-12
166,2,2009-10-12
808,2,2009-10-12
713,2,2009-10-12
768,2,2009-10-12
796,5,2009-10-12
796,2,2009-10-12
825,2,2009-10-12
829,2,2009-10-12
802,2,2009-10-12
687,2,2009-10-12
700,2,2009-10-12
690,2,2009-10-12
720,2,2009-10-12
720,5,2009-10-12
785,2,2009-10-12
817,2,2009-10-12
789,2,2009-10-12
802,5,2009-10-12
649,2,2009-10-12
811,2,2009-10-12
790,2,2009-10-12
831,2,2009-10-12
435,2,2009-10-12
210,2,2009-10-12
836,2,2009-10-12
509,2,2009-10-12
265,2,2009-10-12
364,2,2009-10-12
223,2,2009-10-12
825,2,2009-10-12
809,2,2009-10-12
826,2,2009-10-12
828,2,2009-10-12
829,2,2009-10-12
835,1,2009-10-12
761,2,2009-10-12
541,2,2009-10-12
761,1,2009-10-12
831,2,2009-10-12
834,2,2009-10-12
836,2,2009-10-12
830,2,2009-10-12
843,2,2009-10-12
830,2,2009-10-12
599,2,2009-10-12
599,1,2009-10-12
843,2,2009-10-12
844,2,2009-10-12
844,5,2009-10-12
196,2,2009-10-12
566,2,2009-10-12
649,2,2009-10-12
643,2,2009-10-12
773,2,2009-10-12
795,5,2009-10-12
816,2,2009-10-12
608,2,2009-10-12
475,2,2009-10-12
345,2,2009-10-12
404,2,2009-10-12
407,2,2009-10-12
845,2,2009-10-12
844,2,2009-10-12
511,5,2009-10-12
511,2,2009-10-12
522,2,2009-10-12
569,2,2009-10-12
845,2,2009-10-12
844,2,2009-10-12
182,2,2009-10-12
182,5,2009-10-12
199,2,2009-10-12
848,2,2009-10-12
850,2,2009-10-12
236,2,2009-10-12
191,2,2009-10-12
15,1,2009-10-12
207,2,2009-10-12
124,2,2009-10-12
208,2,2009-10-12
850,2,2009-10-12
844,2,2009-10-12
844,5,2009-10-12
794,2,2009-10-12
791,2,2009-10-12
769,2,2009-10-12
836,2,2009-10-12
834,2,2009-10-12
837,2,2009-10-12
844,2,2009-10-12
848,2,2009-10-12
848,1,2009-10-12
848,2,2009-10-12
853,2,2009-10-12
848,2,2009-10-12
844,5,2009-10-12
844,2,2009-10-12
711,2,2009-10-12
750,2,2009-10-12
621,2,2009-10-12
824,2,2009-10-12
870,2,2009-10-12
861,2,2009-10-12
789,2,2009-10-12
854,2,2009-10-12
844,5,2009-10-12
815,2,2009-10-12
880,2,2009-10-12
874,5,2009-10-12
214,1,2009-10-12
825,2,2009-10-12
857,2,2009-10-12
615,5,2009-10-12
395,5,2009-10-12
882,2,2009-10-12
899,2,2009-10-12
874,2,2009-10-12
880,2,2009-10-12
892,2,2009-10-12
900,2,2009-10-12
901,2,2009-10-12
898,2,2009-10-12
853,2,2009-10-12
862,2,2009-10-12
858,2,2009-10-12
901,2,2009-10-12
777,2,2009-10-12
908,2,2009-10-12
911,10,2009-10-12
914,2,2009-10-12
917,2,2009-10-12
880,2,2009-10-12
881,2,2009-10-12
902,2,2009-10-12
880,1,2009-10-12
901,2,2009-10-12
898,2,2009-10-12
900,2,2009-10-12
858,2,2009-10-12
166,2,2009-10-12
919,2,2009-10-12
918,2,2009-10-12
921,2,2009-10-12
757,2,2009-10-12
729,2,2009-10-12
668,2,2009-10-12
561,2,2009-10-12
739,2,2009-10-12
919,2,2009-10-12
914,2,2009-10-12
920,2,2009-10-12
923,2,2009-10-12
724,2,2009-10-12
579,2,2009-10-12
838,2,2009-10-12
925,2,2009-10-12
920,2,2009-10-12
874,2,2009-10-12
923,2,2009-10-12
860,2,2009-10-12
824,1,2009-10-12
824,2,2009-10-12
931,2,2009-10-12
898,2,2009-10-12
902,2,2009-10-12
880,2,2009-10-12
874,2,2009-10-12
808,2,2009-10-12
883,2,2009-10-12
904,2,2009-10-12
923,2,2009-10-12
755,2,2009-10-12
922,2,2009-10-12
908,3,2009-10-12
932,2,2009-10-12
924,2,2009-10-12
922,2,2009-10-12
71,2,2009-10-12
7,2,2009-10-12
67,2,2009-10-12
920,2,2009-10-12
155,2,2009-10-12
164,2,2009-10-12
851,2,2009-10-12
270,2,2009-10-12
947,2,2009-10-12
944,2,2009-10-12
952,2,2009-10-12
952,2,2009-10-12
955,2,2009-10-12
931,2,2009-10-12
948,2,2009-10-12
952,2,2009-10-12
899,2,2009-10-12
941,2,2009-10-12
895,5,2009-10-12
930,2,2009-10-12
597,2,2009-10-12
590,2,2009-10-12
713,5,2009-10-12
951,2,2009-10-12
139,2,2009-10-12
848,2,2009-10-12
981,2,2009-10-12
964,5,2009-10-12
947,2,2009-10-12
965,2,2009-10-12
972,2,2009-10-12
834,2,2009-10-12
899,2,2009-10-12
895,5,2009-10-12
975,2,2009-10-12
998,2,2009-10-12
734,2,2009-10-12
981,5,2009-10-12
751,2,2009-10-12
912,2,2009-10-12
981,2,2009-10-12
8,5,2009-10-12
964,5,2009-10-12
759,2,2009-10-12
512,2,2009-10-12
556,2,2009-10-12
505,2,2009-10-12
503,2,2009-10-12
538,2,2009-10-12
391,2,2009-10-12
712,2,2009-10-12
714,2,2009-10-12
771,2,2009-10-12
767,2,2009-10-12
1008,2,2009-10-12
814,2,2009-10-12
329,5,2009-10-12
1001,2,2009-10-12
992,2,2009-10-12
736,2,2009-10-12
959,2,2009-10-12
1016,2,2009-10-12
946,2,2009-10-12
477,2,2009-10-12
518,2,2009-10-12
970,2,2009-10-12
965,2,2009-10-12
1002,2,2009-10-12
552,5,2009-10-12
596,2,2009-10-12
790,2,2009-10-12
784,2,2009-10-12
69,2,2009-10-12
129,2,2009-10-12
795,5,2009-10-12
1039,2,2009-10-12
751,2,2009-10-12
1044,2,2009-10-12
1031,2,2009-10-12
1051,2,2009-10-12
99,2,2009-10-12
129,2,2009-10-12
1045,2,2009-10-12
1046,2,2009-10-12
1051,2,2009-10-12
1021,2,2009-10-12
1035,2,2009-10-12
1049,2,2009-10-12
1051,2,2009-10-12
678,2,2009-10-12
87,2,2009-10-12
1016,2,2009-10-12
1008,2,2009-10-12
1019,2,2009-10-12
590,5,2009-10-12
1051,2,2009-10-12
552,5,2009-10-12
391,1,2009-10-12
1031,2,2009-10-12
141,5,2009-10-12
1047,5,2009-10-12
1010,2,2009-10-12
1064,2,2009-10-12
1064,2,2009-10-12
825,2,2009-10-12
814,2,2009-10-12
1025,2,2009-10-12
955,2,2009-10-13
254,2,2009-10-13
823,2,2009-10-13
1051,2,2009-10-13
78,2,2009-10-13
1018,1,2009-10-13
934,2,2009-10-13
1051,2,2009-10-13
1050,2,2009-10-13
1051,2,2009-10-13
1051,2,2009-10-13
1008,2,2009-10-13
923,2,2009-10-13
893,2,2009-10-13
1065,2,2009-10-13
1068,5,2009-10-13
1072,2,2009-10-13
1072,2,2009-10-13
963,2,2009-10-13
963,5,2009-10-13
1051,2,2009-10-13
57,2,2009-10-13
59,2,2009-10-13
130,2,2009-10-13
84,2,2009-10-13
86,2,2009-10-13
198,2,2009-10-13
1060,2,2009-10-13
952,2,2009-10-13
955,2,2009-10-13
1070,2,2009-10-13
574,2,2009-10-13
440,2,2009-10-13
1015,2,2009-10-13
1018,2,2009-10-13
803,2,2009-10-13
955,2,2009-10-13
1080,2,2009-10-13
904,2,2009-10-13
978,2,2009-10-13
883,2,2009-10-13
929,2,2009-10-13
811,2,2009-10-13
1080,2,2009-10-13
1054,2,2009-10-13
1055,2,2009-10-13
1056,2,2009-10-13
1073,2,2009-10-13
1076,2,2009-10-13
1075,2,2009-10-13
576,1,2009-10-13
1092,2,2009-10-13
734,1,2009-10-13
1020,2,2009-10-13
963,2,2009-10-13
1074,2,2009-10-13
1078,2,2009-10-13
1086,2,2009-10-13
1099,2,2009-10-13
1103,2,2009-10-13
1053,2,2009-10-13
998,2,2009-10-13
770,1,2009-10-13
963,5,2009-10-13
990,2,2009-10-13
1026,2,2009-10-13
1036,2,2009-10-13
1032,2,2009-10-13
1077,2,2009-10-13
511,5,2009-10-13
669,2,2009-10-13
670,2,2009-10-13
973,2,2009-10-13
1096,2,2009-10-13
964,5,2009-10-13
964,2,2009-10-13
964,5,2009-10-13
829,1,2009-10-13
1098,2,2009-10-13
1112,2,2009-10-13
1109,2,2009-10-13
1092,5,2009-10-13
896,2,2009-10-13
19,2,2009-10-13
1092,2,2009-10-13
983,2,2009-10-13
984,2,2009-10-13
987,2,2009-10-13
988,2,2009-10-13
993,2,2009-10-13
1097,2,2009-10-13
981,5,2009-10-13
981,2,2009-10-13
1109,2,2009-10-13
1101,2,2009-10-13
669,5,2009-10-13
1009,2,2009-10-13
1115,2,2009-10-13
244,3,2009-10-13
626,5,2009-10-13
1118,2,2009-10-13
1106,5,2009-10-13
1078,2,2009-10-13
1081,2,2009-10-13
1101,2,2009-10-13
988,2,2009-10-13
957,2,2009-10-13
950,2,2009-10-13
919,1,2009-10-13
1081,2,2009-10-13
1101,2,2009-10-13
1051,2,2009-10-13
1047,2,2009-10-13
1018,2,2009-10-13
996,2,2009-10-13
998,2,2009-10-13
999,2,2009-10-13
1032,2,2009-10-13
808,5,2009-10-13
1034,2,2009-10-13
736,1,2009-10-13
1114,2,2009-10-13
1051,2,2009-10-13
85,2,2009-10-13
105,2,2009-10-13
472,2,2009-10-13
790,1,2009-10-13
1123,2,2009-10-13
944,2,2009-10-13
345,2,2009-10-13
1051,3,2009-10-13
1108,2,2009-10-13
615,2,2009-10-13
1133,2,2009-10-13
1137,2,2009-10-13
1143,5,2009-10-13
38,2,2009-10-13
808,5,2009-10-13
1141,2,2009-10-13
1092,2,2009-10-13
1092,5,2009-10-13
32,2,2009-10-13
877,2,2009-10-13
793,2,2009-10-13
1121,2,2009-10-13
855,2,2009-10-13
1139,2,2009-10-13
877,2,2009-10-13
1124,2,2009-10-13
1150,2,2009-10-13
1141,2,2009-10-13
1133,2,2009-10-13
1149,2,2009-10-13
1080,2,2009-10-13
1158,2,2009-10-13
1152,2,2009-10-13
1100,2,2009-10-13
1154,1,2009-10-13
1165,2,2009-10-13
1155,2,2009-10-13
1003,5,2009-10-13
931,2,2009-10-13
1152,2,2009-10-13
1158,2,2009-10-13
1159,2,2009-10-13
920,2,2009-10-13
1036,2,2009-10-13
947,2,2009-10-13
951,2,2009-10-13
1152,2,2009-10-13
808,5,2009-10-13
1156,2,2009-10-13
1173,2,2009-10-13
1169,2,2009-10-13
1062,2,2009-10-13
1164,2,2009-10-13
1170,2,2009-10-13
1176,2,2009-10-13
1176,2,2009-10-13
1152,2,2009-10-13
317,2,2009-10-13
1094,2,2009-10-13
1193,2,2009-10-13
1117,2,2009-10-13
1101,2,2009-10-13
1194,2,2009-10-13
1083,2,2009-10-13
1182,2,2009-10-13
12,2,2009-10-13
26,2,2009-10-13
775,2,2009-10-13
1150,2,2009-10-13
847,2,2009-10-13
517,2,2009-10-13
1141,2,2009-10-13
1196,2,2009-10-13
317,2,2009-10-13
850,1,2009-10-13
908,5,2009-10-13
1203,2,2009-10-13
1204,2,2009-10-13
1203,2,2009-10-13
1159,2,2009-10-13
1049,5,2009-10-13
1207,2,2009-10-13
1204,2,2009-10-13
1208,2,2009-10-13
1209,2,2009-10-13
1210,2,2009-10-13
1218,3,2009-10-13
345,2,2009-10-13
475,1,2009-10-13
1215,2,2009-10-13
156,5,2009-10-13
1215,2,2009-10-13
1218,3,2009-10-13
809,5,2009-10-13
809,2,2009-10-13
1189,1,2009-10-13
1215,2,2009-10-13
1178,2,2009-10-13
809,5,2009-10-13
1217,2,2009-10-13
1126,2,2009-10-13
1132,2,2009-10-13
1120,2,2009-10-13
1178,2,2009-10-13
1227,2,2009-10-13
1229,2,2009-10-13
1204,2,2009-10-13
1206,1,2009-10-13
959,2,2009-10-13
960,2,2009-10-13
995,2,2009-10-13
1241,2,2009-10-13
1224,2,2009-10-13
1032,2,2009-10-13
964,2,2009-10-13
964,5,2009-10-13
1225,2,2009-10-13
1211,10,2009-10-13
1020,2,2009-10-13
1102,2,2009-10-13
1234,2,2009-10-13
1227,2,2009-10-13
655,1,2009-10-13
898,5,2009-10-13
808,5,2009-10-13
1241,2,2009-10-13
1232,2,2009-10-13
1267,2,2009-10-13
1241,5,2009-10-13
1241,2,2009-10-13
1254,2,2009-10-13
1251,2,2009-10-13
1241,2,2009-10-14
1251,2,2009-10-14
1261,2,2009-10-14
803,5,2009-10-14
639,5,2009-10-14
651,2,2009-10-14
965,2,2009-10-14
