QId_x,QUserId,QTags,QTime,QAcceptedAnswerId,QScore,QViewCount,QAnswerCount,QCommentCount,AId,AUserId,QId_y,ATime,AScore,ACommentCount
1,6.0,<inclination><amateur-observing>,2013-09-24 18:51:54.593,879.0,32,1027,2,0,879,281.0,1,2013-11-05 23:46:37.250,14,0
2,,<exoplanet><atmosphere>,2013-09-24 18:53:25.647,45.0,19,213,1,1,45,6.0,2,2013-09-24 20:44:49.320,9,2
4,19.0,<the-sun>,2013-09-24 18:57:01.680,5.0,26,19774,2,5,5,19.0,4,2013-09-24 18:57:01.680,24,3
7,19.0,<black-hole><light>,2013-09-24 19:14:05.603,8.0,25,4562,3,1,8,19.0,7,2013-09-24 19:14:05.603,12,2
9,28.0,<coordinate><ascension><declination>,2013-09-24 19:15:40.250,35.0,20,8273,3,0,35,7.0,9,2013-09-24 20:02:18.120,15,0
14,36.0,<general-relativity>,2013-09-24 19:28:29.673,21.0,15,179,1,1,21,28.0,14,2013-09-24 19:36:35.913,11,0
15,36.0,<exoplanet><weather>,2013-09-24 19:30:09.823,43.0,17,838,4,1,43,53.0,15,2013-09-24 20:21:31.950,21,4
16,41.0,<the-moon><orbit>,2013-09-24 19:31:17.000,22.0,63,8354,6,2,22,13.0,16,2013-09-24 19:42:15.507,67,1
24,19.0,<black-hole>,2013-09-24 19:46:14.980,40.0,39,2469,5,0,40,,24,2013-09-24 20:13:56.917,24,0
26,,<venus><rotation>,2013-09-24 19:50:44.980,57.0,29,1702,2,0,57,43.0,26,2013-09-24 22:22:59.173,18,1
27,44.0,<black-hole>,2013-09-24 19:52:05.020,32.0,15,459,1,1,32,28.0,27,2013-09-24 19:59:45.683,13,0
33,39.0,<black-hole><supermassive-black-hole>,2013-09-24 20:00:00.203,36.0,25,8455,4,5,36,31.0,33,2013-09-24 20:02:37.830,16,2
38,,<rotation><uranus>,2013-09-24 20:06:13.763,65.0,22,1136,1,1,65,69.0,38,2013-09-24 23:47:16.007,16,1
39,42.0,<orbit>,2013-09-24 20:10:36.683,234.0,10,401,2,1,234,45.0,39,2013-09-26 13:11:23.363,7,0
42,39.0,<star><pulsar>,2013-09-24 20:19:24.813,44.0,28,1610,2,0,44,45.0,42,2013-09-24 20:25:36.830,14,1
58,62.0,<star><binary-star>,2013-09-24 22:29:45.553,60.0,17,600,2,5,60,63.0,58,2013-09-24 22:55:19.680,10,3
63,69.0,<gravity>,2013-09-24 23:39:50.153,68.0,24,5863,2,5,68,19.0,63,2013-09-24 23:50:42.790,16,0
75,73.0,<light><gravity>,2013-09-25 00:26:24.657,242.0,17,3462,4,1,242,45.0,75,2013-09-26 14:18:49.667,13,0
79,,<star><temperature>,2013-09-25 00:48:51.853,91.0,19,1073,4,0,91,2.0,79,2013-09-25 04:26:03.407,17,5
80,,<neptune><climate>,2013-09-25 01:09:44.843,124.0,15,2832,1,0,124,96.0,80,2013-09-25 13:13:33.133,9,0
81,19.0,<naming>,2013-09-25 01:59:59.087,86.0,16,263,1,1,86,,81,2013-09-25 02:19:55.517,11,0
87,39.0,<solar-flare><coronal-mass-ejection>,2013-09-25 02:38:17.540,88.0,20,1460,2,0,88,,87,2013-09-25 03:16:58.277,10,0
89,19.0,<the-sun>,2013-09-25 04:15:11.797,278.0,10,352,2,0,278,,89,2013-09-27 01:21:42.783,6,1
94,,<distances><parsec>,2013-09-25 05:05:19.773,180.0,28,2873,2,0,180,45.0,94,2013-09-26 02:54:02.650,13,0
96,80.0,<galaxy>,2013-09-25 06:24:51.817,97.0,16,1734,2,0,97,,96,2013-09-25 06:58:41.663,13,0
98,82.0,<pulsar><neutron-star>,2013-09-25 07:04:36.490,132.0,14,5713,2,0,132,2.0,98,2013-09-25 14:56:39.043,7,0
104,82.0,<universe><expansion>,2013-09-25 07:55:54.067,109.0,18,639,1,0,109,86.0,104,2013-09-25 08:22:07.337,13,0
107,,<exoplanet><hot-jupiter><solar-system>,2013-09-25 08:08:51.417,111.0,5,588,3,0,111,88.0,107,2013-09-25 08:33:36.823,6,3
114,95.0,<star-gazing>,2013-09-25 10:57:55.510,118.0,9,2600,3,1,118,67.0,114,2013-09-25 11:43:02.043,8,3
115,69.0,<star><heat>,2013-09-25 11:02:30.763,236.0,15,1141,3,1,236,88.0,115,2013-09-26 13:21:25.700,5,2
122,99.0,<universe>,2013-09-25 12:44:04.737,123.0,15,592,3,4,123,73.0,122,2013-09-25 12:59:54.703,12,3
125,96.0,<earth-like-planet><titan>,2013-09-25 13:49:59.317,163.0,11,565,2,0,163,,125,2013-09-26 00:14:11.867,5,0
130,96.0,<orbit><solar-system>,2013-09-25 14:48:33.620,137.0,28,6681,3,2,137,28.0,130,2013-09-25 15:45:40.130,21,6
131,96.0,<the-moon><gravity>,2013-09-25 14:55:33.303,135.0,21,12366,1,4,135,19.0,131,2013-09-25 15:11:46.327,21,17
133,19.0,<black-hole><star>,2013-09-25 15:08:24.590,141.0,15,323,4,0,141,96.0,133,2013-09-25 16:06:15.777,10,0
134,96.0,<white-hole>,2013-09-25 15:09:58.843,136.0,16,456,1,0,136,,134,2013-09-25 15:28:06.260,8,2
138,96.0,<the-sun><rotation><star-formation><plasma-physics>,2013-09-25 15:46:34.720,140.0,82,6311,6,1,140,28.0,138,2013-09-25 16:04:10.447,82,1
145,104.0,<galaxy><milky-way>,2013-09-25 17:22:09.057,146.0,25,3331,1,1,146,45.0,145,2013-09-25 17:28:34.007,21,0
150,106.0,<dobsonian-telescope><collimation>,2013-09-25 18:22:54.840,281.0,22,10118,1,2,281,13.0,150,2013-09-27 02:09:31.453,12,0
158,69.0,<black-hole><white-hole><wormhole>,2013-09-25 21:18:32.467,160.0,5,663,2,0,160,19.0,158,2013-09-26 00:00:18.580,5,1
166,114.0,<exoplanet><observational-astronomy>,2013-09-26 02:04:09.627,167.0,14,316,2,0,167,114.0,166,2013-09-26 02:04:38.347,10,1
168,114.0,<orbit><asteroids>,2013-09-26 02:09:04.033,169.0,12,144,1,0,169,114.0,168,2013-09-26 02:09:35.223,6,0
170,114.0,<the-moon><observational-astronomy>,2013-09-26 02:16:10.907,171.0,15,1021,1,2,171,114.0,170,2013-09-26 02:16:21.673,12,0
172,,<orbit><neptune><triton>,2013-09-26 02:18:01.870,181.0,11,513,1,1,181,63.0,172,2013-09-26 03:03:32.727,5,0
173,114.0,<supernova>,2013-09-26 02:19:07.780,174.0,22,600,2,0,174,114.0,173,2013-09-26 02:19:43.550,18,0
182,19.0,<callisto><core>,2013-09-26 04:47:51.060,211.0,14,379,1,0,211,28.0,182,2013-09-26 07:20:45.653,6,0
212,,<planet><classification><dwarf-planets>,2013-09-26 07:33:33.467,218.0,20,1175,2,0,218,96.0,212,2013-09-26 08:42:06.133,10,1
213,96.0,<asteroids><comets><meteor><meteorite>,2013-09-26 07:46:36.753,217.0,16,2997,3,0,217,88.0,213,2013-09-26 08:23:19.013,10,2
214,115.0,<general-relativity><stellar-dynamics><newtonian-gravity>,2013-09-26 07:46:45.707,264.0,14,180,2,3,264,2.0,214,2013-09-26 21:44:37.527,7,3
219,96.0,<planet><earth>,2013-09-26 09:01:50.140,227.0,11,222,1,1,227,73.0,219,2013-09-26 11:04:23.963,5,2
220,96.0,<the-moon><the-sun><earth>,2013-09-26 09:04:21.743,235.0,19,2441,2,0,235,43.0,220,2013-09-26 13:11:58.027,11,0
222,96.0,<star><earth>,2013-09-26 10:08:58.087,223.0,19,2333,2,0,223,88.0,222,2013-09-26 10:24:31.897,9,2
225,69.0,<observational-astronomy>,2013-09-26 10:51:51.540,250.0,7,1198,3,2,250,25.0,225,2013-09-26 17:08:38.093,5,3
226,69.0,<the-moon><horizon>,2013-09-26 10:55:40.947,228.0,16,796,1,1,228,96.0,226,2013-09-26 11:11:44.967,12,1
237,83.0,<navigation><azimuth>,2013-09-26 13:37:48.340,243.0,14,172,2,1,243,63.0,237,2013-09-26 14:24:00.253,6,0
240,83.0,<the-moon><azimuth>,2013-09-26 13:52:27.527,715.0,12,5801,3,0,715,286.0,240,2013-10-20 12:00:52.737,8,0
241,83.0,<observatory>,2013-09-26 14:05:24.540,245.0,10,184,1,3,245,88.0,241,2013-09-26 14:39:28.353,13,3
247,117.0,<the-sun>,2013-09-26 15:37:42.820,248.0,25,851,1,1,248,88.0,247,2013-09-26 16:05:34.500,18,2
249,62.0,<star><temperature><laws-of-physics>,2013-09-26 16:40:43.187,295.0,12,735,2,0,295,43.0,249,2013-09-27 06:47:33.487,5,0
251,118.0,<pulsar>,2013-09-26 17:15:53.743,269.0,12,407,1,0,269,,251,2013-09-26 23:23:25.370,4,0
252,13.0,<the-sun><observational-astronomy><amateur-observing><dobsonian-telescope><newtonian-telescope>,2013-09-26 17:17:01.853,259.0,15,586,1,0,259,121.0,252,2013-09-26 20:20:36.090,11,0
253,62.0,<the-sun><temperature><laws-of-physics><core>,2013-09-26 18:04:25.677,277.0,17,11489,4,1,277,45.0,253,2013-09-27 01:04:35.140,6,4
256,43.0,<water>,2013-09-26 19:32:54.407,265.0,16,183,2,0,265,,256,2013-09-26 22:02:15.930,9,0
261,69.0,<star>,2013-09-26 20:55:04.263,309.0,6,1616,2,1,309,88.0,261,2013-09-27 12:18:38.793,8,1
266,69.0,<meteor>,2013-09-26 22:56:19.733,419.0,6,2325,2,5,419,158.0,266,2013-09-30 18:25:38.650,3,0
270,96.0,<the-sun><constellations>,2013-09-27 00:00:17.283,275.0,22,29946,4,2,275,48.0,270,2013-09-27 00:36:38.000,36,4
271,96.0,<star><supernova>,2013-09-27 00:14:09.570,283.0,19,5635,1,0,283,114.0,271,2013-09-27 02:57:34.707,13,0
272,,<star><supernova>,2013-09-27 00:21:14.797,282.0,11,1056,2,0,282,114.0,272,2013-09-27 02:39:29.797,4,1
273,96.0,<hubble-telescope>,2013-09-27 00:29:11.640,284.0,22,733,2,1,284,38.0,273,2013-09-27 03:48:08.737,28,0
296,96.0,<neptune><uranus><saturn><jupiter><planetary-ring>,2013-09-27 07:50:50.833,297.0,21,4558,1,0,297,111.0,296,2013-09-27 07:59:03.663,20,3
298,,<europa>,2013-09-27 09:09:22.557,299.0,8,234,1,0,299,96.0,298,2013-09-27 10:00:00.053,6,0
300,,<rotation><galaxy>,2013-09-27 10:07:08.227,301.0,15,1432,2,0,301,88.0,300,2013-09-27 10:17:28.033,15,2
304,83.0,<galaxy><movement>,2013-09-27 11:23:54.283,306.0,14,333,1,7,306,,304,2013-09-27 11:52:11.427,10,4
305,83.0,<expansion>,2013-09-27 11:44:27.500,308.0,21,703,2,2,308,28.0,305,2013-09-27 12:10:03.853,19,6
307,83.0,<intergalactic-space>,2013-09-27 11:55:34.173,311.0,18,1305,3,0,311,28.0,307,2013-09-27 12:26:45.243,12,1
310,83.0,<amateur-observing><photography>,2013-09-27 12:21:40.583,327.0,12,611,2,3,327,121.0,310,2013-09-27 17:19:49.973,6,0
321,19.0,<jupiter><natural-satellites>,2013-09-27 14:01:12.247,323.0,33,18533,2,0,323,83.0,321,2013-09-27 14:22:37.710,23,0
328,19.0,<star><size>,2013-09-27 17:26:31.793,333.0,23,8801,3,0,333,42.0,328,2013-09-27 19:18:55.347,18,1
331,13.0,<dobsonian-telescope><newtonian-telescope><atmosphere><apparent-magnitude><luminosity>,2013-09-27 18:08:36.317,414.0,30,1107,1,2,414,88.0,331,2013-09-30 09:06:08.357,17,0
332,13.0,<observational-astronomy><distances><parallax><angular-resolution><astrometry>,2013-09-27 18:35:43.900,353.0,14,1602,2,0,353,63.0,332,2013-09-28 02:03:24.347,5,7
334,42.0,<the-moon><earth>,2013-09-27 19:25:53.543,413.0,16,533,1,1,413,2.0,334,2013-09-30 06:51:09.050,11,3
348,19.0,<the-moon><meteor><meteorite>,2013-09-28 00:24:01.500,352.0,16,1467,1,0,352,,348,2013-09-28 02:02:11.713,13,0
349,19.0,<the-moon><atmosphere>,2013-09-28 00:32:36.837,350.0,16,17473,2,1,350,25.0,349,2013-09-28 01:23:23.217,21,1
362,,<core><mercury><density>,2013-09-28 10:51:07.643,412.0,14,726,1,0,412,2.0,362,2013-09-30 05:57:41.223,8,0
366,45.0,<black-hole><observational-astronomy><hawking-radiation>,2013-09-28 16:22:23.880,367.0,18,2600,1,1,367,,366,2013-09-28 21:00:23.273,14,0
370,62.0,<planet><gas-giants>,2013-09-29 00:51:20.507,371.0,31,6309,4,3,371,,370,2013-09-29 01:50:50.433,13,0
373,148.0,<gravity><space-telescope><lagrange-point><space-debris>,2013-09-29 02:26:11.650,374.0,18,725,2,0,374,13.0,373,2013-09-29 02:47:04.443,18,3
381,150.0,<big-bang-theory>,2013-09-29 07:23:33.843,384.0,26,576,1,0,384,28.0,381,2013-09-29 08:00:19.183,17,2
385,82.0,<earth-like-planet><habitable-zone>,2013-09-29 08:11:35.767,386.0,15,638,1,0,386,,385,2013-09-29 09:37:01.980,11,0
387,150.0,<planet><universe><rotation>,2013-09-29 10:35:02.707,398.0,20,1335,3,1,398,13.0,387,2013-09-29 13:48:23.480,12,0
400,62.0,<exoplanet><light><surface>,2013-09-29 21:26:48.603,495.0,16,551,1,0,495,115.0,400,2013-10-05 23:53:06.743,5,0
401,,<exoplanet><hot-jupiter><chthonian>,2013-09-29 22:37:35.427,415.0,15,658,1,1,415,2.0,401,2013-09-30 14:33:10.630,10,1
408,19.0,<sombrero-galaxy><dust>,2013-09-30 02:29:01.760,411.0,12,403,1,1,411,13.0,408,2013-09-30 05:19:47.287,8,0
418,,<exoplanet><amateur-observing>,2013-09-30 17:05:48.710,425.0,18,482,3,0,425,43.0,418,2013-09-30 19:39:26.300,13,2
423,62.0,<atmosphere><meteor><explosion>,2013-09-30 19:17:31.503,427.0,7,581,2,0,427,28.0,423,2013-09-30 19:47:36.920,8,0
424,62.0,<solar-system><natural-satellites><pluto><charon>,2013-09-30 19:21:27.070,426.0,8,446,1,2,426,2.0,424,2013-09-30 19:39:52.553,9,2
430,2.0,<solar-system><binary-star><nemesis>,2013-10-01 00:06:31.483,1155.0,18,535,2,2,1155,88.0,430,2013-12-13 13:20:08.623,12,2
439,,<exoplanet><observational-astronomy><surface><volcanism>,2013-10-01 10:14:07.360,441.0,11,65,1,0,441,86.0,439,2013-10-01 12:17:38.470,4,0
442,160.0,<the-sun><solar-system><observational-astronomy><comets><space>,2013-10-01 13:20:01.323,445.0,20,294,1,0,445,43.0,442,2013-10-01 14:17:11.540,11,0
451,160.0,<the-moon><solar-system><water><mars>,2013-10-01 19:45:47.330,454.0,11,264,2,3,454,13.0,451,2013-10-01 22:05:28.333,8,5
459,,<black-hole><amateur-observing><radio-astronomy>,2013-10-02 03:21:10.763,797.0,17,913,2,2,797,28.0,459,2013-10-27 08:47:16.893,4,0
461,13.0,<radio-astronomy><spectrometry>,2013-10-02 04:15:21.283,474.0,9,98,1,0,474,88.0,461,2013-10-02 14:49:39.210,4,0
475,6.0,<cosmology><cmb>,2013-10-02 18:52:26.703,708.0,12,501,1,0,708,86.0,475,2013-10-19 17:13:05.177,6,2
483,,<amateur-observing><jupiter><radio-astronomy><natural-satellites>,2013-10-03 09:54:17.033,608.0,17,5286,4,0,608,13.0,483,2013-10-10 22:55:24.073,13,3
484,62.0,<exoplanet><solar-system><distances>,2013-10-03 10:42:53.120,485.0,10,441,2,0,485,,484,2013-10-03 11:15:11.230,12,2
486,62.0,<planet><orbit><natural-satellites>,2013-10-03 22:43:55.840,489.0,17,502,2,0,489,50.0,486,2013-10-04 09:13:04.040,13,3
488,150.0,<black-hole>,2013-10-04 06:19:19.023,491.0,17,775,3,0,491,28.0,488,2013-10-04 12:49:48.117,17,2
496,,<galaxy><redshift>,2013-10-06 11:35:07.050,497.0,6,633,2,2,497,45.0,496,2013-10-06 15:12:12.570,6,9
498,83.0,<telescope>,2013-10-06 20:40:44.357,2011.0,11,434,3,2,2011,50.0,498,2014-03-19 13:49:33.177,7,0
500,62.0,<black-hole><orbit><gravity>,2013-10-06 23:18:57.557,504.0,15,417,5,0,504,173.0,500,2013-10-07 10:02:03.730,12,3
501,160.0,<mars><terrestrial-planets><magnetic-field>,2013-10-07 02:40:03.707,505.0,20,845,1,0,505,43.0,501,2013-10-07 15:29:42.863,16,0
506,62.0,<earth><rotation><core><magnetic-field>,2013-10-07 17:31:13.553,509.0,6,358,1,0,509,38.0,506,2013-10-07 19:53:29.573,7,0
507,160.0,<solar-system><kuiper-belt><terrestrial-planets><pluto><topographic-map>,2013-10-07 19:31:52.247,521.0,8,372,1,0,521,53.0,507,2013-10-07 20:53:03.157,14,2
508,160.0,<star-systems><space-time><eccentric-orbit>,2013-10-07 19:47:48.063,510.0,6,452,2,0,510,38.0,508,2013-10-07 19:58:51.387,10,4
520,160.0,<star><newtonian-telescope><telescope><space>,2013-10-07 20:25:47.207,522.0,10,362,1,0,522,53.0,520,2013-10-07 21:02:53.990,13,3
524,117.0,<the-sun>,2013-10-08 13:42:57.767,1134.0,14,356,1,5,1134,88.0,524,2013-12-11 16:55:02.503,6,0
525,160.0,<solar-system><jupiter><terrestrial-planets><laws-of-physics><magnetic-field>,2013-10-08 13:43:41.017,899.0,14,848,2,0,899,,525,2013-11-09 10:20:24.917,10,0
526,117.0,<the-sun>,2013-10-08 13:52:36.570,527.0,15,319,3,0,527,6.0,526,2013-10-08 13:58:50.323,14,0
528,117.0,<black-hole><binary-star>,2013-10-08 14:49:00.587,591.0,8,91,1,0,591,88.0,528,2013-10-09 15:18:13.703,4,0
529,42.0,<cosmology>,2013-10-08 20:06:04.260,530.0,11,504,2,1,530,6.0,529,2013-10-08 20:22:36.780,13,0
534,210.0,<telescope>,2013-10-08 10:00:16.603,582.0,21,13584,3,0,582,50.0,534,2013-10-09 09:21:23.340,14,0
537,180.0,<earth><rotation>,2013-10-08 22:18:17.050,543.0,23,22227,2,1,543,181.0,537,2013-10-09 00:25:49.420,24,2
539,181.0,<solar-system><planet><dwarf-planets>,2013-10-08 23:43:31.327,544.0,53,32738,5,3,544,19.0,539,2013-10-09 00:34:45.137,70,8
545,181.0,<solar-system><galaxy><milky-way>,2013-10-09 01:05:29.667,574.0,18,5724,2,4,574,,545,2013-10-09 07:42:03.400,8,0
546,181.0,<solar-system><galaxy><laws-of-physics>,2013-10-09 01:12:39.320,547.0,33,6555,2,8,547,45.0,546,2013-10-09 01:31:30.640,16,4
564,188.0,<earth><planet><core><magnetic-field>,2013-10-09 02:33:07.800,636.0,14,376,1,0,636,88.0,564,2013-10-14 10:17:06.863,5,0
576,160.0,<newtonian-telescope><telescope-lens><deep-sky-observing>,2013-10-09 08:13:18.730,587.0,10,4563,2,0,587,63.0,576,2013-10-09 13:29:41.950,8,2
579,181.0,<space><radiation>,2013-10-09 08:43:31.667,584.0,12,1525,2,0,584,50.0,579,2013-10-09 11:20:16.903,3,2
601,219.0,<exoplanet><gas-giants><rogue-planet>,2013-10-10 18:20:12.637,612.0,13,335,4,1,612,88.0,601,2013-10-11 08:36:17.243,12,1
602,181.0,<amateur-observing><observational-astronomy><near-earth-object>,2013-10-10 18:42:55.477,603.0,17,230,1,0,603,13.0,602,2013-10-10 19:15:46.170,8,1
604,79.0,<the-moon><earth><magnetic-field>,2013-10-10 19:33:50.770,606.0,10,3438,1,0,606,28.0,604,2013-10-10 21:31:13.493,13,4
607,180.0,<solar-system><planet><orbit>,2013-10-10 22:37:07.967,611.0,19,1350,1,0,611,28.0,607,2013-10-11 05:27:41.707,14,1
623,117.0,<the-sun><solar-flare>,2013-10-11 14:32:38.377,705.0,15,370,2,0,705,276.0,623,2013-10-19 01:30:36.780,12,0
624,117.0,<star><the-sun><solar-flare>,2013-10-11 14:35:37.280,626.0,15,400,1,0,626,,624,2013-10-11 18:52:20.830,7,0
