AId,AUserId,QId,ATime,AScore,ACommentCount
5,19,4,2013-09-24 18:57:01.680,24,3
8,19,7,2013-09-24 19:14:05.603,12,2
21,28,14,2013-09-24 19:36:35.913,11,0
22,13,16,2013-09-24 19:42:15.507,67,1
23,28,16,2013-09-24 19:44:17.080,22,0
25,19,16,2013-09-24 19:48:54.653,29,1
28,43,15,2013-09-24 19:52:20.450,18,0
29,31,24,2013-09-24 19:52:21.910,18,0
32,28,27,2013-09-24 19:59:45.683,13,0
35,7,9,2013-09-24 20:02:18.120,15,0
36,31,33,2013-09-24 20:02:37.830,16,2
37,43,33,2013-09-24 20:03:10.657,9,0
40,,24,2013-09-24 20:13:56.917,24,0
41,45,9,2013-09-24 20:16:20.030,12,0
43,53,15,2013-09-24 20:21:31.950,21,4
44,45,42,2013-09-24 20:25:36.830,14,1
45,6,2,2013-09-24 20:44:49.320,9,2
46,50,9,2013-09-24 20:56:16.930,14,0
53,,52,2013-09-24 21:56:20.273,12,0
54,6,47,2013-09-24 21:59:32.217,10,0
57,43,26,2013-09-24 22:22:59.173,18,1
60,63,58,2013-09-24 22:55:19.680,10,3
61,63,3,2013-09-24 23:13:54.810,7,1
62,63,34,2013-09-24 23:20:11.593,8,0
65,69,38,2013-09-24 23:47:16.007,16,1
68,19,63,2013-09-24 23:50:42.790,16,0
73,19,70,2013-09-25 00:09:14.533,10,9
74,67,39,2013-09-25 00:20:25.563,4,1
76,,75,2013-09-25 00:34:45.893,11,0
77,67,75,2013-09-25 00:37:20.033,6,0
78,19,75,2013-09-25 00:37:25.163,15,0
86,,81,2013-09-25 02:19:55.517,11,0
88,,87,2013-09-25 03:16:58.277,10,0
90,19,89,2013-09-25 04:15:11.797,5,0
91,2,79,2013-09-25 04:26:03.407,17,5
93,28,70,2013-09-25 04:49:01.333,11,0
95,,94,2013-09-25 05:05:19.773,28,2
97,,96,2013-09-25 06:58:41.663,13,0
102,79,98,2013-09-25 07:28:15.903,4,3
105,86,96,2013-09-25 08:00:36.880,12,0
108,86,101,2013-09-25 08:09:46.547,8,3
109,86,104,2013-09-25 08:22:07.337,13,0
111,88,107,2013-09-25 08:33:36.823,6,3
113,73,92,2013-09-25 08:58:13.880,13,2
117,63,114,2013-09-25 11:22:23.200,3,3
118,67,114,2013-09-25 11:43:02.043,8,3
120,67,66,2013-09-25 12:23:41.723,5,0
123,73,122,2013-09-25 12:59:54.703,12,3
124,96,80,2013-09-25 13:13:33.133,9,0
127,96,115,2013-09-25 14:23:26.527,7,6
132,2,98,2013-09-25 14:56:39.043,7,0
135,19,131,2013-09-25 15:11:46.327,21,17
136,,134,2013-09-25 15:28:06.260,8,2
137,28,130,2013-09-25 15:45:40.130,21,6
139,28,133,2013-09-25 15:59:30.427,9,0
140,28,138,2013-09-25 16:04:10.447,82,1
141,96,133,2013-09-25 16:06:15.777,10,0
144,96,24,2013-09-25 16:21:36.963,19,2
146,45,145,2013-09-25 17:28:34.007,21,0
147,102,133,2013-09-25 17:29:08.130,5,0
149,28,148,2013-09-25 18:04:56.717,9,0
151,19,125,2013-09-25 18:48:37.547,5,0
152,79,148,2013-09-25 19:55:09.920,-1,0
153,45,148,2013-09-25 20:32:22.313,5,0
159,73,158,2013-09-25 23:09:42.300,3,0
160,19,158,2013-09-26 00:00:18.580,5,1
163,,125,2013-09-26 00:14:11.867,5,0
165,,164,2013-09-26 00:53:58.033,9,1
167,114,166,2013-09-26 02:04:38.347,10,1
169,114,168,2013-09-26 02:09:35.223,6,0
171,114,170,2013-09-26 02:16:21.673,12,0
174,114,173,2013-09-26 02:19:43.550,18,0
175,25,114,2013-09-26 02:33:15.220,4,0
180,45,94,2013-09-26 02:54:02.650,13,0
181,63,172,2013-09-26 03:03:32.727,5,0
211,28,182,2013-09-26 07:20:45.653,6,0
215,73,212,2013-09-26 07:53:45.783,8,0
216,43,213,2013-09-26 08:17:58.097,4,0
217,88,213,2013-09-26 08:23:19.013,10,2
218,96,212,2013-09-26 08:42:06.133,10,1
221,88,156,2013-09-26 09:08:52.823,7,0
223,88,222,2013-09-26 10:24:31.897,9,2
224,28,24,2013-09-26 10:48:28.680,36,5
227,73,219,2013-09-26 11:04:23.963,5,2
228,96,226,2013-09-26 11:11:44.967,12,1
229,67,225,2013-09-26 11:13:17.753,2,4
230,88,225,2013-09-26 12:02:55.247,5,0
232,96,231,2013-09-26 12:50:30.057,12,2
233,88,231,2013-09-26 12:58:28.137,9,0
234,45,39,2013-09-26 13:11:23.363,7,0
235,43,220,2013-09-26 13:11:58.027,11,0
236,88,115,2013-09-26 13:21:25.700,5,2
242,45,75,2013-09-26 14:18:49.667,13,0
243,63,237,2013-09-26 14:24:00.253,6,0
244,6,237,2013-09-26 14:30:39.233,5,0
245,88,241,2013-09-26 14:39:28.353,13,3
248,88,247,2013-09-26 16:05:34.500,18,2
250,25,225,2013-09-26 17:08:38.093,5,3
257,121,253,2013-09-26 20:04:05.897,15,0
258,111,246,2013-09-26 20:19:48.173,4,1
259,121,252,2013-09-26 20:20:36.090,11,0
264,2,214,2013-09-26 21:44:37.527,7,3
265,,256,2013-09-26 22:02:15.930,9,0
268,19,266,2013-09-26 23:07:07.290,7,0
269,,251,2013-09-26 23:23:25.370,4,0
274,45,270,2013-09-27 00:31:19.823,16,1
275,48,270,2013-09-27 00:36:38.000,36,4
276,45,273,2013-09-27 00:41:53.653,12,0
277,45,253,2013-09-27 01:04:35.140,6,4
278,,89,2013-09-27 01:21:42.783,6,1
280,,279,2013-09-27 02:07:51.733,10,0
281,13,150,2013-09-27 02:09:31.453,12,0
282,114,272,2013-09-27 02:39:29.797,4,1
283,114,271,2013-09-27 02:57:34.707,13,0
284,38,273,2013-09-27 03:48:08.737,28,0
295,43,249,2013-09-27 06:47:33.487,5,0
297,111,296,2013-09-27 07:59:03.663,20,3
299,96,298,2013-09-27 10:00:00.053,6,0
301,88,300,2013-09-27 10:17:28.033,15,2
302,96,300,2013-09-27 10:29:50.260,2,4
303,,173,2013-09-27 10:36:05.040,6,0
306,,304,2013-09-27 11:52:11.427,10,4
308,28,305,2013-09-27 12:10:03.853,19,6
309,88,261,2013-09-27 12:18:38.793,8,1
311,28,307,2013-09-27 12:26:45.243,12,1
312,28,261,2013-09-27 12:41:21.893,5,0
313,,307,2013-09-27 12:49:57.400,8,0
314,88,307,2013-09-27 12:52:02.527,11,0
323,83,321,2013-09-27 14:22:37.710,23,0
324,28,322,2013-09-27 14:58:05.690,10,10
325,28,321,2013-09-27 15:11:38.077,18,1
327,121,310,2013-09-27 17:19:49.973,6,0
333,42,328,2013-09-27 19:18:55.347,18,1
336,19,335,2013-09-27 20:52:34.217,11,0
340,19,339,2013-09-27 21:23:11.047,8,1
343,121,4,2013-09-27 23:04:33.573,4,0
344,121,148,2013-09-27 23:16:19.190,7,0
345,121,138,2013-09-27 23:30:24.520,33,1
