CId,CUserId,PId,@UserName,CTime,CScore
14,6,2, ,2013-09-24 19:14:10.353,1
15,17,3, ,2013-09-24 19:16:21.230,0
16,25,3, ,2013-09-24 19:21:05.587,0
23,6,15, ,2013-09-24 19:49:31.800,0
26,46,7, ,2013-09-24 20:00:28.083,3
29,19,33, ,2013-09-24 20:04:47.120,2
30,48,27, ,2013-09-24 20:05:59.277,3
32,39,36, ,2013-09-24 20:07:26.887,0
35,31,36, ,2013-09-24 20:09:07.953,0
37,45,39, ,2013-09-24 21:17:43.130,0
40,43,43, ,2013-09-24 22:11:15.403,0
41,19,58, ,2013-09-24 22:30:25.583,0
42,63,58,Undo,2013-09-24 22:31:59.100,0
43,62,58,Cheeku,2013-09-24 22:33:03.863,2
44,63,58,ZoltánSchmidt,2013-09-24 22:35:45.527,0
47,71,63, ,2013-09-24 23:51:33.290,0
52,69,73, ,2013-09-25 00:10:51.900,0
53,19,73,Timtech,2013-09-25 00:11:48.653,0
55,19,73, ,2013-09-25 00:15:06.677,0
57,63,73,Timtech,2013-09-25 00:23:20.633,1
58,67,70, ,2013-09-25 00:41:55.900,3
59,67,73,Timtech,2013-09-25 00:43:02.640,0
62,19,73,Jeremy,2013-09-25 00:56:23.030,0
63,67,73,Undo,2013-09-25 01:53:16.407,0
65,2,43, ,2013-09-25 04:11:20.873,1
66,28,81, ,2013-09-25 04:28:59.730,1
67,,91, ,2013-09-25 04:29:28.173,1
68,2,92, ,2013-09-25 04:39:27.530,1
69,,92,Guillochon,2013-09-25 05:07:33.113,2
70,83,73, ,2013-09-25 06:52:58.353,0
74,82,102, ,2013-09-25 07:33:15.393,0
75,79,102, ,2013-09-25 07:34:51.850,1
80,50,3, ,2013-09-25 08:42:00.623,0
81,50,61, ,2013-09-25 08:43:04.423,1
82,,111, ,2013-09-25 08:47:13.487,0
85,88,111, ,2013-09-25 09:21:20.220,0
87,,111, ,2013-09-25 09:49:01.997,0
88,69,114, ,2013-09-25 10:59:52.097,0
89,69,73, ,2013-09-25 11:04:38.117,0
90,,115, ,2013-09-25 11:05:10.897,0
92,67,118, ,2013-09-25 11:46:26.590,0
93,67,108, ,2013-09-25 11:48:58.443,1
94,7,3, ,2013-09-25 12:02:40.227,0
96,86,108, ,2013-09-25 12:24:18.947,0
100,99,123, ,2013-09-25 13:05:31.397,0
101,73,123,ashu,2013-09-25 13:14:35.643,2
106,96,122, ,2013-09-25 13:52:07.217,5
107,38,91, ,2013-09-25 14:30:13.410,0
109,96,135, ,2013-09-25 15:21:25.107,2
110,2,91, ,2013-09-25 16:21:04.367,0
116,95,118, ,2013-09-25 17:46:51.920,0
120,53,135,RhysW,2013-09-25 18:29:44.077,2
121,53,135,Guillochon,2013-09-25 18:34:09.223,0
135,69,136, ,2013-09-26 00:09:47.140,2
143,25,117, ,2013-09-26 00:50:58.160,0
148,114,95, ,2013-09-26 01:16:34.340,5
150,63,117, ,2013-09-26 01:53:18.863,0
151,25,117, ,2013-09-26 02:03:05.757,0
156,,219, ,2013-09-26 09:17:02.223,1
157,67,74, ,2013-09-26 11:07:41.900,1
158,96,229, ,2013-09-26 11:14:29.543,0
160,67,118, ,2013-09-26 11:23:12.957,1
162,,228, ,2013-09-26 11:48:21.963,3
164,43,229, ,2013-09-26 12:55:36.583,0
168,88,127, ,2013-09-26 13:24:44.230,1
170,88,127, ,2013-09-26 13:33:39.957,0
173,6,160, ,2013-09-26 13:44:23.937,1
176,25,229,RhysW,2013-09-26 14:41:27.140,0
178,88,127, ,2013-09-26 14:48:24.213,0
179,96,127,MBR,2013-09-26 14:50:13.900,0
180,25,229,RhysW,2013-09-26 14:51:33.597,0
181,63,247, ,2013-09-26 16:09:05.713,2
191,53,246, ,2013-09-26 20:28:24.040,0
192,53,246, ,2013-09-26 20:28:53.760,0
193,53,226, ,2013-09-26 20:35:20.587,0
194,2,246,KeithThompson,2013-09-26 20:36:49.023,0
195,2,258, ,2013-09-26 20:39:22.363,0
219,115,214,Guillochon,2013-09-26 21:28:29.787,0
220,115,214,Guillochon,2013-09-26 21:29:51.920,0
221,2,214,AlexeyBobrick,2013-09-26 21:33:53.360,0
222,6,218, ,2013-09-26 21:46:39.990,2
223,6,227, ,2013-09-26 22:00:29.907,3
224,115,264, ,2013-09-26 22:38:27.053,0
225,2,264,AlexeyBobrick,2013-09-26 22:50:14.780,1
227,73,227,called2voyage,2013-09-26 23:04:17.843,0
249,86,282, ,2013-09-27 08:41:20.807,0
250,43,297, ,2013-09-27 09:41:08.500,2
252,,43,Guillochon,2013-09-27 10:56:23.450,0
255,111,304, ,2013-09-27 11:25:47.300,1
257,83,304,ChrisF,2013-09-27 11:28:50.357,0
258,111,304, ,2013-09-27 11:30:00.790,0
259,88,302, ,2013-09-27 11:37:43.480,1
260,111,305, ,2013-09-27 11:53:31.260,2
262,83,305, ,2013-09-27 11:58:35.813,0
266,45,302,MBR,2013-09-27 12:57:17.450,2
268,88,250, ,2013-09-27 13:20:58.750,0
269,25,250,MBR,2013-09-27 14:20:21.070,0
270,88,250, ,2013-09-27 14:30:29.183,0
271,45,324, ,2013-09-27 15:53:38.600,2
272,45,324, ,2013-09-27 15:57:39.630,1
274,48,241, ,2013-09-27 18:38:38.033,0
275,48,245,SF,2013-09-27 18:41:52.773,0
276,48,245, ,2013-09-27 18:44:20.693,1
278,28,324,astromax,2013-09-27 18:49:56.553,1
279,45,324, ,2013-09-27 18:59:02.940,1
280,28,324,astromax,2013-09-27 19:01:29.977,0
281,45,324, ,2013-09-27 19:04:52.440,1
283,28,324,astromax,2013-09-27 19:16:51.427,1
284,48,225, ,2013-09-27 19:27:26.090,1
285,28,304, ,2013-09-27 19:28:06.677,0
287,45,324, ,2013-09-27 20:36:15.860,2
288,63,339, ,2013-09-28 01:46:10.627,1
289,63,331, ,2013-09-28 02:17:57.333,1
290,,334, ,2013-09-28 02:33:27.560,0
291,13,331,Cheeku,2013-09-28 04:21:33.467,0
310,28,366, ,2013-09-28 16:44:25.487,2
314,83,304,Manishearth,2013-09-28 22:26:05.310,0
315,63,370, ,2013-09-29 01:47:16.123,1
318,28,304,SF,2013-09-29 06:05:59.820,0
321,,387, ,2013-09-29 10:50:31.633,1
322,45,384, ,2013-09-29 12:58:52.907,1
323,28,384,astromax,2013-09-29 13:07:16.767,2
326,83,399, ,2013-09-29 23:17:31.013,2
329,38,310, ,2013-09-30 14:24:44.683,2
331,88,14, ,2013-09-30 14:36:04.553,4
332,,415, ,2013-09-30 16:10:25.680,0
334,42,413, ,2013-09-30 18:29:18.023,1
336,19,408, ,2013-09-30 18:58:56.263,0
337,43,422, ,2013-09-30 19:10:30.620,0
338,42,422, ,2013-09-30 19:30:52.717,0
339,2,422,ŁukaszLech,2013-09-30 19:43:41.507,0
340,43,422, ,2013-09-30 19:52:03.370,1
342,43,421, ,2013-09-30 19:56:50.203,3
343,19,421, ,2013-09-30 19:58:09.487,0
345,43,424, ,2013-09-30 20:05:49.220,1
346,6,426, ,2013-09-30 20:30:06.453,2
347,42,422, ,2013-09-30 20:55:33.040,0
350,2,277, ,2013-09-30 22:30:59.757,0
351,45,277,,2013-09-30 23:26:23.520,0
352,45,91, ,2013-09-30 23:39:47.723,0
353,45,277,Guillochon,2013-09-30 23:54:54.783,0
356,,431,RhysW,2013-10-01 09:46:23.640,0
357,43,433, ,2013-10-01 12:12:54.103,3
358,,443, ,2013-10-01 14:00:28.350,0
359,2,253, ,2013-10-01 15:25:31.850,0
367,6,451, ,2013-10-01 20:02:41.923,3
368,53,431,UV-D,2013-10-01 20:18:58.443,0
375,13,472, ,2013-10-02 08:26:11.623,0
377,88,472, ,2013-10-02 08:46:47.613,0
378,,472,MBR,2013-10-02 09:18:31.337,0
379,116,308, ,2013-10-02 12:42:06.863,0
380,6,472, ,2013-10-02 12:46:47.753,0
382,62,424,RoryAlsop,2013-10-02 14:48:33.480,0
383,,426,called2voyage,2013-10-02 16:06:22.220,0
385,45,447, ,2013-10-02 16:38:38.743,4
399,62,485, ,2013-10-03 11:18:37.207,1
403,86,447, ,2013-10-03 12:08:39.423,1
410,111,489, ,2013-10-04 12:36:27.253,1
414,,492, ,2013-10-05 10:27:45.127,1
417,,493, ,2013-10-05 11:32:22.030,0
418,92,447,astromax,2013-10-05 15:21:53.183,1
419,,497, ,2013-10-06 21:43:21.183,0
420,43,497, ,2013-10-06 22:04:49.937,0
421,,497,RoryAlsop,2013-10-06 22:20:00.150,0
422,43,497, ,2013-10-06 22:24:23.760,0
423,43,497, ,2013-10-06 22:28:24.033,0
