PostId,Vote,VTime
1,2,2013-09-24
1,2,2013-09-24
1,2,2013-09-24
2,2,2013-09-24
3,2,2013-09-24
3,2,2013-09-24
4,2,2013-09-24
5,2,2013-09-24
4,2,2013-09-24
3,2,2013-09-24
1,2,2013-09-24
4,2,2013-09-24
5,2,2013-09-24
3,2,2013-09-24
4,2,2013-09-24
5,2,2013-09-24
2,2,2013-09-24
5,2,2013-09-24
5,2,2013-09-24
5,2,2013-09-24
3,2,2013-09-24
5,2,2013-09-24
7,2,2013-09-24
2,2,2013-09-24
1,2,2013-09-24
1,2,2013-09-24
3,2,2013-09-24
9,2,2013-09-24
7,2,2013-09-24
9,2,2013-09-24
3,2,2013-09-24
7,2,2013-09-24
1,2,2013-09-24
8,2,2013-09-24
12,3,2013-09-24
2,2,2013-09-24
14,3,2013-09-24
8,3,2013-09-24
13,10,2013-09-24
12,10,2013-09-24
15,2,2013-09-24
1,2,2013-09-24
22,2,2013-09-24
16,2,2013-09-24
15,3,2013-09-24
22,2,2013-09-24
23,2,2013-09-24
16,2,2013-09-24
16,5,2013-09-24
16,2,2013-09-24
4,2,2013-09-24
22,2,2013-09-24
16,2,2013-09-24
23,2,2013-09-24
16,2,2013-09-24
23,2,2013-09-24
24,2,2013-09-24
1,2,2013-09-24
24,2,2013-09-24
16,2,2013-09-24
22,2,2013-09-24
18,16,2013-09-24
21,2,2013-09-24
14,2,2013-09-24
15,2,2013-09-24
15,16,2013-09-24
9,2,2013-09-24
11,16,2013-09-24
7,2,2013-09-24
8,2,2013-09-24
26,2,2013-09-24
26,2,2013-09-24
4,2,2013-09-24
5,2,2013-09-24
3,2,2013-09-24
2,2,2013-09-24
29,2,2013-09-24
20,16,2013-09-24
22,2,2013-09-24
28,2,2013-09-24
25,2,2013-09-24
7,2,2013-09-24
8,2,2013-09-24
28,2,2013-09-24
7,2,2013-09-24
9,2,2013-09-24
32,2,2013-09-24
33,2,2013-09-24
27,16,2013-09-24
31,16,2013-09-24
36,2,2013-09-24
27,2,2013-09-24
32,2,2013-09-24
22,2,2013-09-24
37,2,2013-09-24
25,2,2013-09-24
36,2,2013-09-24
37,2,2013-09-24
27,2,2013-09-24
32,2,2013-09-24
15,2,2013-09-24
28,2,2013-09-24
34,16,2013-09-24
40,2,2013-09-24
34,2,2013-09-24
29,2,2013-09-24
40,2,2013-09-24
34,2,2013-09-24
39,2,2013-09-24
