CId,CUserId,PId,@UserName,CTime,CScore
1,14,1, ,2014-11-18 21:19:40.677,7
2,24,6, ,2014-11-18 21:27:13.627,0
3,29,6, ,2014-11-18 21:31:54.870,2
4,24,6,SteveS,2014-11-18 21:33:01.893,0
5,27,1, ,2014-11-18 21:54:30.927,3
6,25,1, ,2014-11-18 22:12:11.207,3
8,28,9, ,2014-11-18 22:13:43.827,3
9,8,1,Mico,2014-11-18 22:16:00.627,0
10,29,6, ,2014-11-18 22:16:46.343,0
16,25,1, ,2014-11-18 22:25:03.910,0
17,56,1, ,2014-11-18 22:27:05.997,0
19,13,6, ,2014-11-18 22:30:29.297,2
21,28,14, ,2014-11-18 22:33:18.400,0
22,43,1, ,2014-11-18 22:36:04.133,2
24,24,6,NateVomocil,2014-11-18 22:37:38.467,1
26,60,17, ,2014-11-18 22:41:48.640,1
27,28,17,Koba,2014-11-18 22:46:20.843,0
28,60,17, ,2014-11-18 22:57:04.053,0
29,60,17, ,2014-11-18 22:58:46.863,0
30,28,17, ,2014-11-18 23:00:33.783,0
31,29,9, ,2014-11-18 23:09:28.360,0
33,29,6,Danu,2014-11-18 23:13:26.543,0
34,68,9, ,2014-11-18 23:23:53.030,0
35,25,12, ,2014-11-18 23:31:16.673,2
36,38,24, ,2014-11-18 23:43:11.710,1
38,14,9,SteveS,2014-11-18 23:52:42.807,0
39,14,26, ,2014-11-18 23:56:42.090,0
40,9,24, ,2014-11-19 00:00:33.293,1
41,29,9,Pburg,2014-11-19 00:30:59.550,0
42,29,28, ,2014-11-19 00:37:37.850,2
43,54,31, ,2014-11-19 00:49:05.030,0
44,59,31, ,2014-11-19 00:52:52.020,1
45,87,8, ,2014-11-19 02:10:04.690,0
46,40,24, ,2014-11-19 02:11:12.073,0
48,31,8, ,2014-11-19 02:16:19.340,5
49,86,20, ,2014-11-19 02:17:28.800,0
50,31,20, ,2014-11-19 02:17:52.470,0
51,82,11, ,2014-11-19 02:18:02.657,3
52,82,6,SteveS,2014-11-19 02:21:26.617,2
53,54,31, ,2014-11-19 02:50:41.630,0
54,31,12, ,2014-11-19 02:52:11.747,0
55,39,39, ,2014-11-19 03:40:55.090,1
56,39,39, ,2014-11-19 03:42:00.113,0
58,61,39, ,2014-11-19 03:51:53.263,3
59,28,42, ,2014-11-19 04:03:30.040,1
60,40,46, ,2014-11-19 04:25:04.250,1
62,14,48, ,2014-11-19 04:55:39.933,1
63,31,30, ,2014-11-19 05:11:07.587,0
64,14,53, ,2014-11-19 05:12:00.347,0
65,31,53, ,2014-11-19 05:18:26.583,0
66,31,53, ,2014-11-19 05:19:37.810,0
67,38,24, ,2014-11-19 05:22:08.083,0
68,31,53, ,2014-11-19 05:22:41.667,0
69,70,57, ,2014-11-19 05:39:08.460,0
70,31,57, ,2014-11-19 05:40:57.573,0
71,70,57, ,2014-11-19 05:42:44.517,0
72,31,57, ,2014-11-19 05:44:44.233,0
73,70,57, ,2014-11-19 05:46:11.163,1
74,38,48,Pburg,2014-11-19 05:46:58.703,1
76,,37, ,2014-11-19 07:19:55.923,0
80,70,61, ,2014-11-19 08:50:39.540,1
81,81,6, ,2014-11-19 09:13:30.783,3
82,85,61, ,2014-11-19 09:19:56.050,1
83,81,60, ,2014-11-19 09:20:28.180,0
84,70,61, ,2014-11-19 09:21:39.763,0
85,82,61, ,2014-11-19 09:25:22.913,1
86,82,61, ,2014-11-19 09:27:05.567,0
87,70,61, ,2014-11-19 09:34:35.137,0
89,70,65, ,2014-11-19 10:03:49.257,1
90,85,61,LateralFractal,2014-11-19 10:08:19.353,2
91,85,61,curiousdannii,2014-11-19 10:10:24.530,1
92,9,65, ,2014-11-19 10:15:37.363,1
93,9,48, ,2014-11-19 10:30:13.270,0
94,9,24, ,2014-11-19 10:36:02.820,0
95,85,66, ,2014-11-19 10:39:21.107,0
96,108,31,jmbejara,2014-11-19 10:41:24.903,1
98,108,65, ,2014-11-19 11:22:21.243,8
99,29,61, ,2014-11-19 11:22:34.070,2
100,29,66,user49357,2014-11-19 11:24:18.463,0
101,29,68, ,2014-11-19 11:38:41.240,1
102,108,68,SteveS,2014-11-19 11:40:37.773,0
103,29,68, ,2014-11-19 11:42:19.233,0
104,14,37, ,2014-11-19 11:51:33.927,0
105,70,71, ,2014-11-19 11:52:49.227,0
108,119,71, ,2014-11-19 12:04:38.873,2
110,120,75, ,2014-11-19 13:24:22.843,0
111,125,64, ,2014-11-19 13:37:56.773,0
112,120,74, ,2014-11-19 13:50:40.690,2
113,44,17, ,2014-11-19 13:59:15.877,0
114,120,73, ,2014-11-19 14:01:12.203,1
115,44,6,daOnlyBG,2014-11-19 14:02:47.390,3
116,126,48, ,2014-11-19 14:04:41.347,1
117,29,71, ,2014-11-19 14:23:05.537,0
118,123,85, ,2014-11-19 14:30:30.187,0
119,29,64, ,2014-11-19 14:30:51.867,1
120,84,85, ,2014-11-19 14:46:20.003,0
