PostId,Vote,VTime
1,2,2014-11-18
6,2,2014-11-18
6,2,2014-11-18
10,3,2014-11-18
10,3,2014-11-18
5,2,2014-11-18
10,3,2014-11-18
6,2,2014-11-18
5,2,2014-11-18
10,3,2014-11-18
10,3,2014-11-18
5,3,2014-11-18
9,2,2014-11-18
4,2,2014-11-18
10,3,2014-11-18
11,2,2014-11-18
12,2,2014-11-18
1,2,2014-11-18
1,5,2014-11-18
5,2,2014-11-18
2,2,2014-11-18
13,2,2014-11-18
3,2,2014-11-18
7,3,2014-11-18
7,2,2014-11-18
7,3,2014-11-18
3,2,2014-11-18
11,2,2014-11-18
6,3,2014-11-18
1,3,2014-11-18
4,2,2014-11-18
1,2,2014-11-18
7,2,2014-11-18
11,2,2014-11-18
8,2,2014-11-18
7,2,2014-11-18
14,2,2014-11-18
4,2,2014-11-18
1,2,2014-11-18
11,2,2014-11-18
16,2,2014-11-18
8,2,2014-11-18
3,3,2014-11-18
15,11,2014-11-18
2,3,2014-11-18
13,3,2014-11-18
15,2,2014-11-18
9,2,2014-11-18
18,2,2014-11-18
12,2,2014-11-18
7,2,2014-11-18
8,2,2014-11-18
6,2,2014-11-18
8,2,2014-11-18
10,2,2014-11-18
9,2,2014-11-18
18,2,2014-11-18
21,2,2014-11-18
19,2,2014-11-18
4,2,2014-11-18
23,2,2014-11-18
19,2,2014-11-18
20,2,2014-11-18
24,2,2014-11-18
17,2,2014-11-18
23,2,2014-11-18
1,3,2014-11-18
22,2,2014-11-18
25,2,2014-11-18
24,2,2014-11-19
28,2,2014-11-19
6,2,2014-11-19
29,2,2014-11-19
25,2,2014-11-19
11,16,2014-11-19
28,2,2014-11-19
30,2,2014-11-19
1,3,2014-11-19
20,2,2014-11-19
11,2,2014-11-19
31,2,2014-11-19
35,2,2014-11-19
8,2,2014-11-19
6,2,2014-11-19
17,2,2014-11-19
5,2,2014-11-19
1,2,2014-11-19
24,1,2014-11-19
24,2,2014-11-19
36,2,2014-11-19
14,2,2014-11-19
15,2,2014-11-19
19,2,2014-11-19
30,2,2014-11-19
4,2,2014-11-19
22,2,2014-11-19
12,2,2014-11-19
23,2,2014-11-19
9,2,2014-11-19
9,2,2014-11-19
22,2,2014-11-19
4,2,2014-11-19
26,2,2014-11-19
8,16,2014-11-19
1,2,2014-11-19
15,2,2014-11-19
7,2,2014-11-19
8,2,2014-11-19
35,2,2014-11-19
35,2,2014-11-19
36,2,2014-11-19
5,2,2014-11-19
37,2,2014-11-19
35,2,2014-11-19
23,2,2014-11-19
28,2,2014-11-19
35,2,2014-11-19
30,2,2014-11-19
39,2,2014-11-19
11,16,2014-11-19
8,2,2014-11-19
23,5,2014-11-19
31,2,2014-11-19
8,2,2014-11-19
33,2,2014-11-19
42,2,2014-11-19
8,2,2014-11-19
18,2,2014-11-19
44,2,2014-11-19
35,2,2014-11-19
40,2,2014-11-19
39,2,2014-11-19
37,16,2014-11-19
46,2,2014-11-19
37,2,2014-11-19
47,2,2014-11-19
32,2,2014-11-19
50,2,2014-11-19
46,2,2014-11-19
50,16,2014-11-19
9,2,2014-11-19
26,2,2014-11-19
7,2,2014-11-19
15,2,2014-11-19
33,2,2014-11-19
40,3,2014-11-19
53,2,2014-11-19
55,2,2014-11-19
39,2,2014-11-19
54,2,2014-11-19
48,2,2014-11-19
40,2,2014-11-19
36,2,2014-11-19
46,2,2014-11-19
56,2,2014-11-19
4,2,2014-11-19
17,2,2014-11-19
49,2,2014-11-19
36,2,2014-11-19
55,2,2014-11-19
37,2,2014-11-19
49,2,2014-11-19
47,2,2014-11-19
46,3,2014-11-19
15,3,2014-11-19
50,3,2014-11-19
14,3,2014-11-19
35,3,2014-11-19
20,2,2014-11-19
53,2,2014-11-19
33,3,2014-11-19
47,2,2014-11-19
58,2,2014-11-19
52,2,2014-11-19
46,2,2014-11-19
40,3,2014-11-19
59,2,2014-11-19
56,2,2014-11-19
4,2,2014-11-19
24,2,2014-11-19
18,2,2014-11-19
48,2,2014-11-19
4,3,2014-11-19
61,3,2014-11-19
60,2,2014-11-19
56,2,2014-11-19
48,2,2014-11-19
56,2,2014-11-19
50,2,2014-11-19
1,3,2014-11-19
46,2,2014-11-19
53,2,2014-11-19
47,2,2014-11-19
59,2,2014-11-19
46,2,2014-11-19
18,2,2014-11-19
61,3,2014-11-19
62,3,2014-11-19
50,2,2014-11-19
63,2,2014-11-19
64,2,2014-11-19
50,2,2014-11-19
63,2,2014-11-19
65,2,2014-11-19
65,2,2014-11-19
62,2,2014-11-19
49,2,2014-11-19
64,2,2014-11-19
46,2,2014-11-19
50,2,2014-11-19
58,2,2014-11-19
23,2,2014-11-19
11,2,2014-11-19
31,2,2014-11-19
68,2,2014-11-19
54,2,2014-11-19
40,3,2014-11-19
8,2,2014-11-19
38,2,2014-11-19
55,2,2014-11-19
49,2,2014-11-19
30,2,2014-11-19
19,2,2014-11-19
70,2,2014-11-19
62,2,2014-11-19
71,2,2014-11-19
40,3,2014-11-19
40,10,2014-11-19
44,2,2014-11-19
43,2,2014-11-19
42,2,2014-11-19
50,2,2014-11-19
25,2,2014-11-19
32,2,2014-11-19
29,2,2014-11-19
72,2,2014-11-19
71,1,2014-11-19
73,2,2014-11-19
56,2,2014-11-19
35,2,2014-11-19
46,2,2014-11-19
68,2,2014-11-19
46,2,2014-11-19
39,2,2014-11-19
11,2,2014-11-19
64,2,2014-11-19
35,2,2014-11-19
49,2,2014-11-19
8,2,2014-11-19
7,2,2014-11-19
76,2,2014-11-19
8,16,2014-11-19
67,2,2014-11-19
63,2,2014-11-19
8,2,2014-11-19
61,3,2014-11-19
64,2,2014-11-19
4,2,2014-11-19
22,2,2014-11-19
80,16,2014-11-19
83,2,2014-11-19
46,16,2014-11-19
62,3,2014-11-19
22,2,2014-11-19
12,2,2014-11-19
63,2,2014-11-19
67,2,2014-11-19
70,2,2014-11-19
79,2,2014-11-19
78,2,2014-11-19
67,2,2014-11-19
63,2,2014-11-19
39,2,2014-11-19
85,2,2014-11-19
74,2,2014-11-19
35,2,2014-11-19
69,2,2014-11-19
41,2,2014-11-19
39,2,2014-11-19
11,2,2014-11-19
22,2,2014-11-19
80,2,2014-11-19
12,2,2014-11-19
88,2,2014-11-19
83,2,2014-11-19
90,2,2014-11-19
89,2,2014-11-19
17,3,2014-11-19
88,2,2014-11-19
48,2,2014-11-19
91,3,2014-11-19
6,3,2014-11-19
91,2,2014-11-19
92,2,2014-11-19
46,5,2014-11-19
91,2,2014-11-19
75,2,2014-11-19
88,2,2014-11-19
32,2,2014-11-19
29,2,2014-11-19
25,2,2014-11-19
17,2,2014-11-19
95,2,2014-11-19
61,3,2014-11-19
10,3,2014-11-19
95,2,2014-11-19
16,2,2014-11-19
83,2,2014-11-19
75,2,2014-11-19
75,2,2014-11-19
98,2,2014-11-19
34,11,2014-11-19
93,2,2014-11-19
61,3,2014-11-19
97,2,2014-11-19
16,2,2014-11-19
10,2,2014-11-19
97,2,2014-11-19
97,2,2014-11-19
60,5,2014-11-19
97,16,2014-11-19
34,2,2014-11-19
95,5,2014-11-19
95,2,2014-11-19
106,2,2014-11-19
17,15,2014-11-19
17,16,2014-11-19
108,2,2014-11-19
106,2,2014-11-19
106,5,2014-11-19
108,2,2014-11-19
41,2,2014-11-19
96,2,2014-11-19
89,2,2014-11-19
101,2,2014-11-19
101,5,2014-11-19
108,2,2014-11-19
107,2,2014-11-19
16,2,2014-11-19
22,2,2014-11-19
32,2,2014-11-19
66,2,2014-11-19
107,2,2014-11-19
76,2,2014-11-19
30,2,2014-11-19
65,2,2014-11-19
108,2,2014-11-19
71,2,2014-11-19
27,3,2014-11-19
39,2,2014-11-19
45,2,2014-11-19
111,2,2014-11-19
95,2,2014-11-19
111,2,2014-11-19
110,2,2014-11-19
111,2,2014-11-19
39,2,2014-11-19
88,2,2014-11-19
113,2,2014-11-19
110,5,2014-11-19
73,2,2014-11-19
102,2,2014-11-19
34,2,2014-11-19
116,2,2014-11-19
111,2,2014-11-19
116,2,2014-11-19
113,2,2014-11-19
110,2,2014-11-19
59,2,2014-11-19
115,2,2014-11-19
62,2,2014-11-19
116,2,2014-11-19
112,2,2014-11-19
116,2,2014-11-19
110,2,2014-11-19
114,2,2014-11-19
108,2,2014-11-19
104,2,2014-11-19
117,2,2014-11-19
88,16,2014-11-19
118,2,2014-11-19
84,2,2014-11-19
77,2,2014-11-19
45,2,2014-11-19
58,2,2014-11-19
52,2,2014-11-19
115,16,2014-11-19
47,2,2014-11-19
106,3,2014-11-19
118,2,2014-11-19
117,2,2014-11-19
128,5,2014-11-19
126,5,2014-11-19
24,16,2014-11-19
51,2,2014-11-19
117,2,2014-11-19
58,2,2014-11-19
125,2,2014-11-19
52,2,2014-11-19
51,2,2014-11-19
47,2,2014-11-19
111,2,2014-11-19
124,2,2014-11-19
131,2,2014-11-19
95,2,2014-11-19
133,2,2014-11-19
134,16,2014-11-19
134,2,2014-11-19
44,2,2014-11-19
42,2,2014-11-19
127,2,2014-11-19
132,2,2014-11-19
133,2,2014-11-19
134,2,2014-11-19
117,2,2014-11-19
135,10,2014-11-19
109,2,2014-11-19
88,2,2014-11-19
