QId_x,QUserId,QTags,QTime,QAcceptedAnswerId,QScore,QViewCount,QAnswerCount,QCommentCount,AId,AUserId,QId_y,ATime,AScore,ACommentCount
4,10.0,<aldous-huxley><brave-new-world>,2017-01-18 17:30:46.127,37.0,19,3687,2,1,37,71.0,4,2017-01-18 18:38:21.383,22,0
5,17.0,<edgar-allan-poe><intertextuality>,2017-01-18 17:31:36.920,299.0,28,283,1,0,299,71.0,5,2017-01-19 19:55:50.723,18,0
6,32.0,<fairy-tales><moral>,2017-01-18 17:38:20.973,16.0,17,344,2,1,16,9.0,6,2017-01-18 17:59:48.827,29,0
12,58.0,<john-grisham><theodore-boone>,2017-01-18 17:53:36.127,157.0,10,63,1,0,157,123.0,12,2017-01-18 22:32:10.827,5,4
13,56.0,<ray-bradbury><fahrenheit-451>,2017-01-18 17:54:15.803,20.0,38,1442,1,1,20,39.0,13,2017-01-18 18:07:52.647,37,1
15,65.0,<symbolism><to-kill-a-mockingbird><harper-lee>,2017-01-18 17:57:49.867,30.0,20,965,2,4,30,85.0,15,2017-01-18 18:25:22.553,22,2
21,76.0,<censorship><jack-london>,2017-01-18 18:08:37.660,26.0,37,2883,2,0,26,71.0,21,2017-01-18 18:17:25.177,38,1
23,72.0,<german-literature><fairy-tales><brothers-grimm>,2017-01-18 18:10:18.427,38.0,22,340,1,2,38,72.0,23,2017-01-18 18:43:00.913,14,0
24,58.0,<harry-potter><j-k-rowling><inspiration><the-secret-of-platform-13><eva-ibbotson>,2017-01-18 18:10:36.317,29.0,20,376,1,0,29,56.0,24,2017-01-18 18:19:15.807,17,1
28,39.0,<enders-game><orson-scott-card><reading-order>,2017-01-18 18:19:02.810,42.0,12,2035,2,1,42,72.0,28,2017-01-18 18:55:15.090,8,3
40,90.0,<translation>,2017-01-18 18:50:13.960,224.0,14,214,2,3,224,156.0,40,2017-01-19 02:43:53.373,9,1
43,80.0,<patrick-rothfuss><the-kingkiller-chronicle>,2017-01-18 18:57:09.733,2038.0,13,508,1,6,2038,922.0,43,2017-03-10 23:35:35.250,12,6
44,92.0,<character-analysis><terminology><tropes>,2017-01-18 18:59:54.940,45.0,12,248,1,0,45,72.0,44,2017-01-18 19:08:16.993,17,0
46,97.0,<censorship>,2017-01-18 19:11:08.510,48.0,12,77,1,0,48,9.0,46,2017-01-18 19:25:16.970,4,0
47,85.0,<j-r-r-tolkien>,2017-01-18 19:18:30.480,51.0,16,427,2,0,51,72.0,47,2017-01-18 19:27:18.073,16,0
50,56.0,<timeline>,2017-01-18 19:26:28.123,54.0,10,249,7,9,54,62.0,50,2017-01-18 19:32:07.293,18,2
53,97.0,<comics>,2017-01-18 19:30:46.137,56.0,3,66,1,0,56,37.0,53,2017-01-18 19:34:28.453,4,0
60,31.0,<character-analysis><ian-fleming><james-bond>,2017-01-18 19:36:38.023,292.0,11,130,1,2,292,,60,2017-01-19 19:32:51.987,8,0
61,58.0,<the-39-clues>,2017-01-18 19:38:31.100,66.0,11,114,1,0,66,72.0,61,2017-01-18 19:44:05.487,12,0
65,58.0,<the-39-clues>,2017-01-18 19:43:14.513,1652.0,5,91,1,0,1652,481.0,65,2017-02-13 19:26:53.767,4,2
72,9.0,<symbolism><harry-potter><j-k-rowling>,2017-01-18 19:54:41.670,83.0,10,623,3,1,83,67.0,72,2017-01-18 20:01:23.593,9,0
73,112.0,<russian-literature><vladimir-nabokov>,2017-01-18 19:55:37.100,1781.0,17,147,1,3,1781,104.0,73,2017-02-21 17:15:24.913,9,0
76,16.0,<character-analysis><legend-of-drizzt>,2017-01-18 19:56:51.107,2177.0,12,344,1,1,2177,120.0,76,2017-03-24 21:33:56.180,5,0
87,97.0,<poetry><alfred-tennyson>,2017-01-18 20:06:45.443,95.0,21,970,6,0,95,94.0,87,2017-01-18 20:15:57.047,18,0
93,120.0,<george-orwell><nineteen-eighty-four><censorship>,2017-01-18 20:13:25.280,108.0,25,2775,1,1,108,80.0,93,2017-01-18 20:27:01.940,28,11
101,86.0,<intertextuality><stephen-king>,2017-01-18 20:19:18.430,115.0,5,136,1,4,115,132.0,101,2017-01-18 20:41:03.383,5,4
102,127.0,<william-shakespeare><allusions><macbeth>,2017-01-18 20:20:07.257,109.0,19,550,3,1,109,94.0,102,2017-01-18 20:28:26.183,15,0
103,112.0,<reading-order><intertextuality><jane-eyre><jean-rhys><wide-sargasso-sea>,2017-01-18 20:23:07.260,1066.0,8,65,1,0,1066,289.0,103,2017-01-27 08:52:12.063,5,0
117,16.0,<j-k-rowling>,2017-01-18 20:51:54.090,122.0,-5,279,1,3,122,58.0,117,2017-01-18 21:01:09.800,16,2
120,134.0,<little-women><louisa-may-alcott>,2017-01-18 20:59:37.910,129.0,8,1405,1,0,129,17.0,120,2017-01-18 21:26:49.393,7,1
121,97.0,<publication><dutch-literature><gerrit-de-veer>,2017-01-18 20:59:56.790,1290.0,7,62,1,1,1290,374.0,121,2017-02-01 12:46:29.473,2,1
125,92.0,<poetry><william-butler-yeats>,2017-01-18 21:13:39.807,445.0,15,218,1,0,445,124.0,125,2017-01-21 08:10:55.810,8,0
126,68.0,<jasper-fforde><thursday-next><allusions>,2017-01-18 21:16:53.757,813.0,5,83,1,1,813,132.0,126,2017-01-23 22:35:34.803,5,2
128,114.0,<harry-potter><j-k-rowling>,2017-01-18 21:25:22.373,130.0,1,598,2,0,130,58.0,128,2017-01-18 21:27:09.850,22,4
131,143.0,<reading-order><to-kill-a-mockingbird><harper-lee><go-set-a-watchman>,2017-01-18 21:27:33.217,141.0,11,383,1,2,141,123.0,131,2017-01-18 22:05:42.713,14,0
135,72.0,<poetry><samuel-taylor-coleridge><the-rime-of-the-ancient-mariner>,2017-01-18 21:54:07.880,146.0,10,235,2,0,146,89.0,135,2017-01-18 22:10:22.190,11,0
137,,<poetry><t-s-eliot><wording-choice><the-waste-land>,2017-01-18 22:02:29.997,177.0,14,291,1,4,177,,137,2017-01-19 00:08:47.540,8,2
159,151.0,<audiobook><ann-leckie><imperial-radch>,2017-01-18 22:42:49.593,160.0,9,53,1,0,160,151.0,159,2017-01-18 22:42:49.593,10,0
161,37.0,<symbolism><ray-bradbury><fahrenheit-451>,2017-01-18 22:48:16.453,165.0,11,350,2,0,165,80.0,161,2017-01-18 23:08:35.787,8,0
163,89.0,<translation>,2017-01-18 22:58:45.917,283.0,9,205,3,10,283,31.0,163,2017-01-19 15:59:35.623,12,3
164,143.0,<poetry><william-carlos-williams>,2017-01-18 23:04:10.810,172.0,5,100,1,2,172,17.0,164,2017-01-18 23:42:43.417,4,0
167,65.0,<french-literature><the-little-prince><antoine-de-saint-exupery>,2017-01-18 23:19:10.090,187.0,11,86,1,3,187,72.0,167,2017-01-19 00:29:45.483,12,0
171,153.0,<history-of-literature>,2017-01-18 23:24:32.167,173.0,7,149,1,3,173,17.0,171,2017-01-18 23:56:56.400,16,1
174,72.0,<poetry><the-rime-of-the-ancient-mariner><samuel-taylor-coleridge>,2017-01-19 00:00:21.617,386.0,21,190,1,2,386,17.0,174,2017-01-20 13:26:20.230,13,1
179,58.0,<reading-order><hardy-boys><franklin-w-dixon>,2017-01-19 00:20:35.807,186.0,8,486,4,0,186,71.0,179,2017-01-19 00:27:26.907,15,0
184,151.0,<illustrators><attribution>,2017-01-19 00:24:43.693,2910.0,-1,97,3,5,2910,151.0,184,2017-07-03 11:45:51.337,5,0
190,76.0,<mark-twain><jane-austen>,2017-01-19 00:42:23.707,193.0,14,313,1,0,193,85.0,190,2017-01-19 00:52:06.950,14,2
195,58.0,<reading-order><brian-jacques><redwall-series>,2017-01-19 00:56:17.233,207.0,4,228,1,1,207,17.0,195,2017-01-19 01:35:45.857,9,0
197,85.0,<french-literature><les-miserables><victor-hugo>,2017-01-19 01:06:59.600,210.0,12,239,1,8,210,168.0,197,2017-01-19 01:53:48.730,12,0
198,37.0,<character-analysis><august-wilson>,2017-01-19 01:07:52.247,202.0,2,263,1,0,202,72.0,198,2017-01-19 01:19:15.743,-1,1
220,72.0,<short-stories><intertextuality><j-d-salinger>,2017-01-19 02:35:17.853,238.0,6,71,1,0,238,181.0,220,2017-01-19 05:23:08.367,7,0
221,72.0,<nineteen-eighty-four><george-orwell>,2017-01-19 02:38:41.933,287.0,16,664,1,3,287,123.0,221,2017-01-19 17:15:36.903,13,1
222,72.0,<french-literature><the-little-prince><antoine-de-saint-exupery>,2017-01-19 02:40:51.163,225.0,11,199,1,0,225,71.0,222,2017-01-19 02:48:48.373,15,0
239,188.0,<greek-literature><homer><the-odyssey>,2017-01-19 05:37:45.220,241.0,15,1466,1,0,241,80.0,239,2017-01-19 06:12:22.043,21,2
240,189.0,<symbolism><short-stories><j-d-salinger>,2017-01-19 05:45:43.520,282.0,12,750,1,0,282,72.0,240,2017-01-19 15:58:38.063,12,2
242,127.0,<character-analysis><the-passage><justin-cronin>,2017-01-19 06:17:14.547,270.0,-2,51,1,2,270,72.0,242,2017-01-19 14:51:52.873,2,0
244,58.0,<c-s-lewis><the-chronicles-of-narnia>,2017-01-19 08:10:46.187,285.0,10,88,1,0,285,72.0,244,2017-01-19 16:17:49.963,8,0
248,129.0,<cormac-mccarthy><blood-meridian>,2017-01-19 09:22:18.230,706.0,7,225,1,0,706,72.0,248,2017-01-22 17:05:29.980,0,1
251,112.0,<fyodor-dostoyevsky><historical-context>,2017-01-19 10:52:40.977,257.0,13,132,1,1,257,17.0,251,2017-01-19 11:25:51.977,12,6
252,129.0,<william-shakespeare><realism><measure-for-measure>,2017-01-19 11:16:13.413,277.0,8,106,1,2,277,20.0,252,2017-01-19 15:39:33.687,7,0
253,80.0,<terminology>,2017-01-19 11:21:56.950,254.0,8,159,1,0,254,80.0,253,2017-01-19 11:21:56.950,7,2
255,58.0,<sherlock-holmes><short-stories><arthur-conan-doyle>,2017-01-19 11:23:19.573,256.0,23,1777,1,0,256,58.0,255,2017-01-19 11:23:19.573,35,3
264,129.0,<joseph-conrad><comedy>,2017-01-19 13:52:38.127,266.0,6,51,1,0,266,129.0,264,2017-01-19 14:06:39.533,3,0
275,31.0,<literary-device><the-princess-bride><william-goldman>,2017-01-19 15:29:55.020,306.0,16,124,1,2,306,20.0,275,2017-01-19 20:54:40.317,14,1
276,62.0,<j-r-r-tolkien><the-lord-of-the-rings>,2017-01-19 15:37:49.720,284.0,8,213,1,0,284,203.0,276,2017-01-19 16:10:28.490,24,0
278,220.0,<sherlock-holmes><arthur-conan-doyle>,2017-01-19 15:40:52.633,281.0,24,465,2,1,281,220.0,278,2017-01-19 15:54:34.350,27,1
279,31.0,<mark-twain><james-fenimore-cooper>,2017-01-19 15:41:11.593,1686.0,13,201,1,4,1686,481.0,279,2017-02-15 18:14:12.103,6,0
288,123.0,<nineteen-eighty-four><george-orwell>,2017-01-19 17:19:06.440,319.0,9,254,1,2,319,123.0,288,2017-01-19 23:11:33.277,6,3
289,37.0,<nineteen-eighty-four><george-orwell>,2017-01-19 18:48:52.167,290.0,12,242,1,0,290,9.0,289,2017-01-19 19:13:03.090,15,0
293,153.0,<poetry><lord-byron>,2017-01-19 19:35:49.560,298.0,-4,107,1,1,298,72.0,293,2017-01-19 19:52:04.707,10,0
294,225.0,<a-series-of-unfortunate-events><lemony-snicket>,2017-01-19 19:36:18.610,1313.0,8,317,3,0,1313,225.0,294,2017-02-01 19:18:21.363,2,0
300,43.0,<inspiration><john-keats><dan-simmons><hyperion-cantos>,2017-01-19 20:07:43.890,506.0,12,280,1,0,506,80.0,300,2017-01-21 23:42:24.220,6,0
307,143.0,<literary-device><the-princess-bride><william-goldman>,2017-01-19 21:02:08.133,317.0,11,90,1,2,317,20.0,307,2017-01-19 22:33:35.197,9,4
309,16.0,<patrick-rothfuss><the-kingkiller-chronicle><publication>,2017-01-19 21:44:17.410,517.0,0,352,1,5,517,80.0,309,2017-01-22 01:23:09.830,6,2
320,123.0,<george-orwell><nineteen-eighty-four>,2017-01-19 23:17:13.080,327.0,7,282,1,0,327,17.0,320,2017-01-20 00:00:04.283,8,0
328,58.0,<c-s-lewis><the-chronicles-of-narnia>,2017-01-20 00:00:08.157,1584.0,8,164,2,2,1584,58.0,328,2017-02-12 11:47:04.047,2,1
329,17.0,<word-coinage><lewis-carroll>,2017-01-20 00:00:18.597,332.0,11,204,1,3,332,72.0,329,2017-01-20 00:43:55.520,16,7
331,17.0,<george-orwell><nineteen-eighty-four>,2017-01-20 00:20:31.567,1008.0,7,660,2,0,1008,17.0,331,2017-01-26 02:24:08.917,10,6
333,72.0,<poetry><john-keats><myths><greek-literature>,2017-01-20 00:45:03.777,1183.0,5,146,1,0,1183,289.0,333,2017-01-31 11:01:25.873,4,0
336,188.0,<history-of-literature><greek-literature><homer><latin-literature><virgil>,2017-01-20 01:00:19.590,388.0,13,203,2,2,388,85.0,336,2017-01-20 14:57:49.543,13,1
341,168.0,<lord-byron><terminology>,2017-01-20 01:51:10.487,343.0,19,1242,3,0,343,137.0,341,2017-01-20 02:11:28.420,15,1
348,32.0,<religion><the-bible><epic-of-gilgamesh>,2017-01-20 02:54:36.950,699.0,8,193,2,3,699,,348,2017-01-22 16:15:46.213,15,6
350,151.0,<comics><japanese-literature><manga>,2017-01-20 03:25:22.490,351.0,11,234,1,2,351,80.0,350,2017-01-20 03:41:31.430,12,0
354,50.0,<poetry><edgar-allan-poe><the-raven>,2017-01-20 03:59:18.893,355.0,20,276,2,2,355,17.0,354,2017-01-20 04:04:48.850,20,0
