AId,AUserId,QId,ATime,AScore,ACommentCount
16,9,6,2017-01-18 17:59:48.827,29,0
19,40,6,2017-01-18 18:06:06.617,19,0
20,39,13,2017-01-18 18:07:52.647,37,1
26,71,21,2017-01-18 18:17:25.177,38,1
27,17,21,2017-01-18 18:18:55.687,30,0
29,56,24,2017-01-18 18:19:15.807,17,1
30,85,15,2017-01-18 18:25:22.553,22,2
33,37,14,2017-01-18 18:29:23.097,-1,1
37,71,4,2017-01-18 18:38:21.383,22,0
38,72,23,2017-01-18 18:43:00.913,14,0
39,80,2,2017-01-18 18:44:11.057,24,4
41,11,4,2017-01-18 18:51:22.910,10,0
42,72,28,2017-01-18 18:55:15.090,8,3
45,72,44,2017-01-18 19:08:16.993,17,0
48,9,46,2017-01-18 19:25:16.970,4,0
51,72,47,2017-01-18 19:27:18.073,16,0
52,85,3,2017-01-18 19:30:30.890,6,0
54,62,50,2017-01-18 19:32:07.293,18,2
55,72,50,2017-01-18 19:32:37.500,6,0
56,37,53,2017-01-18 19:34:28.453,4,0
57,29,50,2017-01-18 19:35:29.340,6,0
59,67,47,2017-01-18 19:36:31.503,15,1
62,,58,2017-01-18 19:40:03.947,15,4
63,9,58,2017-01-18 19:41:07.923,7,2
66,72,61,2017-01-18 19:44:05.487,12,0
69,72,67,2017-01-18 19:53:48.450,4,0
74,85,67,2017-01-18 19:56:24.840,10,1
79,56,72,2017-01-18 19:59:25.277,14,0
83,67,72,2017-01-18 20:01:23.593,9,0
84,71,68,2017-01-18 20:01:27.697,9,0
85,92,64,2017-01-18 20:03:47.787,7,0
86,85,72,2017-01-18 20:05:17.097,0,3
89,85,81,2017-01-18 20:11:02.600,6,0
92,72,87,2017-01-18 20:13:17.997,5,0
94,67,87,2017-01-18 20:14:40.963,0,0
95,94,87,2017-01-18 20:15:57.047,18,0
96,9,87,2017-01-18 20:16:18.630,8,0
97,85,87,2017-01-18 20:16:38.837,2,0
98,92,87,2017-01-18 20:17:07.920,6,0
100,72,91,2017-01-18 20:18:51.770,14,2
104,29,102,2017-01-18 20:23:15.957,12,0
105,85,99,2017-01-18 20:23:26.640,10,0
106,37,99,2017-01-18 20:24:26.267,11,1
108,80,93,2017-01-18 20:27:01.940,28,11
109,94,102,2017-01-18 20:28:26.183,15,0
111,85,110,2017-01-18 20:33:16.960,6,1
112,17,9,2017-01-18 20:33:35.563,56,4
114,9,110,2017-01-18 20:39:50.197,4,2
115,132,101,2017-01-18 20:41:03.383,5,4
122,58,117,2017-01-18 21:01:09.800,16,2
127,123,124,2017-01-18 21:21:21.753,0,0
129,17,120,2017-01-18 21:26:49.393,7,1
130,58,128,2017-01-18 21:27:09.850,22,4
133,31,128,2017-01-18 21:30:13.310,4,0
136,9,135,2017-01-18 21:58:55.803,1,10
138,65,28,2017-01-18 22:03:45.387,5,0
141,123,131,2017-01-18 22:05:42.713,14,0
146,89,135,2017-01-18 22:10:22.190,11,0
149,132,134,2017-01-18 22:22:12.950,6,1
152,132,132,2017-01-18 22:27:27.750,6,0
157,123,12,2017-01-18 22:32:10.827,5,4
160,151,159,2017-01-18 22:42:49.593,10,0
162,72,161,2017-01-18 22:55:05.167,4,1
165,80,161,2017-01-18 23:08:35.787,8,0
166,143,163,2017-01-18 23:09:40.300,6,0
172,17,164,2017-01-18 23:42:43.417,4,0
173,17,171,2017-01-18 23:56:56.400,16,1
177,,137,2017-01-19 00:08:47.540,8,2
182,85,179,2017-01-19 00:23:20.590,3,1
183,72,179,2017-01-19 00:23:27.877,2,0
186,71,179,2017-01-19 00:27:26.907,15,0
187,72,167,2017-01-19 00:29:45.483,12,0
188,123,184,2017-01-19 00:33:01.823,1,5
189,72,185,2017-01-19 00:33:18.620,28,5
191,72,78,2017-01-19 00:44:43.117,5,0
193,85,190,2017-01-19 00:52:06.950,14,2
194,29,192,2017-01-19 00:53:44.120,10,2
196,168,15,2017-01-19 01:02:01.190,11,1
202,72,198,2017-01-19 01:19:15.743,-1,1
207,17,195,2017-01-19 01:35:45.857,9,0
208,72,119,2017-01-19 01:38:44.503,4,0
210,168,197,2017-01-19 01:53:48.730,12,0
213,72,18,2017-01-19 02:21:49.690,1,3
223,17,71,2017-01-19 02:42:20.117,15,2
224,156,40,2017-01-19 02:43:53.373,9,1
225,71,222,2017-01-19 02:48:48.373,15,0
226,17,132,2017-01-19 02:55:14.207,11,0
227,17,185,2017-01-19 03:08:11.607,18,0
229,17,64,2017-01-19 03:28:12.060,9,6
234,80,232,2017-01-19 04:09:38.047,5,2
238,181,220,2017-01-19 05:23:08.367,7,0
