CId,CUserId,PId,@UserName,CTime,CScore
4,53,6, ,2017-01-18 17:42:09.480,0
10,,14, ,2017-01-18 17:57:35.007,0
11,53,15, ,2017-01-18 18:00:55.867,1
12,31,17, ,2017-01-18 18:05:06.560,0
13,40,15,Bellerophon,2017-01-18 18:08:58.340,1
16,72,23, ,2017-01-18 18:11:52.760,0
18,53,15,ArtOfCode,2017-01-18 18:16:10.110,0
19,40,15,Bellerophon,2017-01-18 18:17:14.927,0
28,37,30, ,2017-01-18 18:25:59.013,0
30,11,4, ,2017-01-18 18:31:04.427,3
43,90,25, ,2017-01-18 18:44:31.237,1
59,62,43, ,2017-01-18 18:59:50.333,1
60,80,43,Himarm,2017-01-18 19:02:19.740,2
61,96,39, ,2017-01-18 19:06:32.813,2
63,100,20, ,2017-01-18 19:08:33.307,0
68,62,43, ,2017-01-18 19:22:54.153,0
71,50,49, ,2017-01-18 19:27:28.607,2
72,62,50, ,2017-01-18 19:28:28.623,0
73,72,50, ,2017-01-18 19:28:30.753,1
76,17,39, ,2017-01-18 19:30:00.777,2
78,31,50, ,2017-01-18 19:31:31.267,0
81,29,50, ,2017-01-18 19:33:31.737,2
82,17,28, ,2017-01-18 19:33:52.950,4
83,56,50,LaurenIpsum,2017-01-18 19:35:36.183,0
86,16,50, ,2017-01-18 19:36:52.610,0
91,67,58, ,2017-01-18 19:38:30.697,0
92,16,50,Skooba,2017-01-18 19:39:25.497,0
93,20,42, ,2017-01-18 19:40:04.427,6
94,29,39, ,2017-01-18 19:40:42.877,0
96,17,43, ,2017-01-18 19:42:20.890,1
97,56,50,DForck42,2017-01-18 19:42:36.310,0
98,31,9, ,2017-01-18 19:43:12.780,4
99,71,58, ,2017-01-18 19:43:21.777,0
101,16,54, ,2017-01-18 19:43:59.667,0
102,29,9,DVK,2017-01-18 19:44:19.607,2
103,,58,HDE226868,2017-01-18 19:45:18.120,0
104,31,9, ,2017-01-18 19:45:50.360,2
105,71,58,Hamlet,2017-01-18 19:45:56.893,0
106,,63, ,2017-01-18 19:46:23.387,0
107,9,63,Hamlet,2017-01-18 19:48:54.080,0
110,80,39,Rand,2017-01-18 20:03:26.137,1
111,72,75, ,2017-01-18 20:03:57.837,0
113,9,86, ,2017-01-18 20:05:45.030,0
114,72,75, ,2017-01-18 20:06:13.120,0
115,85,86,BeastlyGerbil,2017-01-18 20:06:33.487,0
116,72,75,Closevoters,2017-01-18 20:07:00.270,4
118,9,86, ,2017-01-18 20:08:47.957,0
126,67,23, ,2017-01-18 20:22:28.510,0
128,50,102, ,2017-01-18 20:24:02.780,1
130,29,101, ,2017-01-18 20:25:37.057,2
131,112,93, ,2017-01-18 20:26:04.757,20
132,85,106, ,2017-01-18 20:26:12.877,0
133,57,14, ,2017-01-18 20:33:11.497,0
134,57,33,CHEESE,2017-01-18 20:36:05.537,5
137,57,62, ,2017-01-18 20:38:19.837,3
139,37,111, ,2017-01-18 20:39:04.057,0
143,37,114, ,2017-01-18 20:44:25.773,0
145,132,100, ,2017-01-18 20:44:41.857,10
146,133,13, ,2017-01-18 20:46:31.253,6
147,,60, ,2017-01-18 20:46:37.760,3
148,92,112, ,2017-01-18 20:46:48.523,9
150,9,114,MatrimCauthon,2017-01-18 20:48:09.967,0
151,132,71, ,2017-01-18 20:48:27.840,3
154,,62,Gilles,2017-01-18 20:51:02.773,2
156,17,112,Vixen,2017-01-18 20:51:22.673,1
159,132,73, ,2017-01-18 20:54:13.597,0
163,56,117, ,2017-01-18 20:55:44.557,0
164,,113, ,2017-01-18 20:55:47.317,0
165,132,119, ,2017-01-18 20:56:30.330,0
177,31,108, ,2017-01-18 21:05:46.173,4
178,16,122, ,2017-01-18 21:05:52.793,3
180,80,108,DVK,2017-01-18 21:07:16.597,1
185,58,117, ,2017-01-18 21:12:13.483,1
191,,40, ,2017-01-18 21:25:58.270,6
192,90,40,Hamlet,2017-01-18 21:27:56.063,0
194,114,130, ,2017-01-18 21:30:09.910,0
195,58,130,RaisingAgent,2017-01-18 21:30:41.057,0
201,29,131, ,2017-01-18 21:35:11.327,2
204,143,131,LaurenIpsum,2017-01-18 21:39:33.137,2
206,16,117, ,2017-01-18 21:41:20.350,3
207,92,134, ,2017-01-18 21:54:12.020,0
208,72,136, ,2017-01-18 21:59:43.423,0
209,9,136,EasterlyIrk,2017-01-18 22:00:38.963,2
211,72,136, ,2017-01-18 22:01:23.537,0
213,57,123, ,2017-01-18 22:10:23.647,4
216,58,157, ,2017-01-18 22:33:06.593,0
