@UserId,@UserName,Age,Location,UserCreationDate,Reputation,Views,UpVotes,DownVotes,LastAccess
-1,Community,1,on the server farm,2017-01-17 21:06:00.463,1,0,1877,1497,2017-01-17T21:06:00.463
1,Adam Lear,35,"New York, NY",2017-01-17 22:20:36.807,101,40,1,0,2018-02-26T04:57:04.710
2,Robert Cartaino,,"Palm Bay, FL",2017-01-18 17:15:15.747,99,36,5,8,2017-12-16T15:41:45.923
3,JNat,98,Europe,2017-01-18 17:15:26.043,299,34,5,2,2018-02-16T17:17:17.880
4,Shog9,38,"Colorado, United States",2017-01-18 17:15:45.740,101,18,6,4,2018-02-26T16:43:44.330
5,Jon Ericson,45,Downtown Burbank,2017-01-18 17:17:27.103,101,13,3,0,2018-02-15T17:42:38.100
6,animuson,27,"Gladstone, MO, United States",2017-01-18 17:18:01.143,101,13,0,0,2018-02-28T19:01:32.933
7,Taryn,43,Arizona,2017-01-18 17:23:38.213,101,9,0,0,2017-10-24T20:37:47.580
9,Beastly Gerbil,15,Neverland,2017-01-18 17:23:40.530,4260,127,87,13,2018-02-25T21:11:33.717
10,soundslikeodd,48,"Long Beach, CA, United States",2017-01-18 17:23:42.023,241,13,46,2,2018-01-18T18:07:13.663
11,Gallifreyan,21,Time Vortex (UTC +3),2017-01-18 17:23:45.840,4619,118,1032,38,2018-03-10T18:33:56.330
12,Konamiman,44,"Palma de Mallorca, Spain",2017-01-18 17:23:52.050,101,8,0,0,2018-01-24T19:45:28.727
13,SQB,,Yurp,2017-01-18 17:23:59.967,274,6,39,0,2018-02-28T09:46:13.290
14,ricmarques,41,Portugal,2017-01-18 17:24:05.377,101,3,0,0,2017-06-19T15:49:32.087
15,B. Clay Shannon,60,"Monterey, CA, USA",2017-01-18 17:24:08.603,528,16,20,0,2017-11-25T22:36:19.340
16,DForck42,31,Missouri,2017-01-18 17:24:28.963,725,27,163,20,2018-01-18T23:07:32.083
17,Rand al'Thor,,Emond's Field,2017-01-18 17:24:32.427,19330,961,1813,221,2018-03-11T01:26:44.937
18,steelersquirrel,,,2017-01-18 17:24:51.473,575,28,100,2,2018-02-20T19:29:35.760
19,Sean Houlihane,,,2017-01-18 17:25:03.683,101,2,8,0,2017-04-28T15:53:47.137
20,Joshua Engel,,"Maryland, United States",2017-01-18 17:25:06.430,3579,57,361,4,2018-03-09T18:52:05.957
21,amaranth,,Atmora,2017-01-18 17:25:10.760,166,7,25,56,2017-05-30T23:13:06.647
22,Laure,,France,2017-01-18 17:25:14.520,101,1,5,0,2017-05-11T17:39:20.093
23,Oded,45,"London, United Kingdom",2017-01-18 17:25:18.363,101,1,0,0,2017-10-19T10:17:46.300
24,TrojanByAccident,15,Mars,2017-01-18 17:25:21.677,102,4,16,3,2017-01-24T16:43:25.600
25,Ash,31,,2017-01-18 17:25:28.000,788,31,98,157,2018-03-10T20:08:58.597
26,Pavel,17,"Redmond, WA, United States",2017-01-18 17:25:31.180,101,0,1,0,2018-02-20T19:42:58.873
27,JonMark Perry,48,"belbroughton, uk",2017-01-18 17:25:33.333,141,3,1,1,2018-02-21T13:15:25.997
28,Hey I Can Chan,47,"Garden Grove, CA",2017-01-18 17:25:35.430,101,0,1,0,2017-06-22T07:53:03.223
29,Lauren Ipsum,,"Etaoin, SH",2017-01-18 17:25:41.663,2408,68,753,0,2018-03-10T19:28:04.880
30,librariman,,Texas,2017-01-18 17:26:06.923,139,6,17,0,2018-03-02T17:21:55.243
31,DVK,46,"New York, NY",2017-01-18 17:26:38.583,2050,66,178,31,2018-03-06T02:45:31.277
32,James Jenkins,56,"Pittsburgh, PA",2017-01-18 17:27:16.533,528,11,24,0,2018-01-18T17:37:57.920
33,goldilocks,,"Ontario, Canada",2017-01-18 17:27:40.233,301,5,4,0,2018-03-05T15:17:40.243
34,Wrzlprmft,,Germany,2017-01-18 17:27:42.103,166,2,12,0,2018-03-02T19:22:08.450
35,Gareth McCaughan,,,2017-01-18 17:27:44.273,436,6,7,0,2018-03-05T22:27:32.663
36,sanpaco,36,,2017-01-18 17:29:09.517,103,0,9,0,2017-01-18T19:58:42.530
37,Matrim Cauthon,,Emond's Field,2017-01-18 17:29:42.093,3283,135,435,21,2018-03-09T14:00:33.457
38,Winter,20,"Montreal, QC, Canada",2017-01-18 17:31:51.163,101,5,1,7,2017-07-11T12:23:56.723
