PostId,Vote,VTime
1,2,2017-01-18
1,2,2017-01-18
1,2,2017-01-18
1,2,2017-01-18
1,2,2017-01-18
2,2,2017-01-18
2,2,2017-01-18
2,2,2017-01-18
2,2,2017-01-18
3,2,2017-01-18
1,2,2017-01-18
2,2,2017-01-18
2,2,2017-01-18
5,2,2017-01-18
3,3,2017-01-18
2,3,2017-01-18
1,3,2017-01-18
4,3,2017-01-18
5,3,2017-01-18
2,2,2017-01-18
3,2,2017-01-18
5,2,2017-01-18
1,2,2017-01-18
4,2,2017-01-18
5,2,2017-01-18
3,2,2017-01-18
1,2,2017-01-18
2,2,2017-01-18
5,2,2017-01-18
4,2,2017-01-18
4,2,2017-01-18
3,2,2017-01-18
1,2,2017-01-18
2,2,2017-01-18
6,16,2017-01-18
2,2,2017-01-18
6,2,2017-01-18
2,2,2017-01-18
1,2,2017-01-18
4,2,2017-01-18
5,2,2017-01-18
3,2,2017-01-18
6,2,2017-01-18
8,2,2017-01-18
1,2,2017-01-18
1,2,2017-01-18
2,2,2017-01-18
4,2,2017-01-18
4,2,2017-01-18
5,2,2017-01-18
7,2,2017-01-18
6,3,2017-01-18
6,5,2017-01-18
6,3,2017-01-18
6,2,2017-01-18
5,2,2017-01-18
8,16,2017-01-18
9,2,2017-01-18
6,2,2017-01-18
8,5,2017-01-18
8,16,2017-01-18
9,2,2017-01-18
9,2,2017-01-18
10,3,2017-01-18
10,3,2017-01-18
10,3,2017-01-18
11,3,2017-01-18
10,16,2017-01-18
11,3,2017-01-18
10,3,2017-01-18
11,3,2017-01-18
10,3,2017-01-18
11,3,2017-01-18
9,2,2017-01-18
10,3,2017-01-18
10,3,2017-01-18
11,3,2017-01-18
11,3,2017-01-18
10,10,2017-01-18
9,2,2017-01-18
2,2,2017-01-18
7,2,2017-01-18
3,2,2017-01-18
9,2,2017-01-18
13,2,2017-01-18
12,2,2017-01-18
13,16,2017-01-18
2,2,2017-01-18
9,2,2017-01-18
14,2,2017-01-18
15,2,2017-01-18
15,2,2017-01-18
14,3,2017-01-18
13,2,2017-01-18
14,2,2017-01-18
13,2,2017-01-18
13,2,2017-01-18
16,2,2017-01-18
9,2,2017-01-18
9,2,2017-01-18
16,2,2017-01-18
17,2,2017-01-18
5,2,2017-01-18
16,2,2017-01-18
9,2,2017-01-18
18,2,2017-01-18
18,2,2017-01-18
8,3,2017-01-18
19,2,2017-01-18
16,2,2017-01-18
7,2,2017-01-18
16,2,2017-01-18
19,2,2017-01-18
20,2,2017-01-18
9,2,2017-01-18
9,5,2017-01-18
13,2,2017-01-18
20,2,2017-01-18
13,2,2017-01-18
14,2,2017-01-18
21,2,2017-01-18
18,2,2017-01-18
13,2,2017-01-18
21,2,2017-01-18
20,2,2017-01-18
17,16,2017-01-18
22,2,2017-01-18
23,2,2017-01-18
20,2,2017-01-18
13,2,2017-01-18
21,2,2017-01-18
20,2,2017-01-18
4,5,2017-01-18
23,2,2017-01-18
20,2,2017-01-18
13,2,2017-01-18
1,2,2017-01-18
24,2,2017-01-18
17,2,2017-01-18
25,2,2017-01-18
22,2,2017-01-18
23,2,2017-01-18
7,2,2017-01-18
3,2,2017-01-18
6,2,2017-01-18
3,2,2017-01-18
23,2,2017-01-18
19,2,2017-01-18
22,16,2017-01-18
16,2,2017-01-18
2,2,2017-01-18
23,2,2017-01-18
8,3,2017-01-18
23,3,2017-01-18
26,2,2017-01-18
26,2,2017-01-18
17,2,2017-01-18
2,2,2017-01-18
28,3,2017-01-18
24,2,2017-01-18
23,2,2017-01-18
25,2,2017-01-18
27,2,2017-01-18
27,2,2017-01-18
27,2,2017-01-18
21,2,2017-01-18
27,2,2017-01-18
21,2,2017-01-18
26,2,2017-01-18
28,3,2017-01-18
29,2,2017-01-18
23,2,2017-01-18
28,2,2017-01-18
27,2,2017-01-18
23,2,2017-01-18
29,2,2017-01-18
12,2,2017-01-18
28,2,2017-01-18
27,2,2017-01-18
24,2,2017-01-18
1,2,2017-01-18
26,2,2017-01-18
29,2,2017-01-18
21,2,2017-01-18
24,2,2017-01-18
4,2,2017-01-18
21,16,2017-01-18
29,16,2017-01-18
28,2,2017-01-18
28,2,2017-01-18
20,2,2017-01-18
15,2,2017-01-18
6,2,2017-01-18
25,2,2017-01-18
25,2,2017-01-18
5,2,2017-01-18
30,2,2017-01-18
15,2,2017-01-18
30,2,2017-01-18
31,3,2017-01-18
26,2,2017-01-18
3,2,2017-01-18
2,2,2017-01-18
4,2,2017-01-18
32,2,2017-01-18
31,3,2017-01-18
28,2,2017-01-18
28,2,2017-01-18
23,2,2017-01-18
4,2,2017-01-18
35,2,2017-01-18
37,2,2017-01-18
37,2,2017-01-18
28,2,2017-01-18
35,2,2017-01-18
24,2,2017-01-18
36,16,2017-01-18
37,2,2017-01-18
32,2,2017-01-18
25,2,2017-01-18
28,3,2017-01-18
36,3,2017-01-18
1,2,2017-01-18
38,2,2017-01-18
38,2,2017-01-18
2,2,2017-01-18
28,3,2017-01-18
32,3,2017-01-18
28,3,2017-01-18
39,2,2017-01-18
21,2,2017-01-18
31,3,2017-01-18
39,2,2017-01-18
3,2,2017-01-18
35,16,2017-01-18
26,2,2017-01-18
27,2,2017-01-18
31,2,2017-01-18
9,2,2017-01-18
4,2,2017-01-18
37,2,2017-01-18
16,2,2017-01-18
19,2,2017-01-18
28,3,2017-01-18
37,2,2017-01-18
5,2,2017-01-18
6,2,2017-01-18
16,2,2017-01-18
19,2,2017-01-18
31,3,2017-01-18
43,2,2017-01-18
43,3,2017-01-18
43,2,2017-01-18
43,5,2017-01-18
31,3,2017-01-18
43,2,2017-01-18
1,2,2017-01-18
37,2,2017-01-18
26,2,2017-01-18
21,2,2017-01-18
27,2,2017-01-18
44,2,2017-01-18
26,2,2017-01-18
2,2,2017-01-18
39,2,2017-01-18
31,2,2017-01-18
9,3,2017-01-18
35,3,2017-01-18
44,2,2017-01-18
40,2,2017-01-18
8,3,2017-01-18
44,2,2017-01-18
35,3,2017-01-18
2,2,2017-01-18
39,2,2017-01-18
44,2,2017-01-18
40,2,2017-01-18
35,2,2017-01-18
36,16,2017-01-18
24,2,2017-01-18
12,2,2017-01-18
4,2,2017-01-18
37,2,2017-01-18
44,2,2017-01-18
3,2,2017-01-18
7,2,2017-01-18
20,2,2017-01-18
7,16,2017-01-18
26,2,2017-01-18
27,2,2017-01-18
21,2,2017-01-18
37,2,2017-01-18
28,3,2017-01-18
45,2,2017-01-18
13,2,2017-01-18
45,2,2017-01-18
40,2,2017-01-18
7,2,2017-01-18
3,2,2017-01-18
31,3,2017-01-18
8,3,2017-01-18
7,2,2017-01-18
46,2,2017-01-18
46,2,2017-01-18
45,2,2017-01-18
45,2,2017-01-18
24,2,2017-01-18
46,2,2017-01-18
8,3,2017-01-18
9,2,2017-01-18
43,2,2017-01-18
9,2,2017-01-18
3,2,2017-01-18
5,3,2017-01-18
1,2,2017-01-18
46,2,2017-01-18
46,2,2017-01-18
32,3,2017-01-18
32,10,2017-01-18
46,16,2017-01-18
16,2,2017-01-18
5,2,2017-01-18
46,2,2017-01-18
47,2,2017-01-18
8,2,2017-01-18
9,2,2017-01-18
19,2,2017-01-18
6,2,2017-01-18
45,3,2017-01-18
30,2,2017-01-18
15,2,2017-01-18
48,2,2017-01-18
8,10,2017-01-18
30,2,2017-01-18
15,2,2017-01-18
49,2,2017-01-18
49,2,2017-01-18
50,2,2017-01-18
51,2,2017-01-18
38,2,2017-01-18
