CId,CUserId,PId,@UserName,CTime,CScore
3,16,9, ,2010-07-20 19:26:09.357,8
5,40,17, ,2010-07-20 19:27:07.983,1
8,55,17, ,2010-07-20 19:28:16.077,1
10,35,20, ,2010-07-20 19:29:17.900,3
11,40,17, ,2010-07-20 19:32:12.010,1
13,35,42, ,2010-07-20 19:36:22.330,1
14,56,18, ,2010-07-20 19:37:22.450,1
15,49,35, ,2010-07-20 19:37:46.820,2
16,56,40, ,2010-07-20 19:38:37.830,4
18,54,20, ,2010-07-20 19:40:13.363,0
19,38,40, ,2010-07-20 19:40:56.577,0
20,55,17, ,2010-07-20 19:41:44.767,7
22,72,40, ,2010-07-20 19:42:52.813,10
23,38,59, ,2010-07-20 19:44:58.843,10
24,17,18, ,2010-07-20 19:47:42.350,0
25,49,51, ,2010-07-20 19:48:09.820,4
26,28,3, ,2010-07-20 19:48:34.017,1
27,77,63, ,2010-07-20 19:49:03.297,1
28,56,40,John,2010-07-20 19:49:49.287,1
30,35,59, ,2010-07-20 19:50:02.110,0
31,59,51,FordBuchanan,2010-07-20 19:51:10.110,0
33,51,42, ,2010-07-20 19:54:58.820,3
34,44,66, ,2010-07-20 19:55:10.427,0
37,56,42, ,2010-07-20 19:56:42.483,0
38,24,59, ,2010-07-20 19:57:45.990,0
39,56,74, ,2010-07-20 19:57:49.080,0
41,28,31, ,2010-07-20 20:03:12.640,29
43,16,64, ,2010-07-20 20:03:36.740,1
45,77,80, ,2010-07-20 20:04:09.313,23
49,16,40, ,2010-07-20 20:06:06.343,0
50,66,78, ,2010-07-20 20:08:05.483,6
52,16,80, ,2010-07-20 20:10:21.403,2
54,56,31,Scott,2010-07-20 20:12:45.330,6
57,76,18, ,2010-07-20 20:16:31.763,0
58,56,31,Scott,2010-07-20 20:17:07.193,7
59,34,88, ,2010-07-20 20:20:00.540,3
60,66,18, ,2010-07-20 20:21:39.647,0
61,92,81, ,2010-07-20 20:21:50.440,5
63,17,18,Katie,2010-07-20 20:23:47.723,0
64,82,18, ,2010-07-20 20:24:07.550,1
66,17,18,Katie,2010-07-20 20:26:26.950,0
67,66,97, ,2010-07-20 20:26:30.850,1
72,28,101, ,2010-07-20 20:33:28.633,8
73,38,101, ,2010-07-20 20:33:59.883,0
74,69,3, ,2010-07-20 20:35:15.760,0
75,44,101,Morrison,2010-07-20 20:37:03.587,0
76,85,4, ,2010-07-20 20:46:05.000,0
77,92,97,Jon,2010-07-20 20:49:34.353,0
78,51,42, ,2010-07-20 20:51:27.623,0
79,79,81, ,2010-07-20 20:51:47.547,2
80,51,107, ,2010-07-20 20:53:53.033,7
82,92,112, ,2010-07-20 20:56:12.340,0
86,49,113, ,2010-07-20 20:59:30.320,1
87,66,113, ,2010-07-20 21:00:21.830,0
88,50,113, ,2010-07-20 21:04:44.067,0
89,92,101, ,2010-07-20 21:05:45.203,0
91,92,110, ,2010-07-20 21:10:52.163,0
92,73,114, ,2010-07-20 21:12:41.103,3
94,31,31, ,2010-07-20 21:15:00.573,15
95,108,3, ,2010-07-20 21:15:08.763,2
97,536,122, ,2010-07-20 21:15:59.920,6
98,56,31,Simon,2010-07-20 21:18:19.657,0
99,76,113, ,2010-07-20 21:18:47.503,1
100,96,74, ,2010-07-20 21:21:17.863,2
101,56,127, ,2010-07-20 21:21:38.347,0
102,51,124, ,2010-07-20 21:22:28.583,5
103,66,113,Katie,2010-07-20 21:25:46.383,0
107,30,135, ,2010-07-20 21:38:41.490,38
108,536,139, ,2010-07-20 21:40:43.317,6
109,71,135, ,2010-07-20 21:40:59.853,0
110,31,136, ,2010-07-20 21:42:05.720,13
111,8,136, ,2010-07-20 21:42:45.487,1
112,113,42,justin-l,2010-07-20 21:43:38.903,0
114,51,42, ,2010-07-20 21:46:46.657,0
115,73,146, ,2010-07-20 21:47:02.990,3
116,82,128, ,2010-07-20 21:47:26.327,1
117,11,135,Coltin,2010-07-20 21:48:14.737,15
119,113,100, ,2010-07-20 21:55:10.897,2
120,51,146, ,2010-07-20 21:59:36.760,0
121,35,78, ,2010-07-20 22:09:12.057,0
122,113,146, ,2010-07-20 22:11:04.770,5
123,35,141, ,2010-07-20 22:12:04.893,0
125,8,141, ,2010-07-20 22:14:16.747,3
126,76,128, ,2010-07-20 22:17:26.980,0
129,35,113, ,2010-07-20 22:18:36.230,2
132,8,155, ,2010-07-20 22:25:41.387,28
135,73,146, ,2010-07-20 22:29:53.880,0
137,35,155, ,2010-07-20 22:33:20.397,1
139,76,155, ,2010-07-20 22:37:31.797,5
141,9,159, ,2010-07-20 22:39:25.650,3
142,67,146, ,2010-07-20 22:44:54.377,0
143,122,122, ,2010-07-20 22:48:22.113,3
145,113,157, ,2010-07-20 22:51:52.933,0
147,51,122,Eden,2010-07-20 22:53:33.993,1
148,113,167, ,2010-07-20 22:54:26.660,0
149,35,159, ,2010-07-20 22:54:51.650,0
150,113,159, ,2010-07-20 22:57:33.923,1
151,8,168, ,2010-07-20 22:57:44.487,170
155,9,155, ,2010-07-20 23:02:21.623,67
157,120,35, ,2010-07-20 23:03:05.240,2
158,9,159, ,2010-07-20 23:04:19.123,2
160,536,151, ,2010-07-20 23:06:25.033,1
161,122,168,Noah,2010-07-20 23:08:41.847,7
162,113,168, ,2010-07-20 23:08:51.097,34
163,99,167, ,2010-07-20 23:08:59.490,1
164,35,164, ,2010-07-20 23:12:16.787,58
166,35,159, ,2010-07-20 23:14:59.950,0
168,122,168, ,2010-07-20 23:15:29.213,0
169,35,159,Neil,2010-07-20 23:15:49.307,0
170,536,128, ,2010-07-20 23:16:17.967,2
172,536,20, ,2010-07-20 23:17:43.797,2
173,51,179, ,2010-07-20 23:17:45.390,0
174,35,177,jacob,2010-07-20 23:18:46.730,0
175,113,173, ,2010-07-20 23:19:44.497,0
176,73,176, ,2010-07-20 23:23:45.550,2
177,113,167,jonathan-fischoff,2010-07-20 23:24:22.587,0
178,123,122,Justin,2010-07-20 23:24:29.870,0
179,120,176, ,2010-07-20 23:24:40.417,0
180,120,176, ,2010-07-20 23:25:46.920,1
181,123,149, ,2010-07-20 23:25:54.313,4
