PostId,Vote,VTime
130,2,2010-07-21
154,2,2010-07-21
154,2,2010-07-21
130,2,2010-07-21
203,2,2010-07-21
7,2,2010-07-21
5,2,2010-07-21
204,2,2010-07-21
186,3,2010-07-21
188,2,2010-07-21
158,2,2010-07-21
206,2,2010-07-21
165,2,2010-07-21
198,2,2010-07-21
143,2,2010-07-21
163,2,2010-07-21
55,2,2010-07-21
55,2,2010-07-21
29,2,2010-07-21
207,2,2010-07-21
208,3,2010-07-21
208,3,2010-07-21
211,2,2010-07-21
204,2,2010-07-21
211,2,2010-07-21
208,3,2010-07-21
203,2,2010-07-21
176,2,2010-07-21
211,2,2010-07-21
139,2,2010-07-21
210,2,2010-07-21
201,2,2010-07-21
171,2,2010-07-21
204,2,2010-07-21
211,2,2010-07-21
201,2,2010-07-21
143,2,2010-07-21
183,2,2010-07-21
206,2,2010-07-21
208,3,2010-07-21
2,3,2010-07-21
161,3,2010-07-21
201,2,2010-07-21
155,2,2010-07-21
155,2,2010-07-21
153,2,2010-07-21
162,2,2010-07-21
1,2,2010-07-21
125,2,2010-07-21
206,2,2010-07-21
88,2,2010-07-21
206,2,2010-07-21
55,2,2010-07-21
205,2,2010-07-21
29,5,2010-07-21
29,2,2010-07-21
45,2,2010-07-21
215,2,2010-07-21
206,2,2010-07-21
206,5,2010-07-21
211,2,2010-07-21
206,5,2010-07-21
216,2,2010-07-21
158,2,2010-07-21
163,2,2010-07-21
160,2,2010-07-21
215,2,2010-07-21
213,2,2010-07-21
213,5,2010-07-21
211,2,2010-07-21
204,2,2010-07-21
221,2,2010-07-21
164,2,2010-07-21
164,5,2010-07-21
208,3,2010-07-21
213,2,2010-07-21
176,2,2010-07-21
211,2,2010-07-21
211,1,2010-07-21
183,2,2010-07-21
194,2,2010-07-21
199,2,2010-07-21
171,2,2010-07-21
197,2,2010-07-21
151,2,2010-07-21
176,2,2010-07-21
51,5,2010-07-21
130,2,2010-07-21
164,2,2010-07-21
181,2,2010-07-21
169,2,2010-07-21
174,2,2010-07-21
183,2,2010-07-21
208,3,2010-07-21
225,2,2010-07-21
141,2,2010-07-21
199,2,2010-07-21
170,2,2010-07-21
213,5,2010-07-21
213,2,2010-07-21
225,2,2010-07-21
222,2,2010-07-21
222,2,2010-07-21
226,2,2010-07-21
208,10,2010-07-21
223,2,2010-07-21
157,2,2010-07-21
188,2,2010-07-21
227,2,2010-07-21
70,1,2010-07-21
170,2,2010-07-21
196,2,2010-07-21
200,2,2010-07-21
230,2,2010-07-21
217,2,2010-07-21
231,2,2010-07-21
49,2,2010-07-21
228,2,2010-07-21
229,2,2010-07-21
197,2,2010-07-21
196,2,2010-07-21
60,2,2010-07-21
140,2,2010-07-21
