CId,CUserId,PId,@UserName,CTime,CScore
1,29,7,,2012-01-17 21:29:17.180,2
2,5,7, ,2012-01-17 21:29:53.170,1
3,43,11, ,2012-01-17 21:33:29.797,4
5,37,10, ,2012-01-17 21:36:18.857,0
7,9,10, ,2012-01-17 21:38:15.967,0
13,37,15, ,2012-01-17 21:46:38.620,0
14,44,17, ,2012-01-17 21:49:56.213,2
16,9,17, ,2012-01-17 21:52:39.733,0
17,18,17,Eli,2012-01-17 21:53:21.293,0
18,50,17,Sky,2012-01-17 21:53:50.730,0
19,9,17, ,2012-01-17 21:54:01.353,0
23,47,15, ,2012-01-17 21:56:28.623,0
24,44,17,Jowen,2012-01-17 21:57:12.457,0
28,50,17,Sky,2012-01-17 22:03:58.810,2
30,44,17,J.M,2012-01-17 22:05:01.553,0
35,44,27, ,2012-01-17 22:10:18.783,0
36,50,17,Sky,2012-01-17 22:12:37.237,0
37,77,4, ,2012-01-17 22:13:02.307,0
39,44,30, ,2012-01-17 22:16:01.677,0
40,50,28, ,2012-01-17 22:16:02.817,5
41,16,30, ,2012-01-17 22:16:40.193,0
42,15,27,N[Sum[1/(2*n!),2012-01-17 22:22:43.290,13
44,44,35, ,2012-01-17 22:35:06.247,0
45,91,5, ,2012-01-17 22:38:15.790,0
46,34,35,Skydreamer,2012-01-17 22:44:00.817,1
47,37,39, ,2012-01-17 22:44:03.160,0
48,50,41, ,2012-01-17 22:49:56.833,5
49,39,5, ,2012-01-17 22:52:47.247,2
50,52,41, ,2012-01-17 22:53:01.773,1
51,31,39, ,2012-01-17 22:53:04.970,2
53,34,36, ,2012-01-17 22:57:15.557,2
54,82,44, ,2012-01-17 22:58:50.157,0
55,52,26, ,2012-01-17 22:58:59.297,9
56,61,46, ,2012-01-17 22:59:36.613,0
57,36,39,ras,2012-01-17 23:00:08.937,0
58,17,44,,2012-01-17 23:00:11.293,0
59,31,39, ,2012-01-17 23:05:24.250,0
60,79,49, ,2012-01-17 23:06:15.213,0
61,34,40, ,2012-01-17 23:06:39.650,1
62,81,49,David,2012-01-17 23:08:44.743,0
63,82,41, ,2012-01-17 23:08:54.670,0
64,51,41, ,2012-01-17 23:09:52.027,1
65,79,49, ,2012-01-17 23:10:21.447,0
66,77,36, ,2012-01-17 23:11:21.853,1
68,12,36,Mike,2012-01-17 23:12:58.573,0
69,95,16, ,2012-01-17 23:15:28.227,0
70,17,44, ,2012-01-17 23:19:31.183,0
71,77,36,Szabolcs,2012-01-17 23:20:55.643,0
72,82,48, ,2012-01-17 23:22:55.157,2
73,95,26, ,2012-01-17 23:24:31.503,3
74,95,8, ,2012-01-17 23:26:16.727,0
75,9,8,MikeBantegui,2012-01-17 23:27:54.757,0
77,82,41,J.M,2012-01-17 23:29:08.987,0
78,95,36, ,2012-01-17 23:31:05.547,0
79,95,8, ,2012-01-17 23:31:40.773,0
80,17,57, ,2012-01-17 23:42:10.867,1
81,95,57, ,2012-01-17 23:42:54.733,1
82,50,59, ,2012-01-17 23:50:35.483,0
85,95,60, ,2012-01-17 23:59:06.437,0
86,81,60,Mike,2012-01-18 00:04:46.460,1
87,95,60,LeonidShifrin,2012-01-18 00:05:52.947,0
90,12,36,MikeHoneychurch,2012-01-18 00:14:15.940,0
91,50,60, ,2012-01-18 00:14:28.957,0
92,81,60,Mike,2012-01-18 00:19:25.687,0
93,95,60,LeonidShifrin,2012-01-18 00:25:05.960,0
94,81,59, ,2012-01-18 00:30:27.340,1
95,50,71, ,2012-01-18 00:32:13.123,4
100,95,15,raxacoricofallapatorius,2012-01-18 00:38:42.350,1
101,81,60,Mike,2012-01-18 00:38:47.980,0
104,103,69, ,2012-01-18 00:41:16.933,2
105,95,80, ,2012-01-18 00:42:07.087,0
106,81,60,Mike,2012-01-18 00:42:43.433,0
108,81,79, ,2012-01-18 00:45:58.077,2
109,95,79,Szabolcs,2012-01-18 00:49:25.060,0
113,95,70,ThiesHeidecke,2012-01-18 00:53:20.297,1
114,91,54,,2012-01-18 00:53:50.903,1
115,81,45, ,2012-01-18 00:54:59.077,0
116,50,85, ,2012-01-18 01:00:47.693,0
117,95,79, ,2012-01-18 01:01:40.220,0
119,50,87, ,2012-01-18 01:12:54.057,1
122,16,36,MikeB,2012-01-18 01:18:32.610,1
123,50,88, ,2012-01-18 01:18:45.043,1
126,77,36,Szabolcs,2012-01-18 01:22:27.537,1
128,95,89, ,2012-01-18 01:25:00.603,0
129,104,75, ,2012-01-18 01:28:52.863,0
130,95,87, ,2012-01-18 02:05:10.163,0
132,8,34, ,2012-01-18 02:28:08.037,0
137,95,98, ,2012-01-18 02:52:03.677,0
144,52,102, ,2012-01-18 03:43:05.093,16
151,13,92, ,2012-01-18 03:58:23.973,0
152,81,98, ,2012-01-18 04:01:45.433,0
154,34,96, ,2012-01-18 04:39:21.407,2
155,95,23, ,2012-01-18 04:44:51.197,1
157,7,105, ,2012-01-18 04:56:12.120,0
158,95,105,Isaac,2012-01-18 04:58:41.487,0
159,69,39,raxacoricofallapatorius,2012-01-18 05:01:25.013,8
160,95,106, ,2012-01-18 05:07:50.910,0
162,103,97, ,2012-01-18 05:31:35.057,0
163,95,97,David,2012-01-18 05:32:42.960,0
164,95,97,David,2012-01-18 05:40:07.300,0
165,95,109, ,2012-01-18 05:41:46.877,0
167,95,113, ,2012-01-18 05:50:07.520,1
168,126,113, ,2012-01-18 05:55:34.540,0
169,95,113, ,2012-01-18 05:56:04.630,0
171,103,97, ,2012-01-18 06:02:42.277,0
172,126,113, ,2012-01-18 06:04:32.283,0
173,95,97,David,2012-01-18 06:05:29.507,0
174,95,113, ,2012-01-18 06:06:38.970,0
175,103,97, ,2012-01-18 06:07:31.970,0
176,13,106, ,2012-01-18 06:08:23.163,1
177,95,114,NasserMAbbasi,2012-01-18 06:09:33.837,0
178,13,109, ,2012-01-18 06:09:37.317,0
179,103,97, ,2012-01-18 06:13:22.773,0
181,95,114,NasserAMAbbasi,2012-01-18 06:16:58.850,0
183,13,105, ,2012-01-18 06:33:51.743,1
184,5,70, ,2012-01-18 06:37:12.837,0
185,77,92,Verbeia,2012-01-18 06:43:51.877,0
186,8,92,MikeHoneychurch,2012-01-18 06:51:31.823,0
187,50,116, ,2012-01-18 07:02:07.623,5
188,13,116,J.M,2012-01-18 07:12:58.620,0
189,129,47,lsts]`,2012-01-18 07:23:26.007,2
190,129,7, ,2012-01-18 07:38:24.227,0
191,34,120, ,2012-01-18 07:49:33.103,0
192,110,120, ,2012-01-18 07:54:24.393,1
193,34,120, ,2012-01-18 07:57:39.323,0
194,95,70,R.M,2012-01-18 08:04:55.290,0
195,110,124, ,2012-01-18 08:04:55.180,0
197,,98, ,2012-01-18 08:10:13.800,0
200,129,125, ,2012-01-18 08:58:27.370,5
201,50,128, ,2012-01-18 09:09:11.613,1
202,50,128, ,2012-01-18 09:10:17.587,0
203,50,128, ,2012-01-18 09:13:06.927,1
204,34,128, ,2012-01-18 09:29:54.093,0
205,133,128,J.M,2012-01-18 09:32:20.873,0
206,133,128,Simon,2012-01-18 09:35:59.403,0
207,12,107, ,2012-01-18 09:37:41.947,0
208,81,125,celtschk,2012-01-18 09:45:49.343,0
210,89,125, ,2012-01-18 09:49:24.397,0
211,50,129, ,2012-01-18 09:52:14.773,1
212,66,96, ,2012-01-18 09:57:45.423,0
213,81,125,Istvan,2012-01-18 09:57:54.893,0
214,5,98,ruebenko,2012-01-18 10:00:53.167,0
215,133,129, ,2012-01-18 10:06:09.680,0
216,12,129,uli,2012-01-18 10:14:13.493,0
217,,133,Nasser,2012-01-18 10:16:53.333,2
219,81,133,ruebenko,2012-01-18 10:20:01.580,0
220,133,129,Szabolcs,2012-01-18 10:24:46.577,0
221,12,129,uli,2012-01-18 10:27:34.423,0
223,57,134, ,2012-01-18 10:30:41.203,0
224,50,134, ,2012-01-18 10:36:00.117,2
225,129,125,IstvánZachar,2012-01-18 10:38:47.727,0
226,133,129,Szabolcs,2012-01-18 10:41:11.120,0
227,57,92, ,2012-01-18 11:12:20.200,3
228,50,129,uli,2012-01-18 11:17:11.623,0
229,79,140, ,2012-01-18 11:19:52.933,3
230,34,144, ,2012-01-18 11:24:16.600,0
231,50,145, ,2012-01-18 11:30:30.650,0
232,133,129,J.M,2012-01-18 11:30:39.747,1
234,133,145, ,2012-01-18 11:34:27.290,1
235,50,145, ,2012-01-18 11:34:32.453,1
236,50,145, ,2012-01-18 11:36:05.760,0
237,129,95, ,2012-01-18 11:39:27.630,0
