@UserId,@UserName,Age,Location,UserCreationDate,Reputation,Views,UpVotes,DownVotes,LastAccess
-1,Community,,on the server farm,2012-01-17 19:45:21.407,1,224,16546,5535,2012-01-17T19:45:21.407
1,Geoff Dalgas,,"Corvallis, OR",2012-01-17 20:50:22.267,101,1743,2,0,2016-11-18T21:48:33.183
2,Nick Craver,,"Winston-Salem, NC",2012-01-17 20:50:28.287,101,98,3,0,2017-03-04T12:56:57.127
3,Rebecca Chernoff,,"St Louis, MO",2012-01-17 20:51:22.673,101,96,0,0,2012-11-14T17:00:55.330
4,FDSg,,,2012-01-17 20:52:52.780,1805,1378,98,0,2021-01-30T04:33:00.417
5,rm -rf,,"California, USA",2012-01-17 20:53:12.040,87165,10199,6709,931,2022-09-24T17:14:18.363
7,Isaac,,,2012-01-17 20:59:33.800,3129,166,54,0,2022-04-21T14:31:11.827
8,Verbeia,,"Sydney, Australia",2012-01-17 20:59:42.783,33781,3048,6389,53,2022-09-09T13:05:36.387
9,Eli Lansey,,,2012-01-17 21:00:48.097,7309,508,1574,2,2022-09-01T21:44:22.557
10,Peeter Joot,,"Toronto, ON, Canada",2012-01-17 21:01:29.893,6228,360,73,0,2022-05-25T01:23:26.207
11,Calle,,Sweden,2012-01-17 21:03:42.913,101,30,9,0,2022-06-27T17:57:39.017
12,Szabolcs,,,2012-01-17 21:05:28.033,227549,14142,9648,490,2022-09-24T20:26:44.553
13,Vitaliy Kaurov,,,2012-01-17 21:05:31.857,69125,4390,2251,11,2022-09-24T16:31:48.813
14,percusse,,Netherlands,2012-01-17 21:05:38.597,101,50,89,0,2018-05-05T16:26:25.927
15,ragfield,,"Fort Collins, CO, United States",2012-01-17 21:06:44.583,1355,159,14,0,2019-03-13T15:11:39.840
16,acl,,,2012-01-17 21:06:53.730,19536,1499,2605,213,2022-04-28T20:31:00.623
17,Silvia,,"Shenzhen, China",2012-01-17 21:07:03.177,26766,3048,4965,59,2022-09-23T13:16:21.013
18,JOwen,,,2012-01-17 21:07:05.273,1247,78,24,0,2020-03-03T18:39:17.097
19,canadian_scholar,,,2012-01-17 21:07:21.557,3704,260,527,19,2022-05-28T00:57:39.937
20,Brandon Carter,,,2012-01-17 21:07:51.960,341,22,1,0,2020-06-25T02:07:10.460
22,Lev Bishop,,"New York, United States",2012-01-17 21:08:12.507,839,96,42,0,2019-11-01T20:47:57.177
23,one-more-minute,,,2012-01-17 21:08:36.530,343,13,2,0,2017-07-04T08:17:34.317
24,Manuel Ramón,,Spain,2012-01-17 21:08:46.763,101,2,0,0,2014-02-12T11:56:23.253
25,Malte Lenz,,,2012-01-17 21:09:02.023,2442,249,150,9,2022-06-09T14:16:04.843
26,Richard Palmer,,,2012-01-17 21:09:03.660,61,13,0,0,2018-12-05T22:46:28.017
27,Cassini,,,2012-01-17 21:09:34.697,5310,383,734,104,2022-09-24T14:58:54.557
28,balboa,,,2012-01-17 21:10:23.767,683,37,25,0,2017-10-03T07:38:27.500
29,Rolf Mertig,,"Berlin, Germany",2012-01-17 21:10:54.183,16852,1578,2579,144,2022-09-19T14:08:36.453
30,dbjohn,,,2012-01-17 21:12:04.747,101,4,30,0,2015-07-22T08:50:58.080
31,Andrew Moylan,,"Berkeley, CA",2012-01-17 21:12:17.833,4240,388,111,2,2021-09-09T13:57:00.903
32,dstahr,,,2012-01-17 21:12:31.517,371,18,48,1,2022-09-24T08:17:26.913
33,U62,,"England, United Kingdom",2012-01-17 21:12:47.447,101,4,4,0,2020-04-03T20:31:15.337
34,Simon,,"Melbourne, Australia",2012-01-17 21:12:49.100,10037,738,766,5,2022-06-23T14:18:48.663
35,Scott Morrison,,"Canberra, Australia",2012-01-17 21:15:18.390,1211,133,54,0,2022-06-30T01:11:57.417
