PostId,Vote,VTime
61,2,2012-01-18
2,2,2012-01-18
6,2,2012-01-18
15,2,2012-01-18
41,2,2012-01-18
57,2,2012-01-18
52,2,2012-01-18
61,2,2012-01-18
53,2,2012-01-18
53,5,2012-01-18
57,1,2012-01-18
26,2,2012-01-18
22,2,2012-01-18
39,2,2012-01-18
41,2,2012-01-18
41,2,2012-01-18
60,2,2012-01-18
59,2,2012-01-18
61,2,2012-01-18
68,2,2012-01-18
61,5,2012-01-18
60,2,2012-01-18
53,5,2012-01-18
71,2,2012-01-18
72,2,2012-01-18
43,2,2012-01-18
72,2,2012-01-18
59,2,2012-01-18
42,2,2012-01-18
43,2,2012-01-18
69,2,2012-01-18
75,2,2012-01-18
77,2,2012-01-18
76,2,2012-01-18
71,2,2012-01-18
77,2,2012-01-18
76,2,2012-01-18
75,2,2012-01-18
76,2,2012-01-18
71,2,2012-01-18
77,2,2012-01-18
71,2,2012-01-18
77,2,2012-01-18
76,2,2012-01-18
71,2,2012-01-18
15,2,2012-01-18
68,2,2012-01-18
75,2,2012-01-18
35,2,2012-01-18
68,2,2012-01-18
77,2,2012-01-18
76,2,2012-01-18
60,2,2012-01-18
6,2,2012-01-18
6,5,2012-01-18
53,2,2012-01-18
60,2,2012-01-18
78,2,2012-01-18
59,2,2012-01-18
80,2,2012-01-18
78,2,2012-01-18
80,2,2012-01-18
79,2,2012-01-18
77,2,2012-01-18
76,2,2012-01-18
80,2,2012-01-18
75,2,2012-01-18
79,2,2012-01-18
82,2,2012-01-18
83,2,2012-01-18
79,2,2012-01-18
35,2,2012-01-18
68,2,2012-01-18
77,1,2012-01-18
54,2,2012-01-18
55,2,2012-01-18
79,2,2012-01-18
68,2,2012-01-18
62,10,2012-01-18
78,2,2012-01-18
79,2,2012-01-18
80,2,2012-01-18
82,2,2012-01-18
80,2,2012-01-18
81,2,2012-01-18
61,2,2012-01-18
61,2,2012-01-18
68,2,2012-01-18
81,2,2012-01-18
44,2,2012-01-18
45,2,2012-01-18
69,2,2012-01-18
84,2,2012-01-18
61,2,2012-01-18
68,2,2012-01-18
80,2,2012-01-18
79,2,2012-01-18
81,2,2012-01-18
82,2,2012-01-18
78,2,2012-01-18
40,2,2012-01-18
79,2,2012-01-18
85,2,2012-01-18
79,1,2012-01-18
79,2,2012-01-18
80,2,2012-01-18
81,2,2012-01-18
82,2,2012-01-18
78,2,2012-01-18
77,2,2012-01-18
71,2,2012-01-18
76,2,2012-01-18
69,2,2012-01-18
53,2,2012-01-18
79,2,2012-01-18
59,2,2012-01-18
48,2,2012-01-18
60,2,2012-01-18
85,2,2012-01-18
70,2,2012-01-18
72,2,2012-01-18
75,2,2012-01-18
36,2,2012-01-18
87,2,2012-01-18
43,2,2012-01-18
78,5,2012-01-18
72,2,2012-01-18
88,2,2012-01-18
88,2,2012-01-18
68,2,2012-01-18
87,2,2012-01-18
87,2,2012-01-18
88,2,2012-01-18
88,1,2012-01-18
6,2,2012-01-18
15,2,2012-01-18
10,2,2012-01-18
75,2,2012-01-18
86,2,2012-01-18
68,2,2012-01-18
88,2,2012-01-18
87,2,2012-01-18
2,2,2012-01-18
2,5,2012-01-18
5,2,2012-01-18
83,2,2012-01-18
36,2,2012-01-18
89,2,2012-01-18
91,2,2012-01-18
89,2,2012-01-18
91,2,2012-01-18
7,2,2012-01-18
72,11,2012-01-18
57,2,2012-01-18
91,2,2012-01-18
89,2,2012-01-18
86,2,2012-01-18
69,2,2012-01-18
90,2,2012-01-18
86,2,2012-01-18
75,2,2012-01-18
68,2,2012-01-18
89,2,2012-01-18
72,2,2012-01-18
43,2,2012-01-18
9,2,2012-01-18
13,2,2012-01-18
57,2,2012-01-18
7,2,2012-01-18
34,2,2012-01-18
92,2,2012-01-18
85,2,2012-01-18
92,2,2012-01-18
34,2,2012-01-18
18,2,2012-01-18
24,2,2012-01-18
21,2,2012-01-18
72,2,2012-01-18
89,2,2012-01-18
40,2,2012-01-18
85,2,2012-01-18
48,2,2012-01-18
65,2,2012-01-18
95,2,2012-01-18
71,2,2012-01-18
95,2,2012-01-18
52,2,2012-01-18
57,2,2012-01-18
96,2,2012-01-18
98,2,2012-01-18
96,2,2012-01-18
98,2,2012-01-18
40,2,2012-01-18
36,2,2012-01-18
98,2,2012-01-18
77,2,2012-01-18
53,2,2012-01-18
98,2,2012-01-18
97,2,2012-01-18
97,2,2012-01-18
77,2,2012-01-18
96,2,2012-01-18
76,2,2012-01-18
101,2,2012-01-18
30,2,2012-01-18
96,2,2012-01-18
95,2,2012-01-18
65,2,2012-01-18
46,2,2012-01-18
53,2,2012-01-18
69,2,2012-01-18
78,2,2012-01-18
79,2,2012-01-18
80,2,2012-01-18
81,2,2012-01-18
82,2,2012-01-18
79,2,2012-01-18
16,2,2012-01-18
27,2,2012-01-18
35,2,2012-01-18
28,2,2012-01-18
30,2,2012-01-18
32,2,2012-01-18
36,2,2012-01-18
83,2,2012-01-18
1,2,2012-01-18
13,2,2012-01-18
96,2,2012-01-18
7,2,2012-01-18
9,2,2012-01-18
96,2,2012-01-18
102,2,2012-01-18
102,2,2012-01-18
95,2,2012-01-18
98,2,2012-01-18
88,2,2012-01-18
102,16,2012-01-18
103,2,2012-01-18
103,2,2012-01-18
98,2,2012-01-18
16,2,2012-01-18
102,2,2012-01-18
96,2,2012-01-18
102,2,2012-01-18
102,2,2012-01-18
41,16,2012-01-18
44,16,2012-01-18
101,10,2012-01-18
44,2,2012-01-18
47,2,2012-01-18
49,2,2012-01-18
55,2,2012-01-18
54,2,2012-01-18
29,2,2012-01-18
98,2,2012-01-18
103,2,2012-01-18
44,2,2012-01-18
51,2,2012-01-18
92,2,2012-01-18
102,1,2012-01-18
44,2,2012-01-18
49,2,2012-01-18
102,2,2012-01-18
77,2,2012-01-18
7,2,2012-01-18
76,2,2012-01-18
71,2,2012-01-18
3,2,2012-01-18
56,2,2012-01-18
5,2,2012-01-18
12,2,2012-01-18
10,2,2012-01-18
34,2,2012-01-18
23,2,2012-01-18
29,2,2012-01-18
16,2,2012-01-18
27,2,2012-01-18
35,2,2012-01-18
32,2,2012-01-18
9,2,2012-01-18
1,2,2012-01-18
68,2,2012-01-18
43,2,2012-01-18
72,2,2012-01-18
2,2,2012-01-18
18,2,2012-01-18
42,2,2012-01-18
78,2,2012-01-18
48,2,2012-01-18
102,2,2012-01-18
85,2,2012-01-18
95,2,2012-01-18
40,2,2012-01-18
26,2,2012-01-18
22,2,2012-01-18
39,2,2012-01-18
105,2,2012-01-18
2,2,2012-01-18
95,2,2012-01-18
104,2,2012-01-18
104,2,2012-01-18
96,2,2012-01-18
102,2,2012-01-18
105,2,2012-01-18
103,2,2012-01-18
98,2,2012-01-18
102,2,2012-01-18
15,2,2012-01-18
16,2,2012-01-18
35,2,2012-01-18
32,2,2012-01-18
105,2,2012-01-18
40,2,2012-01-18
85,2,2012-01-18
107,2,2012-01-18
9,2,2012-01-18
109,2,2012-01-18
104,2,2012-01-18
106,2,2012-01-18
36,2,2012-01-18
104,2,2012-01-18
105,2,2012-01-18
96,2,2012-01-18
96,16,2012-01-18
11,2,2012-01-18
67,16,2012-01-18
42,2,2012-01-18
40,2,2012-01-18
104,2,2012-01-18
109,2,2012-01-18
107,2,2012-01-18
106,2,2012-01-18
23,2,2012-01-18
96,5,2012-01-18
108,10,2012-01-18
109,2,2012-01-18
105,2,2012-01-18
104,2,2012-01-18
104,2,2012-01-18
109,2,2012-01-18
106,2,2012-01-18
105,2,2012-01-18
61,2,2012-01-18
81,2,2012-01-18
82,2,2012-01-18
80,2,2012-01-18
79,2,2012-01-18
78,2,2012-01-18
61,2,2012-01-18
112,2,2012-01-18
96,2,2012-01-18
79,2,2012-01-18
78,2,2012-01-18
109,2,2012-01-18
80,2,2012-01-18
82,2,2012-01-18
81,2,2012-01-18
76,2,2012-01-18
57,2,2012-01-18
96,5,2012-01-18
96,2,2012-01-18
102,2,2012-01-18
85,2,2012-01-18
40,2,2012-01-18
87,5,2012-01-18
104,2,2012-01-18
105,2,2012-01-18
115,10,2012-01-18
109,2,2012-01-18
77,2,2012-01-18
71,2,2012-01-18
49,2,2012-01-18
104,2,2012-01-18
105,2,2012-01-18
107,2,2012-01-18
114,2,2012-01-18
107,2,2012-01-18
102,2,2012-01-18
96,2,2012-01-18
112,2,2012-01-18
70,2,2012-01-18
41,2,2012-01-18
76,2,2012-01-18
77,2,2012-01-18
71,2,2012-01-18
70,2,2012-01-18
57,2,2012-01-18
52,2,2012-01-18
41,2,2012-01-18
60,2,2012-01-18
79,2,2012-01-18
78,2,2012-01-18
116,2,2012-01-18
116,2,2012-01-18
116,5,2012-01-18
119,2,2012-01-18
117,2,2012-01-18
61,2,2012-01-18
68,2,2012-01-18
112,2,2012-01-18
75,2,2012-01-18
119,2,2012-01-18
118,2,2012-01-18
119,2,2012-01-18
121,2,2012-01-18
121,2,2012-01-18
112,2,2012-01-18
122,2,2012-01-18
72,2,2012-01-18
43,2,2012-01-18
69,2,2012-01-18
86,2,2012-01-18
84,2,2012-01-18
57,2,2012-01-18
1,2,2012-01-18
9,2,2012-01-18
123,2,2012-01-18
121,2,2012-01-18
123,2,2012-01-18
123,2,2012-01-18
102,2,2012-01-18
96,2,2012-01-18
104,5,2012-01-18
61,5,2012-01-18
120,2,2012-01-18
116,2,2012-01-18
109,2,2012-01-18
105,2,2012-01-18
104,2,2012-01-18
123,2,2012-01-18
16,2,2012-01-18
27,2,2012-01-18
123,2,2012-01-18
124,2,2012-01-18
123,2,2012-01-18
