CId,CUserId,PId,@UserName,CTime,CScore
1,42,1, ,2010-11-02 19:11:07.043,8
2,42,3, ,2010-11-02 19:13:34.870,1
3,40,3, ,2010-11-02 19:16:09.873,0
6,13,4, ,2010-11-02 19:32:15.410,18
7,13,2, ,2010-11-02 19:36:53.290,2
8,40,8, ,2010-11-02 19:36:55.263,0
9,13,10, ,2010-11-02 19:40:24.413,0
17,18,7, ,2010-11-02 19:56:21.687,4
18,13,13, ,2010-11-02 19:56:34.667,1
20,62,13, ,2010-11-02 20:05:00.813,7
21,7,21, ,2010-11-02 20:08:57.247,8
22,,21, ,2010-11-02 20:12:43.960,2
23,56,26, ,2010-11-02 20:14:07.180,2
24,42,8, ,2010-11-02 20:17:22.623,2
25,73,26, ,2010-11-02 20:18:42.943,1
26,47,21, ,2010-11-02 20:20:45.987,1
27,57,28, ,2010-11-02 20:21:32.337,0
28,56,26,Rekar,2010-11-02 20:21:39.340,1
29,42,7, ,2010-11-02 20:23:23.223,0
30,42,31, ,2010-11-02 20:24:13.237,5
31,42,15, ,2010-11-02 20:25:39.413,134
33,57,28, ,2010-11-02 20:25:52.753,0
34,73,26, ,2010-11-02 20:26:08.857,1
35,42,2, ,2010-11-02 20:28:10.190,2
37,42,10, ,2010-11-02 20:30:55.867,5
38,42,32, ,2010-11-02 20:32:40.420,6
39,82,21, ,2010-11-02 20:38:20.723,1
40,82,9, ,2010-11-02 20:40:00.160,2
41,,21,Cedric,2010-11-02 20:42:15.463,1
44,42,41, ,2010-11-02 20:50:24.500,0
45,82,28, ,2010-11-02 20:53:57.257,0
46,82,31, ,2010-11-02 20:55:12.373,5
47,82,44, ,2010-11-02 20:55:55.833,5
48,56,28,Albert,2010-11-02 20:57:07.113,0
50,82,37, ,2010-11-02 21:03:06.763,2
51,7,19, ,2010-11-02 21:05:09.680,2
54,82,40, ,2010-11-02 21:11:41.883,3
55,82,50, ,2010-11-02 21:15:19.960,0
56,23,7, ,2010-11-02 21:18:41.807,0
57,,40,Cedric,2010-11-02 21:21:08.737,0
58,69,37, ,2010-11-02 21:22:00.017,0
60,82,40, ,2010-11-02 21:24:17.733,1
61,69,37, ,2010-11-02 21:26:16.860,2
62,,40,Cedric,2010-11-02 21:28:11.163,1
63,47,26, ,2010-11-02 21:28:52.777,4
64,4,55, ,2010-11-02 21:40:41.123,0
65,69,55,Jonathan,2010-11-02 21:53:54.107,3
66,82,16, ,2010-11-02 21:58:11.060,2
67,4,55,Vortico,2010-11-02 21:58:45.757,0
70,50,55,Jonathan,2010-11-02 22:08:32.470,1
71,,55,Jonathan,2010-11-02 22:09:04.843,0
72,82,65, ,2010-11-02 22:09:52.580,1
73,4,55,mbp,2010-11-02 22:10:30.520,0
74,29,65, ,2010-11-02 22:11:37.200,1
75,,18, ,2010-11-02 22:15:00.453,2
76,70,61, ,2010-11-02 22:15:02.613,0
77,,55,Jonathan,2010-11-02 22:17:48.580,0
78,76,37, ,2010-11-02 22:19:03.220,0
79,97,61,LarsH,2010-11-02 22:19:16.440,0
80,29,64, ,2010-11-02 22:19:18.643,1
81,13,65,Credic,2010-11-02 22:19:25.203,0
83,13,65,Cedric,2010-11-02 22:20:49.337,0
84,70,61, ,2010-11-02 22:23:10.510,0
85,82,65, ,2010-11-02 22:25:07.593,0
86,82,70, ,2010-11-02 22:25:26.190,0
87,82,65, ,2010-11-02 22:28:44.207,1
90,97,61,LarsH,2010-11-02 22:31:37.380,0
92,4,55, ,2010-11-02 22:35:23.353,1
94,46,48, ,2010-11-02 22:40:35.910,49
95,82,66, ,2010-11-02 22:40:49.763,3
97,50,27, ,2010-11-02 22:45:18.163,1
99,82,48, ,2010-11-02 22:48:29.847,1
104,4,84, ,2010-11-02 23:04:11.067,0
105,104,87, ,2010-11-02 23:09:48.230,0
106,82,75, ,2010-11-02 23:11:09.617,0
107,82,87, ,2010-11-02 23:12:23.717,5
108,46,87,Thomas,2010-11-02 23:15:32.670,0
109,82,84,Jonathan,2010-11-02 23:17:50.013,0
111,,87,Thomas,2010-11-02 23:20:44.950,3
112,50,86, ,2010-11-02 23:21:01.380,0
113,82,86, ,2010-11-02 23:23:31.847,0
114,13,65,Cedric,2010-11-02 23:23:52.580,0
115,104,75, ,2010-11-02 23:27:36.977,0
121,4,103, ,2010-11-03 00:24:04.317,0
122,82,103, ,2010-11-03 00:27:07.620,0
123,69,10,j.c,2010-11-03 00:39:20.480,0
124,112,99, ,2010-11-03 00:41:59.230,0
125,82,108, ,2010-11-03 00:42:06.943,0
126,82,99,Geodesic,2010-11-03 00:48:42.583,0
127,112,108, ,2010-11-03 00:55:18.050,0
129,82,108, ,2010-11-03 01:00:52.583,0
130,70,114, ,2010-11-03 01:34:47.250,0
133,78,80, ,2010-11-03 03:50:17.120,1
134,74,113, ,2010-11-03 04:05:42.190,2
135,40,67, ,2010-11-03 04:37:44.253,0
137,95,118, ,2010-11-03 04:56:13.757,3
139,124,103,Jonathan,2010-11-03 05:26:08.050,5
141,124,66, ,2010-11-03 05:42:00.250,1
143,124,48, ,2010-11-03 05:50:10.743,1
144,71,112, ,2010-11-03 06:04:09.460,2
145,97,84,Cedric,2010-11-03 06:06:39.280,0
146,97,84,Jonathan,2010-11-03 06:07:36.830,1
147,127,103, ,2010-11-03 06:32:54.527,1
148,56,115, ,2010-11-03 06:35:55.150,0
149,82,115, ,2010-11-03 07:01:52.103,0
150,46,123, ,2010-11-03 07:10:08.600,1
151,124,127, ,2010-11-03 07:18:15.753,4
152,46,127,David,2010-11-03 07:22:25.627,0
153,66,125, ,2010-11-03 07:30:10.240,1
154,124,125, ,2010-11-03 07:40:23.270,2
155,124,115, ,2010-11-03 07:41:50.943,2
156,82,115, ,2010-11-03 08:02:26.903,0
157,47,88, ,2010-11-03 08:38:54.207,0
158,107,127, ,2010-11-03 08:55:52.123,3
159,107,127, ,2010-11-03 08:56:52.357,0
160,66,112, ,2010-11-03 09:45:59.003,1
162,134,127, ,2010-11-03 10:26:50.277,3
163,134,115, ,2010-11-03 10:29:20.557,6
164,13,133, ,2010-11-03 10:48:59.050,1
165,82,131, ,2010-11-03 11:02:05.883,3
166,82,115,Alasdair,2010-11-03 11:03:03.463,0
167,66,125, ,2010-11-03 11:24:42.360,1
168,66,139, ,2010-11-03 11:32:57.497,1
169,,139,Sklivvz,2010-11-03 11:36:08.550,0
170,66,18, ,2010-11-03 11:37:29.643,1
171,66,139, ,2010-11-03 11:41:41.510,5
172,,139,Sklivvz,2010-11-03 11:46:28.243,0
173,126,127, ,2010-11-03 12:21:10.120,3
174,28,105, ,2010-11-03 12:42:14.477,0
175,82,143, ,2010-11-03 12:48:25.063,0
178,141,69, ,2010-11-03 13:21:55.257,7
180,66,30, ,2010-11-03 13:36:49.357,0
181,4,136, ,2010-11-03 13:46:18.110,0
182,42,73, ,2010-11-03 13:55:46.917,2
183,66,144, ,2010-11-03 13:55:55.760,1
184,66,146, ,2010-11-03 13:59:02.807,0
185,46,127, ,2010-11-03 14:01:12.073,0
186,42,69, ,2010-11-03 14:02:10.153,0
187,42,147, ,2010-11-03 14:05:20.433,1
188,46,148, ,2010-11-03 14:10:37.027,4
189,82,147,j.c,2010-11-03 14:12:28.687,0
190,82,148, ,2010-11-03 14:13:32.837,0
191,42,149, ,2010-11-03 14:16:20.533,1
192,82,149,j.c,2010-11-03 14:17:09.040,0
193,42,148, ,2010-11-03 14:19:56.067,0
194,42,89, ,2010-11-03 14:21:45.550,3
195,42,141, ,2010-11-03 14:23:09.840,0
197,36,145, ,2010-11-03 14:24:57.593,1
198,13,149, ,2010-11-03 14:26:30.837,0
200,42,136, ,2010-11-03 14:35:25.837,1
201,77,33, ,2010-11-03 14:38:38.187,1
202,66,145, ,2010-11-03 14:41:54.983,0
203,139,149, ,2010-11-03 14:46:15.547,0
204,,112, ,2010-11-03 14:48:06.017,0
205,42,149,Gerard,2010-11-03 14:52:12.123,1
206,82,149,j.c,2010-11-03 14:53:04.737,0
208,42,8, ,2010-11-03 14:55:21.480,0
209,42,8, ,2010-11-03 14:57:47.470,0
210,42,130, ,2010-11-03 15:04:24.033,1
212,36,151,Cedric,2010-11-03 15:14:19.657,0
213,82,151,Herb,2010-11-03 15:18:00.150,0
214,134,49, ,2010-11-03 15:24:35.153,0
215,36,151, ,2010-11-03 15:29:09.317,0
216,82,151,Herb,2010-11-03 15:30:19.730,0
217,,49, ,2010-11-03 15:34:48.653,3
218,,151, ,2010-11-03 15:48:36.833,1
220,82,151, ,2010-11-03 16:03:19.423,0
221,4,145, ,2010-11-03 16:27:11.200,2
222,7,142, ,2010-11-03 16:31:09.933,1
224,139,149,j.c,2010-11-03 16:35:03.473,0
225,,158, ,2010-11-03 16:56:04.280,1
226,,140, ,2010-11-03 17:02:52.917,0
227,4,104, ,2010-11-03 17:04:18.530,0
228,116,105,Steve,2010-11-03 17:07:19.173,0
229,4,136, ,2010-11-03 17:09:25.483,0
230,57,45, ,2010-11-03 17:11:55.920,0
231,82,45, ,2010-11-03 17:18:49.747,0
232,,160, ,2010-11-03 17:22:43.190,12
233,66,130, ,2010-11-03 17:28:09.267,0
234,66,151, ,2010-11-03 17:33:10.570,0
235,28,105, ,2010-11-03 17:42:48.177,2
236,57,45, ,2010-11-03 17:49:47.360,0
237,82,45, ,2010-11-03 17:51:48.350,0
238,82,166, ,2010-11-03 17:54:27.207,2
239,4,162, ,2010-11-03 17:54:43.207,0
240,86,166, ,2010-11-03 17:57:51.253,0
241,4,166, ,2010-11-03 17:58:17.870,1
242,82,162, ,2010-11-03 17:58:25.517,0
243,86,166, ,2010-11-03 18:00:09.083,0
244,57,45, ,2010-11-03 18:01:04.310,0
245,86,166, ,2010-11-03 18:02:03.357,1
246,82,45, ,2010-11-03 18:05:10.220,0
247,57,45, ,2010-11-03 18:10:38.437,0
248,23,166, ,2010-11-03 18:45:40.137,3
250,37,3, ,2010-11-03 19:22:58.313,3
