PostId,Vote,VTime
1,2,2010-11-02
1,2,2010-11-02
1,2,2010-11-02
4,2,2010-11-02
5,2,2010-11-02
2,2,2010-11-02
4,2,2010-11-02
3,2,2010-11-02
1,2,2010-11-02
5,2,2010-11-02
5,2,2010-11-02
4,2,2010-11-02
5,2,2010-11-02
2,2,2010-11-02
4,2,2010-11-02
1,2,2010-11-02
4,3,2010-11-02
5,2,2010-11-02
1,2,2010-11-02
5,2,2010-11-02
9,2,2010-11-02
9,2,2010-11-02
3,2,2010-11-02
9,2,2010-11-02
16,2,2010-11-02
13,2,2010-11-02
1,2,2010-11-02
11,2,2010-11-02
17,2,2010-11-02
18,2,2010-11-02
20,2,2010-11-02
22,2,2010-11-02
22,2,2010-11-02
17,2,2010-11-02
20,2,2010-11-02
23,2,2010-11-02
22,2,2010-11-02
24,2,2010-11-02
30,2,2010-11-02
27,2,2010-11-02
33,2,2010-11-02
9,2,2010-11-02
33,2,2010-11-02
31,2,2010-11-02
35,2,2010-11-02
29,2,2010-11-02
1,2,2010-11-02
34,2,2010-11-02
3,2,2010-11-02
9,2,2010-11-02
2,2,2010-11-02
25,2,2010-11-02
42,2,2010-11-02
40,2,2010-11-02
19,2,2010-11-02
31,2,2010-11-02
32,2,2010-11-02
42,2,2010-11-02
22,1,2010-11-02
40,2,2010-11-02
44,2,2010-11-02
46,2,2010-11-02
11,3,2010-11-02
44,2,2010-11-02
34,2,2010-11-02
40,1,2010-11-02
8,2,2010-11-02
43,2,2010-11-02
39,2,2010-11-02
47,2,2010-11-02
40,3,2010-11-02
44,3,2010-11-02
46,2,2010-11-02
47,3,2010-11-02
36,2,2010-11-02
50,2,2010-11-02
51,2,2010-11-02
46,2,2010-11-02
48,2,2010-11-02
15,2,2010-11-02
35,2,2010-11-02
22,2,2010-11-02
40,2,2010-11-02
35,2,2010-11-02
52,2,2010-11-02
49,2,2010-11-02
40,2,2010-11-02
26,2,2010-11-02
15,2,2010-11-02
55,2,2010-11-02
38,2,2010-11-02
57,2,2010-11-02
25,2,2010-11-02
24,2,2010-11-02
60,2,2010-11-02
36,2,2010-11-02
33,2,2010-11-02
60,2,2010-11-02
60,2,2010-11-02
14,2,2010-11-02
29,2,2010-11-02
62,2,2010-11-02
37,2,2010-11-02
18,2,2010-11-02
27,2,2010-11-02
30,2,2010-11-02
12,3,2010-11-02
41,2,2010-11-02
