QId_x,QUserId,QTags,QTime,QAcceptedAnswerId,QScore,QViewCount,QAnswerCount,QCommentCount,AId,AUserId,QId_y,ATime,AScore,ACommentCount
1,9.0,<llc><new-hampshire><united-states>,2014-07-30 19:41:29.087,300.0,21,1458.0,2.0,2.0,300,43.0,1,2014-08-11 01:27:09.710,9,0.0
2,7.0,<tech-company><mobile-apps><equity>,2014-07-30 19:47:53.110,32.0,42,3155.0,6.0,0.0,32,4.0,2,2014-07-30 22:12:47.257,47,6.0
7,17.0,<intellectual-property><investment><venture-capital>,2014-07-30 20:20:20.203,30.0,19,373.0,6.0,0.0,30,59.0,7,2014-07-30 21:58:14.920,18,0.0
13,36.0,<united-kingdom><freelancing>,2014-07-30 20:56:33.783,162.0,10,126.0,1.0,2.0,162,131.0,13,2014-08-01 13:03:36.160,6,0.0
14,36.0,<marketing><brand><low-capital><cashflow>,2014-07-30 21:02:29.277,36.0,7,198.0,4.0,1.0,36,61.0,14,2014-07-30 22:51:38.753,6,0.0
17,36.0,<marketing><sales>,2014-07-30 21:11:54.590,35.0,36,1713.0,7.0,1.0,35,68.0,17,2014-07-30 22:41:40.550,27,0.0
19,36.0,<intellectual-property>,2014-07-30 21:16:42.650,23.0,8,221.0,2.0,0.0,23,54.0,19,2014-07-30 21:34:09.630,8,1.0
24,55.0,<salary>,2014-07-30 21:35:05.820,25.0,5,156.0,3.0,1.0,25,54.0,24,2014-07-30 21:40:03.480,4,3.0
45,75.0,<tech-company><united-states><compensation>,2014-07-30 23:51:40.440,46.0,27,930.0,8.0,0.0,46,59.0,45,2014-07-31 00:14:35.710,28,0.0
52,80.0,<united-states><marketing><copyright>,2014-07-31 01:03:47.713,53.0,9,120.0,2.0,1.0,53,59.0,52,2014-07-31 01:13:32.033,6,0.0
58,82.0,<intellectual-property><copyright><international><trademark><patent>,2014-07-31 04:25:10.603,557.0,8,466.0,3.0,1.0,557,602.0,58,2014-08-29 22:19:26.310,5,0.0
64,92.0,<internet><young-entrepreneurs>,2014-07-31 05:34:23.803,68.0,15,495.0,4.0,3.0,68,59.0,64,2014-07-31 06:09:08.973,11,2.0
66,99.0,<brand><business-registration>,2014-07-31 05:49:51.637,67.0,6,214.0,3.0,0.0,67,82.0,66,2014-07-31 06:07:04.653,4,0.0
69,43.0,<stock><restricted-stock><stock-options><employee-compensation>,2014-07-31 06:36:15.750,74.0,5,161.0,1.0,0.0,74,,69,2014-07-31 07:48:53.433,3,2.0
70,104.0,<low-capital>,2014-07-31 06:56:52.843,130.0,16,522.0,5.0,1.0,130,43.0,70,2014-07-31 16:01:31.140,9,3.0
