AId,AUserId,QId,ATime,AScore,ACommentCount
5,20,2,2014-07-30 20:11:48.287,1,0
8,9,2,2014-07-30 20:27:42.783,5,0
9,27,1,2014-07-30 20:31:00.977,10,2
10,12,2,2014-07-30 20:34:31.837,8,0
11,28,2,2014-07-30 20:37:16.690,1,0
12,28,6,2014-07-30 20:41:21.583,1,0
18,45,14,2014-07-30 21:13:51.980,5,0
20,52,7,2014-07-30 21:24:57.663,4,0
21,52,16,2014-07-30 21:32:30.203,1,2
22,55,19,2014-07-30 21:32:43.860,1,0
23,54,19,2014-07-30 21:34:09.630,8,1
25,54,24,2014-07-30 21:40:03.480,4,3
26,59,17,2014-07-30 21:45:23.160,10,1
28,27,27,2014-07-30 21:54:23.367,6,0
29,37,17,2014-07-30 21:54:57.207,23,2
30,59,7,2014-07-30 21:58:14.920,18,0
31,36,16,2014-07-30 22:07:08.733,7,2
32,4,2,2014-07-30 22:12:47.257,47,6
34,59,27,2014-07-30 22:19:36.343,13,1
35,68,17,2014-07-30 22:41:40.550,27,0
36,61,14,2014-07-30 22:51:38.753,6,0
37,71,17,2014-07-30 22:53:43.690,5,0
38,71,2,2014-07-30 23:00:24.367,3,0
39,71,14,2014-07-30 23:02:09.610,1,0
40,71,24,2014-07-30 23:05:49.693,0,0
41,59,15,2014-07-30 23:19:50.013,0,0
42,61,15,2014-07-30 23:25:35.403,3,2
44,74,43,2014-07-30 23:48:04.650,5,0
46,59,45,2014-07-31 00:14:35.710,28,0
51,9,45,2014-07-31 00:54:24.300,7,0
53,59,52,2014-07-31 01:13:32.033,6,0
54,71,45,2014-07-31 01:18:07.273,4,0
55,84,45,2014-07-31 02:07:29.460,5,0
56,84,24,2014-07-31 02:18:42.643,0,0
57,68,16,2014-07-31 03:43:33.153,2,0
59,91,17,2014-07-31 04:37:03.683,7,1
60,82,52,2014-07-31 04:38:27.900,3,2
62,92,58,2014-07-31 05:02:42.897,8,3
63,82,61,2014-07-31 05:13:17.453,3,2
65,100,64,2014-07-31 05:40:45.697,8,0
67,82,66,2014-07-31 06:07:04.653,4,0
68,59,64,2014-07-31 06:09:08.973,11,2
71,59,70,2014-07-31 07:05:05.070,1,0
73,,70,2014-07-31 07:43:04.293,8,0
74,,69,2014-07-31 07:48:53.433,3,2
75,,58,2014-07-31 07:53:31.830,11,1
76,,66,2014-07-31 07:56:51.600,4,0
77,,72,2014-07-31 08:00:49.190,15,2
79,43,64,2014-07-31 08:41:36.777,7,0
81,59,80,2014-07-31 09:22:00.443,7,2
83,116,78,2014-07-31 09:39:50.117,4,1
84,117,70,2014-07-31 09:45:06.927,2,0
85,108,61,2014-07-31 09:50:45.610,4,0
88,47,86,2014-07-31 10:28:34.677,1,5
90,84,87,2014-07-31 10:42:35.103,0,0
92,84,82,2014-07-31 10:51:30.123,5,4
93,9,89,2014-07-31 11:04:17.923,8,0
94,47,91,2014-07-31 11:06:46.590,3,1
97,27,95,2014-07-31 12:30:56.837,4,0
98,31,95,2014-07-31 12:45:49.530,6,0
100,31,87,2014-07-31 13:00:52.300,1,0
101,52,99,2014-07-31 13:01:42.807,2,0
102,31,43,2014-07-31 13:19:13.907,1,0
105,31,103,2014-07-31 13:58:40.093,1,1
106,9,104,2014-07-31 14:01:35.160,2,0
110,7,103,2014-07-31 14:13:44.500,3,0
111,82,96,2014-07-31 14:17:18.687,5,0
112,7,96,2014-07-31 14:24:32.910,3,0
113,24,96,2014-07-31 14:26:08.030,4,0
116,121,115,2014-07-31 14:29:38.567,6,0
117,25,64,2014-07-31 14:37:35.423,1,0
119,100,95,2014-07-31 15:01:45.147,1,5
120,7,118,2014-07-31 15:04:23.550,7,0
122,24,114,2014-07-31 15:26:04.307,2,0
123,,118,2014-07-31 15:30:09.583,4,0
125,,114,2014-07-31 15:33:00.003,1,0
127,,104,2014-07-31 15:39:12.497,5,0
128,,124,2014-07-31 15:44:32.793,10,3
129,131,104,2014-07-31 15:59:40.693,6,0
130,43,70,2014-07-31 16:01:31.140,9,3
131,82,124,2014-07-31 16:17:57.960,1,0
132,43,87,2014-07-31 17:03:29.463,4,0
133,70,121,2014-07-31 17:36:49.507,10,1
135,61,121,2014-07-31 19:56:04.610,4,3
137,132,136,2014-07-31 20:51:33.987,4,0
138,131,134,2014-07-31 22:13:20.930,4,0
139,9,136,2014-07-31 22:35:30.157,19,1
142,84,140,2014-08-01 00:06:07.177,1,2
143,59,140,2014-08-01 00:18:29.177,2,0
144,59,114,2014-08-01 00:44:54.973,0,0
146,9,145,2014-08-01 02:20:47.557,8,2
147,,145,2014-08-01 04:40:27.160,4,1
148,,140,2014-08-01 04:46:11.190,2,0
149,,136,2014-08-01 04:51:21.673,3,0
153,92,152,2014-08-01 06:12:18.837,-3,1
155,59,152,2014-08-01 06:23:18.970,33,2
156,31,152,2014-08-01 07:31:28.410,6,3
158,148,157,2014-08-01 08:26:54.027,5,2
159,131,141,2014-08-01 10:29:36.953,6,0
160,146,157,2014-08-01 10:47:12.943,7,0
161,,7,2014-08-01 11:27:22.473,3,1
162,131,13,2014-08-01 13:03:36.160,6,0
163,44,91,2014-08-01 16:03:31.280,9,0
167,162,165,2014-08-01 17:03:53.930,8,0
168,43,166,2014-08-01 18:16:21.453,6,0
170,44,169,2014-08-01 19:08:07.820,5,0
171,54,134,2014-08-01 19:54:12.387,3,0
172,43,164,2014-08-01 21:18:19.473,6,8
181,43,180,2014-08-01 22:13:34.860,1,0
183,43,182,2014-08-01 23:54:01.463,4,0
185,,184,2014-08-02 03:06:01.323,3,0
186,59,184,2014-08-02 03:22:49.913,9,0
190,9,189,2014-08-02 16:17:06.523,4,0
194,185,96,2014-08-03 07:01:59.147,1,0
196,59,195,2014-08-03 09:39:07.387,9,1
197,186,136,2014-08-03 11:22:30.553,7,0
198,,195,2014-08-03 11:43:45.850,6,0
199,43,191,2014-08-03 17:52:38.527,6,1
201,88,136,2014-08-03 18:25:48.757,3,0
202,88,61,2014-08-03 18:29:54.790,2,0
203,146,200,2014-08-03 18:44:31.810,10,0
207,44,189,2014-08-03 21:16:04.297,5,0
208,44,205,2014-08-03 22:37:31.810,8,1
211,44,209,2014-08-03 23:44:10.350,12,2
212,44,210,2014-08-03 23:53:24.383,7,0
214,59,213,2014-08-04 01:17:32.593,6,1
217,44,72,2014-08-04 08:35:48.243,6,0
218,43,216,2014-08-04 09:16:41.600,5,0
221,,216,2014-08-04 09:40:49.100,5,4
223,201,215,2014-08-04 10:05:04.450,-2,0
224,131,205,2014-08-04 12:20:36.957,9,4
225,200,222,2014-08-04 13:51:12.523,3,0
226,131,209,2014-08-04 14:40:24.393,6,6
228,210,215,2014-08-04 17:37:48.137,8,1
229,211,27,2014-08-04 17:46:58.377,2,0
230,211,89,2014-08-04 18:20:32.413,2,0
231,211,213,2014-08-04 18:38:03.793,2,0
232,211,141,2014-08-04 19:06:37.760,3,0
234,43,233,2014-08-04 21:54:40.580,12,4
239,43,237,2014-08-04 22:22:04.860,9,0
240,88,236,2014-08-04 22:25:43.637,8,5
243,59,242,2014-08-05 04:24:50.890,3,0
245,131,244,2014-08-05 10:29:39.550,8,0
247,,244,2014-08-05 12:21:37.943,9,0
248,146,236,2014-08-05 12:48:22.373,4,0
249,,236,2014-08-05 14:16:46.180,2,0
250,146,246,2014-08-05 16:38:45.257,5,7
251,131,86,2014-08-05 17:44:26.337,4,0
252,60,152,2014-08-05 19:34:38.183,3,0
254,9,241,2014-08-05 23:57:04.373,2,0
258,132,253,2014-08-06 16:18:28.987,0,3
261,43,260,2014-08-07 00:48:00.077,35,1
262,,260,2014-08-07 03:21:57.757,14,1
263,239,260,2014-08-07 08:19:51.263,10,3
265,233,260,2014-08-07 09:06:38.703,90,8
268,115,267,2014-08-07 12:25:21.887,9,1
269,44,266,2014-08-07 15:00:55.827,4,1
270,131,267,2014-08-07 16:21:08.893,8,0
271,131,266,2014-08-07 20:59:28.607,6,1
272,248,257,2014-08-07 23:19:49.010,5,0
273,23,260,2014-08-08 03:10:26.953,4,0
274,23,96,2014-08-08 03:18:10.960,1,0
275,249,206,2014-08-08 04:35:37.327,5,0
276,92,260,2014-08-08 04:45:27.847,17,8
277,249,233,2014-08-08 04:50:34.170,1,0
278,233,45,2014-08-08 10:34:03.247,2,0
281,252,260,2014-08-08 13:26:47.640,5,8
282,242,260,2014-08-08 14:29:52.210,5,0
284,43,283,2014-08-09 07:23:21.970,6,0
287,43,286,2014-08-10 04:22:10.443,1,0
288,233,286,2014-08-10 08:38:24.293,3,1
289,59,260,2014-08-10 08:49:07.643,16,3
293,131,292,2014-08-10 11:28:17.810,13,0
