CId,CUserId,PId,@UserName,CTime,CScore
347,131,1, ,2014-08-10 21:27:15.543,0
348,9,1, ,2014-08-11 00:49:22.327,1
1,7,6, ,2014-07-30 20:31:21.947,3
2,36,6, ,2014-07-30 21:07:45.640,6
18,71,6, ,2014-07-30 23:08:15.970,1
60,16,6,SwankSwashbucklers,2014-07-31 11:35:02.090,0
341,9,9, ,2014-08-10 19:17:23.603,0
349,27,9, ,2014-08-11 01:50:34.233,0
71,66,13,yochannah,2014-07-31 14:43:34.617,0
74,36,13, ,2014-07-31 15:17:13.477,0
17,71,14, ,2014-07-30 23:02:37.170,0
3,36,16, ,2014-07-30 21:21:34.280,0
5,20,16, ,2014-07-30 21:35:47.020,0
14,60,16, ,2014-07-30 22:36:29.933,5
28,20,16, ,2014-07-31 03:53:41.363,0
401,233,16, ,2014-08-18 06:26:28.493,1
6,20,21, ,2014-07-30 21:38:30.857,0
12,52,21, ,2014-07-30 22:29:24.643,0
4,54,23, ,2014-07-30 21:34:55.920,0
7,59,24, ,2014-07-30 21:41:15.060,1
8,61,25, ,2014-07-30 21:50:02.547,0
9,27,25, ,2014-07-30 21:52:56.730,2
63,54,25, ,2014-07-31 13:09:27.530,0
49,118,26, ,2014-07-31 09:45:23.620,2
11,36,27, ,2014-07-30 22:15:44.127,1
15,37,27,yochannah,2014-07-30 22:40:03.900,0
10,36,29, ,2014-07-30 22:09:45.317,1
16,61,29,yochannah,2014-07-30 23:02:29.117,4
26,84,31, ,2014-07-31 02:24:10.090,2
402,233,31, ,2014-08-18 06:27:13.847,1
33,100,32, ,2014-07-31 05:55:28.257,5
43,43,32,War10ck,2014-07-31 08:26:37.130,1
87,4,32,War10ck,2014-07-31 17:57:44.503,0
88,100,32,BenCollins,2014-07-31 17:58:59.133,0
27,4,34, ,2014-07-31 02:40:38.800,3
19,40,42, ,2014-07-31 00:37:07.270,0
21,61,42,karlson,2014-07-31 00:46:48.803,1
25,59,52, ,2014-07-31 01:15:14.160,0
42,43,58, ,2014-07-31 08:25:14.300,0
50,118,59, ,2014-07-31 09:48:55.140,2
472,119,60, ,2014-08-21 12:45:04.153,1
514,82,60, ,2014-08-23 06:20:33.017,0
29,82,62, ,2014-07-31 05:05:10.617,0
30,92,62,PeterMaidens,2014-07-31 05:11:51.197,0
34,82,62, ,2014-07-31 05:55:46.053,0
31,92,63, ,2014-07-31 05:15:15.690,0
35,82,63, ,2014-07-31 06:00:22.287,0
58,84,64,Awai,2014-07-31 10:59:18.367,0
193,44,64, ,2014-08-04 08:36:52.810,0
2277,127,64, ,2015-01-01 00:30:34.613,0
51,92,68, ,2014-07-31 10:07:44.627,0
52,59,68, ,2014-07-31 10:09:26.347,0
91,144,70, ,2014-07-31 20:48:51.143,0
36,107,72, ,2014-07-31 07:42:45.047,0
41,113,72, ,2014-07-31 08:23:20.513,0
44,47,72,MichalSzyndel,2014-07-31 08:26:50.607,0
93,131,72, ,2014-07-31 22:00:07.480,1
39,,74, ,2014-07-31 08:04:10.430,0
45,,74, ,2014-07-31 09:00:35.220,0
702,619,75, ,2014-08-31 13:03:39.190,0
38,47,77, ,2014-07-31 08:03:09.180,0
244,160,77, ,2014-08-04 22:47:30.877,0
66,92,78, ,2014-07-31 13:26:50.757,0
46,115,81, ,2014-07-31 09:41:04.427,0
47,59,81,BroiSatse,2014-07-31 09:42:24.227,0
988,131,82, ,2014-09-18 12:21:38.710,3
48,118,83, ,2014-07-31 09:43:19.327,3
132,44,87, ,2014-08-01 16:11:11.633,1
137,99,87, ,2014-08-01 16:50:22.270,2
188,43,87,Nish,2014-08-04 06:39:43.070,0
54,115,88, ,2014-07-31 10:32:16.457,0
55,47,88, ,2014-07-31 10:33:37.573,0
56,115,88, ,2014-07-31 10:34:47.880,0
57,47,88, ,2014-07-31 10:43:33.617,1
173,44,88, ,2014-08-02 07:47:15.050,0
81,131,91, ,2014-07-31 16:22:57.130,2
2067,1111,91, ,2014-12-14 00:10:57.487,0
1647,1111,92, ,2014-11-04 19:01:24.683,0
1648,84,92,Esq,2014-11-04 19:37:18.473,0
1649,1111,92, ,2014-11-04 19:58:47.990,0
1650,84,92,Esq,2014-11-04 20:20:46.647,0
59,104,94, ,2014-07-31 11:15:53.683,0
61,61,96, ,2014-07-31 12:59:23.060,0
65,92,96,DeliciaBrummitt,2014-07-31 13:26:03.423,0
75,80,96, ,2014-07-31 15:41:46.887,0
64,31,99, ,2014-07-31 13:22:18.473,0
68,52,99, ,2014-07-31 13:51:08.247,0
69,121,99, ,2014-07-31 14:31:22.153,0
72,20,99, ,2014-07-31 14:50:31.427,0
90,52,99, ,2014-07-31 19:40:19.457,0
73,20,115, ,2014-07-31 14:51:55.833,0
76,,119, ,2014-07-31 15:46:24.097,1
77,100,119,Adam,2014-07-31 16:01:02.323,0
