PostId,Vote,VTime
1,2,2014-07-31
1,2,2014-07-31
1,2,2014-07-31
1,5,2014-07-31
1,2,2014-07-31
1,2,2014-08-04
1,8,2014-08-10
1,5,2014-08-11
1,2,2014-08-12
1,2,2014-08-18
1,2,2014-09-19
2,2,2014-07-31
2,5,2014-07-31
2,2,2014-07-31
2,5,2014-07-31
2,2,2014-07-31
2,2,2014-07-31
2,2,2014-08-03
2,2,2014-08-04
2,2,2014-08-05
2,2,2014-08-19
2,5,2014-09-01
2,2,2014-09-06
2,2,2014-09-19
2,2,2014-10-06
2,5,2014-10-06
2,2,2014-10-29
2,5,2014-10-29
2,5,2014-10-29
2,2,2014-10-29
2,2,2014-11-02
2,2,2014-11-24
2,5,2014-11-25
2,5,2014-12-16
2,5,2015-01-22
2,2,2015-01-25
5,2,2015-01-02
6,2,2014-07-31
6,2,2014-08-10
6,2,2014-08-20
7,2,2014-07-31
7,2,2014-07-31
7,2,2014-07-31
7,5,2014-07-31
7,2,2014-07-31
7,16,2014-08-01
7,2,2014-08-01
7,2,2014-08-01
7,5,2014-08-01
7,2,2014-08-01
7,2,2014-08-03
7,2,2014-08-20
7,5,2014-09-04
7,2,2015-01-25
8,2,2014-07-31
8,2,2014-08-04
9,2,2014-07-31
9,2,2014-07-31
9,3,2014-08-02
9,2,2014-08-03
9,2,2014-08-10
9,2,2014-08-18
9,2,2014-09-19
10,2,2014-07-31
10,2,2014-08-04
10,2,2014-08-04
10,2,2014-08-19
10,2,2015-01-02
11,2,2015-01-02
12,16,2014-08-01
12,2,2014-08-20
13,2,2014-08-01
13,2,2014-08-01
13,2,2014-08-11
13,2,2014-08-20
13,2,2014-10-17
13,2,2014-11-12
14,2,2014-08-04
14,2,2014-08-19
15,2,2014-08-01
15,16,2014-08-04
15,2,2014-08-20
16,2,2014-07-31
16,2,2014-07-31
16,2,2014-08-01
16,2,2014-08-02
16,2,2014-08-04
17,2,2014-07-31
17,2,2014-07-31
17,2,2014-07-31
17,5,2014-07-31
17,2,2014-07-31
17,3,2014-08-01
17,2,2014-08-07
17,2,2014-08-10
17,2,2014-08-10
17,5,2014-08-19
17,2,2014-08-19
17,2,2014-08-19
17,2,2014-08-25
17,2,2014-08-26
17,5,2014-08-26
17,2,2014-09-06
17,2,2014-09-06
17,2,2014-09-06
17,2,2014-09-06
17,2,2014-09-19
17,5,2014-09-25
17,5,2014-10-16
17,2,2014-10-16
17,5,2014-11-25
17,5,2014-12-19
17,2,2014-12-29
17,2,2015-01-16
17,5,2015-01-16
17,2,2015-01-25
18,2,2014-08-04
18,2,2014-08-04
19,2,2014-07-31
19,2,2014-07-31
19,2,2014-08-04
19,2,2014-08-20
20,2,2014-08-20
20,2,2015-01-04
21,3,2014-08-04
21,2,2015-01-03
22,16,2014-07-31
23,2,2014-07-31
23,2,2014-08-04
23,2,2014-08-04
23,2,2014-08-20
23,1,2014-09-17
24,2,2014-07-31
24,2,2014-07-31
24,2,2014-07-31
24,16,2014-07-31
24,2,2014-08-04
25,2,2014-07-31
25,2,2014-07-31
25,2,2014-07-31
25,1,2014-07-31
26,2,2014-07-31
26,2,2014-08-10
26,2,2014-09-06
27,2,2014-08-01
27,2,2014-08-04
27,16,2014-08-04
27,2,2014-08-04
27,2,2014-08-04
27,2,2014-08-20
27,2,2014-09-30
28,2,2014-07-31
28,2,2014-08-04
28,2,2014-08-20
29,2,2014-07-31
29,2,2014-08-04
29,2,2014-08-10
29,2,2014-08-19
29,2,2014-08-19
29,2,2014-08-19
29,2,2014-08-21
29,2,2014-08-26
29,2,2014-09-06
29,3,2014-09-06
29,2,2014-09-06
29,2,2014-09-12
29,2,2014-09-19
29,2,2014-12-13
29,2,2015-01-16
29,2,2015-01-25
30,1,2014-07-31
30,2,2014-07-31
30,2,2014-07-31
30,2,2014-07-31
30,2,2014-07-31
30,2,2014-07-31
30,2,2014-08-01
30,2,2014-08-01
30,2,2014-08-01
30,2,2014-08-01
30,2,2014-08-20
30,2,2014-10-03
31,2,2014-08-01
31,2,2014-08-04
31,2,2014-08-04
32,2,2014-07-31
32,2,2014-07-31
32,2,2014-07-31
32,2,2014-07-31
32,2,2014-07-31
32,2,2014-07-31
32,1,2014-07-31
32,2,2014-07-31
32,2,2014-08-02
32,2,2014-08-03
32,2,2014-08-04
32,2,2014-08-05
32,2,2014-09-19
32,2,2014-10-06
32,2,2014-10-29
32,2,2014-10-29
32,2,2014-11-02
32,2,2014-11-04
32,2,2014-11-24
32,2,2014-11-25
32,2,2015-01-25
33,10,2014-07-31
34,2,2014-07-31
34,2,2014-07-31
34,2,2014-08-04
34,2,2014-08-04
34,2,2014-08-05
34,2,2014-08-20
34,2,2015-01-13
35,2,2014-07-31
35,2,2014-08-01
35,2,2014-08-10
35,2,2014-08-11
35,2,2014-08-19
35,2,2014-08-19
35,2,2014-08-19
35,2,2014-08-26
35,2,2014-09-06
35,2,2014-09-06
35,1,2014-09-06
35,2,2014-09-19
35,2,2014-10-01
35,2,2014-11-25
35,2,2015-01-25
36,2,2014-08-04
36,2,2014-08-04
36,2,2014-08-20
36,1,2014-09-17
37,2,2014-08-10
37,2,2014-08-19
37,2,2014-09-06
38,2,2014-08-04
38,2,2014-08-04
42,2,2014-07-31
42,2,2014-08-04
43,2,2014-08-04
43,2,2014-08-21
44,2,2014-07-31
44,2,2014-07-31
44,2,2014-07-31
44,2,2014-08-04
44,2,2014-08-21
45,2,2014-07-31
45,2,2014-07-31
45,2,2014-07-31
45,2,2014-07-31
45,2,2014-07-31
45,2,2014-08-01
45,2,2014-08-04
